abnormal	a b n ɔ ɾ m a l
absorbe	a p s ɔ u̯ bʱ
Acadiana	a k a d j ɑ̃ n a
Acadiana	a k a d ʒ j ɑ̃ n a
aile	ɛː
ainmer	ɛ̃ m e
américain	ɑ̃ m e ɾ i k ɛ̃
américain	ɑ̃ m a r i k ɛ̃
américain	m e ɾ i k ɛ̃
Américain	ɑ̃ m e ɾ i k ɛ̃
Américain	ɑ̃ m a r i k ɛ̃
Américain	m e ɾ i k ɛ̃
ananas	z ɑ̃ n ɑ̃ n a
ancêtre	æ̃ n ‿ ɒ̃ s ɛ t ʁ̥
ancêtre	ɑ̃ s a e̯ t ʁ̥
âne	ɑː n
âne	ɑ ɔ n
anniversaire	a n i v ɛ ʁ s a ɛ̯ ʁ
août	uː tʰ
arbre	z a b
arête	a ʁ ɛ tʰ
arête	a ʁ ɛ tʰ
arête	a ʁ ɛ ɪ̯ tʰ
articles	a ʁ t i k
asteur	a s t œ ɾ
asteur	a s t œ
astheure	a s t œ ɾ
astheure	a s t œ
autre	o u̯ t ʁ
autre	ɔ t ɾ
autre	ɔ t
Baham	b a ɑ̃
Baham	b a ɔ̃
baptême	b a t ɛ̃ː m
baptême	b a t a ɛ̯ m
baptême	b a t ɛ̃ː m
baptême	b a t a ɛ̯ m
bas	b ɔ
base	b ɑː z
base	b ɑ ʊ̯ z
bellastre	b ɛ l a s t ʁ ə
bellastre	b ɛ l a s t ʁ
Berthierville	b ɛ ʁ t͡s j ɛ ʁ v ɪ l
bibitte	b i b ɪ t
bibitte	b i b ɪ t
boète	b w a ɛ̯ t
boète	b w e i̯ t
boîte	b w ɑː t
boîte	b w a ɛ̯ t
bonjour	b õ ʒ u ə̯ ʁ
bonjour	b ɒ̃ ʊ̯̃ ʒ ʊ u̯ ʁ
bonjour	b ɔ̃ ʒ o ɾ
bonjour	b ɔ̃ ʒ o
bonjour	b õ ʒ u ə̯ ʁ
bonjour	b ɒ̃ ʊ̯̃ ʒ ʊ u̯ ʁ
bonjour	b ɔ̃ ʒ o ɾ
bonjour	b ɔ̃ ʒ o
bonsoir	b õ s w aː ʁ
bonsoir	b ɔ̃ s w ɑː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
bonsoir	b õ s w aː ʁ
bonsoir	b ɔ̃ s w ɑː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
bonsoir	b ɒ̃ ʊ̯̃ s w ɔː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɒː ʁ
bonsoir	b ɒ̃ ʊ̯̃ s w ɛː ʁ
bonsoir	b ɔ̃ s w ɛː ɾ
booléen	b u l e ɛ̃
bougre	b u ɡ r
bougre	b u ɡ
bougre	b ʊ ɡ
bougre	b u k
bougre	b ʊ ɡ ʁ
bougre	b ʊ ɡ
bras	b ʁ ɑ
bras	b ʁ ɔ
bras	b ʁ ɑ
brin	b ɾ æ̃
brrr	b ʀ
brrr	ʀ̥
brrr	b ʙ
brrr	ʙ
brrr	p ʙ̥
brrr	ʙ̥
Buridan	b y ʁ i d ɑ̃
business	b ɪ z n ɪ s
ça	s ɑ
ça	s ɔ
cabas	k a b a
caca	k a k a
caca	k a k a
caca	k ɛ k
cacatoir	k a k a t w a ɾ
Canada	k a n a d ɑ
Canada	k a n a d ɔ
centre	s ɒ̃ t ʁ̞
centre	s ɒ̃ t χ
centre	s ɒ̃ t ʁ̞
centre	s ɒ̃ t χ
chat	ʃ ɑ
chat	ʃ ɔ
cher	ʃ æ ɾ
cher	ʃ æː
club	k l ʏ b
cœur	k a œ̯ ʁ
cœur	k ɶ œ̯ ʁ
cœur	t ʃ œ ʁ
coinsto	k w ɑ̃ s t o
colère	k o l æ ɾ
colère	k o l æ
colère	k ɔ l a ɛ̯ ʁ
congo	k ɔ ŋ ɡ o
couillon	k u j ɔ̃
crézieu	k ʀ e z j ø
cul	t͡ʃ y
cules	k y l
dépôt	d e p o
dépôt	d i p o
difficile	d͡z i f ɪ s ɪ l
difficile	d͡z ɪ f ɪ s ɪ l
difficile	d͡z ɪ f s ɪ l
directrice	d͡z i ʁ ɛ k t ʁ i s
directrice	d͡z i ʁ ɛ k t ʁ i s
dix	d͡z ɪ s
dix	d͡ʒ i s
dix	d͡z ɪ s
dix	d͡ʒ i s
drigaille	d ɾ i ɡ a j
du	d͡z y
du	d͡z ʏ
dupe	d z ʏ p
écureuil	e k y ɾ œ j
écureuil	e k i ɾ œ j
écureuil	z e k y ɾ œ j
écureuil	z e k i ɾ œ j
écureuil	k i ɾ œ j
écureuil	z i k i ɾ œ j
écureuil	z i k i ɾ e j
écureuil	z e k i ɾ e j
ej	ə ʒ
ej	ə h
élan	e l ɑ̃
engatse	ɑ̃ ŋ ɡ a t s ə
engatse	ɑ̃ ɡ a t s ə
enquête	ã k æ ɪ̯ t
ensemble	ɔ̃ s ɔ̃ m
espoir	e s p w a r
étais	e t e
Étienne	e t s j ɛ n
être	ɛ t χ
être	a ɛ̯ t χ
être	ɛː t χ
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
européen	ø ʁ ɔ p e æ̃
européen	ø ʁ o̞ p e æ̃
européen	œ ʁ ɔ p e æ̃
européen	œ ʁ o̞ p e æ̃
Européen	ø ʁ ɔ p e æ̃
Européen	ø ʁ o̞ p e æ̃
Européen	œ ʁ ɔ p e æ̃
Européen	œ ʁ o̞ p e æ̃
Européen	ø ʁ ɔ p e æ̃
Européen	ø ʁ o̞ p e æ̃
Européen	œ ʁ ɔ p e æ̃
Européen	œ ʁ o̞ p e æ̃
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
européenne	ø ʁ ɔ p e ɛ n̪
européenne	ø ʁ o̞ p e ɛ n̪
européenne	œ ʁ ɔ p e ɛ n̪
européenne	œ ʁ o̞ p e ɛ n̪
Européenne	ø ʁ ɔ p e ɛ n̪
Européenne	ø ʁ o̞ p e ɛ n̪
Européenne	œ ʁ ɔ p e ɛ n̪
Européenne	œ ʁ o̞ p e ɛ n̪
Européenne	ø ʁ ɔ p e ɛ n̪
Européenne	ø ʁ o̞ p e ɛ n̪
Européenne	œ ʁ ɔ p e ɛ n̪
