A	ɑ
aba	ɑ b ɑ
abgərdən	ɑ b ɟ æ ɾ d æ n
acgöz	ɑ d͡ʒ ɟ œ z
acıq	ɑ d͡ʒ ɯ χ
acıq	ɑ d͡z ɯ χ
adam	ɑ d ɑ m
adi	ɑː d i
adlanmaq	ɑ d ɫ ɑ n m ɑ χ
ağa	ɑ ɣ ɑ
ağlamaq	j ɯ ɣ ɫ ɑ m ɑ χ
axırıncı	ɑ χ ɯ ɾ ɯ n d͡ʒ ɯ
axirət	ɑː x i ɾ æ t
aid	ɑ i d
akademiya	ɑ k ɑ d e m i j ɑ
Aqartala	ɑ ɡ ɑ ɾ t ɑ l ɑ
ala	ɑ ɫ ɑ
alın	ɑ ɫ ɯ n
ali	ɑː l i
alma	ɑ ɫ m ɑ
alma	ɑ ɫ m æ
Almaniya	ɑ ɫ m ɑ n i j ɑ
amir	ɑː m i ɾ
Amsterdam	ɑ m s t e r d ɑ m
an	ɑ n
anqut	ɑ n ɡ u t
ar	ɑ r
arxa	ɑ r x ɑ
arxayın	ɑ ɾ x ɑ j ɯ n
arxayın	ɑ ɾ x e j i n
arxivləşdirmək	ɑ r x i v l æ ʃ d i r m æ c
armağan	ɑ r m ɑ ɣ ɑ n
arpa	ɑ r p ɑ
arzu	ɑ r z u
at	ɑ t
avtobus	ɑ f t o b ʊ s
ay	ɑ j
azarxana	ɑ z ɑ r x ɑ n ɑ
badam	b ɑ d ɑ m
bağanaq	b ɑ ʁ ɑ n ɑ χ
bağancaq	b ɑ ʁ ɑ n d͡ʒ ɑ χ
bağancanaq	b ɑ ʁ ɑ n d͡ʒ ɑ n ɑ χ
Bakı	b ɑ c ɯ
baldır	b ɑ ɫ d ɯ r
bar	b ɑ ɾ
bardaq	b ɑ ɾ d ɑ ɡ
barkod	b ɑ ɾ k o d
başıörtülü	b ɑ ʃ ɯ œ r t y l y
batırmaq	b ɑ t ɯ r m ɑ χ
batmaq	b ɑ t m ɑ χ
bayğın	b ɑ j ɣ ɯ n
bayram	b ɑ j ɾ ɑ m
bel	b e l
beş	b e ʃ
beş	b æ ʃ
beton	b e t o n
bələk	b æ l æ c
bəm	b ə m
bənək	b æ n æ k
bərabər	b æ ɾ ɑː b æ ɾ
bığ	b ɯ ɣ
birə	b i r æ
bit	b i t
bitirmək	b i t i r m æ k
bitmek	b i t m e k
biznes	b i z n e s
bol	b o ɫ
bomba	b o m b ɑ
bomba	b o m b ɑ
boran	b o ɾ ɑ n
boy	b o j
bozumtul	b o z u m t u l
bölmək	b œ l m æ k
bu	b u
buğda	b u ɣ d ɑ
buxovluq	b u χ o v l u χ
bulud	b u ɫ u d
bura	b u r ɑ
busə	b u s æ
butulka	b u t u ɫ k a
bülöv	b ɯ l œ y̯
bünövrə	b ɯ n œ y̯ r æ
bürümək	b y r y m æ k
bütöv	b y t œ v
bütöv	b ɯ t œ y̯
bütün	b y t y n
cadugər	d͡ʒ ɑː d uː ɟ æ ɹ
cadugər	d͡z ɑː d uː ɟ æ ɹ
cariyə	d͡ʒ ɑː r i j æ
cihad	d͡ʒ i h ɑ d
civə	d͡ʒ i v æ
çatışmamazlıq	t͡ʃ ɑ t ɯ ʃ m ɑ m ɑ z d ɯ χ
çılpaq	t ʃ ɯ l p ɑ x
çimdikləmək	t͡ʃ i m d i c l æ m æ c
çizkeyk	t ʃ i z k e j k
çuxur	t͡ʃ u χ u ɾ
daban	d ɑ b ɑ n
daban	d ɑ v ɑ n
dalğın	d ɑ ɫ ɣ ɯ n
dam	d ɑ m
dam	d ɑ m
Daşkənd	d ɑ ʃ c æ n t
davam	d ɑ v ɑ m
deşik	d e ʃ i k
deyil	d e j i l
deyil	d æ j i ɾ
deyil	d æː ɾ
deyil	d æ j i ɾ
deyil	d æ j i
