'bar'	b æ rʰ
abakus	a b a k yː s
abas	a b a s
abas	æ b ɐ z
abasel	a b a z ɛ l
abasel	ə b æ z ɐ l
abases	a b a z ɛ s
abases	ə b æ z ɐ z
abatti	a b a t i
abatti	ə b æ t i
aberveth	ə b ɛ r v ə θ
abrans	a b r a n s
abrans	æ b r ɐ n z
abyl	æ b ə l
abàn	ə b æ n
acordya	ə k ɔ ɹ d j ə
acowntyas	ə k o ʊ n t j ə s
adoptya	a d ɔ p t j a
adoptya	ə d ɔ p t j ɐ
adâl	ə d ɒː l
adâl	ə d æː l
affirmya	a f ɪ r m j a
affirmya	ə f ɪ r m j ɐ
affordya	a f ɔ r d j a
affordya	ə f ɔ r d j ɐ
afia	a f iː a
afia	ə f iː ɐ
afinus	a f i n ʏ s
afinus	ə f i n ɪ z
aga	a ɡ a
agh	æː x
agria	a ɡ r iː a
agria	ə ɡ r iː ɐ
air	eː ɹ
akwirya	a k w iː r j a
akwirya	ə k w iː r j ɐ
Alban	a l b a n
Alban	æ l b ɐ n
Albani	a l b a n i
Albani	ə l b æ n i
Almayn	a l m a ɪ n
Almayn	æ l m ɐ n
alsen	a l z ɛ n
alsen	ɒ l z ɐ n
aluminiom	a l ʏ m ɪ n j ɔ m
aluminiom	æ l ɪ ʊ m ɪ n j ɐ m
amendyans	a m ɛ n d j a n s
amendyans	ə m ɛ n d j ɐ n z
angos	a n ɡ ɤ s
argel	a r ɡ ɛ l
argel	æ r ɡ ɐ l
arghans	a r x a n s
arghans	æ r h ɐ n z
arghansek	a r h a n z ɛ k
arghansek	ə r h æ n z ɐ k
arhans	a r h a n s
arhans	æ r h ɐ n z
arlodh	a r l ɤ ð
arlodh	æ r l ʊ ð
arnowydhheans	a r n ɔ w ɪ θ h ɛː a n s
arnowydhheans	ə r n ɔ w ə θ h eː ɐ n z
art	ɒ ɹ t
arth	ə r θ
asklos	a s k l ɤ s
asklos	æ s k l ɐ z
askrifa	a s k r i f a
askrifa	ə s k r i f ɐ
askrifys	a s k r i f ɪ s
askrifys	ə s k r i f ɛ z
asow	a z ɔ ʊ
asow	æ z ɔ
aval	a v a l
aval	æ v ɐ l
avallow	ə v æ l o ʊ
avalow	ə v æ l o ʊ
avokado	a v ɔ k a d ɔ
avokado	æ v ə k æ d ɔ
awtorita	a ʊ t ɔ r ɪ t a
awtorita	ɒ t ɔ r ɪ t ɐ
ayr	a ɪ r
ayr	ɛː r
baban	b a b a n
balyer	b a l j ɛ r
balyer	b æ l j ɐ r
banana	b a n aː n a
banana	b ə n æː n ɐ
barv	b a r v
barv	b ɒ r v
barv	b ɒ r
barvus	b a r v ʏ s
barvus	b ɒ r v ɪ z
basar	b a z aː r
basar	b ə z æː r
benyn	b ɛ n ɪ n
benyn	b ɛ n ə n
berr	b ɛ ɹ
berrskrif	b ɛ r s k r ɪ f
berrskrif	b ɛ r s k r ɪ f
berrskrifa	b ɛ r s k r i f a
berrskrifa	b ə r s k r i f ɐ
bes	b eː z
bewnans	b ɛ ʊ n a n s
bewskrif	b ɛ ʊ s k r ɪ f
Beybel	b ə ɪ b ə l
blas	b l æː z
bledhen	b l ɛ ð ɛ n
bledhen	b l ɛ ð ɐ n
blejan	b l ɛ d͡ʒ ə n
blejan	b l œː d͡ʒ ɛ n
bleujen	b l œː d ʒ ɛ n
bleujen	b l ɛ d ʒ ə n
bleujenn	b l o eː d ʒ ɛ n
bleus	b l øː z
bleus	b l eː z
bleydh	b l ɛ ɪ ð
bleydh	b l ə ɪ ð
bleydhas	b l ə ɪ ð
blou	b l uː
bocka	b ɤ k a
bocka	b ʊ k ɐ
bogh	b ɔː x
bogh	b oːʰ
bownans	b ə ʊ n ɐ n z
bownans	b ə ʊ n ɐ z
bran	b ɹ æː n
bregh	b r ɛː x
