acht	a x t
aen	aː n
al	a l
alse	a l z ə
also	a l z oː
an	a n
ane	aː n ə
arm	a r m
bat	b a t
bedriven	b ə d r iː v ə n
begripen	b ə ɣ r iː p ə n
best	b e s t
bet	b e t
beter	b ɛː t ə r
bevelen	b ə v eː l ə n
bi	b iː
biten	b iː t ə n
bitter	b ɪ tː ə r
blau	b l a u
blau	b l aː u
bleec	b l eː k
bli	b l iː
bliken	b l iː k ə n
blint	b l ɪ n t
bliven	b l iː v ə n
bode	b ɔː d ə
breet	b r eː t
brengen	b r e ŋ ɡ ə n
bringen	b r ɪ ŋ ɡ ə n
cleve	k l ɛː v ə
coe	k u
coe	k u ə
crischen	k r iː s k ə n
crischen	k r iː s x ə n
criten	k r iː t ə n
cronen	k r oː n ə n
cronen	k r øː n ə n
cul	k ʏ l
dach	d a x
daer	d aː r
dansen	d a n s ə n
darven	d a r v ə n
dat	d a t
denken	d e ŋ k ə n
derven	d e r v ə n
di	d i
di	d iː
die	d i
die	d i ə
diefte	d i f t ə
diefte	d i ə f t ə
dietsch	d i ə̯ t s x
dijn	d iː n
dragen	d r aː ɣ ə n
dri	d r iː
drie	d r i ə
driven	d r iː v ə n
drucken	d r ʏ kː ə n
du	d u
du	d uː
du	d y
du	d yː
een	e ɛ̯ n
eenvout	eː n v o u t
eer	eː r
eerde	ɛː r d ə
eerst	eː r s t
el	e l
els	e l s
en	e n
ende	e n d ə
erde	ɛ r d ə
et	e t
et	ə t
gaen	ɣ aː n
gay	ɣ aː i
geliken	ɣ ə l iː k ə n
gene	ɣ eː n ə
gi	ɣ i
gi	ɣ iː
glas	ɣ l a s
gliden	ɣ l iː d ə n
goet	ɣ u ə t
gout	ɣ o u t
gripen	ɣ r iː p ə n
groene	ɣ r u ə n ə
hebben	h e bː ə n
hekelen	h ɛː k ə l ə n
het	h e t
hi	h iː
hier	h i ə r
historie	h ɪ s t ɔː r i
historie	h ɪ s t ɔː r i ə
hit	h ɪ t
hof	h ɔ f
hovet	h oː v ə t
ic	ɪ k
ierlant	i ə r l a n t
iser	iː z ə r
it	ɪ t
kiken	k iː k ə n
kille	k ɪ lː ə
liken	l iː k ə n
maken	m aː k ə n
mede	m ɛː d ə
mee	m eː
meest	m eː s t
met	m e t
mi	m i
mi	m iː
miden	m iː d ə n
mijn	m iː n
min	m ɪ n
minre	m ɪ n r ə
minst	m ɪ n s t
na	n aː
nacht	n a x t
neder	n ɛː d ə r
negen	n ɛː ɣ ə n
nigen	n iː ɣ ə n
om	o m
ombe	o m b ə
omme	o mː ə
onse	o n z ə
ooc	oː k
out	o u t
over	ɔː v ə r
prisen	p r iː z ə n
quiten	k w iː t ə n
reine	r e i n ə
rene	r eː n ə
riden	r iː d ə n
rien	r iː ə n
rigen	r iː ɣ ə n
rijn	r iː n
risen	r iː z ə n
riten	r iː t ə n
roepen	r u ə p ə n
schinen	s k iː n ə n
schinen	s x iː n ə n
schiten	s k iː t ə n
schiten	s x iː t ə n
schriden	s k r iː d ə n
schriden	s x r iː d ə n
schriven	s k r iː v ə n
schriven	s x r iː v ə n
selve	z e l v ə
ses	z e s
setten	z e tː ə n
seven	z ɛː v ə n
si	z iː
sie	s i
sie	s i ə
siele	z i ə l ə
sien	z i ə n
sien	z iː ə n
sigen	z iː ɣ ə n
sijn	z iː n
silver	z ɪ l v ə r
slaen	s l aː n
slapen	s l aː p ə n
slipen	s l iː p ə n
sliten	s l iː t ə n
smet	s m ɛ t
smit	s m ɪ t
smiten	s m iː t ə n
sniden	s n iː d ə n
so	z o
so	z oː
soe	z u
soe	z u ə
soeken	z u ə k ə n
som	s o m
spiten	s p iː t ə n
staen	s t aː n
stelen	s t ɛː l ə n
sterven	s t e r v ə n
stigen	s t iː ɣ ə n
striden	s t r iː d ə n
striken	s t r iː k ə n
sulc	z ʏ l k
swigen	z w iː ɣ ə n
swijn	s w iː n
tale	t aː l ə
te	t ə
tesamen	t ə z aː m ə n
tien	t i ə n
tien	t iː ə n
toe	t u ə
toete	t u ə t ə
twee	t w eː
vernemen	v e r n ɛː m ə n
vijf	v iː f
visch	v i s x
vracht	v r a x t
vrecht	v r ɛ x t
vrede	v r ɛː d ə
vrien	v r iː ə n
wale	w aː l ə
wat	w a t
water	w aː t ə r
wech	w ɛ x
wee	w eː
wel	w e l
welc	w e l k
werden	w e r d ə n
wers	w e r s
wesen	w ɛː z ə n
wi	w iː
wie	w i
wie	w i ə
wiken	w iː k ə n
wisen	w iː z ə n
witen	w iː t ə n
wriven	w r iː v ə n
