A	a
AB	a b e
ABG	a b e ɡ e
ABK	a b e k a
ABS	a b e ɛ s
ABT	a b e t e
ACL	a t͡ʃ e ɛ l
AD	a d e
ADB	a d e b e
ADEM	a d ə m
ADHD	a d e h a d e
ADP	a d e p e
ADR	a d e ɛ r
AFK	a ɛ f k a
AFTA	a f t a
AI	a i
AIPKI	a i p k i
AJB	a d͡ʒ e b e
AK	a k a
AKAP	a k a p
AKB	a k a b e
AKBK	a k a b e k a
AKDR	a k a d e ɛ r
AKG	a k a ɡ e
AKI	a k i
AKP	a k a p e
ALT	a ɛ l t e
AMDAL	a m d a l
ANKOVA	a n k o v a
ANOVA	a n o v a
AP	a p e
APBJ	a p e b e d͡ʒ e
APDP	a p e d e p e
APHB	a p e h a b e
APHT	a p e h a t e
API	a p e i
APILL	a p e i ɛ l ɛ l
APPU	a p e p e u
APS	a p e ɛ s
ARDS	a ɛ r d e ɛ s
ARFID	a ɛ r ɛ f i d e
ART	a ɛ r t e
AS	a ɛ s
ASAP	a s a p
ASEAN	a s ɛ a n
ASI	a s i
ASMR	a ɛ s ɛ m ɛ r
ASN	a ɛ s ɛ n
ASPD	a ɛ s p e d e
ATHG	a t e h a ɡ e
ATK	a t e k a
ATPM	a t e p e ɛ m
AU	a u
AURI	a u r i
AWS	a w e ɛ s
Abdul	a b d u l
Abraham	a b r a h a m
Aceh	a t͡ʃ e h
Adang	a d a ŋ
Adelina	a d e l i n a
Adi	a d i
Adinda	a d i n d a
Adrianus	a d r i a n u s
Afrika	a f r i k a
Afsel	a f s ə l
Agatha	a ɡ a t a
Agus	a ɡ u s
Agustina	a ɡ ʊ s t i n a
Agustus	a ɡ u s t u s
Ahad	a h a d
Ahok	a h o k
Ajiyanto	a d͡ʒ i j a n t o
Akbar	a k b a r
Akeswari	a k ɛ s w a r i
Akuarius	a k u a r i ʊ s
Alas	a l a s
Albania	a l b a n i a
Albertus	a l b ɛ r t u s
Ali	a l i
Alkitab	a l k i t a b
Allah	a l a h
Allah	a l l a h
Allah	ɑ l l ɑ h
Allah	ɑ l ɑ h
Allah	ɑ w l o h
Amaterasu	a m a t e r a s u
Ambon	a m b o n
Amelia	a m e l i a
Amelia	a m e l i j a
Amerika	a m e r i k a
Amos	a m o s
Amsal	a m s a l
Anatolia	a n a t o l i a
Anda	a n d a
Andorra	a n d o r a
Android	a n d r o i d
Ang	a ŋ
Angola	a ŋ o l a
Anita	a n i t a
Ankara	a n k a r a
Anne	a n ə
Anne	e n ə
Anne	ɛ n
Annisa	a n i s a
Antara	a n t a r a
Antarktika	a n t a r k t i k a
Antarktika	a n t a r t i k a
Antartika	a n t a r t i k a
April	a p r i l
Aprilia	a p r i l i a
Aprilia	a p r i l i j a
Apus	a p u s
Arab	a r a b
Aram	a r a m
Arga	a r ɡ a
Arung	a r u ŋ
Arya	a r j a
Aseng	a s e ŋ
Asyura	a ʃ u r a
Atena	a t e n a
Athena	a t e n a
Aulia	a u l i a
Aulia	a u l i j a
Ausbau	a u s b a u̯
Austria	a ʊ s t r i a
Ayub	a j u b
Azerbaijan	a z ə r b a i̯ d͡ʒ a n
B	b
B	b e
BA	b e a
BAB	b e a b e
BAIS	b a i s
BAJAH	b a d͡ʒ a h
BAK	b a k
BAK	b e a k a
BAP	b e a p e
BAR	b a r
BB	b e b e
BBLR	b e b e ɛ l ɛ r
BBLSR	b e b e ɛ l ɛ s ɛ r
BBLTR	b e b e ɛ l t e ɛ r
BBM	b e b e e m
