آذى	ʔ aː z a
آسيا	ʔ aː s j a
آيسكريم	ʔ aː j s k i r iː m
أبجورات	ʔ a b a d͡ʒ oː r aː t
أبجورة	ʔ a b a d͡ʒ oː r a
أبغى	ʔ a b ɣ a
أبلة	ʔ a b l a
أبلة	ʔ a b ɫ a
أبله	ʔ a b l a h
أتسلق	ʔ a t s a l l a ɡ
أتكلم	ʔ a t k a l l a m
أثني	ʔ a t n i
أثيوبيا	ʔ a θ j uː b j a
أثيوبيا	ʔ a θ j uː p j a
أحبك	ʔ a ħ u b b a k
أحبك	ʔ a ħ u b b i k
أخت	ʔ u x t
أدري	ʔ a d r i
أدي	ʔ a dː i
أرخبيل	ʔ a r x a b iː l
أرقوز	ʔ a r a ɡ oː z
أرقيلة	ʔ a r ɡ iː l a
أزرق	ʔ a z a r r i ɡ
أزرق	ʔ a z r a ɡ
أسبوع	u s b uː ʕ
أستحمى	ʔ a s t a ħ a mː a
أسطوانة	ʔ u s tˤ u w aː n a
أشقر	ʔ a ʃ ɡ a r
أصباع	ʔ u sˤ b aː ʕ
أصنصير	ʔ a sˤ a n sˤ eː r
أطالع	ʔ a tˤ aː l i ʕ
أغمض	ʔ a ɣ a mː i dˤ
أغنية	ʔ u ɣ n i j a
أغنية	ʔ u ɣ n i jː a
أفلاطون	ʔ a f l aː tˤ oː n
أقادير	ʔ a ɡ aː d iː r
أقدر	ʔ a ɡ a dː i r
أقدر	ʔ a ɡ d a r
أكرانيا	ʔ u k r aː n j a
ألبوم	a l b uː m
ألو	a l u
أملط	a m l a tˤ
أنة	ʔ a n n a
أندلسية	ʔ a n d a l u s i jː a
أنغولا	ʔ a n ɡ oː l a
أنغولا	ʔ a n ɣ oː l a
أنقليس	ʔ a n ɡ a l iː s
أهو	ʔ a h oː
أوحش	ʔ a w ħ a ʃ
أوربا	ʔ oː r u bː a
أوربا	ʔ oː r u pː a
أوروقواي	ʔ uː r uː ɡ w aː j
أوسلو	ʔ oː s l u
أوقست	ʔ oː ɡ a s t
أوقست	ʔ oː ɡ i s t
أوكرانيا	ʔ u k r aː n j a
أوكي	ʔ oː k eː
أڤكادو	ʔ a f u k aː d u
أڤكادو	ʔ a v u k aː d u
إبتزاز	ʔ i b t i z aː z
إبريق	ʔ i b r iː ɡ
إذن	ʔ i d i n
إذن	ʔ i z i n
إسبانيا	ʔ i s b aː n j a
إسبانيا	ʔ i s p aː n j a
إستونيا	ʔ i s t oː n j a
إسورة	ʔ i s w a r a
إسپانيا	ʔ i s p aː n j a
إلين	ʔ i l eː n
إنقلترا	i n ɡ i l t r a
إنقليزي	i n ɡ i l iː z i
إيش	ʔ eː ʃ
إيقاع	ʔ iː ɡ aː ʕ
إيميل	ʔ iː m eː l
إيوه	ʔ iː w a
اتحمم	a t ħ a mː a m
احنا	i ħ n a
ازهم	a z h a m
استشوار	i s t i ʃ w aː r
استفتاء	i s t i f t aː ʔ
استقبال	i s t i ɡ b aː l
استقلال	i s t i ɡ l aː l
اسم	i s i m
اشتاق	a ʃ t aː ɡ
اشترى	a ʃ t a r a
اقتصاد	i ɡ t i sˤ aː d
ال	a
ال	a l
الأنضول	a l ʔ a n a dˤ oː l
البرتغال	a l b u r t u ɣ aː l
البرتغال	a l p u r t u ɣ aː l
البلقان	a l b a l ɡ aː n
الجبيل	a l d͡ʒ i b eː l
الجبيل	a l d͡ʒ u b eː l
الحجاز	a l ħ i d͡ʒ aː z
الطايف	a tˤː aː j i f
الظاهر	a zˤː aː h i r
العراق	a l ʕ i r aː ɡ
الغابون	a l ɡ aː b oː n
الغابون	a l ɣ aː b oː n
الفلبين	a l f i l i b b iː n
الفلبين	a l f i l i p p iː n
الفلپين	a l f i l i p p iː n
القرم	a l ɡ i r i m
الكونغو	a l k oː n ɡ u
الكونغو	a l k oː n ɣ u
اللقنت	a l l a ɡ a n t
الله	a ɫ ɫ a
الله	a ɫ ɫ aː
المالديف	a l m aː l d iː f
المالديف	a l m aː l d iː v
المجر	a l m a d͡ʒ a r
النرويج	a n n u r w iː d͡ʒ
اليونان	a l j oː n aː n
اليونان	a l j uː n aː n
الپرتغال	a l p u r t u ɣ aː l
اندر	a n d u r
انفقع	a n f a ɡ a ʕ
انقلاب	i n ɡ i l aː b
ب	b
ب	b aː ʔ
ب	b i
بابا	b aː b a
باتنجان	b aː t i n d͡ʒ aː n
باط	b aː tˤː
بالتوفيق	b i tː a w f iː ɡ
بانثيون	b aː n θ i j oː n
بانثيون	p aː n θ i j oː n
بانكوك	b aː n k oː k
بانكيك	b aː n k eː k
بانكيك	p aː n k eː k
بانيو	b aː n j u
باي	b aː j
ببروني	b i b a r oː n i
ببروني	b i b i r oː n i
ببروني	p i p a r oː n i
ببروني	p i p i r oː n i
بجعة	b a d͡ʒ a ʕ a
بحر	b a ħ a r
بحيث	b i ħ eː s
بحيث	b i ħ eː θ
بحيرة	b u ħ eː r a
بخارى	b u x aː r a
بخاري	b u x aː r i
بخشة	b a x ʃ a
بدروم	b a d r oː m
بدروم	b u d r oː m
برادة	b a rː aː d a
برادة	b u r aː d a
براق	b a r r aː ɡ
براق	b r aː ɡ
براق	b u r aː ɡ
براق	p r aː ɡ
برة	b a rː a
برجون	b a r a d͡ʒ oː n
برشلونة	b a r ʃ a l oː n a
برشوت	b a r a ʃ oː t
برشوت	b a r a ʃ uː t
برضه	b a r dˤ u
برق	b a r ɡ
برقر	b u r ɡ a r
برقع	b u r ɡ u ʕ
بركان	b u r k aː n
برلين	b i r l iː n
برنامج	b a r n aː m a d͡ʒ
بروبقاندا	b r oː b a ɡ aː n d a
بروبقاندا	p r oː p a ɡ aː n d a
بروتستانتي	b r oː t i s t aː n t i
بروتستانتي	p r oː t i s t aː n t i
بروكلي	b r oː k u l i
بريك	b i r eː k
بريك	b r eː k
بريك	b u r eː k
بزبوز	b a z b uː z
بس	b a sː
بس	b i sː
بسة	b i s s a
بسرعة	b i s u r ʕ a
بسكليتة	b u s k u l eː t a
بسكوت	b i s k oː t
بشع	b i ʃ i ʕ
بشناقي	b u ʃ n aː ɡ i
بشويش	b i ʃ w eː ʃ
بطء	b u tˤ u ʔ
بطء	b u tˤ ʔ
بطريق	b a tˤ r iː ɡ
بطن	b a tˤ i n
بطيخ	b a tˤː iː x
بعدين	b a ʕ d eː n
بغي	b i ɣ i
بفتيك	b u f t eː k
بقالات	b i ɡ aː l aː t
بقالة	b i ɡ aː l a
بقدونس	b a ɡ d uː n i s
بقعة	b u ɡ ʕ a
بقلاوة	b i ɡ l aː w a
بكس	b u k s
بكلة	b u k l a
بلاعة	b u lː aː ʕ a
بلكن	b a l k i n
بلكونة	b a l a k oː n a
بلنتي	b a l a n t i
بلنتي	p a l a n t i
بلنسية	b a l i n s i j a
بلوزة	b i l uː z a
بلوزة	b l uː z a
بلوزة	b u l uː z a
بلوفر	b l oː f a r
بلوفر	b u l oː f a r
بلوفر	b u l oː v a r
بلونة	b a lː oː n a
بلوڤر	b l oː v a r
بلوڤر	b u l oː v a r
بلياردو	b i l j aː r d u
بمبه	b a m b a
بندق	b u n d u ɡ
بنزهير	b a n z a h eː r
بنزين	b a n z iː n
بنسة	b i n s a
بنسة	p i n s a
بنطلون	b a n tˤ a l oː n
بنك	b a n k
بنما	b a n a m a
بنما	p a n a m a
بوت	b oː t
