ǵ	ɟ ⁓ ɟ͡ʝ
а	a
А	a
б	b
Б	b
бо	b ɒː
бо	b ɒ
бо	b o̞ː
бо	b o̞
в	v
В	v
г	ɡ
Г	ɡ
д	d
Д	d
ѓ	ɟ
Ѓ	ɟ
е	ɛ
Е	ɛ
еве	æ v e̞
ене	æ n e̞
ете	æ t e̞
ж	ʒ
Ж	ʒ
з	z
З	z
ѕ	d͡z
Ѕ	d͡z
и	i
И	i
ј	j
Ј	j
к	k
К	k
кајма	k ɐ j m ɐ
кнка	k ŋ̩ k ɐ
којма	k ɒ j m ɐ
којма	k o̞ j m ɐ
којшо	k o̞ j ʃ o̞
л	ɫ
л	l
Л	ɫ
Л	l
љ	ʎ ~ lʲ
Љ	ʎ ~ lʲ
м	m
М	m
н	n
Н	n
некој	n æ k o̞ j
нигер	n i ɡ ɛ r
њ	ɲ
Њ	ɲ
о	ɔ
О	o
ова	ɒ v ɐ
она	ɒ n ɐ
п	p
П	p
р	r
Р	r
с	s
С	s
секој	s æ k o̞ j
сери	s æ r i
т	t
Т	t
то	t ɒ
тро	t r ɒ
Ќ	c
ќ	c
у	u
У	u
ф	f
Ф	f
х	x
Х	x
ц	t͡s
Ц	t͡s
ч	t͡ʃ
Ч	t͡ʃ
џ	d͡ʒ
Џ	d͡ʒ
ш	ʃ
Ш	ʃ
шојма	ʂ ɒ j m ɐ
шојма	ʃ o̞ j m ɐ
ḱ	c ⁓ c͡ç
