آني	ʔ aː n i
اثنعش	ɪ θˤ n a ʕ ɪ ʃ
احنا	i ħ n a
استيرن	ʔ i s t e r i n
باع	b aː ʕ
بالغ	b aː l a ʁ
باوع	b aː w a ʕ
بايسكل	b a ɪ s i k i l
باچر	b ɑː t͡ʃ i r
برنو	b æ r n a w
بس	b a sː
بنزينخانة	b a n z iː n x aː n a
بنكة	b a ŋ k ɛ
بنكة	p a ŋ k ɛ
بودي	b ɒ d i
بوي	b ɔ ɪ
بيتنجان	b ɛː t ɪ n d͡ʒ aː n
بچى	b i t͡ʃ a
بگ	b ɛ ɡ
تريلة	t r ɛː l ɛ
جوة	d͡ʒ a w w a
ح	ħ a
حچى	ħ i t͡ʃ a
خستخانة	x a s t a x aː n a
خلق	x u l u ɡ
خوش	χ oː ʃ
د	d a
د	d i
د	d ‿
دمار	d a m aː ɾ
راح	r aː ħ
راد	r aː d
رسم	r i s a m
زين	z i j e n
سافر	s aː f a r
سرة	s i r a
سرة	s i r aː w aː t
سپلت	s ɪ p l ɪ t
ش	ʃ
شاف	ʃ aː f
شال	ʃ aː l
شباك	ʃ u b b aː k
شباك	ʃ u b b aː t ʃ
شفقة	ʃ a f q a
شقة	ʃ a q a
شكو	ʃ ɜ k u
شلونك	ʃ l oː n a k
شنو	ʃ i n u
شوكت	ʃ w a k i t
شگد	ʃ ɡ e dː
شگد	ʒ ɡ e dː
صدگ	sˤ i d i ɡ
صدگ	sˤ u d u ɡ
صغير	z ɣ a j j i r
ظل	ðˤ a l l
عصر	ʕ a s i r
عصر	ʕ a s s a r
عصر	ʕ i s a r
عمالة	ʕ ɐ m m aː l ɛ
عمبة	ʕ a m b a
عير	ʕ eː ɾ
غسل	ʁ i s a l
قاع	ɡ aː ʕ
كافي	k aː f i
كتب	k i t a b
كتلي	k ɪ t l i
كلش	k u l l ɪ ʃ
كيبل	k ɛː b l
كية	k ɛ i i ɛ
لاحظ	l aː ħ a ðˤ
لما	l a m m a
ماطور	m ɑː tˤ ɔː r
مشى	m i ʃ a
منو	m i n u
منين	m n eː n
مو	m u
موطة	m ɔː tˤ e
نام	n aː m
ناچ	n aː t͡ʃ
هاجر	h aː d͡ʒ a r
هاي	h aː j
هاي	h aː j a
هسة	h a s s a
هلو	h a l a w
هنه	h i n n a
هيچ	h iː t͡ʃ
وصل	w i sˤ a l
وكت	w a k i t
وين	w eː n
وگع	w i ɡ a ʕ
وگف	w i ɡ a f
يم	j a m
پاية	p aː j ɛ
چادر	t͡ʃ ɑː d ɪ r
چان	t͡ʃ aː n
چاي	t͡ʃ aː j
چبير	t ʃ i b iː r
چذب	t͡ʃ i ð a b
چذب	t͡ʃ i ð i b
چرخ	t͡ʃ a r i x
چلب	t͡ʃ a l ɪ b
چول	t ʃ oː l
چيس	t͡ʃ iː s
کارت	k ɑː r t
گاع	ɡ ɑː ʕ
گال	ɡ aː l
گام	ɡ aː m
گد	ɡ a dː
