а̄ви	aː w i
а̄врах	aː w r a x
а̄врахыӈ	aː w r a x i ŋ
а̄врахыӈ	aː β r a x i ŋ
а̄ги	aː ɣ i
а̄лмуӈкве	aː l m u ŋ kʷ e
а̄мп	aː m p
а̄нах	aː n a x
а̄нах	aː n ə x
а̄ньт	aː ɲ t
а̄рсын	aː r s ə n
а̄т	aː t
а̄тя	aː c a
а̄хвтас	aː x w t a s
а̄хвтас	aː x β t a s
аква	a kʷ a
аквта	a kʷ t a
аквты	a kʷ t i
ань	a nʲ
ат	a t
ва̄лым	w aː l ə m
ва̄руӈкве	w aː r u ŋ kʷ e
ва̄туӈкве	w aː t u ŋ kʷ e
ва̄ӈкве	w aː ŋ kʷ e
ва̄ӈын	w aː ŋ ə n
вит	w i t
витыӈ	w i t i ŋ
витыӈ	β i t i ŋ
вить	w i c
во̄вта	w oː w t a
во̄й	w oː j
во̄раяӈкве	w oː r a j a ŋ kʷ e
во̄т	w oː t
вӣльтъят	w iː lʲ t j a t
вӣльтъят	β iː lʲ t j a t
ис	i s
искола	i s k o l a
ка̄тпатта	k aː t p a tː a
каӈк	k a ŋ k
ква̄лыг	kʷ aː l ɪ ɣ
ке̄лп	k eː l p
ке̄р	k eː r
ке̄рлё̄х	k eː r lʲ oː x
кит	k i t
китыг	k i t ɪ ɣ
кол	k o l
консуӈкве	k o n s u ŋ kʷ e
коснэ	k o s n e
коснэ̄йив	k o s n eː j i w
коснэ̄йив	k o s n eː j i β
косуӈкве	k o c u ŋ kʷ e
кӯтюв	k uː tʲ u w
ла̄вуӈкве	l aː w u ŋ kʷ e
ла̄гыл	l aː ɣ ə l
ла̄панты	l aː p a n t i
ла̄пка	l aː p k a
ла̄тыӈ	l aː t ə ŋ
ле̄ккар	l eː kː a r
ловтуӈкве	l o w t u ŋ kʷ e
лотых	l o t ə x
лылтуӈкве	l i l t u ŋ kʷ e
лылы	l i l i
лэ̄г	l eː ɣ
лю̄ль	ʎ uː ʎ
лё̄ӈх	lʲ oː ŋ x
лӯима̄	l uː i m aː
лӯпта	l uː p t a
ма̄	m aː
ма̄йт	m aː j t
ма̄кол	m aː k o l
ма̄ныр	m aː n ə r
ма̄нь	m aː nʲ
ма̄ньси	m aː nʲ ɕ i
ма̄хар	m aː x a r
ма̄хум	m aː x u m
ма̄хум	m aː x ɞ̯ m
маньсь	m ɒ nʲ sʲ
миӈкве	m i ŋ kʷ e
мо̄лхо̄тал	m oː l x oː t a l
мо̄тхо̄тал	m oː t x oː t a l
мось	m o ɕ
мӯӈи	m uː ŋ i
на̄иӈ	n aː j i ŋ
на̄иӈтуйт	n aː j i ŋ t u j t
на̄й	n aː j
не̄лум	nʲ eː l ə m
не̄лум	nʲ eː l ɞ̯ m
нила	nʲ i l a
нупыл	n u p ə l
нэ̄	n eː
нэ̄глуӈкве	n eː ɣ l u ŋ kʷ e
нэ̄мхӯньт	n eː m x uː nʲ t
ня̄врам	ɲ aː w r a m
ня̄хсям	nʲ aː x ɕ a m
няс	nʲ a s
нё̄выль	nʲ oː w ə lʲ
нё̄выль	nʲ oː β ə lʲ
нё̄тнэ	ɲ oː t n e
нёл	nʲ o l
нёхыс	ɲ o x ə s
о̄йка	oː j k a
о̄лнэ	oː l n e
о̄луӈкве	oː l u ŋ kʷ e
о̄лэ̄н	oː l eː n
о̄лэн	oː l e n
о̄ниг	oː nʲ i ɣ
о̄тыр	oː t ə r
олх	oː ə x
онтолов	o n t ə l o w
ос	o s
оспа	o s p a
осыӈ	o c i ŋ
осься	o ɕː a
оюӈкве	o j u ŋ kʷ e
па̄рт	p aː r t
па̄сныл	p aː s n ə l
паль	p a lʲ
патуӈкве	p a t u ŋ kʷ e
паща	p a ɕ a
пиль	p i lʲ
питьми	p i tʲ m i
по̄люӈкве	p oː lʲ u ŋ kʷ e
по̄лям	p oː lʲ a m
пора	p o r a
порс	p o r s
посым	p o s i m
потыртаӈкве	p o t ə r t a ŋ kʷ e
пощуӈкве	p o ɕ u ŋ kʷ e
пувтуӈкве	p u w t u ŋ kʷ e
пувуӈкве	p u w u ŋ kʷ e
пун	p u n
пуруӈкве	p u r u ŋ kʷ e
пуссын	p u s s ə n
пуӈк	p u ŋ k
пыг	p i̯ː ɣ
пяля	p æ lʲ
пянг	p æ ŋ
пӓнк	p æ ŋ k
пӯльница	p uː lʲ nʲ i t͡s a
пӯмасьта̄л	p uː m a ɕ t aː l
пӯмасьта̄лнув	p uː m a ɕ t aː l n u β
ракв	r a kʷ
рума	r u m a
рӯпитаӈкве	r uː p i t a ŋ kʷ e
са̄всыр	c aː w s i r
са̄всыр	c aː β s i r
са̄гла	s aː ɣ l a
са̄грапнал	s aː ɣ r a p n a l
са̄нс	s aː n s
сальгуӈкве	s a lʲ ɣ u ŋ kʷ e
сасыг	s a s ɪ ɣ
сов	c o w
сов	c o β
солвал	s o l w a l
солвал	s o l β a l
сорум	s o r u m
сорум	s o r ɞ̯ m
сун	s u n
сунсуӈкве	s u n s u ŋ kʷ e
сурум	s u r u m
сурум	s u r ɞ̯ m
сылталаӈкве	s i l t a l a ŋ kʷ e
сым	s i m
сыпгуӈкве	s i p ɣ u ŋ kʷ e
сыс	s ə s
