'a	ʔ a
'ar	ʔ a ɾ
'ekatuaba	ʔ ɛ k a t u a β a
'y	ʔ ɨ
'ybaaîa	ʔ ɨ β a a j a
'ybakamusi	ʔ ɨ β a k ã m u s i
'ybapytanga	ʔ ɨ β a p ɨ t ã ŋ a
'ybotyra	ʔ ɨ β ɔ t ɨ ɾ a
'ybá	ʔ ɨ β a
a'e	a ʔ ɛ
a'yra	a ʔ ɨ ɾ a
aba	a β̞ a
abanhe'enga	a β a ɲ ɛ ʔ ɛ̃ᵑ ɡ a
abaré	a β a ɾ ɛ
abati	a β a t i
abá	a β̞ a
abé	a β̞ ɛ
agûarausá	a ɡ w a ɾ a u s a
akanga	a k ã ŋ a
akaîu	a k a j u
akaîu'aîuba	a k a j u ʔ a j u β a
akaîueté	a k a j u ɛ t ɛ
akub	a k u b
akuti	a k u t i
akyrara	a k ɨ ɾ a ɾ a
amana	ã m ã n a
amba'yba	ãᵐ b a ʔ ɨ β a
ambó	ãᵐ b ɔ
anama	ã n ã m a
andyrá	ãⁿ d ɨ ɾ a
angaturama	ã ŋ a t u ɾ ã m a
anhanga	ã ɲ ã ŋ a
anhangu'i	ã ɲ ã ŋ u ʔ i
any	a n ɨ
anũ	a n ũ
aoba	a ɔ β̞ a
apek	a p ɛ k
apekũ	a p ɛ k ũ
apere'a	a p ɛ ɾ ɛ ʔ a
apó	a p ɔ
apŷaba	a p ɣ̞ a β a
apŷaba	a p ɯ̯ a β a
ara	ʔ a ɾ a
arabé	a ɾ a β ɛ
arara	a ɾ a ɾ a
ararakanga	ʔ a ɾ a ɾ a k ãᵑ ɡ a ~ ʔ a ɾ a ɾ a k ã ŋ a
araruna	a ɾ a ɾ ũ n a
araruna	ʔ a ɾ a ɾ ũ n a
arasá	a ɾ a s a
aratiku	a ɾ a t i k u
atá	a t a
aîa	s a ʝ̞ a
aîa	t a ʝ̞ a
aîa	ʔ a ʝ̞ a
aîyra	a j ɨ ɾ a
aîó	ʔ a j ɔ
aîó	ʔ a ʝ ɔ
aûsub	a w s u β̞
baîaku	β a j a k u
e'õ	ɛ ʔ ɔ̃
ebira	ɛ β i ɾ a
endé	ɛⁿ d ɛ
endébe	ɛⁿ d ɛ β ɛ
era	ɛ ɾ a
esatinga	ɛ s a t ĩ ŋ a
esá	ɛ s a
esé	ɛ s ɛ
etymã	ɛ t ɨ̃ m ã
etá	ɛ t a
eté	ɛ t ɛ
exu'y	ɛ ʃ u ʔ ɨ
eîrara	ɛ j ɾ a ɾ a
eẽ	ɛ̃ ɛ̃
gûabiraba	ɡ w a β i ɾ a β a
gûanhumũ	ɡ w a ɲ u m ũ
gûaraîuba	ɣʷ a ɾ a j u β a
gûaraîuba	ɣʷ a ɾ a ʒ u β a
gûariba	ɣʷ a ɾ i β a
gûarinĩ	ɡʷ a ɾ i n ĩ
gûará	ɡʷ a ɾ a
gûasem	ɡ w a s ɛ̃ m
gûasunĩ	w a s ũ n ĩ
gûasunĩ	ɡʷ a s ũ n ĩ
gûaîá	ɡʷ a ʝ a ~ w a ʝ a
gûyrapunga	ɡʷ ɨ ɾ a p u ŋ a
gûyraîuba	ɣʷ ɨ ɾ a j u β a
gûyraîuba	ɣʷ ɨ ɾ a ʒ u β a
gûyrá	ɣʷ ɨ ɾ a
i	i
inĩ	i n ĩ
irũ	i r ũ
irũnamo	i ɾ ũ n a m o
itakysé	i t a k ɨ s ɛ
itaîuba	i t a j u β a
itá	i t a
ixé	i ʃ ɛ
ixébe	i ʃ ɛ β ɛ
ka'aeté	k a ʔ a e t ɛ
ka'aîara	k a ʔ a j a ɾ a
kabaru	k a β a ɾ u
kabará	k a β a ɾ a
kama	k ã m a
kamby	k ãᵐ b ɨ
kamusi	k ã m u s i
kandiru	k ãⁿ d i ɾ u
kanindé	k ã n iⁿ d ɛ
kapi'i	k a p i ʔ i
kapi'iûara	k a p i ʔ i w a ɾ a
karasy	k a ɾ a s ɨ
karaíba	k a r a i β a
karu	k a ɾ u
kaá	k a ʔ a
kaûã	k a w ã
kaûĩ	k a w ĩ
ku'a	k u ʔ a
kunhambeba	k u ɲ a m β ɛ β a
kunhataĩ	k ũ ɲ a t ã ĩ
kunhã	k ũ ɲ ã
kunhãmuku	k ũ ɲ ã m u k u
kurupira	k u ɾ u p i ɾ a
kururu	k u ɾ u ɾ u
kuîa	k u j a
kuîmbuka	k u jᵐ b u k a
kysé	k ɨ s ɛ
kûandu	kʷ ãⁿ d u
kûara	k w a ɾ a
kûarasy	kʷ a ɾ a s ɨ
kûati	kʷ a t i
kûatiara	k w a t i a ɾ a
kûatimundé	kʷ a t i m uⁿ d ɛ
ma'eakanga	m a ʔ ɛ a k ã ŋ ɡ a
marakanã	m a ɾ a k ã n ã
marakaîagûasu	m a ɾ a k a j a ɡ w a s u
marakaîá	m a ɾ a k a j a
marakaîá	m a ɾ a k a ʝ a
marigûi	m a ɾ i ɣʷ i
maíra	m a i ɾ a
mb	ᵐb
mba'e	ᵐb a ʔ ɛ
mba'ekugûaba	ᵐb a ʔ e k u ɡʷ a β a
mba'etatá	ᵐb a ʔ ɛ t a t a
mboîa	ᵐb ɔ j a
mboîa	ᵐb ɔ ʝ a
mby'a	ᵐb ɨ ʔ a
mbó	ᵐb ɔ
membyra	m ɛ̃ᵐ b ɨ ɾ a
meîrugûasu	m ɛ j ɾ u ɡ w a s u
mimby	m ĩᵐ b ɨ
mirĩ	m i ɾ ĩ
mo'ema	e m o ʔ e m a
moatã	m ɔ a t ã
moka'ẽ	m ɔ k a ʔ ɛ̃
mokyrana	m ɔ k ɨ ɾ ã n a
mokõî	m ɔ k ɔ̃ j
mokõîa	m ɔ k ɔ̃ j a
moroting	m o r o t ʃ i ŋ
moroupîarûera	m ɔ ɾ ɔ u p j a r w ɛ ɾ a
mosapyr	m ɔ s a p ɨ ɾ
mosapyra	m ɔ s a p ɨ ɾ a
motyra	m ɔ t ɨ ɾ a
mundé	m ũⁿ d ɛ
mó	m ɔ
nambi	n ãᵐ b i
nde	ⁿd ɛ
ne	n ɛ
nha'ẽ	ɲ a ʔ ɛ̃
nhan	ɲ a n
nhandu	ɲ ãⁿ d u
nhe'eng	ɲ ɛ ʔ ɛ̃ ŋ
nhe'enga	ɲ ɛ ʔ ɛ̃ ŋ a
nhe'enge'yma	ɲ ɛ ʔ ɛ̃ ŋ ɛ ʔ ɨ̃ m a
nhy'ã	ɲ ɨ ʔ ã
nhyã	ɲ ɨ̃ ʔ ã
o'o	ɔ ʔ ɔ
oba	ɔ β a
obaî	ɔ β a j
oby	ɔ β ɨ
obyeté	ɔ β ɨ ɛ t ɛ
obá	ɔ β a
oka	ɔ k a
okena	ɔ k ɛ̃ n a
opakombó	ɔ p a k ɔᵐ b ɔ
opá	ɔ p a
oré	ʔ ɔ ɾ ɛ
oîepé	ɔ j ɛ p ɛ
oîoirundyk	ɔ j ɔ i ɾ ũⁿ d ɨ k
oîoirundyka	ɔ j ɔ i ɾ ũⁿ d ɨ k a
pa'i	p a ʔ i
paka	p a k a
pakabyra	p a k a β ɨ r a
panama	p ã n ã m a
panema	p ã n ɛ̃ m a
paranã	p a ɾ ã n ã
paranãgûá	p a ɾ ã n ã ɣʷ a
paîé	p a j ɛ
pe	p ɛ
peba	p ɛ β̞ a
pee	p ɛ ɛ
pereba	p ɛ ɾ ɛ β̞ a
peró	p ɛ ɾ ɔ
pi'poka	p i p ɔ k a
pindoba	p ĩⁿ d ɔ β a
pindá	p ĩⁿ d a
pira	p i ɾ a
pirang	p i ɾ ã ŋ
piranga	p ĩ ɾ̃ ã ŋ a
piranga	p ĩ ɾ̃ ãᵑ ɡ a
pirapanema	p i ɾ a p ã n ɛ̃ m a
pirauruku	p i ɾ a u ɾ u k u
pirá	p i ɾ a
pirãîa	p i ɾ ã j a
pokaba	p ɔ k a β a
popytera	p ɔ p ɨ t ɛ ɾ a
poraké	p ɔ ɾ a k ɛ
porang	p ɔ ɾ ã ŋ
poranga	p ɔ ɾ ã ŋ a
potar	p ɔ t a ɾ
potyr	p ɔ t ɨ ɾ
potyra	p ɔ t ɨ ɾ a
potá	p ɔ t a
potĩ	p ɔ t ĩ
poxy	p ɔ ʃ ɨ
puku	p u k u
pupé	p u p ɛ
py	p ɨ
py'a	p ɨ ʔ a
pysapema	p ɨ s a p ɛ̃ m a
pysã	p ɨ s ã
pytang	p ɨ t ã ŋ
pytá	p ɨ t a
pyá	p ɨ ʔ a
pyá	ᵐb ɨ ʔ a
pá	p a
pé	p ɛ
pó	p ɔ
pûer	p w ɛ ɾ
pûã	p w ã
pûãgûasu	p w ã ɡ w a s u
resé	ɾ ɛ s ɛ
ro'y	ɾ ɔ ʔ ɨ
ro'ysanga	r o ʔ i s ã ŋ a
samambaîa	s ã m ãᵐ b a j a
sapatu	s a p a t u
sapé	s a p ɛ
sem	s ɛ̃ m
sesé	s ɛ s ɛ
seîxu	s ɛ j ʃ u
siri	s i ɾ i
siriapûã	s i ɾ i a p w ã
so'o	s ɔ ʔ ɔ
so'ogûasurãîgûera	s ɔ ʔ ɔ ɡ w a s u ɾ ã j ɡ w ɛ ɾ a
sumarã	s u m a ɾ ã
sununga	s ũ n ũ ŋ a
sununga	s ũ n ũᵑ ɡ a
supé	s u p ɛ
sy	s ɨ
sybá	s ɨ β a
sye'yma	s ɨ ɛ ʔ ɨ̃ m a
sygûasumẽ	s ɨ ɣʷ a s u m ɛ̃
syk	s ɨ k
syka	s ɨ k a
syry	s ɨ ɾ ɨ
só	s ɔ
sûasu	s w a s u
taba	t a β a
tabeté	t a β ɛ t ɛ
tagûaíba	t a w a i β a
tamandûá	t a m ãⁿ d w a
tanimbuka	t a n ĩ m b u k a
tapi'ira	t a p i ʔ i ɾ a
tapi'irapé	t a p i ʔ i ɾ a p ɛ
tare'ira	t a ɾ ɛ ʔ i ɾ a
tataûrana	t a t a w ɾ ã n a
taîyby	t a j ɨ β ɨ
te'õ	t ɛ ʔ ɔ̃
tebira	t ɛ β i ɾ a
tebiresá	t ɛ β i ɾ ɛ s a
tesá	t ɛ s a
teté	t ɛ t ɛ
tinga	t ĩ ŋ a
to'o	t ɔ ʔ ɔ
tuindara	t u ĩⁿ d a r a
tukana	t u k ã n a
tukanusu	t u k ã n u s u
tupi	t u p i
tupã	t u p ã
tupãberaba	t u p ã β ɛ ɾ a β a
tupãoka	t u p ã ɔ k a
ty	t ɨ
u'i	u ʔ i
uba	u β a
ugûy	u ɡ w ɨ
un	ũ n
una	ũ n a
upixûara	u p i x w a ɾ a
urubu	u ɾ u β u
urubu	ʔ u ɾ u β̞ u
urubutinga	ʔ u ɾ u β̞ u t ĩ ŋ a
urubutinga	ʔ u ɾ u β̞ u t ĩᵑ ɡ a
urubutĩgûaba	ʔ u ɾ u β̞ u t ĩ w a β̞ a
urubutĩgûaba	ʔ u ɾ u β̞ u t ĩ ɣʷ a β̞ a
uruku	u ɾ u k u
usá	u s a
xe	ʃ ɛ
xepoxepy	ʃ ɛ p ɔ ʃ ɛ p ɨ
y	ɨ
yba	ʔ ɨ β̞̞ a
ybaka	ɨ β̞ a k a
ybatinga	ɨ β a t ĩ ŋ a
ybaté	ɨ β a t ɛ
yby	ɨ β ɨ
ybyku'i	ɨ β ɨ k u ʔ i
ybyrá	ɨ β ɨ ɾ a
ybytinga	ɨ β ɨ t ĩ ŋ a
ybytu	ʔ ɨ β ɨ t u
ybá	ʔ ɨ β a
ygara	ɨ ɣ̞ a ɾ a
ygarusu	ɨ ɣ a ɾ u s u
ygûasu	ʔ ɨ ɣʷ a s u
yperu	ɨ p ɛ ɾ u
ypy	ɨ p ɨ
ãia	ã ɲ a
ãnha	ã ɲ a
ãî	ã j
ãîa	ã j a
îaboti	ʝ̞ a β̞ ɔ t i
îagûara	j a ɡ w a ɾ a
îagûareté	j a ɣʷ a ɾ ɛ t ɛ
îagûareté	ʒ a ɣʷ a ɾ ɛ t ɛ
îakaré	ʝ a k a ɾ ɛ
îandé	j ãⁿ d ɛ
îandé	ʝ ãⁿ d ɛ
îararaka	j a r a r a k a
îararaka	ʒ a r a r a k a
îasy	j a s ɨ
îasytatagûasu	j a s ɨ t a t a ɣʷ a s u
îasytatá	j a s ɨ t a t a
îepotar	j ɛ p ɔ t a ɾ
îesu	j ɛ s u
îub	j u β̞
îuká	j u k a
îuká	ʝ u k a
îuru	j u ɾ u ~ ʝ u ɾ u
îurupari	j u ɾ u p a ɾ i
îy	j ɨ
îyboîa	j ɨ β ɔ j a
îybá	j ɨ β a
îykûara	j ɨ k w a ɾ a
ʼy	ʔ ɨ
