㒒	p ɔ k̚ ⁴
㔂	l a n ² ³
㔊草	tʰ u ã ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ a u ⁴ ¹
㗆	k i ʔ ⁴
㗆	k i ⁴ ⁴
㜅	tʰ i ɪ k̚ ³ ²
㤉潲	ɡ e ² ³ ⁻ ³ ³ s i a u ² ³
㤉神	ɡ e ² ³ ⁻ ³ ³ s i n ² ³
㧌	m ã u ⁴ ⁴
㧒	h i ɛ t̚ ³ ²
㧒捔	h i ɛ t̚ ³ ² ⁻ ⁴ k a k̚ ⁴
㧣	t u ⁴ ⁴
㧾	h u t̚ ³ ²
㨂	t a ŋ ² ¹
㴘	b a u ² ¹
㴘	b a u ³ ³
㴙㴙落	t͡s a p̚ ⁴ ⁻ ³ ² t͡s a p̚ ⁴ ⁻ ³ ² l ɤ ʔ ⁴
㵶	t͡s u a t̚ ³ ²
㵶	t͡s u a ʔ ³ ²
㷮	t͡s a u ⁴ ⁴
㼜	i ũ ⁴ ¹
㼜仔	i ũ ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
㾀	kʰ i a p̚ ³ ²
㾀勢	kʰ i a p̚ ³ ² ⁻ ⁴ s i ² ¹
㾀勢命	kʰ i a p̚ ³ ² ⁻ ⁴ s i ² ¹ ⁻ ⁴ ¹ m i ã ³ ³
㾪	s a n ⁴ ¹
㾪卑巴	s a n ⁴ ¹ ⁻ ⁴ ⁴ p i ⁴ ⁴ ⁻ ³ ³ p a ⁴ ⁴
㾪抽	s a n ⁴ ¹ ⁻ ⁴ ⁴ tʰ i u ⁴ ⁴
㾪猴	s a n ⁴ ¹ ⁻ ⁴ ⁴ k a u ² ³
㾪瘼瘼	s a n ⁴ ¹ ⁻ ⁴ ⁴ m ɔ̃ ³ ² ⁻ ⁴ ¹ m ɔ̃ ʔ ³ ²
㾪瘼瘼	s a n ⁴ ¹ ⁻ ⁴ ⁴ m ɔ̃ ʔ ³ ² ⁻ ⁴ ¹ m ɔ̃ ʔ ³ ²
㾪細	s a n ⁴ ¹ ⁻ ⁴ ⁴ s u e ² ¹
䀁	h u i ² ³
䀐	s i a m ⁴ ⁴
䀫	kʰ e ʔ ³ ²
䆀	b a i ⁴ ¹
䆀喙斗	pʰ ã i ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ u i ² ¹ ⁻ ⁴ ¹ t a u ⁴ ¹
䆀手	b a i ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ⁴ ¹
䆀手仔	b a i ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
䆀手爿	b a i ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ⁴ ¹ ⁻ ⁴ ⁴ p i ɪ ŋ ² ³
䆀指	b a i ⁴ ¹ ⁻ ⁴ ⁴ t͡s ã i ⁴ ¹
䆀材	b a i ⁴ ¹ ⁻ ⁴ ⁴ t͡s a i ² ³
䆀猴	b a i ⁴ ¹ ⁻ ⁴ ⁴ k a u ² ³
䋎	tʰ ĩ ³ ³
䋎衫	tʰ ĩ ³ ³ ⁻ ² ¹ s ã ⁴ ⁴
䑩	k ɔ ⁴ ⁴
