't	t
A	aː
aacht	aː χ t
Aachtel	aː χ t e l
Aadler	aː d l ɐ
Aalbes	aː l b e s
Aangel	aː ŋ e l
Aarbecht	aː r b e χ t
Aarbechter	aː r b e χ t e r
Aarbechterfamill	aː r b e χ t e r f ɑ m i l
Aarbechterin	aː r b e χ t e r i n
Aarbechterklass	aː r b e χ t e r k l ɑ s
Aarbechtsaccident	aː r b e χ t s ɑ k s i d æ n t
Aarbechtsalldag	aː r b e χ t s ɑ l d aː χ
Aarbechtsbedéngungen	aː r b e χ t s b ə d e ŋ u ŋ ə n
Aarbechtsblat	aː r b e χ t s b l aː t
Aarbechtsdag	aː r b e χ t s d aː χ
Aarbechtsdokter	aː r b e χ t s d o k t ɐ
Aarbechtsdoktesch	aː r b e χ t s d o k t ə ʃ
Aarbechtserlabnes	aː r b e χ t s e r l aː b n e s
aarbechtslos	aː r b e χ t s l oː s
Aarm	aː r m
aarm	aː r m
Aarmut	aː ʀ m u t
Aarmut	aː m u t
Aart	aː r t
aartlech	aː r t l e χ
Aasch	aː ʃ
Aaschbak	aː ʃ b aː k
Aascht	aː ʃ t
Aaxt	aː k s t
Aaxten	aː k s t ə n
Aband	aː b ɑ n t
abiméiert	ɑ b i m ɜ ɪ̯ ɐ t
ablécklech	ɑ p l e k l e χ
abonéieren	ɑ b o n ɜ ɪ̯ ə ʀ ə n
absichtlech	ɑ p z i χ t l e χ
abstrakt	ɑ p s t ʀ ɑ k t
absurd	ɑ p z u ʀ t
Absurditéit	ɑ p z u ʀ d i t ə ɪ̯ t
Abt	ɑ p t
Abänn	aː b æ n
adeleg	aː d e l e χ
Adler	aː d l e r
Aen	aː e n
Af	aː f
afen	aː f e n
Afennoss	aː f e n n o s
agreabel	ɑ ɡ ʁ e aː b ə l
agresséieren	ɑ ɡ ʀ æ s ɜ ɪ̯ ə ʀ ə n
Agäng	aː ɡ æ n ɡ
ahnen	aː n e n
Ahorn	ʔ aː h ɔ ʁ n
akadeemesch	ɑ k ɑ d eː m ə ʃ
Aker	aː k e ʀ
akribesch	ɑ k r iː b e ʃ
aktivéieren	ɑ k t i v ɜ ɪ̯ ə ʀ ə n
al	aː l
alertéieren	ɑ l æ ʀ t ɜ ɪ̯ ə ʀ ə n
Alg	ɑ l k
alignéieren	ɑ l i n j ɜ ɪ̯ ə ʀ ə n
allefalls	ɑ l ə f ɑ l s
allenenn	ɑ l ə n æ n
allerdéngs	ɑ l ɐ d e ŋ s
allmächteg	ɑ l m æ ɕ t e ɕ
Alphabet	ɑ l f ɑ b eː t
Alstad	aː l ʃ t aː t
Alzem	a l t s e m
Ambulanz	ɑ m b u l ɑ n t͡s
Ament	a m æ n t
amplaz	a m p l aː t s
an	a n
Ananas	a n a n a s
anchecken	a n t ʃ æ k e n
Anchois	ã ʃ v aː
andecken	a n d æ k e n
andeelen	a n d eː l e n
Andeelung	a n d eː l u ŋ
andeems	a n d eː m s
andreiwen	a n d ʀ a i̯ v e n
androen	a n d ʀ o e n
aner	aː n e ʀ
anescht	aː n e ʃ t
Angscht	a ŋ ʃ t
Animatioun	a n i m a t s j e u̯ n
Animatioun	a n i m a s j e u̯ n
Antigel	a n t i ʒ æ l
Antigel	a n t i ʒ æ l
apaart	a p aː ʀ t
apaart	a p aː t
Apdikt	a p d i k t
Apel	aː p e l
Apelbatz	aː p e l b a t s
Aper	aː p e ʀ
Aperhoer	aː p e ʀ h o e ʀ
aplaz	a p l aː t s
Apostroph	a p o s t ʀ o f
Appell	a p æ l
Aprikos	a p ʀ i k oː s
Ar	aː ʀ
Arithmetik	a ʀ i t m eː t i k
Arroganz	a ʀ o ɡ a n s
Arterie	ɑ ʀ t eː ʀ i ə
aschléissen	a ʃ l e i̯ s e n
aschätzen	a ʃ æ t s e n
asetzen	a z æ t s e n
Ass	ɑ s
