Є	j ɛ
Єва	j ɛ ʋ ɐ
Євангеліє	j e ʋ a n ɦ e lʲ i j e
Євген	j e u̯ ɦ ɛ n
Євгененко	j e u̯ ɦ e n ɛ n k ɔ
Євгенович	j e u̯ ɦ ɛ n ɔ ʋ e t͡ʃ
Євгеній	j e u̯ ɦ ɛ nʲ i i̯
Євгенія	j e u̯ ɦ ɛ nʲ i j ɐ
Євдокія	j e u̯ d o kʲ i j ɐ
Євпаторія	j e u̯ p ɐ t ɔ rʲ i j ɐ
Євразія	j e u̯ r a zʲ i j ɐ
Євробачення	j e u̯ r ɔ b a t͡ʃ e nʲː ɐ
Євромайдан	j e u̯ r ɔ m ɐ i̯ d a n
Європа	j e u̯ r ɔ p ɐ
Європи	j e u̯ r ɔ p e
Європо	j e u̯ r ɔ p ɔ
Європою	j e u̯ r ɔ p ɔ j ʊ
Європу	j e u̯ r ɔ p ʊ
Європі	j e u̯ r ɔ pʲ i
Євросоюз	j e u̯ r ɔ s ɔ j u z
Єгипет	j e ɦ ɪ p e t
Єгор	j e ɦ ɔ r
Єгорович	j e ɦ ɔ r ɔ ʋ e t͡ʃ
Єгорів	j e ɦ ɔ rʲ i u̯
Єзуч	j ɛ z ʊ t͡ʃ
Єлизавета	j e ɫ e z ɐ ʋ ɛ t ɐ
Єлисаветград	j e ɫ e s ɐ ʋ e d ɦ r a d
Єлисей	j e ɫ e s ɛ i̯
Єллоунайф	j e ɫː ɔ ʊ n a i̯ f
Єльський	j ɛ lʲ sʲ k e i̯
Ємен	j ɛ m e n
Єнакієве	j e n a kʲ i j e ʋ e
Єреван	j e r e ʋ a n
Єременко	j e r ɛ m e n k ɔ
Єрмак	j e r m a k
Єрусалим	j e r ʊ s ɐ ɫ ɪ m
Єфименко	j e f ɪ m e n k ɔ
Єґипет	j e ɡ ɪ p e t
ІПСО	i p s ɔ
ІПсО	i p s ɔ
Іван	i ʋ a n
Іваненко	i ʋ ɐ n ɛ n k ɔ
Іванко	i ʋ a n k ɔ
Іванків	i ʋ a nʲ kʲ i u̯
Іванна	i ʋ a nː ɐ
Іванов	i ʋ ɐ n ɔ u̯
Іванова	i ʋ ɐ n ɔ ʋ ɐ
Іванови	i ʋ ɐ n ɔ ʋ e
Іванович	i ʋ a n ɔ ʋ e t͡ʃ
Іванів	i ʋ a nʲ i u̯
Іванівна	i ʋ a nʲ i u̯ n ɐ
Івасик	i ʋ a s e k
Івасюк	i ʋ ɐ sʲ u k
Ігор	i ɦ ɔ r
Ігоревич	i ɦ ɔ r e ʋ e t͡ʃ
Ігоренко	i ɦ ɔ r ɛ n k ɔ
Ігорьович	i ɦ ɔ rʲ ɔ ʋ e t͡ʃ
Ізмаїл	i z m ɐ j i ɫ
Ізмаїлщина	i z m ɐ j i ɫ ʃ t͡ʃ e n ɐ
Ізмір	i zʲ mʲ i r
Ізраїль	i z r a j i lʲ
Ізюм	i zʲ u m
Ізяслав	i zʲ a s ɫ ɐ u̯
Ікалуїт	i k ɐ ɫ u j i t
Іларіон	i ɫ ɐ rʲ i ɔ n
Ілля	i lʲː a
Ілліной	i lʲː i n ɔ i̯
Іллінойс	i lʲː i n ɔ i̯ s
Іллінці	i lʲː i nʲ t͡sʲ i
Іллірія	i lʲː i rʲ i j ɐ
Ілліч	i lʲː i t͡ʃ
Іловайськ	i ɫ ɔ ʋ a i̯ sʲ k
Ілона	i ɫ ɔ n ɐ
Ілонин	i ɫ ɔ n e n
Ілько	i lʲ k ɔ
Індонезія	i n d ɔ n ɛ zʲ i j ɐ
Індіана	i nʲ dʲ i a n ɐ
Індія	i nʲ dʲ i j ɐ
Інкерман	i n k e r m a n
Інна	i nː ɐ
Інні	i nʲː i
Інстаграм	i n s t ɐ ɦ r a m
Інтернет	i n t e r n ɛ t
Ірак	i r a k
Іран	i r a n
Ірин	i r e n
Ірин	i r ɪ n
Ірина	i r ɪ n ɐ
Іринин	i r ɪ n e n
Ірландія	i r ɫ a nʲ dʲ i j ɐ
Ірміно	i r mʲ i n ɔ
Ірод	i r ɔ d
Ірпінь	i r pʲ i nʲ
Іршава	i r ʃ a ʋ ɐ
Ісламабад	i s ɫ ɐ m ɐ b a d
Ісландія	i s ɫ a nʲ dʲ i j ɐ
Іспанію	i s p a nʲ i j ʊ
Іспанія	i s p a nʲ i j ɐ
Іспаніє	i s p a nʲ i j e
Іспанією	i s p a nʲ i j e j ʊ
Іспанії	i s p a nʲ i j i
Ісус	i s u s
Італія	i t a lʲ i j ɐ
Італії	i t a lʲ i j i
Ічкерія	i t͡ʃ k ɛ rʲ i j ɐ
Ічня	i t͡ʃ nʲ ɐ
Іщенко	i ʃ t͡ʃ e n k ɔ
Їглава	j i ɦ ɫ ɐ ʋ ɐ
Їжакевич	j i ʒ ɐ k ɛ ʋ e t͡ʃ
А	a
АЕС	ɐ ɛ s
АТО	ɐ t ɔ
Ааре	a ɐ r e
Аарон	ɐ a r ɔ n
