Aada	ɑː d̥ ɑ
Aadam	ɑː d̥ ɑ m
Aafrika	ɑˑ f r i kˑ ɑ
Aaron	ɑː r o n
Aasia	ɑː sʲ i ɑ̯
Albaania	ɑ l b̥ ɑː nʲ i ɑ̯
Albert	ɑ l b̥ e r tˑ
Aleksandra	ɑ l e k s ɑ n d̥ r ɑ
Alina	ɑ lʲ i n ɑ
Alžiir	ɑ l ʒ iː r
Ameerika	ɑ m eˑ r i kˑ ɑ
Andorra	ɑ n d̥ o rˑ ɑ
Andreas	ɑ n d̥ r e ɑ̯ s
Angela	ɑ ŋ ɡ̊ e l ɑ
Angelika	ɑ n ɡ̊ eː lʲ i kˑ ɑ
Antarktis	ɑ n t ɑ r kˑ tʲ i s
Armeenia	ɑ r m eː nʲ i ɑ̯
Aruküla	ɑ r u kˑ y l ɑ
Aserbaidžaan	ɑ s e r b̥ ɑ i̯ d̥ ʒ ɑː n
Ateena	ɑ t eˑ n ɑ
Austria	ɑ u̯ s t r i ɑ̯
B	b̥
B	b̥ eː
Belfast	b̥ e l f ɑː s t
Belgia	b̥ e lʲ ɡ̊ i ɑ̯
Belgrad	b̥ e l ɡ̊ r ɑ d̥
Berliin	b̥ e r lʲ iː n
Bosnia	b̥ o s nʲ i ɑ̯
Brüssel	b̥ r y sː e l
Budapest	b̥ u d̥ ɑ pˑ e s t
Bukarest	b̥ u kˑ ɑ r e s t
Bulgaaria	b̥ u l ɡ̊ ɑː r i ɑ̯
C	kˑ
C	s
C	t s
C	t s eː
Eeden	eː d̥ e n
Eesti	eˑ s tʲ i
Eestimaa	eˑ s tʲ i m ɑː
Elevandiluurannik	e l e v ɑ nʲ d̥ʲ i l uː r ɑ nˑ i kˑ
Elina	e lʲ i n ɑ
Emajõgi	e m ɑ̈ j ɤ ɡ̊ i
Emil	e m i l
Esko	e s k o
Euroopa	e u̯ r oː pː ɑ
Georgia	d̥ ʒ oː r d̥ ʒ i ɑ̯
Georgia	ɡ̊ e o r ɡ̊ i ɑ̯
Gruusia	ɡ̊ r uː sʲ i ɑ̯
Hanna	h ɑ nː ɑ
Helen	h e l e n
Helsingi	h e l sʲ i ŋ ɡ̊ i
Hendrik	h e n d̥ r i kˑ
Hertsegoviina	h e r t s e ɡ̊ o v iˑ n ɑ
Hess	h e sː
Hispaania	h i s p ɑː nʲ i ɑ̯
Horvaatia	h o r v ɑː tʲ i ɑ̯
Hypnos	h y p n o s
Island	i s l ɑ n d̥
Johannes	j o ɦ ɑ nː e s
Jõgeva	j ɤ ɡ̊ e v ɑ
Kairo	k ɑ i̯ r o
Kalevipoeg	k ɑ l e v i p o e̯ ɡ̊
Kiribati	k i r i b̥ ɑˑ tʲ i
Koolmajärve	k oː l m ɑ j æ r v e̞
Koolmajärve	k uː l m ɑ j æ r v e̞
Lahe	l ɑ ɦ e̞
Laura	l ɑ u̯ r ɑ
Libeeria	lʲ i b̥ eː r i ɑ̯
Luxembourg	l y ɡ̊ z ɑ n b̥ uː r
Maali	m ɑˑ lʲ i
Malmö	m ɑ l m ø
Malta	m ɑ l t ɑ
Martin	m ɑ r tʲ i n
Mati	m ɑ tʲˑ i
Melikjan	m e lʲ i k j ɑ̈ n
Mooses	m oː s e s
Naissaar	n ɑ i̯ s s ɑː r
Napoli	n ɑː pː o lʲ i
Noor	n oː r
Olga	o lʲ ɡ̊ ɑ
Ots	o t s
Paavo	p ɑː v o
Panama	p ɑ n ɑ m ɑ
Pluuto	p l uː tː o
Praha	p r ɑ ɦ ɑ
Raudsepp	r ɑ u̯ d̥ s e pː
Rootsi	r oˑ t sʲ i
Rüütli	r yː t lʲ i
