@	a̠ t̚ t o̞
纏わり付く	m a̠ t͡s ɨ β̞ a̠ ɾʲ i t͡s ɨ k ɯ̟
π/	p a̠ i s ɨ ɾ a̠ ɕː ɨ
○×	m a̠ ɾ ɯ̟ b a̠ t͡s ɨ
あ	a̠
ア	a̠
亜	a̠
唖	a̠
阿	a̠
あ゙	ʔ a̠
er	a̠ː
ああ	a̠ː
あー	a̠ː
あーあ	a̠ ꜔ a̠ ˩ a̠ ˩˥
ああいう	a̠ː j ɯ̟ː
アーカイヴ	a̠ː k a̠ i b ɯ̟
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーカンソー州	a̠ː k ã̠ ɰ̃ s o̞ː ɕ ɨː
アーキビスト	a̠ː kʲ i bʲ i s ɨ t o̞
アーク	a̠ː k ɯ̟
アークコタンジェント	a̠ː k ɯ̟ k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アークサイン	a̠ː k ɯ̟ s a̠ ĩ ɴ
アークタンジェント	a̠ː k ɯ̟ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
アーグラ	a̠ː ɡ ɯ̟ ɾ a̠
アーク炉	a̠ː k ɯ̟ ɾ o̞
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アー写	a̠ː ɕ a̠
アース	a̠ː s ɨ
アースガルズ	a̠ː s ɨ ɡ a̠ ɾ ɯ̟ z ɨ
アースガルド	a̠ː s ɨ ɡ a̠ ɾ ɯ̟ d o̞
アーチ	a̠ː t͡ɕ i
アーチェリー	a̠ː t͡ɕ e̞ ɾʲ iː
アーチスト	a̠ː t͡ɕ i̥ s ɨ t o̞
アーティキュレーション	a̠ː tʲ i kʲ ɨ ɾ e̞ː ɕ õ̞ ɴ
アーティスト	a̠ː tʲ i s ɨ t o̞
アーティストインレジデンス	a̠ː tʲ i s ɨ t o̞ ĩ n̺ ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟
アーティファクト	a̠ː tʲ i ɸ a̠ k ɯ̟ t o̞
アート	a̠ː t o̞
アードウルフ	a̠ː d o̞ ɯ̟ ɾ ɯ̟ ɸ ɯ̟
あーね	a̠ː n e̞
アーノルド	a̠ː n o̞ ɾ ɯ̟ d o̞
アーバーダーン	a̠ː b a̠ː d ã̠ː ɴ
アーフェンピンシャー	a̠ː ɸ ẽ̞ m pʲ ĩ ɰ̃ ɕ a̠ː
アーベル群	a̠ː b e̞ ɾ ɯ̟ ɡ ɯ̟̃ ɴ
アーヘン	a̠ː h ẽ̞ ɴ
アーム	a̠ː m ɯ̟
アームストロング	a̠ː m ɯ̟ s ɨ t o̞ ɾ õ̞ ŋ ɡ ɯ̟
アームチェア	a̠ː m ɯ̟ t͡ɕ e̞ a̠
アーメン	a̠ː m ẽ̞ ɴ
アーモンド	a̠ː m õ̞ n d o̞
アーヤ	a̠ː j a̠
アーユルヴェーダ	a̠ː j ɯ̟ ɾ ɯ̟ b e̞ː d a̠
アール	a̠ː ɾ ɯ̟
RNA	a̠ː ɾ ɯ̟ e̞ n ɯ̟ e̞ː
