'ya	j̰ áː
'yar	j̰ ɛ́ r
a'ishatu	ʔ áː ʔ ɪ̀ ʃ ə́ t ɪ̀
abacada	ʔ àː b àː t͡ʃ àː d âː
abada	ʔ à b ə̀ d âː
abarba	ʔ à b à ɽ b áː
abdu	ʔ á b d ɪ̀
abdulhamid	ʔ à b d ɪ̀ l h à m ɪ̂ d
abdullahi	ʔ à b d ɪ̀ l l áː h ɪ̀
abdulƙadir	ʔ à b d ɪ̀ l kʼ áː d ɪ̀ r
abdurrahim	ʔ á b d ɪ́ ɽ r ə́ h ɪ́ ŋ
abdussalamu	ʔ à b d ɪ̀ s s ə̀ l áː m ʊ̀
abjadi	ʔ á b d͡ʒ ə̀ d íː
aboki	ʔ à b óː c íː
abu	ʔ à b ʊ̀
abu	ʔ á b ʊ́
abubakar	ʔ à b úː b ə́ k à r
acca	ã t͡ʃ t͡ʃ ə́
acca	ʔ á t t͡ʃ àː
adabi	ʔ á d ə̀ b íː
adabo	ʔ á d àː b óː
adadi	ʔ á d ə̀ d íː
adam	ʔ á d à ŋ
adamu	ʔ àː d ə̀ m ʊ́
adawa	ʔ à d áː w àː
addaba	ʔ à d d ə́ b àː
addini	ʔ à d d íː n ìː
addu'a	ʔ à d d ɪ́ ʔ àː
adire	ʔ à d ɪ̀ r é
adu	ʔ á d ɪ́
aduwa	ʔ á d ʊ́ w àː
afirka	ʔ á ɸ ɪ́ r k ə̀
afrilu	ʔ à ɸ r íː l ɪ̀
agade	ʔ à ɡ ə̀ d è
agogo	ʔ à ɡʷ óː ɡʷ ó
agola	ʔ á ɡʷ òː l ə̀
agushi	ʔ à ɡʷ ʊ́ ʃ íː
agusta	ʔ à ɡʷ ʊ́ s t àː
agwado	ʔ à ɡʷ àː d óː
agwagwa	ʔ à ɡʷ àː ɡʷ áː
ahmad	ʔ áː m à d
aibi	ʔ á i b ɪ̀
aibu	ʔ á i b ʊ̀
aidin	ʔ à i d ɪ̂ ŋ
aiki	ʔ à i c ɪ́
aiki	ʔ á i c ìː
ailan	ʔ á i l à ŋ
ainun	ʔ á i n ɪ̀ ŋ
ajali	ʔ á d͡ʒ ə̀ l íː
ajami	ʔ à d͡ʒ ə̀ m ɪ́
ajuza	ʔ à d͡ʒ úː z àː
akala	ʔ á k àː l ə̀
akara	ʔ à k ə̀ ɽ ə̀
akasidan	ʔ á k ə́ s ɪ̀ d â ŋ
akawal	ʔ á k ə́ w à l
akawali	ʔ á k ə́ w ə̀ l íː
akawu	ʔ à k àː w ʊ́
akure	ʔ à kʷ ʊ́ ɽ é
akushi	ʔ á kʷ ʊ̀ ʃ íː
akuya	ʔ à kʷ í j àː
akwasa	ʔ á kʷ ə́ s áː
akwati	ʔ à kʷ àː t ɪ̀
al'ada	ʔ à l ʔ áː d àː
al'ajabi	ʔ à l ʔ á d͡ʒ ə̀ b íː
al'amari	ʔ à l ʔ á m ə̀ r íː
al'aura	ʔ à l ʔ á u r àː
al'umma	ʔ à l ʔ ʊ́ m m àː
alabe	ʔ à l ə́ b èː
alabo	ʔ à l ə̀ b óː
alade	ʔ à l ə́ d èː
alama	ʔ à l áː m àː
alaramma	ʔ á l ə̀ r á m m ə̀
alatu	ʔ áː l áː t ɪ̀
alawa	ʔ à l áː w àː
albaras	ʔ à l b ə́ r à s
albarka	ʔ à l b á r k àː
albarushi	ʔ à l b ə̀ r úː ʃ ìː
albasa	ʔ à l b ə́ s àː
albashi	ʔ à l b âː ʃ íː
albishir	ʔ à l b ɪ́ ʃ ɪ̀ r
alfadari	ʔ à l ɸ ə́ d ə́ r íː
alfahari	ʔ à l ɸ ə́ h à r íː
alfijir	ʔ à l ɸ ɪ́ d͡ʒ ɪ̀ r
algaita	ʔ à l ɡ é i t àː
algashi	ʔ á l ɡ ə̀ ʃ íː
alhaji	ʔ à l h á d͡ʒ íː
alhaki	ʔ à l h á c íː
alhali	ʔ à l h áː l íː
alhamdulillahi	ʔ à l h á m d ɪ̀ l ɪ̀ l l áː h ɪ̀
alhamis	ʔ à l h à m ɪ̂ s
alhanzir	ʔ à l h à n z ɪ̂ r
alheri	ʔ à l h éː r ìː
alhudahuda	ʔ à l h ʊ́ d ə̀ h ʊ́ d ə̀
ali	ʔ à l ɪ́
alif	ʔ á l ɪ̀ ɸ
aljabara	ʔ à l d͡ʒ ə́ b ə́ r àː
aljan	ʔ à l d͡ʒ á ŋ
aljani	ʔ à l d͡ʒ ə́ n íː
aljanna	ʔ à l d͡ʒ á n n àː
alkadari	ʔ à l k ə́ d ə̀ r íː
alkali	ʔ à l k áː l íː
alkama	ʔ à l k ə́ m àː
