Ёма	j o̞ m ä
Армения	ä r m e ɲ i j ä
Вежайка	ʋ e ʒ̺ ä j k ä
Грузия	ɡ r u ʑ i j ä
Гулень	ɡ u ʎ e ɲ
Дания	d ä ɲ i j ä
Ен	j e n
Изьва	i ʑ ʋ ä
Куба	k u b ä
Литва	ʎ i t ʋ ä
Омӧль	o̞ m ɘ ʎ
Паляйка	p ä ʎ ä j k ä
Парма	p ä r m ä
Печора	p e t͡ɕ o̞ r ä
Россия	r o̞ ɕ i j ä
Рочму	r o̞ t͡ɕ m u
Сыктыв	s ɯ̈ k t ɯ̈ ʋ
Сыктывкар	s ɯ̈ k t ɯ̈ ʋ k ä r
Ті	t i
Финляндия	f i n ʎ ä n ɟ i j ä
Швеция	ʃ̺ ʋ e t͡s i j ä
Эстония	e s t o̞ ɲ i j ä
Юрка	j u r k ä
абажур	ä b ä ʒ̺ u r
абай	ä b ä j
абар	ä b ä r
абача	ä b ä t͡ɕ ä
абзац	ä b z ä t͡s
абрикос	ä b r i k o̞ s
абу	ä b u
абутӧм	ä b u t ɘ m
август	ä ʋ ɡ u s t
автобус	ä ʋ t o̞ b u s
агас	ä ɡ ä s
аддзывны	ä d͡ʑː ɯ̈ ʋ n ɯ̈
аддзыны	ä d͡ʑː ɯ̈ n ɯ̈
аист	ä i s t
ай	ä j
акайтны	ä k ä j t n ɯ̈
алфавит	ä ɫ f ä ʋ i t
анбур	ä n b u r
антибиотик	ä n c i b i o̞ c i k
антителӧ	ä n c i c e ɫ ɘ
анча	ä n t͡ɕ ä
ань	ä ɲ
аорта	ä o̞ r t ä
апрель	ä p r e ʎ
ар	ä r
артерия	ä r t e r i j ä
ас	ä s
аски	ä s k i
аскомысь	ä s k o̞ m ɯ̈ ɕ
асы	ä s ɯ̈
асыв	ä s ɯ̈ ʋ
асыввыв	ä s ɯ̈ ʋ ʋ ɯ̈ ʋ
асывыы	ä s ɯ̈ ʋ ɯ̈ː
асьныд	ä ɕ n ɯ̈ d
асьным	ä ɕ n ɯ̈ m
асьныс	ä ɕ n ɯ̈ s
ата	ä t ä
аттьӧ	ä cː ɘ
аттьӧавны	ä cː ɘ ä ʋ n ɯ̈
ачыд	ä t͡ɕ ɯ̈ d
ачым	ä t͡ɕ ɯ̈ m
ачыс	ä t͡ɕ ɯ̈ s
аяныв	ä j ä n ɯ̈ ʋ
баба	b ä b ä
бадь	b ä ɟ
баля	b ä ʎ ä
баляпи	b ä ʎ ä p i
бан	b ä n
бать	b ä c
баяр	b ä j ä r
бедь	b e ɟ
белок	b e ɫ o̞ k
берд	b e r d
блюд	b ʎ u d
бобув	b o̞ b u ʋ
бок	b o̞ k
бон	b o̞ n
борд	b o̞ r d
босьтны	b o̞ ɕ t n ɯ̈
булка	b u ɫ k ä
бур	b u r
бурӧй	b u r ɘ j
бус	b u s
бутылка	b u t ɯ̈ ɫ k ä
быг	b ɯ̈ ɡ
быд	b ɯ̈ d
бык	b ɯ̈ k
бӧж	b ɘ ʒ̺
бӧжа	b ɘ ʒ̺ ä
ва	ʋ ä
вад	ʋ ä d
важ	ʋ ä ʒ̺
вал	ʋ ä ɫ
вартны	ʋ ä r t n ɯ̈
вартчыны	ʋ ä r t͡ɕː ɯ̈ n ɯ̈
васа	ʋ ä s ä
вевт	ʋ e ʋ t
вевтӧс	ʋ e ʋ t ɘ s
ведра	ʋ e d r ä
веж	ʋ e ʒ̺
вежа	ʋ e ʒ̺ ä
вежалун	ʋ e ʒ̺ ä ɫ u n
вежань	ʋ e ʒ̺ ä ɲ
вежлӧг	ʋ e ʒ̺ ɫ ɘ ɡ
вежон	ʋ e ʒ̺ o̞ n
вей	ʋ e j
вем	ʋ e m
вена	ʋ e n ä
вер	ʋ e r
верблюд	ʋ e r b ʎ u d
верӧс	ʋ e r ɘ s
весь	ʋ e ɕ
веськодь	ʋ e ɕ k o̞ ɟ
ветымын	ʋ e t ɯ̈ m ɯ̈ n
видз	ʋ i d͡ʑ
видзны	ʋ i d͡ʑ n ɯ̈
видзысь	ʋ i d͡ʑ ɯ̈ ɕ
виж	ʋ i ʒ̺
вина	ʋ i n ä
вины	ʋ i n ɯ̈
вир	ʋ i r
вис	ʋ i s
вит	ʋ i t
вич	ʋ i t͡ɕ
вичко	ʋ i t͡ɕ k o̞
виысь	ʋ i ɯ̈ ɕ
внук	ʋ n u k
внучка	ʋ n u t͡ɕ k ä
во	ʋ o̞
воавны	ʋ o̞ ä ʋ n ɯ̈
воан	ʋ o̞ ä n
воддза	ʋ o̞ d͡ʑː ä
водз	ʋ o̞ d͡ʑ
водзир	ʋ o̞ d͡ʑ i r
вож	ʋ o̞ ʒ̺
воз	ʋ o̞ z
вой	ʋ o̞ j
войвыв	ʋ o̞ j ʋ ɯ̈ ʋ
войдӧр	ʋ o̞ j d ɘ r
войдӧрлун	ʋ o̞ j d ɘ r ɫ u n
вок	ʋ o̞ k
воль	ʋ o̞ ʎ
вольӧс	ʋ o̞ ʎ ɘ s
вом	ʋ o̞ m
вон	ʋ o̞ n
воны	ʋ o̞ n ɯ̈
ворсны	ʋ o̞ r s n ɯ̈
воскресенье	ʋ o̞ s k r e ɕ e ɲ j e
воськов	ʋ o̞ ɕ k o̞ ʋ
восьса	ʋ o̞ ɕ s ä
восьтыны	ʋ o̞ ɕ t ɯ̈ n ɯ̈
вотны	ʋ o̞ t n ɯ̈
воторник	ʋ o̞ t o̞ r ɲ i k
воча	ʋ o̞ t͡ɕ ä
вторник	ʋ t o̞ r ɲ i k
вуг	ʋ u ɡ
вудж	ʋ u d͡ʒ̺
вуджӧр	ʋ u d͡ʒ̺ ɘ r
вуж	ʋ u ʒ̺
вуз	ʋ u z
вурд	ʋ u r d
выв	ʋ ɯ̈ ʋ
вый	ʋ ɯ̈ j
вылльӧв	ʋ ɯ̈ ʎː ɘ ʋ
выллюн	ʋ ɯ̈ ʎː u n
вылна	ʋ ɯ̈ ɫ n ä
вылын	ʋ ɯ̈ ɫ ɯ̈ n
выльлун	ʋ ɯ̈ ʎ ɫ u n
вӧв	ʋ ɘ ʋ
вӧвны	ʋ ɘ ʋ n ɯ̈
вӧр	ʋ ɘ r
вӧравны	ʋ ɘ r ä ʋ n ɯ̈
вӧралысь	ʋ ɘ r ä ɫ ɯ̈ ɕ
вӧрк	ʋ ɘ r k
вӧркань	ʋ ɘ r k ä ɲ
вӧркась	ʋ ɘ r k ä ɕ
вӧрпорсь	ʋ ɘ r p o̞ r ɕ
вӧрса	ʋ ɘ r s ä
вӧскресенньӧ	ʋ ɘ s k r e ɕ e ɲː ɘ
вӧт	ʋ ɘ t
вӧтны	ʋ ɘ t n ɯ̈
вӧӧ	ʋ ɘː
гаг	ɡ ä ɡ
гадь	ɡ ä ɟ
гаж	ɡ ä ʒ̺
гажа	ɡ ä ʒ̺ ä
гач	ɡ ä t͡ɕ
геб	ɡ e b
гез	ɡ e z
гезъяс	ɡ e z j ä s
география	ɡ e o̞ ɡ r ä f i j ä
гоб	ɡ o̞ b
гож	ɡ o̞ ʒ̺
гожӧм	ɡ o̞ ʒ̺ ɘ m
гоз	ɡ o̞ z
гозъя	ɡ o̞ z j ä
голя	ɡ o̞ ʎ ä
горда	ɡ o̞ r d ä
горс	ɡ o̞ r s
горт	ɡ o̞ r t
грезд	ɡ r e z d
гурина	ɡ u r i n ä
гыж	ɡ ɯ̈ ʒ̺
гыр	ɡ ɯ̈ r
гырд	ɡ ɯ̈ r d
гырк	ɡ ɯ̈ r k
гырся	ɡ ɯ̈ r ɕ ä
гырысь	ɡ ɯ̈ r ɯ̈ ɕ
гыч	ɡ ɯ̈ t͡ɕ
гӧг	ɡ ɘ ɡ
гӧгинь	ɡ ɘ ɡ i ɲ
гӧгӧра	ɡ ɘ ɡ ɘ r ä
гӧлӧс	ɡ ɘ ɫ ɘ s
гӧн	ɡ ɘ n
гӧнец	ɡ ɘ ɲ e t͡s
гӧп	ɡ ɘ p
гӧр	ɡ ɘ r
гӧрд	ɡ ɘ r d
гӧсть	ɡ ɘ s c
гӧстя	ɡ ɘ s c ä
гӧтыр	ɡ ɘ t ɯ̈ r
гӧтыра	ɡ ɘ t ɯ̈ r ä
да	d ä
дав	d ä ʋ
дас	d ä s
дворец	d ʋ o̞ r e t͡s
декабр	ɟ e k ä b
джадж	d͡ʒ̺ ä d͡ʒ̺
джодж	d͡ʒ̺ o̞ d͡ʒ̺
джуджда	d͡ʒ̺ u d͡ʒ̺ d ä
джуджыд	d͡ʒ̺ u d͡ʒ̺ ɯ̈ d
джын	d͡ʒ̺ ɯ̈ n
дзодзӧг	d͡ʑ o̞ d͡ʑ ɘ ɡ
дзонь	d͡ʑ o̞ ɲ
дзоридз	d͡ʑ o̞ r i d͡ʑ
диагональ	ɟ i ä ɡ o̞ n ä ʎ
диаметр	ɟ i ä m e t ɘ r
додь	d o̞ ɟ
доз	d o̞ z
дон	d o̞ n
дор	d o̞ r
дорын	d o̞ r ɯ̈ n
дорӧс	d o̞ r ɘ s
дроб	d r o̞ b
дрӧб	d r ɘ b
дрӧбитны	d r ɘ b i t n ɯ̈
дуль	d u ʎ
дуриан	d u r i ä n
дыш	d ɯ̈ ʃ̺
дядь	ɟ ä ɟ
ді	d i
еджыд	j e d͡ʒ̺ ɯ̈ d
ен	j e n
енманӧй	j e n m ä n ɘ j
енэж	j e n e ʒ̺
жель	ʒ̺ e ʎ
животнӧй	ʒ̺ i ʋ o̞ t n ɘ j
жыр	ʒ̺ ɯ̈ r
жӧник	ʒ̺ ɘ ɲ i k
зарни	z ä r ɲ i
зверь	z ʋ e r
зеп	ʑ e p
зильгыны	ʑ i ʎ ɡ ɯ̈ n ɯ̈
змей	z m e j
знаменатель	z n ä m e n ä c e ʎ
зоб	z o̞ b
зон	z o̞ n
зонка	z o̞ n k ä
зыр	z ɯ̈ r
зі	z i
зіб	z i b
зіль	z i ʎ
зілюн	z i ʎ u n
зӧр	z ɘ r
и	i
ид	i d
идз	i d͡ʑ
из	i z
история	i s t o̞ r i j ä
ичинь	i t͡ɕ i ɲ
июль	i j u ʎ
июнь	i j u ɲ
йидны	j i d n ɯ̈
йиді	j i d i
йыв	j ɯ̈ ʋ
йӧв	j ɘ ʋ
йӧгра	j ɘ ɡ r ä
йӧз	j ɘ z
йӧзви	j ɘ z ʋ i
йӧй	j ɘ j
йӧюк	j ɘ j u k
