A	a
ab	a p
ab	a b
ab	a β
adiós	a d i o s
ahí	a i
al	ə l
al	a l
ahí	a i
al	ə l
al	a l
alegr	a l e k r
alegrs	a l e t s
alguerès	a l ɡ a ɾ e s
amb	ə m
amb	ə m b
amb	a m
amb	a n
amb	e n
anigueré	a n i ɡ a ɾ e
anis	a n i s
arrés	a r e s
babaiana	b ə β ə j a n ə
babaiana	b ə β ə a n ə
barca	b a l k a
barca	b a l k a
Bosch	b ɔ s k
budell	b u ɾ e ʎ
c	s e
c	k
c	s
Canigó	k a n i ɡ u
Cànoes	k a n u s
canviar	k a m b i a
cent	s e n t
cent	s e n
cent	s e n t
del	d ə l
del	d e l
dire	d i ɾ a
diure	d i w ɾ a
eba	ɛ b a
eïna	a i n a
el	ə l
el	e l
Elna	j e l n ə
Elna	e l n ə
els	ə l s
els	ə l z
els	e l s
els	e l z
enlloc	a ɲ ʎ ɔ k
enlloc	a ɲ ɔ k
es	ə s
es	e s
escriv	a s k ɾ i f
escubidú	ə s k u β i ð u
escubidú	e s k u b i ð u
escubidús	ə s k u β i ð u s
escubidús	e s k u b i ð u s
espertinar	ə s p ə ɾ t i n a
establishment	ə s t a b l i ʃ m ə n
et	ə t
et	e t
feesa	f e e z a
feu	f ɛ w
feus	f ɛ w s
forsis	f o l s i s
fútbal	f u b a l
fútbal	f u b a l
Granollers	ɡ ɾ ə n u j ɛ s
hit	h i t
ho	u
ho	ə w
ho	u
ho	e w
ho	o
ho	e w
ho	u
ho	o
hui	w i
huit	w i t
huité	w i t e
jous	ʒ o w s
jous	d͡ʒ ɔ w s
l'Alguer	l a l ɡ e
la	l ə
la	l a
les	l ə s
les	l ə z
les	l e s
les	l e z
llenya	ʎ e ɲ a
llenya	ɲ e ɲ a
lo	l u
lo	l o
los	l u s
los	l o s
me	m ə
me	m e
mes	m ə s
mes	m e s
mirall	m i ɾ a j
mon	m u n
mon	m o n
mons	m u n s
mons	m o n s
mos	m u s
mos	m o s
mos	m u s
mos	m o s
mosaltros	m u z a l t ɾ u s
na	n ə
na	n a
ne	n ə
ne	n e
nos	n u s
nos	n o s
nosaltros	n u z a l t ɾ u s
papaió	p ə p ə j o
papalló	p ə p ə j o
papalló	p ə p ə o
papalló	p ə p o
papalló	p a p a ʎ o
parpallol	p ə ɾ p ə ʎ ɔ ɫ
part	p a r
part	p a ɫ t
parts	p a r s
parts	p a ɾ t s
pels	p ə l s
pels	p e l s
percosa	p ɛ k ɔ z a
percosa	p ɛ k ɔ
performance	p e r f ɔ r m ə n s
però	p e ɾ o
però	p ɾ ɔ
però	p o ɾ o
pirop	p i r o p
plaier	p ɾ a j e
pochade	p ɔ ʃ a d
poguer	p u ɡ e
pogueré	p u ɡ a ɾ e
pregonta	p ɾ a ɡ o n t a
profe	p ɾ o f e
profes	p ɾ o f e s
que	k ə
que	k e
quemaco	k ə m a k u
quemaco	k a m a k u
quemaco	k a m a k o
reciv	r i s i f
reciv	r a s i f
recivir	r i s i v i
recivir	r a s i v i
Sàhara	s a h ə ɾ ə
Sàhara	s a h a ɾ a
saps	s a s
se	s ə
se	s e
ses	s ə s
ses	s e s
ses	s ə s
ses	s e s
so	s o
so	s u
sombra	s o m b ɾ a
sombres	s o m b ɾ e s
tes	t e s
tes	t e s
ton	t u n
ton	t o n
tons	t u n s
tons	t o n s
tos	t u s
tos	t o s
tou	t o w
tous	t o w s
tous	t ɔ w s
tous	t o w s
vint	b i n t
vint	b i n
vint	v i n t
viv	v i f
vòmit	b ɔ m i t
vos	b u s
vos	v u s
vos	v o s
vosaltros	v u z a l t ɾ u s
waterpolo	w ə t e r p o l o
waterpolo	b ə t e r p o l o
waterpolo	w a t e r p o l o
waterpolo	b a t e r p o l o
