ሀሎ	h a l o
ሁሉ	h u lː u
ሆላ	h o l a
ሁለት	h u l ə tː
ሁለተኛ	h u l ə tː ə ɲː a
ሄሊኮፕተር	h e l i k o p t ə ɾ
ሆርች	h o ɾ t͡ʃ
ሆስፒታል	h o s p i t a l
ሀያ	h a j a
ህያ	h ɨ j a
ሀይቅ	h a j kʼ
ሆድ	h o d
ሉል	l u l
ሊሎ	l i l o
ላለ	l a lː ə
ላም	l a m
ልብ	l ɨ bː
ለውዝ	l ə w z
ልዥ	l ɨ ʒ
ልጅ	l ɨ d͡ʒ
ሐለመ	h a l l ə m ə
ሐላሚ	h a l a m i
ሕልም	h ɨ l m
ሐምሌ	h a m l e
ሕመም	h ɨ m ə m
ሕሙም	h ɨ m u m
ሐሳብ	h a sː a b
ሐበሻ	h ä b ä ʃ ä
ሐኪም	h a k i m
ሐዋርያ	h a w a r j a
ሕዝብ	h ɨ z b
ሐይ	h a jː
ሕይወት	h ɨ j w ə t
ሐጅስ	h a d͡ʒː ɨ s
ሕግ	h ɨ ɡː
ሕፃን	h ɨ sʼ a n
ሕፅን	h ɨ sʼ ɨ n
መሄድ	m ə h e d
መላስ	m ə l a s
ምላስ	m ɨ l a s
ምላሽ	m ɨ lː a ʃ
መላጊያ	m ə l l a ɡ i j a
መላጊያ	m ə l a ɡ i j a
መሞት	m ə m o t
ማረሻ	m a r ə ʃ a
መሮጥ	m ə ɾ o tʼ
ምርጫ	m ɨ r t͡ʃʼ a
መሳቅ	m ə s a kʼ
ሚስት	m i s t
ምስት	m ɨ s t
መስጊድ	m ə s ɡ i d
ሙሽራ	m u ʃ ɨ rː a
ምሸት	m ɨ ʃ ə t
ምሼት	m ɨ ʃ e t
ምሽት	m ɨ ʃː ɨ t
ምሾት	m ɨ ʃ o t
መቶ	m ə t o
ሞተ	m o t ə
ማን	m a n
ምን	m ɨ n
ማን፡ማን	m a n m a n
ምን፡ምን	m ɨ n m ɨ n
ምኖች	m ɨ n o t͡ʃː
ማነን	m a nː ə n
ማንን	m a nː ɨ n
ማንኛችሁ	m a nː ɨ ɲː a t͡ʃː ɨ h u
ማንኛችን	m a nː ɨ ɲː a t͡ʃː ɨ n
ማንኛቸው	m a nː ɨ ɲː a t͡ʃː ə w
ማንኛው	m a nː ɨ ɲː a w
ማንካ	m a n k a
ምንድር	m ɨ n d ɨ ɾ
ምንድን	m ɨ n d ɨ n
መንግሥት	m ə n ɡ ɨ s t
መኪና	m ə k i n a
መከፈቻ	m ə k k ə f ə t͡ʃ a
መክፈቻ	m ə k f ə t͡ʃ a
መገንባት	m ə ɡ ə n ɨ b a t ɨ
ሠላሳ	s ə l a s a
ሥልሳ	s ɨ l s a
ሥር	s ɨ r
ሥሳ	s ɨ sː a
ሦስት	s o s t
ሦስተኛ	s o s t ə ɲː a
ሥድሳ	s ɨ d s a
ሮም	ɾ o m
ራስ	ɾ a s
ሬሳ	ɾ e s a
ሩሲያ	r u s i j a
ሩቅ	ɾ u kʼ
ረቡ	ɾ ə b u
ራብ	ɾ a b
ሮብ	ɾ o b
ረቡዕ	ɾ ə b u ʔ
ሩዝ	ɾ u z
ሩጫ	ɾ u t͡ʃʼː a
ሰላም	s ə l a m
ስልክ	s ɨ l k
ሳመ	s a m ə
ስሜ	s ɨ m e
ስም	s ɨ m
ሳሙና	s a m u n a
ሳምንት	s a mː ɨ n t
ስምንት	s ɨ mː ɨ n t
ሰማንያ	s ə m a n j a
ስር	s ɨ r
ሱቅ	s u kʼ
ሳቀ	s a kʼ ə
ሰባ	s ə b a
ሰባት	s ə b a tː
ሳቡና	s a b u n a
ሳት	s a t
ሴት	s e t
ሴትዮ	s e t ɨ jː o
ሲኒማ	s i n i m a
ስንዴ	s ɨ n d e
ሰኞ	s ə ɲː o
ሰው	s ə w
ሰውዬ	s ə w ɨ jː e
ሰዓት	s ə ʔ a t
ሰዓት	s ə a t
ስድስት	s ɨ dː ɨ s t
ስጋ	s ɨ ɡ a
ስፍር	s ɨ f ɾ
ሺ	ʃ i
ሺህ	ʃ i h
ሸለመ	ʃ ə lː ə m ə
ሽመላ	ʃ ɨ m ə l a
ሹምብራ	ʃ u m b ɨ ɾ a
ሽምብራ	ʃ ɨ m b ɨ ɾ a
ሽንብራ	ʃ ɨ n b ɨ ɾ a
ሽንት	ʃ ɨ n t
ሾክ	ʃ o k
ሻይ	ʃ a j
ሽጉጥ	ʃ ɨ ɡː u tʼ
ሽጉጡን	ʃ ɨ ɡː u tʼ u n
ቃል	kʼ a l
ቁርስ	kʼ u r s
ቍርስ	kʼʷ ɨ r s
ቀበቶ	kʼ ə b ə t t o
ቀብድ	kʼ ə b d
ቋንቋ	kʼ w a n kʼ w a
ቋንቋ	kʼ ʊ a n kʼ ʊ a
ቂንጥር	kʼ i n tʼ ɨ r
ቀዝቃዛ	kʼ ə z kʼ ə zː a
ባል	b a l
ቡም	b u m
በሬ	b ə ɾ e
ቢራቢሮ	b i r r a b i rː o
ብርቱካን	b ɨ r t u k a n
በቅሎ	b ə kʼ l o
ቤቴ	b e t e
ቤት	b e t
ቤተሰብ	b i t ə s ə b ɨ
ብቻ	b ɨ t͡ʃː a
ብዕር	b ɨ ʔ ɨ ɾ
ቢዛ	b i z a
ብዙ	b ɨ z u
በዳ	b ə d a
በገና	b ə ɡ ə n a
በገና	b ə ɡ ə n a
በጣጢስ	b ə tʼ a tʼ i s
ቢጫ	b i t͡ʃʼ a
ብጫ	b ɨ t͡ʃʼ a
ቪዛ	v i z a
ትል	tʰ ɨ l
ተማሪ	t ə m a r i
ትምባሆ	t ɨ m b a h o
ተራራ	t ə r a r a
ተረከዝ	t ə ɾ ə k ə z
ተንታኝ	t ə n t a ɲ
ተከፈተ	t ə k ə f f ə t ə
ቴዎድሮስ	t e w o d ɾ o s
ቻይ	t͡ʃ a j
ቻይ	t͡ʃ a j
ኖረ	n o ɾ ə
ነበረ	n ə b b ə ɾ ə
ነው	n ə w
ኑዛዜ	n u zː a z e
ነገ	n ə ɡ ə
ንጉሥ	n ɨ ɡ u s
ንግሥት	n ɨ ɡ ɨ s t
ንግሥቶች	n ɨ ɡ ɨ s t o t͡ʃː
ንጉሦች	n ɨ ɡ u s o t͡ʃː
ነጭ	n ə t͡ʃʼ
ነፍጠኛ	n ə f tʼ ə ɲː a
አህያ	ʔ a h ɨ jː a
አህያ	a h ɨ jː a
አልቦ	ʔ a l b o
አልቦ	a l b o
አልተገነባችም	ʔ a l t ə ɡ ə n ə bː a t͡ʃː ɨ mː
አልተገነባችም	a l t ə ɡ ə n ə bː a t͡ʃː ɨ mː
አምሳ	ʔ a m s a
አምሳ	a m s a
እምስ	ʔ ɨ m s
እምስ	ɨ m s
አምሳ፡እግር	ʔ a m s a ʔ ɨ ɡ ɨ ɾ
አምሳ፡እግር	ʔ a m s a ɨ ɡ ɨ ɾ
አምሳ፡እግር	a m s a ʔ ɨ ɡ ɨ ɾ
አምሳ፡እግር	a m s a ɨ ɡ ɨ ɾ
አምስት	ʔ a mː ɨ s t
አምስት	a mː ɨ s t
አምስተኛ	ʔ a m s t ə ɲː a
አምስተኛ	a m s t ə ɲː a
አምሳግር	ʔ a m s a ɡ ɨ ɾ
አምሳግር	a m s a ɡ ɨ ɾ
አምበሳ	ʔ a m b ə sː a
አምበሳ	a m b ə sː a
አመት	ʔ a m ə t
አመት	a m ə t
አሥራራት	ʔ a s ɾ a ɾ a tː
አሥራራት	a s ɾ a ɾ a tː
አርመንኛ	ʔ a ɾ m ə n ɨ ɲː a
አርመንኛ	a ɾ m ə n ɨ ɲː a
አርሜንኛ	ʔ a ɾ m e n ɨ ɲː a
አርሜንኛ	a ɾ m e n ɨ ɲː a
አረሰ	ʔ a rː ə s ə
አረሰ	a rː ə s ə
እራስ	ʔ ɨ ɾ a s
እራስ	ɨ ɾ a s
እርሱ	ʔ ɨ ɾ s u
እርሱ	ɨ ɾ s u
እርሷ	ʔ ɨ ɾ sʷ a
እርሷ	ɨ ɾ sʷ a
እሪስቅ	ʔ ɨ ɾ i s kʼ
እሪስቅ	ɨ ɾ i s kʼ
እርሳቸው	ʔ ɨ ɾ s a t͡ʃː ə w
እርሳቸው	ɨ ɾ s a t͡ʃː ə w
እርስዎ	ʔ ɨ ɾ s ɨ w o
እርስዎ	ɨ ɾ s ɨ w o
አርባ	ʔ a ɾ b a
አርባ	a ɾ b a
እራብ	ʔ ɨ ɾ a b
እራብ	ɨ ɾ a b
እሮብ	ʔ ɨ ɾ o b
እሮብ	ɨ ɾ o b
አራት	ʔ a ɾ a tː
አራት	a ɾ a tː
አራተኛ	ʔ a ɾ a tː ə ɲː a
አራተኛ	a ɾ a tː ə ɲː a
እርዳታ	ɨ r d a t a
እሱ	ʔ ɨ sː u
እሱ	ɨ sː u
እሷ	ʔ ɨ sːʷ a
እሷ	ɨ sːʷ a
እሳት	ʔ ɨ s a t
እሳት	ɨ s a t
እሴት	ʔ ɨ s e t
እሴት	ɨ s e t
አስተማሪ	a s t ə m a ɾ i
እስትንፋስ	ʔ ɨ s t ɨ n f a s
እስትንፋስ	ɨ s t ɨ n f a s
እሳቸው	ʔ ɨ sː a t͡ʃː ə w
እሳቸው	ɨ sː a t͡ʃː ə w
እስክስታ	ʔ ɨ s k ɨ s t a
እስክስታ	ɨ s k ɨ s t a
እስዎ	ʔ ɨ sː ɨ w o
እስዎ	ɨ sː ɨ w o
አሸለመ	ʔ a ʃ ʃ ə lː ə m ə
አሸለመ	a ʃ ʃ ə lː ə m ə
እሾክ	ʔ ɨ ʃ o k
እሾክ	ɨ ʃ o k
አበሻ	ʔ ä b ä ʃ ä
አበባ	a β ə β a
አባት	ʔ a bː a t
እት	ʔ ɨ t
ኢትዮጵያ	ʔ i t j o pʼ j a
ኢትዮጵያ	i t j o pʼ j a
ኢትዮጵያ	ʔ i t j o pʼː j a
ኢትዮጵያ	i t j o pʼː j a
እቺ	ʔ ɨ t͡ʃː i
እቺ	ɨ t͡ʃː i
እች	ʔ ɨ t͡ʃː
እች	ɨ t͡ʃː
እኅት	ʔ ɨ h ɨ t
እኔ	ʔ ɨ n e
እኔ	ɨ n e
እነማን	ʔ ɨ nː ə m a n
እነማን	ɨ nː ə m a n
እነርሱ	ʔ ɨ nː ə ɾ s u
እነርሱ	ɨ nː ə ɾ s u
እነሱ	ʔ ɨ nː ə sː u
እነሱ	ɨ nː ə sː u
አንበሳ	ʔ a n b ə sː a
አንበሳ	a n b ə sː a
አንተ	ʔ a n t ə
አንተ	a n t ə
አንቱ	ʔ a n t u
አንቱ	a n t u
ኡነት	ʔ u n ə t
ኡነት	u n ə t
እናት	ʔ ɨ nː a t
አንቺ	ʔ a n t͡ʃ i
አንቺ	a n t͡ʃ i
እናንተ	ʔ ɨ nː a n t ə
እናንተ	ɨ nː a n t ə
እናንት	ʔ ɨ nː a n t ɨ
እናንት	ɨ nː a n t ɨ
እነዚህ	ʔ ɨ nː ə zː i h
እነዚህ	ɨ nː ə zː i h
እነዚያ	ʔ ɨ nː ə zː i j a
እነዚያ	ɨ nː ə zː i j a
አንድ	ʔ a n d
አንድ	a n d
አንዲት	ʔ a n d i t
አንዲት	a n d i t
አንደኛ	ʔ a n d ə ɲː a
አንደኛ	a n d ə ɲː a
እንጀራ	ʔ ɨ n d ʒ ə r a
አንጐል	ʔ a n ɡʷ ə l
አንጐል	a n ɡʷ ə l
አንገት	ʔ a n ɡ ə t
አንገት	a n ɡ ə t
እኛ	ʔ ɨ ɲː a
እኛ	ɨ ɲː a
አውሮፓ	a w r o p a
አዝማሪ	ʔ ə z m a ɾ i
አዝማሪ	ə z m a ɾ i
አዘመተ	ʔ a z z ə mː ə t ə
አዘመተ	a z z ə mː ə t ə
እዛብ	ʔ ɨ z a b
እዛብ	ɨ z a b
አይደለም	ʔ a j d ə lː ə mː
አይደለም	a j d ə lː ə mː
አዲስ	ʔ a dː i s
አዲስ	a dː i s
እጅ	ʔ ɨ d͡ʒː
እጅ	ɨ d͡ʒː
አገር	ʔ ə ɡ ə ɾ
እግር	ʔ ɨ ɡ ɨ ɾ
እግር	ɨ ɡ ɨ ɾ
እግረኛ	ʔ ɨ ɡ r ə ɲː a
እግረኛ	ɨ ɡ r ə ɲː a
እግርጌ	ʔ ɨ ɡ ɨ r ɡ e
እግርጌ	ɨ ɡ ɨ r ɡ e
አጥር	a tʼ e r
እጡብ	ʔ ɨ tʼ u b
እጡብ	ɨ tʼ u b
አጥንት	ʔ a tʼ ɨ n t
አጥንት	a tʼ ɨ n t
አጻፈ	ʔ a t͡s t͡sʼ a f ə
አጻፈ	a t͡s t͡sʼ a f ə
አፍ	ʔ a f
አፍ	a f
አፍንጫ	ʔ a f ɨ n t͡ʃʼ a
አፍንጫ	a f ɨ n t͡ʃʼ a
ከለከለ	k ə l ə k ə l ə
ክረምት	k r ə m t
ክረምት	k ɨ r ə m t
ክርስትና	k r ɨ s t ɨ nː a
ክርክራ	k ɨ ɾ k ɨ rː a
ኮሶ	k o s o
ኳሰ	kʷ a s ə
ኳስ	kʷ a s
ከሰላ	k ə s ə l a
ከሰረት	k ə s ə ɾ ə t
ከሰሰ	k ə s ə s ə
ኮሶኛ	k o s o ɲː a
ከስከሴ	k ə s k ə sː e
ክብ	k ɨ b
ክብር	k ɨ b ɨ ɾ
ክብር	k ɨ b ɾ
ክንፍ	k ɨ n f
ከንፈር	k ə n f ə ɾ
ኮከብ	k o k ə b
ከፈተ	k ə f f ə t ə
ወምበር	w ə m b ə ɾ
ዉሻ	w u ʃː a
ውሻ	w ɨ ʃː a
ውሾች	w ɨ ʃː o t͡ʃː
ውሻዎች	w ɨ ʃː a w o t͡ʃː
ወኔ	w ə nː e
ዋና	w a nː a
ዋና	w a n a
ወንበር	w ə n b ə ɾ
ወንዝ	w ə n z
ወንድም	w ə n d ɨ mː
ወንድምዬ	w ə n d ɨ m m ɨ jː e
ወይፈን	w ə j f ə n
ወፍ	w ə f
ዓመት	ʔ a m ə t
ዓመት	a m ə t
ዐሥራ	ʔ a s ɾ a
ዐሥራ	a s ɾ a
ዐሥር	ʔ a sː ɨ ɾ
ዐሥር	a sː ɨ ɾ
ዐሥራምስት	ʔ a s ɾ a mː ɨ s t
ዐሥራምስት	a s ɾ a mː ɨ s t
ዐሥራንድ	ʔ a s ɾ a n d
ዐሥራንድ	a s ɾ a n d
ዐባይ	ʔ a bː a j
ዐባይ	a bː a j
ዓይን	ʔ a j n
ዓይን	a j n
ዕጣን	ɨ tʼ a n
ዝምብ	z ɨ m b
ዘመተ	z ə mː ə t ə
ዘር	z ə r
ዜሮ	z e ɾ o
ዛብ	z a b
ዝናብ	z ɨ n a b
ዝንብ	z ɨ n b
ዘነዘና	z ə n ə z ə n a
ዝይ	z ɨ jː
ዝግጁ	z ɨ ɡ ɨ d͡ʒː u
ዘጠና	z ə tʼ ə n a
ዘጠኝ	z ə tʼ ə ɲː
ዛፍ	z a f
ያ	j a
ይህ	j ɨ h
