A	aː
aach	ɔː x
Aadem	ɔː t ə m
Aademseppel	ɔː t ə m s e p ə l
Aademsepple	ɔː t ə m s e p l ə
Aadler	ɔː t l a
Aagust	ɔː k u ʃ t
aam	ɔː m
aan	ɔː n
aananner	ɔː n a n a
aanannerbappe	ɔː n a n a p a p ə
aanannerbinne	ɔː n a n a p i n ə
aanannergehn	ɔː n a n a k eː n
aanbacke	ɔː n p a k ə
aanbappe	ɔː n p a p ə
aanbasse	ɔː n p a s ə
aanbiede	ɔː n p iː r ə
aanbinne	ɔː n p i n ə
Aandacht	ɔː n t a x t
aandun	ɔː n t uː n
Aanfang	ɔː n f a ŋ
Aanfeng	ɔː n f ɛ ŋ
Aanfenger	ɔː n f ɛ ŋ ɐ
Aanstreiche	ɔː n ʃ t r a ɪ̯ ç ə
Aanstrengung	ɔː n ʃ t r ɛ ŋ u ŋ
Aanung	ɔː n u ŋ
Aanzugh	ɔː n t͡s uː ç
Aapehoer	ɔː p ə h oː ɐ
Aarem	ɔː r ə m
aarich	ɔː r i ç
Aarmel	ɔː r m l̩
Aarmut	ɔː r m uː t
Aarsch	ɔː ʃ
Aarschback	ɔː ʃ p a k
Aarschdaarem	ɔː ʃ t ɔː r ə m
Aarschdäärem	ɔː ʃ t ɛː r ə m
Aarschloch	ɔː ʃ l o x
Aart	ɔː t
Aarvet	ɔː r v ə t
Aarveter	ɔː r v ə t a
Abakaschi	a p a k a ʃ iː
Abakatt	a p a k a t
Abakattebaam	a p a k a t ə p ɔː m
Abakus	aː p a k u s
Abaschur	a p a ʃ uː r
Abbau	a p a ʊ̯
Abbildung	a p p i l d u ŋ
abhengich	a p h ɛ ŋ i ç
abiotisch	a p i oː t i ʃ
Abiu	a p i ʊ̯
Aborischënë	a p o r i ʃ e n e
Aborischënës	a p o r i ʃ e n e s
Abrass	a p r a s
Achs	a k s
Achse	a k s ə
acht	a x t
Achteck	a x t e k
Achtel	a x t l̩
achtzen	a x t͡s ə n
Acker	a k a
Advent	a t v ɛ n t
Advente	a t v ɛ n t ə
Aff	a f
Affe	a f ə
Afrikaaner	a f r i k ɔː n a
akaschu	a k a ʃ uː
all	a l
allmechtich	a l m e ç t i ç
als	a l s
Aluminium	a l u m iː n i u m
Amigo	a m iː k o
Amulett	a m u l e t
Angel	a ŋ ə l
anner	a n a
Antrich	a n t r i ç
April	a p r iː l
April	a p r i l
arschentin	a r ʃ ə n t iː n
arschentin	a ʃ ə n t iː n
Arschentina	a r ʃ ə n t iː n a
Arschentina	a ʃ ə n t iː n a
Arschentinas	a r ʃ ə n t iː n a s
Arschentinas	a ʃ ə n t iː n a s
arschentinisch	a r ʃ ə n t iː n i ʃ
arschentinisch	a ʃ ə n t iː n i ʃ
Arschentino	a r ʃ ə n t iː n o
Arschentino	a ʃ ə n t iː n o
Arschentinos	a r ʃ ə n t iː n o s
Arschentinos	a ʃ ə n t iː n o s
Asilee	a s i l eː
Assaih	a s a iː
Assaihpallem	a s a iː pʰ a l ə m
Astre	a ʃ t r ə
Asëitona	a s e ɪ̯ t oː n a
Asëitona	a s e ɪ̯ t ɔ n a
Au	a ʊ̯
Aue	a ʊ̯ ə
August	a ʊ̯ k u ʃ t
aussihn	a ʊ̯ s s iː n
Australiaaner	a ʊ̯ ʃ t r a l i ɔː n a
Australje	a ʊ̯ ʃ t r a l j ə
Auto	a ʊ̯ t o
Aviong	a v i ɔ ŋ
awer	a v ə ɾ
awer	a w ɐ
Baad	p ɔː t
baade	p ɔː r ə
Baadezimmer	p ɔː r ə t͡s i m ɐ
Baal	p ɔː l
Baam	p ɔː m
Baart	p ɔː t
Balke	p a l k ə
Banann	p a n a n
Bananne	p a n a n ə
Bascharell	p a ʃ a r e l
Batt	p a t
Batte	p a t ə
Battrich	p a t r i ç
Beeder	p eː r ɐ
Beel	p eː l
Beem	p eː m
Been	p eː n
Beer	p eː ɐ
Beil	p a ɪ̯ l
beise	p a ɪ̯ s ə
Belche	p e l ç ə
Belsnickel	p e l s n i k ə l
Bentevi	p ɛ n t ə v iː
benutze	p ə n u t͡s ə
Berrich	p ɛ r i ç
Bia	p iː a
Bias	p iː a s
Bicher	p i ç a
Bichs	p i k s
Bier	p iː a
Bild	p i l t
Bildche	p i l t ç ə
Bilder	p i l t a
Bingje	p i ŋ j ə
Bingjebaam	p i ŋ j ə p ɔː m
Bingjebeemche	p i ŋ j ə p eː m ç ə
Biru	p iː r u
Biru	p i r u
Blaat	p l ɔː t
blau	p l a ʊ̯
Blau	p l a ʊ̯
bleive	p l a ɪ̯ v ə
Bletter	p l e t a
blo	p l oː
Blud	p l uː t
blude	p l uː t ə
Blumm	p l u m
Blumme	p l u m ə
Bluse	p l uː s ə
Blusje	p l u s j ə
Boddem	p o r ə m
Bohn	p oː n
Bohne	p oː n ə
Bolasch	p o l a ʃ
Bolasche	p o l a ʃ ə
Bolo	p oː l o
Bolo	p o l o
Bolos	p oː l o s
Bolos	p o l o s
Boot	p oː t
Bopp	p o p
Borrich	p ɔ r i ç
Borriche	p ɔ r i ç ə
Brasil	p r a s iː l
brauche	p r a ʊ̯ x ə
Braud	p r a ʊ̯ t
braun	p r a ʊ̯ n
Braun	p r a ʊ̯ n
breid	p r a ɪ̯ t
brenne	p r ɛ n ə
Brick	p r i k
Brief	p r iː f
Brieh	b r iː
brille	p r i l ə
Brod	p r oː t
Bruch	p r u x
brumme	p r u m ə
Brunne	p r u n ə
Brust	p r u ʃ t
Brësiliaaner	p r e s i l i ɔː n a
brësiliaanisch	p r e s i l i ɔː n i ʃ
Brësiliaanisch	p r e s i l i ɔː n i ʃ
Bub	p uː p
Buch	p u x
Buger	p uː k ɐ
burgees	p u r k eː s
Burgees	p u r k eː s
Burgeese	p u r k eː s ə
Burgeesin	p u r k eː s i n
Buss	p u s
Butter	p u t a
Bäer	p ɛː a
Bäerche	p ɛː a ç ə
Bäre	p ɛː r ə
Bärin	p ɛː r i n
Bërinschela	p e r i n ʃ eː l a
Bërinschelas	p e r i n ʃ eː l a s
Casais	k a s a ɪ̯ s
Casal	k a s a l
China	ʃ iː n a
Chinees	ʃ i n eː s
Chineese	ʃ i n eː s ə
chineesisch	ʃ i n eː s i ʃ
Cinema	s i n eː m a
Codorna	kʰ o t ɔ n a
Cogumelo	k o k u m eː l o
Daa	t ɔː
daab	t ɔː p
Daabheet	t ɔː p h eː t
Daabheit	t ɔː p h a ɪ̯ t
Daaf	t ɔː f
Daafe	t ɔː f ə
daafe	t ɔː f ə
Daafel	t ɔː f l̩
Daagh	t ɔː x
daaghs	t ɔː x s
Daal	t ɔː l
Daarem	t ɔː r ə m
Dach	t a x
Dachs	t a k s
Damm	t a m
Damp	t a m p
Dank	t a ŋ k
danke	t a ŋ k ə
Danke	t a ŋ k ə
dann	t a n
Dann	t a n
dart	t a t
das	t a s
Daume	t a ʊ̯ m ə
de	t ə
Decher	t e ç a
deer	t eː a
Deer	t eː a
Deere	t eː r ə
dein	t a ɪ̯ n
Deitsch	t a ɪ̯ t͡ʃ
deitsch	t a ɪ̯ t͡ʃ
deitsche	t a ɪ̯ t͡ʃ ə
