aba	ɑ b ɑ
acü	ɑ ʝ y
acü	ɑ ʝ u
acü	ɑ ʝ ɑ
ad	ɑ t
ad	ɑː t
adı	ɑː d ɨ
adı	ɑː d ɯ
adıma	ɑ d ɨ m ɑ
agiğüsi	ɑ k iː ɣ y s i
agiğüsi	ɑ k i ɣ y s i
agu	ɑː k u
agu	ɑ k u
ahldə	ɑʰ l t ə
alaci	ɑ l ɑ ʝ i
altımış	ɑ l tʰ ɨ m ɨ ʃ
altımış	ɑʰ m ɨ ʃ
altımış	ɑʰ m u ʃ
altımış	a tʰ m i ʃ
alğusı	ɑ l ʁ u s ɨ
alğusı	ɑ ʁ u s ɨ
ama	ɑ m ɑ
ama	ɑː m ɑ
anaş	ɑ n ɑ ɕ
anaş	ɑ n ɨ ɕ
aniği	ɑ n i ɣ i
aniği	ɑ n i ɣ i
aniği	ɑ ŋ k i
aqqur	ɑ χ q u r
aran	ɑ r ɑ n
aran	ɑ r ɨ n
arı	ɑ r ɨ
arıtqusı	ɑː r ɨ t q u s ɨ
arıtqusı	ɑ r ɨ t q u s ɨ
arıtqusı	ɑː r t q u s ɨ
aruq	ɑ r u χ
arxa	ɑ r χ ɑ
asan	ɑ s ɑ n
asan	ɑ s o n
asan	ɑ s ɨ n
asırağusı	ɑ s ɨ r ɑ ʁ u s ɨ
asırağusı	ɑ s ɨ r ɑ
asırağusı	ɑ s r ɑ ʁ u s ɨ
asırağusı	ɑ s r ɑ
aslan	ɑ s l ɑ n
aslan	ɑ s l ɨ n
at	ɑ tʰ
atlağusı	ɑʰ l ɑ ʁ u s ɨ
atlağusı	ɑʰ l ɑ
atqusı	ɑ tʰ
atqusı	ɑʰ
atqusı	ɑʰ t ʁ u s ɨ
atqusı	ɑʰ t
attuq	ɑʰ t u χ
ax	ɑ χ
axdarğusı	a x t a r
axdarğusı	a x t ə r
axdarğusı	a x tʰ a r
axqusı	ɑ χ ʁ u s ɨ
axsaq	ɑ χ s ɑ χ
axsağusı	ɑ χ s ɑ ʁ u s ɨ
axun	ɑ χ u n b o
axun	ɑ χ u n
axun	ɑ χ u n b u
axvaş	ɑ χ v ɑ ʃ
ayaq	ɑ j ɑ χ
ayaq	ɑ j ɨ χ
ayi	ɑ j i
aylağusı	ɑ j l ɑ ʁ u s ɨ
aze	ɑː z e
aze	ɑː z i
aze	ɑ z i
azuq	ɑ s u χ
azuq	ɑ z u χ
azuq	ɑ z u χ
açıq	ɑ t͡ɕ ɨ χ
açıxqusı	ɑ t͡ɕ ɨ χ χ u s ɨ
açuq	ɑ t͡ɕ u χ
añqaq	ɑ ŋ q ɑ χ
ağarğusı	ɑ ʁ ɑ r ʁ u s ɨ
ağarğusı	ɑ ʁ ɑ r
