ahoj	a ɦ o j
aplaus	z
ar	a r
B	b eː
bar	b a r
H	h aː
hit	h ɪ t
i	ɪ
Lhota	l ɦ ɔ t a
nadšený	n a t ʃ ɛ n iː
nadšený	n a t ʃ ɛ n iː
nadtřída	n a t t r̝̊ iː d a
o	o
oba	o b a
od	o t
Otníel	o t ɲ i ɛ l
Peloponés	z
podtřída	p o t t r̝̊ iː d a
průvodčí	p r uː v o t t͡ʃ iː
přeinstalovat	p r̝̊ ɛ j ɪ n s t a l ɔ v a t
přeinstalovat	p r̝̊ ɛ ʔ ɪ n s t a l ɔ v a t
reinstalovat	r ɛ j ɪ n s t a l ɔ v a t
reinstalovat	r ɛ ʔ ɪ n s t a l ɔ v a t
router	r a ʊ t r̩
rozsáhlý	r ɔ sː aː ɦ l iː
rozsáhlý	r ɔ s aː ɦ l iː
ř	r̝
s	s
u	u
v	v
z	z
