Aal	ɔː l
Aant	aː n t
Aant	ɔː n t
Adder	ɑ d ɐ
Ai	a ɪ
Aisen	a ɪ̯ z ə n
Aven	ɔː v ə n
Avend	ɔː v ə n t
Backelse	b a k e l z ə
Barg	b ɛ r x
Bedd	b ɛ t
Been	b ɛ ɪ̯ n
Beet	b eː t
Bein	b a ɪ̯ n
Bein	b ɛ ɪ̯ n
Ben	b ɛ ɪ̯ n
Bessem	b ɛ s ə m
Blatt	b l a t
Bloom	b l o ʊ m
Brun	b ɾ uː n
Bruun	b ɾ uː n
Bärg	b ɛ r ɣ
Deev	d eː f
Deif	d a ɪ̯ f
Deif	d ɛ ɪ̯ f
Dird	d iː ɐ̯ t
Dirt	d iː ɐ̯ t
Duorp	d u̯ ɔ ɐ̯ p
Duuv	d uː f
Duuv	d uː v
Döör	d øː ɐ̯
Döör	d œː ɐ̯
Düörpm	d y̯ œ r p ə n
Eanske	ɛː n s k ə
Engelsch	ɛ ŋ ə l ʃ
Farwe	f a r w ə
Farwe	f aː v ə
Fent	f ɛ n t
Fick	f ɪ k
Foot	f ɔ ʊ̯ t
Foot	f ɛ ʊ̯ t
Forell	f ɔ ɾ ɛ l
Färöer	f ɛ r øː r
Färöer	f ɛ r øː ə r
Färöer	f ɛː r øː r
Färöer	f ɛː r øː ə r
Füer	f yː
Füer	f yː r
Gebett	ɡ ə b e t
Gemeen	ɡ ə m e ɪ n
Gemeende	ɡ ə m e ɪ n d
Gemeende	ɡ ə m e ɪ n d ə
Gemeenschop	ɡ ə m e ɪ n ʃ o p
Giesel	ɡ iː z ə l
Goos	ɡ oː s
Hand	h a n t
Heekt	h ɛː k t
Heide	ɦ a ɪ d ə
Heide	ɦ a ɪ ɾ ə
Heide	ɦ ɛ ɪ d ə
Heide	ɦ ɛ ɪ ɾ ə
Hekten	h ɛ k t ə n
Hiärt	h i̯ ɛ r t
Holt	h ɔˑ ɫ t
Hunger	h ʊ ŋː ə
Hunger	h ʊ ŋː ə r
Huut	h uː t
Ies	i s
Imm	ɪ m
Isen	iː z ə n
Kalür	k a l yː ɛ
Kind	k ɪ n t
Kindjees	k ɪ n t j ɛ ɪ̯ s
Klöör	k l œ ɪ̯͡ɐ
Klür	k l y ɘ̯
Knaken	k n ɒː k n̩
Knaken	k n ɔː k n̩
Kooj	k oː i̯
Krieg	k ɾ iː x
Krieg	k ɾ iː ç
Krig	k ɾ i x
Krig	k ɾ i ç
Krig	k ɾ iː x
Krig	k ɾ iː ç
Köken	k øː k ə n
Köken	k œː k ə n
Lass	l a s
Lien	l iː n
Lögen	l øː ɣ ə n
Lögen	l œː ɣ ə n
Mett	m ɛ t
Miegeemk	m iː ç eː m
Miegeemk	m iː ç eː m k
Morgen	m ɔ r ɡ n̩
Morrn	m ɔ r n̩
Muus	m u s
Nacht	n a x t
Ohr	oː r
Oog	oː x
Orlog	o ʊ ɾ l ɔ x
Paosken	p ɔː s k ə n
Piärd	p i̯ ɛ ɐ̯ t
Plattdüütsch	p ɫ ɑ ʈ d yː t͡ʃ
Riool	r i j oːˑ l
Riool	r i oːˑ l
Rüe	r ʏ ə
Rüen	r ʏ ə̯ n
Ręgen	ɾ ɛː ŋ̩
Sadel	z aː d ə l
Sadel	z ɔː d ə l
Sang	s a ŋ k
Sang	z a ŋ k
Schaad	ʃ aː t
Schaam	ʃ aː m
Schaap	ʃ aː p
Schaden	s x aː d ə n
Schaden	ʃ aː d ə n
Schaiper	ʃ a ɪ̯ p ə r
Scharr	s x a ɾ
Scharr	ʃ a ɾ
Scharre	s x a ɾ ə
Scharre	ʃ a ɾ ə
Schipp	ʃ ɪ p
