Aafang	ɑː f ɑ ŋ
Aalass	ɑː l ɑ sː
aapasse	ɑː p ɑ s ə
abfahre	ɑ ʔ p͡f ɑː r ə
bröötle	b r œː t l ə
Bärn	p æ̞ː r n
Chranket	x r ɑ ŋ k x ə t
Chuchi	x ʊ xː i
Chur	kʰ uː r
Chur	x uː r
Droogehändler	d r oː ɡ ə h æ n d l ə r
Ee	e ə
Fuess	f u ə sː
Gigu	k e k u
go	ɡ o
go	ɡ ɔ
go	ɡ oː
go	ɡ ɔː
gäll	ɡ æ u̯
ich	ɪː x
Liib	l iː b
Liibli	l iː b l i
Morge	m o r ɡ ə
müese	m y ə s ə
Müesli	m y ə̯ s l i
nää	n ɛː
ruusche	r uː ʃː ə
Schaffhuuse	ʃ a f uː s ə
Schaffhuuse	ʃ a f f uː s ə
Sou	z o ʊ
Toni	t o n i
Tüür	t ʏː r
wiiss	ʋ iː sː
Wält	ʋ æ l t
Wält	ʋ æ w t
Ziil	t s ɪː l
öppis	ø pː i s
