Ada	aː t a
Afganistan	a v k aː n ɪ s t aː n
Afríka	aː f r iː k a
Aggi	a cː ɪ
Alaska	aː l a s k a
Albanía	a l p aː n iː j a
Alda	a l t a
Aldinborg	a l t ɪ n p ɔ r k
Aldís	a l t iː s
Alexander	aː l ɛ k s a n t ɛː r
Alli	a t l ɪ
Alþingi	a l θ i ŋ c ɪ
Ameríka	aː m ɛ r iː k a
Andersen	a n t ɛ r s ɛ nː
Andri	a n t r ɪ
Andrés	a n t r j ɛː s
Andrésína	a n t r j ɛː s iː n a
Angóla	a ŋ k o uː l a
Anna	a t n̥ a
Anúbis	aː n uː p ɪ s
Ara	aː r a
Arabía	aː r a p iː j a
Argentína	a r k ɛ n tʰ iː n a
Ari	aː r ɪ
Aristóteles	aː r ɪ s t o uː tʰ ɛː l ɛː s
Arnar	a r t n aː r
Arndís	a r t n t iː s
Arnfríður	a r t n f r iː ð ʏ r
Arngunnur	a r t n k ʏ nː ʏ r
Arnheiður	a r t n h e iː ð ʏ r
Arnmundur	a r t n m ʏ n t ʏ r
Arnór	a r t n o uː r
Arnþrúður	a r t n θ r uː ð ʏ r
Aron	aː r ɔː n
Asía	aː s iː j a
Austurey	ø y s t ʏ r e iː
Austurland	ø y s t ʏ r l a n t
Austurríki	ø y s t ʏ r r iː c ɪ
Austurríkismaður	ø y s t ʏ r r iː c ɪ s m aː ð ʏ r
Auðmundur	ø y ð m ʏ n t ʏ r
Auður	ø yː ð ʏ r
Aðalheiður	aː ð a l h e iː ð ʏ r
Aðalmundur	aː ð a l m ʏ n t ʏ r
Aþena	aː θ ɛː n a
Aþeningur	aː θ ɛː n i ŋ k ʏ r
Bakkus	p a h k ʏ s
Baldur	p a l t ʏ r
Bandaríkin	p a n t a r iː c ɪ n
Barein	p aː r e iː n
Belgi	p ɛ l c ɪ
Belgía	p ɛ l c i j a
Bender	p ɛ n d ɛː r
Benedikt	p ɛː n ɛː t ɪ x t
Benediktína	p ɛː n ɛː t ɪ x t iː n a
Benjamín	p ɛ n j a m iː n
Benín	p ɛː n iː n
Bera	p ɛː r a
Bergdís	p ɛ r k t iː s
Bergmann	p ɛ r k m a nː
Bergmundur	p ɛ r k m ʏ n t ʏ r
Bergþrúður	p ɛ r k θ r uː ð ʏ r
Berlín	p ɛ r l iː n
Bernharður	p ɛ r n h a r ð ʏ r
Bernharðína	p ɛ r n h a r ð iː n a
Bernhöft	p ɛ r n h œ f t
Biggi	p ɪ cː ɪ
Birgir	p ɪ r c ɪ r
Birna	p ɪ r t n a
Bjargmundur	p j a r k m ʏ n t ʏ r
Bjarki	p j a r̥ c ɪ
Bjarndís	p j a r t n t iː s
Bjarnharður	p j a r t n h a r ð ʏ r
Bjarnheiður	p j a r t n h e iː ð ʏ r
Bjartur	p j a r̥ t ʏ r
Bjólan	p j o u̯ː l a n
Bjöggi	p j œ cː ɪ
Björg	p j œ r k
Björgmundur	p j œ r k m ʏ n t ʏ r
Björgvin	p j œ r k v ɪ n
Björk	p j œ r̥ k
Björt	p j œ r̥ t
Blöndal	p l œ n t aː l
Bogga	p ɔ kː a
Bogi	p ɔ iː j ɪ
Borgundarhólmur	p ɔ r k ʏ n t a r h o u l m ʏ r
Bosnía	p ɔ s t n iː j a
Brasilía	p r aː s ɪ l iː j a
Breki	p r ɛː c ɪ
Breti	p r ɛː t ɪ
Bretland	p r ɛː t l a n t
Briem	p r iː m
Brjánn	p r j a u t n
Brussel	p r ʏ sː ɛ l
Brynja	p r ɪ n j a
Brynjólfur	p r ɪ n j o u l v ʏ r
Brynjólfína	p r ɪ n j o u l v iː n a
Brynjúlfur	p r ɪ n j u l v ʏ r
Bylgja	p ɪ l c a
Bára	p a uː r a
Bárður	p a u r ð ʏ r
Bólivía	p o uː l ɪ v iː j a
Búi	p uː ɪ
Búlgaría	p u l k a r iː j a
Búrma	p u r m a
Claessen	kʰ l a sː ɛ n
Clausen	kʰ l a uː s ɛː nː
Dabbi	t a pː ɪ
Daldís	t a l t iː s
Dalla	t a t l a
Dalmatía	t a l m a tʰ iː j a
Damjan	t a m j a n
Danalög	t aː n a l œː ɣ
Dani	t aː n ɪ
Danmörk	t a n m œ r̥ k
Daníel	t aː n i j ɛː l
Davíð	t aː v iː ð
Diljá	t ɪ l j a uː
Droplaug	t r ɔː p l ø yː ɣ
Dugfús	t ʏ x f uː s
Duus	d uː s
Dyflinn	t ɪ p l ɪ nː
Dynja	t ɪ n j a
Dína	t iː n a
Dísa	t iː s a
Dóná	t o uː n a uː
Dóri	t o uː r ɪ
Dýri	t iː r ɪ
Dýrmundur	t i r m ʏ n t ʏ r
Edinborg	ɛː t ɪ n p ɔ r k
Eggertína	ɛ cː ɛ r̥ t iː n a
Egyptaland	ɛː c ɪ f t a l a n t
Einar	e iː n a r
Einarína	e iː n aː r iː n a
Einbjörg	e i n p j œ r k
Einir	e iː n ɪ r
Eisti	e i s t ɪ
Eistland	e i s t l a n t
Eldjárn	ɛ l t j a u r t n
Elli	ɛ lː ɪ
Elli	ɛ t l ɛ ~ ɪ n t ʏ r
Elli	ɛ t l ɪ
Ellingsen	ɛ lː i ŋ k s ɛ n
Elí	ɛː l iː
Elía	ɛː l iː j a
Elías	ɛː l iː j a s
Elíasína	ɛː l i j aː s iː n a
England	e i ŋ l a n t
Erla	ɛ r t l a
Erlendur	ɛ r l ɛ n t ʏ r
Erlendur	ɛ t l ɛ n t ʏ r
Erlendur	ɛ t l ɪ n t ʏ r
Erlendína	ɛ r l ɛ n t iː n a
Ernir	ɛ r t n ɪ r
Erítrea	ɛː r iː tʰ r ɛː a
Esóp	ɛː s o uː p
Eva	ɛː v a
Evklíð	ɛ v kʰ l iː ð
Evrópa	ɛ v r o uː p a
Eydís	e iː t iː s
