ಅ	ɐ
ಅಂಕ	ɐ ŋ k ɐ
ಅಂಕಂಗುಡು	ɐ ŋ k ɐ ŋ ɡ u ɖ u
ಅಂಕಕಹಳೆ	ɐ ŋ k ɐ k ɐ h ɐ ɭ e
ಅಂಕಕಾತಿ	ɐ ŋ k ɐ k aː t̪ i
ಅಂಕಕಾರ	ɐ ŋ k ɐ k aː ɾ ɐ
ಅಂಕಕಾಱ	ɐ ŋ k ɐ k aː r ɐ
ಅಂಕಗಣಕ	ɐ ŋ k ɐ ɡ ɐ ɳ ɐ k ɐ
ಅಂಕಗಣಿತ	ɐ ŋ k ɐ ɡ ɐ ɳ i t̪ ɐ
ಅಂಕಚಾರಣೆ	ɐ ŋ k ɐ t͡ʃ aː ɾ ɐ ɳ e
ಅಂಕಜೇಯ	ɐ ŋ k ɐ d͡ʒ eː j ɐ
ಅಂಕಝಂಕೆ	ɐ ŋ k ɐ d͡ʒʱ ɐ ŋ k e
ಅಂಕಟಂಕ	ɐ ŋ k ɐ ʈ ɐ ŋ k ɐ
ಅಂಕಡೊಂಕ	ɐ ŋ k ɐ ɖ o ŋ k ɐ
ಅಂಕಣ	ɐ ŋ k ɐ ɳ ɐ
ಅಂಕಣಕಾರ	ɐ ŋ k ɐ ɳ ɐ k aː ɾ ɐ
ಅಂಕಣಬರಹ	ɐ ŋ k ɐ ɳ ɐ b ɐ ɾ ɐ h ɐ
ಅಂಕಣಿ	ɐ ŋ k ɐ ɳ i
ಅಂಕಣಿಯೊಕ್ಕು	ɐ ŋ k ɐ ɳ i j o k k u
ಅಂಕನ	ɐ ŋ k ɐ n̪ ɐ
ಅಂಕನೆ	ɐ ŋ k ɐ n̪ e
ಅಂಕಪಟ್ಟಿ	ɐ ŋ k ɐ p ɐ ʈ ʈ i
ಅಂಕಪರದೆ	ɐ ŋ k ɐ p ɐ ɾ ɐ d̪ e
ಅಂಕಪಾಶ	ɐ ŋ k ɐ p aː ʃ ɐ
ಅಂಕಪೀಠ	ɐ ŋ k ɐ p iː ʈʰ ɐ
ಅಂಕಾಳೆ	ɐ ŋ k aː ɭ e
ಅಂಕಿತ	ɐ ŋ k i t̪ ɐ
ಅಂಕಿತವಾಗು	ɐ ŋ k i t̪ ɐ ʋ aː ɡ u
ಅಂಕಿತಹಾಕು	ɐ ŋ k i t̪ ɐ h aː k u
ಅಂಕಿಸು	ɐ ŋ k i s u
ಅಂಕು	ɐ ŋ k u
ಅಂಕುಡೊಂಕು	ɐ ŋ k u ɖ o ŋ k u
ಅಂಕುರ	ɐ ŋ k u ɾ ɐ
ಅಂಕುರಣ	ɐ ŋ k u ɾ ɐ ɳ ɐ
ಅಂಕುರವಡೆ	ɐ ŋ k u ɾ ɐ ʋ ɐ ɖ e
ಅಂಕುರಿಸು	ɐ ŋ k u ɾ i s u
ಅಂಕುಶಧರ	ɐ ŋ k u ʃ ɐ d̪ʱ ɐ ɾ ɐ
ಅಂಕುಶಹಾಕು	ɐ ŋ k u ʃ ɐ h aː k u
ಅಂಗ	ɐ ŋ ɡ ɐ
ಅಂಗಂಬಡೆ	ɐ ŋ ɡ ɐ m b ɐ ɖ e
ಅಂಗಕ್ರಿಯೆ	ɐ ŋ ɡ ɐ k ɾ i j e
ಅಂಗಜಾಲ	ɐ ŋ ɡ ɐ d͡ʒ aː l ɐ
ಅಂಗಜಾವ	ɐ ŋ ɡ ɐ d͡ʒ aː ʋ ɐ
ಅಂಗಡಿಕಾರ	ɐ ŋ ɡ ɐ ɖ i k aː ɾ ɐ
ಅಂಗಡಿಚೀಟಿ	ɐ ŋ ɡ ɐ ɖ i t͡ʃ iː ʈ i
ಅಂಗಡಿಬಿಚ್ಚು	ɐ ŋ ɡ ɐ ɖ i b i t͡ʃ t͡ʃ u
ಅಂಗಡಿಮುಂಗಟ್ಟು	ɐ ŋ ɡ ɐ ɖ i m u ŋ ɡ ɐ ʈ ʈ u
ಅಂಗಡಿಯಿಡು	ɐ ŋ ɡ ɐ ɖ i j i ɖ u
ಅಂಗಡಿಸಾಲ	ɐ ŋ ɡ ɐ ɖ i s aː l ɐ
ಅಂಗಡಿಹಾಕು	ɐ ŋ ɡ ɐ ɖ i h aː k u
ಅಂಗಣ	ɐ ŋ ɡ ɐ ɳ ɐ
ಅಂಗತ	ɐ ŋ ɡ ɐ t̪ ɐ
ಅಂಗತ್ತ	ɐ ŋ ɡ ɐ t̪ t̪ ɐ
ಅಂಗದಂಡಿ	ɐ ŋ ɡ ɐ d̪ ɐ ɳ ɖ i
ಅಂಗಭಂಗ	ɐ ŋ ɡ ɐ bʱ ɐ ŋ ɡ ɐ
ಅಂಗಲು	ɐ ŋ ɡ ɐ l u
ಅಂಗಾಲು	ɐ ŋ ɡ aː l u
ಅಂಗುಳು	ɐ ŋ ɡ u ɭ u
ಅಂಗೈ	ɐ ŋ ɡ ɐ i̯
ಅಂಚಲ	ɐ ɲ t͡ʃ ɐ l ɐ
ಅಂಚು	ɐ ɲ t͡ʃ u
ಅಂಚೆ	ɐ ɲ t͡ʃ e
ಅಂಟಂಟಾದ	ɐ ɳ ʈ ɐ ɳ ʈ aː d̪ ɐ
ಅಂಟು	ɐ ɳ ʈ u
ಅಂಡ	ɐ ɳ ɖ ɐ
ಅಂತಃಕರಣ	ɐ n̪ t̪ ɐ h k ɐ ɾ ɐ ɳ ɐ
ಅಂತಃಕಲಹ	ɐ n̪ t̪ ɐ h k ɐ l ɐ h ɐ
ಅಂತಃಕಲಹ	ɐ n̪ t̪ ɐ k k ɐ l ɐ h ɐ
ಅಂದಾಜು	ɐ n̪ d̪ aː d͡ʒ u
ಅಂಬಾರಿ	ɐ m b aː ɾ i
ಅಂಬಿ	ɐ m b i
ಅಂಬಿಗ	ɐ m b i ɡ ɐ
ಅಂಬಿಗಾರ	ɐ m b i ɡ aː ɾ ɐ
ಅಂಶ	ɐ m ʃ ɐ
ಅಅಃ	ɐ ɐ h
ಅಕಚ	ɐ k ɐ t͡ʃ ɐ
ಅಕರಣಿ	ɐ k ɐ ɾ ɐ ɳ i
ಅಕ್ಕ	ɐ k k ɐ
ಅಕ್ಕಜ	ɐ k k ɐ d͡ʒ ɐ
ಅಕ್ಕರೆ	ɐ k k ɐ ɾ e
ಅಕ್ಕಲು	ɐ k k ɐ l u
ಅಕ್ಕಳೆ	ɐ k k ɐ ɭ e
ಅಕ್ಕಿ	ɐ k k i
ಅಕ್ಕುಳಿಸು	ɐ k k u ɭ i s u
ಅಕ್ಟೋಬರ್	ɐ k ʈ oː b ɐ ɾ
ಅಕ್ಷರ	ɐ k ʂ ɐ ɾ ɐ
ಅಗಡು	ɐ ɡ ɐ ɖ u
ಅಗತ್ಯ	ɐ ɡ ɐ t̪ j ɐ
ಅಗಪೆ	ɐ ɡ ɐ p e
ಅಗರು	ɐ ɡ ɐ ɾ u
ಅಗಲ	ɐ ɡ ɐ l ɐ
ಅಗಲು	ɐ ɡ ɐ l u
ಅಗಸೆ	ɐ ɡ ɐ s e
ಅಗಿ	ɐ ɡ i
ಅಗಿಲು	ɐ ɡ i l u
ಅಗುರ್ವು	ɐ ɡ u ɾ ʋ u
ಅಗೆ	ɐ ɡ e
ಅಗ್ನಿ	ɐ ɡ n̪ i
ಅಗ್ನಿಪರ್ವತ	ɐ ɡ n̪ i p ɐ ɾ ʋ ɐ t̪ ɐ
ಅಘನಾಶಿನಿ	ɐ ɡʱ ɐ n̪ aː ʃ i n̪ i
