A	ʔ aː ˧˧
A Di Đà	ʔ aː ˧˧ j ɪ j ˧˧ ʔ ɗ aː ˨˩
A Di Đà Phật	ʔ aː ˧˧ j ɪ j ˧˧ ʔ ɗ aː ˨˩ f ə k̚ ˨˩˨
A Lưới	ʔ aː ˧˧ l ɨ j ˦˥
A Lịch Sơn	ʔ aː ˧˧ l ɨ t̚ ˨˩˨ s əː ŋ ˧˧
A Lịch Sơn	ʔ aː ˧˧ l ɨ t̚ ˨˩˨ ʂ əː ŋ ˧˧
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ɨ t̚ ˨˩˨ s əː ŋ ˧˧ ʔ ɗ a k̚ ˦˥ l o w ˨˩˨
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ɨ t̚ ˨˩˨ ʂ əː ŋ ˧˧ ʔ ɗ a k̚ ˦˥ l o w ˨˩˨
A Phú Hãn	ʔ aː ˧˧ f ʊ w ˦˥ h aː ŋ ˨˩˦
A Q	ʔ aː ˧˧ w ɪ j ˧˧
A Sào	ʔ aː ˧˧ s aː w ˨˩
A Sào	ʔ aː ˧˧ ʂ aː w ˨˩
A Tu La	ʔ aː ˧˧ t ʊ w ˧˧ l aː ˧˧
A Tư Đà	ʔ aː ˧˧ t ɨ ˧˧ ʔ ɗ aː ˨˩
ACE	ʔ a n ˧˧ c ɪ j ˨˩˨ ʔ ɛ m ˧˧
ADN	ʔ aː ˧˧ ʔ ɗ e j ˧˧ ʔ ɛ ŋ ˧˧
AI	ʔ ə j ˧˧ ʔ aː j ˧˧
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˨˩˨ s ɨ n ˧˧
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˨˩˨ ʂ ɨ n ˧˧
AQ	ʔ aː ˧˧ w ɪ j ˧˧
Ai Ca	ʔ aː j ˧˧ k aː ˧˧
Ai Cập	ʔ aː j ˧˧ k ə p̚ ˨˩˨
Ai Cập cổ đại	ʔ aː j ˧˧ k ə p̚ ˨˩˨ k o w ˨˩˦ ʔ ɗ aː j ˨˩˨
Ai Lao	ʔ aː j ˧˧ l aː w ˧˧
Alexanđê	ʔ aː ˧˧ l ɛ k̚ ˦˥ s aː ŋ ˧˧ ʔ ɗ e j ˧˧
Ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o w ˧˧ s ɪ j ˧˧ ʔ o w ˧˧
An	ʔ aː ŋ ˧˧
An Dương	ʔ aː ŋ ˧˧ j ɨ ə ŋ ˧˧
An Giang	ʔ aː ŋ ˧˧ j aː ŋ ˧˧
An Huy	ʔ aː ŋ ˧˧ w ɪ j ˧˧
An Hải	ʔ aː ŋ ˧˧ h aː j ˨˩˦
An Lão	ʔ aː ŋ ˧˧ l aː w ˨˩˦
An Lê Mân	ʔ aː ŋ ˧˧ l e j ˧˧ m ə ŋ ˧˧
An Nam	ʔ aː ŋ ˧˧ n aː m ˧˧
An Ngãi	ʔ aː ŋ ˧˧ ŋ aː j ˨˩˦
An Phong	ʔ aː ŋ ˧˧ f a w ŋ͡m ˧˧
An Tôn	ʔ aː ŋ ˧˧ t o ŋ ˧˧
An Vĩnh	ʔ aː ŋ ˧˧ j ɨ n ˨˩˦
An Vĩnh	ʔ aː ŋ ˧˧ v ɨ n ˨˩˦
Anh	ʔ a n ˧˧
Anh Cát Lợi	ʔ a n ˧˧ k aː k̚ ˦˥ l əː j ˨˩˨
Anh Quốc	ʔ a n ˧˧ w ə k̚ ˦˥
Anh giáo	ʔ a n ˧˧ j aː w ˦˥
Anh ngữ	ʔ a n ˧˧ ŋ ɨ ˨˩˦
Anh văn	ʔ a n ˧˧ j a ŋ ˧˧
Anh văn	ʔ a n ˧˧ v a ŋ ˧˧
Anphongsô	ʔ aː ŋ ˧˧ f a w ŋ͡m ˧˧ s o w ˧˧
Anphongsô	ʔ aː ŋ ˧˧ f a w ŋ͡m ˧˧ ʂ o w ˧˧
Anphonsô	ʔ aː ŋ ˧˧ f ɔ ŋ ˧˧ s o w ˧˧
Anphonsô	ʔ aː ŋ ˧˧ f ɔ ŋ ˧˧ ʂ o w ˧˧
Antôn	ʔ aː ŋ ˧˧ t o ŋ ˧˧
Anê	ʔ aː ŋ ˧˧ n e j ˧˧
Augustinô	ʔ a w ˧˧ ɣ ʊ w ˧˧ s t ɨ n ˧˧ n o w ˧˧
Augustinô	ʔ aː w ˧˧ ɣ ʊ w ˧˧ s t ɨ n ˧˧ n o w ˧˧
B	ʔ ɓ e j ˧˧
B	ʔ ɓ e j ˧˧ ʔ ɓ ɔ ˨˩
B	ʔ ɓ əː ˨˩
BLDS	ʔ ɓ o w ˨˩˨ l ⁽ʷ ⁾ ə k̚ ˨˩˨ j ə ŋ ˧˧ s ɨ ˨˩˨
BLDS	ʔ ɓ o w ˨˩˨ l ⁽ʷ ⁾ ə k̚ ˨˩˨ j ə ŋ ˧˧ ʂ ɨ ˨˩˨
BTC	ʔ ɓ aː ŋ ˧˧ t o w ˨˩˦ c ɨ k̚ ˦˥
Ba Chúc	ʔ ɓ aː ˧˧ c ʊ w k͡p̚ ˦˥
Ba Lan	ʔ ɓ aː ˧˧ l aː ŋ ˧˧
Ba Lê	ʔ ɓ aː ˧˧ l e j ˧˧
Ba Na	ʔ ɓ aː ˧˧ n aː ˧˧
Ba Nhĩ Cán	ʔ ɓ aː ˧˧ ɲ ɪ j ˨˩˦ k aː ŋ ˦˥
Ba Tàu	ʔ ɓ aː ˧˧ t a w ˨˩
Ba Tàu	ʔ ɓ aː ˧˧ t aː w ˨˩
Ba Tây	ʔ ɓ aː ˧˧ t ə j ˧˧
Ba Tư	ʔ ɓ aː ˧˧ t ɨ ˧˧
Ba Vì	ʔ ɓ aː ˧˧ j ɪ j ˨˩
Ba Vì	ʔ ɓ aː ˧˧ v ɪ j ˨˩
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ j ˧˧ s a w ˦˥ k e j ˦˥
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ j ˧˧ s aː w ˦˥ k e j ˦˥
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ j ˧˧ ʂ a w ˦˥ k e j ˦˥
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ j ˧˧ ʂ aː w ˦˥ k e j ˦˥
Ba Đình	ʔ ɓ aː ˧˧ ʔ ɗ ɨ n ˨˩
Baidu	ʔ ɓ aː j ˧˧ ʔ ɗ ʊ w ˧˧
Ban Chấp hành Trung ương	ʔ ɓ aː ŋ ˧˧ c ə p̚ ˦˥ h a n ˨˩ ʈ ʊ w ŋ͡m ˧˧ ʔ ɨ ə ŋ ˧˧
Ban Mê Thuột	ʔ ɓ aː ŋ ˧˧ m e j ˧˧ tʰ u ə k̚ ˨˩˨
Batôlômêô	ʔ ɓ aː ˧˧ t o w ˧˧ l o w ˧˧ m e j ˧˧ ʔ o w ˧˧
Bi	ʔ ɓ ɪ j ˧˧
Bin	ʔ ɓ ɨ n ˧˧
Binh pháp Tôn Tử	ʔ ɓ ɨ n ˧˧ f aː p̚ ˦˥ t o ŋ ˧˧ t ɨ ˨˩˦
Biên Hoà	ʔ ɓ i ə ŋ ˧˧ w aː ˨˩
Biên Xích	ʔ ɓ i ə ŋ ˧˧ s ɨ t̚ ˦˥
Biển Bắc	ʔ ɓ i ə ŋ ˨˩˦ ʔ ɓ a k̚ ˦˥
Biển Chết	ʔ ɓ i ə ŋ ˨˩˦ c əː t̚ ˦˥
Biển Na Uy	ʔ ɓ i ə ŋ ˨˩˦ n aː ˧˧ w ɪ j ˧˧
Biển Na Uy	ʔ ɓ i ə ŋ ˨˩˦ n aː ˧˧ ʔ w ɪ j ˧˧
Biển Trắng	ʔ ɓ i ə ŋ ˨˩˦ ʈ a ŋ ˦˥
Biển Đen	ʔ ɓ i ə ŋ ˨˩˦ ʔ ɗ ɛ ŋ ˧˧
Biển Đông	ʔ ɓ i ə ŋ ˨˩˦ ʔ ɗ ə w ŋ͡m ˧˧
Biển Đỏ	ʔ ɓ i ə ŋ ˨˩˦ ʔ ɗ ɔ ˨˩˦
Biển Đức	ʔ ɓ i ə ŋ ˨˩˦ ʔ ɗ ɨ k̚ ˦˥
Biện Hàn	ʔ ɓ i ə ŋ ˨˩˨ h aː ŋ ˨˩
Biện Tài	ʔ ɓ i ə ŋ ˨˩˨ t aː j ˨˩
Bo	ʔ ɓ ɔ ˧˧
Bon	ʔ ɓ ɔ ŋ ˧˧
Brigitta	ʔ ɓ ɹ ɪ j ˧˧ j ɨ t̚ ˦˥ t aː ˧˧
Brâu	ʔ ɓ ɹ ə w ˧˧
Buôn Ma Thuột	ʔ ɓ u ə ŋ ˧˧ m aː ˧˧ tʰ u ə k̚ ˨˩˨
Bà La Môn	ʔ ɓ aː ˨˩ l aː ˧˧ m o ŋ ˧˧
Bà Nà	ʔ ɓ aː ˨˩ n aː ˨˩
Bàn Cổ	ʔ ɓ aː ŋ ˨˩ k o w ˨˩˦
Bàn Môn Điếm	ʔ ɓ aː ŋ ˨˩ m o ŋ ˧˧ ʔ ɗ i m ˦˥
Bành	ʔ ɓ a n ˨˩
Bành Hồ	ʔ ɓ a n ˨˩ h o w ˨˩
Bá Linh	ʔ ɓ aː ˦˥ l ɨ n ˧˧
Bác	ʔ ɓ aː k̚ ˦˥
Bác Hồ	ʔ ɓ aː k̚ ˦˥ h o w ˨˩
Bác Nhĩ Truật	ʔ ɓ aː k̚ ˦˥ ɲ ɪ j ˨˩˦ ʈ ⁽ʷ ⁾ ə k̚ ˨˩˨
Bác Tôn	ʔ ɓ aː k̚ ˦˥ t o ŋ ˧˧
Bác Đạt	ʔ ɓ aː k̚ ˦˥ ʔ ɗ aː k̚ ˨˩˨
Bách	ʔ ɓ a t̚ ˦˥
Bách Khoa	ʔ ɓ a t̚ ˦˥ kʰ w aː ˧˧
Bách Tế	ʔ ɓ a t̚ ˦˥ t e j ˦˥
