A	aː
Aadem	ɔː t ə m
Aademseppel	ɔː t ə m s e p l̩
Aadler	ɔː t l ɐ
Aandacht	ɔː n t a x t
Aanfang	ɔː n f a ŋ
Aanfenger	ɔː n f ɛ ŋ ɐ
Aanstreiche	ɔː n ʃ t r a ɪ̯ ç ə
Aanstrengung	ɔː n ʃ t r ɛ ŋ u ŋ
Aanung	ɔː n u ŋ
Aanzugh	ɔː n t͡s uː ç
Aapehoer	ɔː p ə h oː ɐ
Aarem	ɔː r m̩
Aarmel	ɔː r m l̩
Aarmut	ɔː r m uː t
Aarsch	ɔː ʃ
Aarschback	ɔː ʃ p a k
Aarschdaarem	ɔː ʃ t ɔː r m̩
Aarschdäärem	ɔː ʃ t ɛː r m̩
Aarschloch	ɔː ʃ l o x
Aart	ɔː t
Aarvet	ɔː r v ə t
Aarveter	ɔː r v ə t ɐ
Aaugust	ɔː k u ʃ t
Abakaschi	a p a k a ʃ i
Abakatt	a p a k a t
Abakattebaam	a p a k a t ə p ɔː m
Abakus	aː p a k u s
Abaschur	a p a ʃ uː r
Abbau	a p p a ʊ̯
Abbildung	a p p i l d u ŋ
Abiu	a p i ʊ̯
Achs	a k s
Achteck	a x t e k
Achtel	a x t l̩
Aff	a f
Afrikaaner	a f r i k ɔː n ɐ
Aluminium	a l u m iː n i u m
April	a p r i l
April	a p r iː l
Arschentina	a r ʃ n̩ t iː n a
Asilee	a s i l eː
Astre	a ʃ t r ə
Au	a ʊ̯
Aue	a ʊ̯ ə
August	a ʊ̯ k u ʃ t
Australiaaner	a ʊ̯ ʃ t r a l i ɔː n ɐ
Australje	a ʊ̯ ʃ t r a l j ə
Auto	a ʊ̯ t o
Aviong	a v i ɔ ŋ
Baad	p ɔː t
Baadezimmer	p ɔː r ə t͡s i m ɐ
Baam	p ɔː m
Baart	p ɔː t
Banann	p a n a n
Beeder	p eː r ɐ
Been	p eː n
Beer	p eː ɐ
Beil	p a ɪ̯ l
Belche	p e l ç ə
Berrich	p ɛ r i ç
Bier	p iː ɐ
Bild	p i l t
Blaat	p l ɔː t
Blau	p l a ʊ̯
Blud	p l uː t
Blumm	p l u m
Boddem	p o r m̩
Bohn	p oː n
Bolasch	p o l a ʃ
Boot	p oː t
Bopp	p o p
Brasil	p r a s i l
Braun	p r a ʊ̯ n
Brick	p r i l
Brief	p r iː f
Brieh	b r iː
Brod	p r oː t
Bruch	p r u x
Brunne	p r u n ə
Brust	p r u ʃ t
Bub	p uː p
Buch	p u x
Buger	p uː k ɐ
Butter	p u t ɐ
Bäer	p ɛː ɐ
Bërinschela	p e r i n ʃ e l a
Casal	k a s a l
China	ʃ iː n a
Daa	t ɔː
Daabheet	t ɔː p h eː t
Daabheit	t ɔː p h a ɪ̯ t
Daaf	t ɔː f
Daafel	t ɔː f l̩
Daagh	t ɔː x
Daal	t ɔː l
Daarem	t ɔː r m̩
Dach	t a x
Dachs	t a k s
Damm	t a m
Damp	t a m p
Dank	t a ŋ k
Dann	t a n
Daume	t a ʊ̯ m ə
Deer	t eː ɐ
Deitsch	t a ɪ̯ t͡ʃ
Deitschland	t a ɪ̯ t͡ʃ l a n t
Deivel	t a ɪ̯ v l̩
Dezember	t eː t͡s ɛ m p ɐ
Dier	t iː ɐ
Disch	t i ʃ
Dod	t oː t
Dorn	t ɔ n
Draum	t r a ʊ̯ m
Dreen	t r eː n
Dunkelblau	t u ŋ k l̩ p l a ʊ̯
Dunkelgrien	t u ŋ k l̩ k r iː n
Eel	eː l
Eesterreich	eː ʃ t ə r a i ç
Eher	eː ɐ
Eherlichkeet	eː ɐ l i ç kʰ eː t
Eherlichkeit	eː ɐ l i ç kʰ a ɪ̯ t
Eich	a ɪ̯ ç
Eis	a ɪ̯ s
Eise	a ɪ̯ s ə
Enn	ɛ n
Ent	ɛ n t
Eppel	e p l̩
Erreb	ɛ r ə p
Esponja	e s p o ŋ ʃ a
Esse	e s ə
Eu	ɔ ɪ̯
Faan	f aː n
Faan	f ɔː n
Fabrick	f a p r i k
Fallek	f a l ə k
Fatter	f a t ɐ
Faust	f a ʊ̯ ʃ t
Februa	f eː p r u aː
Februer	f eː p r u ɐ
Feier	f a ɪ̯ ɐ
Feilche	f a ɪ̯ l ç ə
Feind	f a ɪ̯ n t
Fenster	f ɛ n ʃ t ɐ
Fest	f e ʃ t
Fetter	f e t ɐ
Finger	f i ŋ ɐ
Fisch	f i ʃ
Fluss	f l u s
Foghel	f oː x l̩
Forreb	f ɔ r ə b
Fraa	f r ɔː
Frankreich	f r a ŋ k r a ɪ̯ ç
Franzeesisch	f r a n t͡s eː s i ʃ
Franzoos	f r a n t͡s oː s
Freind	f r a ɪ̯ n t
Frihling	f r iː l i ŋ
Froh	f r oː
Frucht	f r u x t
Fuer	f uː ɐ
Fumm	f u m
Fummstecker	f u m ʃ t e k ɐ
Fummstock	f u m ʃ t o k
Fusball	f uː s p a l
Gaarte	k ɔː t ə
Gaul	k a ʊ̯ l
Gedrenk	k ə t r ɛ ŋ k
Geel	k eː l
Geld	k e l t
Gelechenheet	k ə l e ç n̩ h eː t
Gelleb	k e l ə p
Gellebrieb	k e l ə p r iː p
Gemies	k ə m iː s
Gescherr	k ə ʃ ɛ r
Gesicht	k ə s i ç t
Gesundheet	k ə s u n t h eː t
Gesundheit	k ə s u n t h a ɪ̯ t
Gewisse	k ə v i s ə
Gift	k i f t
Glaas	k l ɔː s
Glick	k l i k
Goiaab	k o j aː p
Goiaab	k o j ɔː p
Gold	k o l t
Gott	k ɔ t
Graas	k r ɔː s
Granitt	k r a n i t
Grau	k r a ʊ̯
Griecheland	k r iː ç ə l a n d
Grien	k r iː n
Gripp	k r i p
Grummbeer	k r u m p eː ɐ
Grund	k r u n t
Haan	h ɔː n
Hand	h a n t
Handduch	h a n t t u x
Hauptstatt	h a u p t ʃ t a t
Haus	h a ʊ̯ s
Haut	h a ʊ̯ t
Heft	h e f t
Hehl	h eː l
Hellblau	h ɛ l p l a ʊ̯
Hellgrien	h e l k r iː n
Hemm	h ɛ m
Herr	h ɛ r
Herrebst	h ɛ r ə p ʃ t
Herz	h ɛ t͡s
Hex	h e k s
Hexenacht	h e k s ə n a x t
Himd	h i m t
Himmel	h i m l̩
Hoss	h o s
Hund	h u n t
Hunsrick	h u n s r i k
Hunsrickisch	h u n s r i k i ʃ
Insel	i n s l̩
Internet	i n t ɐ n e t
Italia	i t a l i a
Italia	i t aː l i a
Italje	i t a l j ə
Italje	i t aː l j ə
Januer	j a n u ɐ
Januer	j aː n u ɐ
Joher	j oː ɐ
Johreszeid	j oː r ə s t͡s a ɪ̯ t
Juli	j uː l i
Juni	j uː n i
Kabock	k a p o k
Kaffi	kʰ a f i
Kaiser	kʰ a ɪ̯ s ɐ
Kalenner	kʰ a l ɛ n ɐ
Kamiong	kʰ a m i ɔ ŋ
Kamm	kʰ a m
Kamp	kʰ a m p
Kanal	kʰ a n a l
Kanale	kʰ a n a l ə
Kanecker	kʰ a n e k ɐ
Kanon	kʰ a n oː n
Kanone	kʰ a n oː n ə
Kapital	kʰ a p i t aː l
Kapitel	kʰ a p i t l̩
Kapsel	kʰ a p s l̩
Kapsle	kʰ a p s l ə
Karette	kʰ a r e t ə
Karre	kʰ a r ə
Kartoffel	kʰ a t o f l̩
Kaste	kʰ a ʃ t ə
Katee	kʰ a t eː
Katz	kʰ a t͡s
Katze	kʰ a t͡s ə
Kech	k e x
Keefer	kʰ eː f ɐ
Keenich	kʰ eː n i ç
Keenichin	kʰ eː n i ç i n
Kees	kʰ eː s
Keim	kʰ a ɪ̯ m
Keller	kʰ e l ɐ
Kellich	kʰ e l i ç
Kelt	kʰ e l t
Kepp	kʰ e p
Kerl	kʰ ɛ l
Kerle	kʰ ɛ l ə
Kern	kʰ ɛ n
Kerne	kʰ ɛ n ə
Kerner	kʰ ɛ n ɐ
Kerreb	kʰ e r ə p
Kerrich	kʰ ɛ r i ç
Kerze	kʰ ɛ t͡s ə
Kessel	kʰ e s l̩
Kessle	kʰ e s l ə
Kett	kʰ e t
Kette	kʰ e t ə
Kich	kʰ i ç
Kiche	kʰ i ç ə
Kih	kʰ iː
Kilogramm	kʰ i l o k r a m
Kilometer	kʰ i l o m eː t ɐ
Kind	kʰ i n t
Kinn	kʰ i n
Kinner	kʰ i n ɐ
Kiss	kʰ i s
Kisse	kʰ i s ə
Kist	kʰ i ʃ t
Kiste	kʰ i ʃ t ə
Kittel	kʰ i t l̩
Klamm	k l a m
Klamme	k l a m ə
Klang	k l a ŋ
Klarinett	k l a ɾ i n e t
Klarinette	k l a r i n e t ə
Klass	k l a s
Klasse	k l a s ə
Kleiderschrank	k l a ɪ̯ r ɐ ʃ r a ŋ k
Kleng	k l e ŋ
Kles	k l eː s
Klingel	k l i ŋ l̩
Klos	k l oː s
Knall	k n a l
Knecht	k n e ç t
Knepp	k n e p
Knie	k n iː
Knipp	kʰ n i p
Knoche	k n o x ə
Knopp	k n o p
Knupp	kʰ n u p
Knuppe	kʰ n u p ə
Koch	k o x
Koffer	kʰ o f ɐ
Kohl	kʰ oː l
Kohle	kʰ oː l ə
Kokes	kʰ oː k ə s
Kolonie	kʰ o l o n iː
Komme	kʰ ɔ m ə
Kommunion	kʰ o m u n i̯ oː n
Kommunione	kʰ o m u n i̯ oː n ə
Komputatoer	k o m p u t a t oː ɐ
Konferenz	kʰ o n f ə r ɛ n t͡s
Konferenze	kʰ o n f ə r ɛ n t͡s ə
Konkurrenz	kʰ o ŋ k u r ɛ n t͡s
Konkurrenze	kʰ o ŋ k u r ɛ n t͡s ə
Konsum	k ɔ n s uː m
Kontinent	kʰ o n t i n ɛ n t
Kontinente	kʰ o n t i n ɛ n t ə
Konto	kʰ o n t o
Kopp	kʰ o p
Korn	kʰ ɔ n
Korreb	kʰ ɔ r ə p
Korst	kʰ ɔ ʃ t
Korste	kʰ ɔ ʃ t ə
Kot	k ɔ t
Kraan	k r ɔː n
Krach	k r a x
Kraft	k r a f t
Krall	k r a l
Kralle	k r a l ə
Kramm	k r a m
Kranz	k r a n s
Kranz	k r a n t͡s
Kraut	k r a ʊ̯ t
Kravatt	k r a v a t
Krebs	k r e p s
Krech	k r e x
Krees	k r eː s
Kreft	k r e f t
Kreh	k r eː
Krem	k r eː m
Kreme	k r eː m ə
Kremp	k r ɛ m p
Krempe	k r ɛ m p ə
Krepp	k r e p
Kress	k r e s
Kresse	k r e s ə
Kriegh	k r iː ç
Kripp	k r i p
Krippe	k r i p ə
Krist	k r i ʃ t
Kristall	k r i ʃ t a l
Kristalle	k r i ʃ t a l ə
Krokodill	k ɾ o k o t i l
Kron	k r oː n
Krone	k r oː n ə
Kropp	k r o p
Kuh	kʰ uː
Kuhmist	kʰ uː m i ʃ t
Kuhstall	kʰ uː ʃ t a l
Kui	kʰ u ɪ̯
Kulture	kʰ u l t uː r ə
Kump	kʰ u m p
Kunst	kʰ u n ʃ t
Kupper	kʰ u p ɐ
Kurve	kʰ u r v ə
Kuss	kʰ u s
Kuvert	kʰ u v ɛ t
Laab	l ɔː p
Laade	l ɔː r ə
Lache	l a x ə
Lamm	l a m
Lamp	l a m p
Lampe	l a m p ə
Land	l a n t
Landkaart	l a n t kʰ ɔː t
Lanz	l a n s
Lanz	l a n t͡s
Lascheaatemesich	l a ʃ e ɔː t ə m eː s i ç
Lasse	l a s ə
Latein	l a t a ɪ̯ n
Laterne	l a t ɛ n ə
Laus	l a ʊ̯ s
Laut	l a ʊ̯ t
Lecher	l e x ɐ
Leeb	l eː p
Leed	l eː t
Leef	l eː f
Leefer	l eː f ɐ
Leer	l eː ɐ
Leere	l eː r ə
Leerer	l eː r ɐ
Leffel	l e f l̩
Lehm	l eː m
Lehn	l eː n
Lehne	l eː n ə
Leib	l a ɪ̯ p
Lein	l a ɪ̯ n
