'ch	χ
'm	m
'ma	m a
'mond	m ɔ n d
'ny	n ɨ̞
'r	r
'sti	s d iː
'sti	s d ɪ
'th	θ
'u	i̯
'y	ə
A	aː
Aberaeron	a b ɛ r e ɨ̯ r ɔ n
Aberafan	a b ɛ r a v a n
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
Aberdâr	a b ɛ r d aː r
Abergele	a b ɛ r ɡ ɛ l ɛ
Abergwaun	a b ɛ r ɡ w a ɨ̯ n
Aberhonddu	a b ɛ r h ɔ n ð ɨ
Abermaw	a b ɛ r m a u̯
Abermaw	a b ɛ r m ɔ
Abermaw	b ɛ r m ɔ
Abertawe	a b ɛ r t a u̯ ɛ
Aberteifi	a b ɛ r t e i̯ v i
Aberystwyth	a b ɛ r ə s d w ɨ̞ θ
Adda	a ð a
Addien	a ð i ɛ n
Adfent	a d v ɛ n t
Adwen	a d w ɛ n
Aeddan	e i̯ ð a n
Aeddon	e i̯ ð ɔ n
Aelan	e i̯ l a n
Aelwen	e i̯ l w ɛ n
Aelwyn	e i̯ l w ɪ n
Aeres	e ɨ̯ r ɛ s
Aerfen	e i̯ r v ɛ n
Aeron	e i̯ r ɔ n
Aerona	e i̯ r oː n a
Aeronwen	e i̯ r ɔ n
Aeronwy	e i̯ r ɔ n ʊ i̯
Aethwy	e i̯ θ ʊ i̯
Afallon	a v a ɬ ɔ n
Afan	a v a n
Affganistan	a f ɡ a n ɪ s d a n
Affrica	a f r ɪ k a
Affrig	a f r ɪ ɡ
Afonwy	a v ɔ n ʊ i̯
Agnes	a ɡ n ɪ s
Agnest	a ɡ n ɛ s t
Aidan	e i̯ d ə n
Aiden	e i̯ d ə n
Aifft	a i̯ f d
Aifft	ə r a i̯ f d
Alan	a l a n
Alana	a l a n a
Alaw	a l a u̯
Alawn	a l a u̯ n
Alban	a l b a n
Alban	ə r a l b a n
Albaneg	a l b a n ɛ ɡ
Albania	a l b a n j a
Alcwyn	a l k ʊ i̯ n
Aldith	a l d ɪ θ
Aldrydd	a l d r ə ð
Aldwyn	a l d ʊ i̯ n
Aldwyth	a l d ʊ i̯ θ
Aldyth	a l d ɪ θ
Alec	a l ɪ k
Aled	a l ɛ d
Algeria	a l d͡ʒ iː r j a
Algeria	a l d͡ʒ ɛ r j a
Alis	a l ɨ̞ s
Alltwen	a ɬ t w ɛ n
Allwyd	a ɬ ʊ i̯ d
Almaen	a l m a ɨ̯ n
Almaen	ə r a l m a ɨ̯ n
Almaeneg	a l m e ɨ̯ n ɛ ɡ
Almaenwr	a l m e ɨ̯ n ʊ r
Alon	a l ɔ n
Alpaidd	a l p a i̯ ð
Alpaidd	a l p ɛ ð
Alpau	a l p a
Alpau	a l p a ɨ̯
Alpau	a l p ɛ
Alun	a l ɪ n
Aluna	a l ɪ n a
Alwen	a l w ɛ n
Alwena	a l w ɛ n a
Alwina	a l w ɪ n a
Alwyn	a l ʊ i̯ n
Alys	a l ɨ̞ s
Aman	a m a n
Amanwy	a m a n ʊ i̯
America	a m ɛ r ɪ k a
Amerig	a m ɛ r ɪ ɡ
Amerig	ə r a m ɛ r ɪ ɡ
Amig	a m ɪ ɡ
Amlawdd	a m l a u̯ ð
Amlodd	a m l oː ð
Amlyn	a m l ɪ n
Amos	a m ɔ s
Amranwen	a m r a n w ɛ n
Amwythig	a m ʊ ɨ̯ θ ɪ ɡ
Anarawd	a n a r a u̯ d
Andras	a n d r a s
Andreas	a n d r ɛ a s
Andro	a n d r oː
Aneira	a n e i̯ r a
Aneirin	a n e ɨ̯ r ɪ n
Aneirwen	a n e i̯ r w ɛ n
Anes	a n ɛ s
Anest	a n ɛ s t
Aneurin	a n e ɨ̯ r ɪ n
Angell	a n ɡ ɛ ɬ
Angharad	a ŋ h a r a d
Angola	a ŋ ɡ ɔ l a
Anhun	a n h ɨ̞ n
Ania	a n j a
Anian	a n j a n
Anita	a n ɨ t a
Anlawdd	a n l a u̯ ð
Ann	a n
Anna	a n a
Annalyn	a n a l ɨ̞ n
Annell	a n ɛ ɬ
Annes	a n ɛ s
Annest	a n ɛ s t
Anni	a n ɨː
Annun	a n ɨ n
Annwyl	a n ʊ ɨ̯ l
Anona	a n ɔ n a
Antigwa	a n t ɪ ɡ w a
Antur	a n t ɨ̞ r
Anwen	a n w ɛ n
Anwn	a n ʊ n
Anwyl	a n ʊ ɨ̯ l
Anwylyn	a n ʊ ɨ̯ l ɨ n
Arad	a r a d
Aran	a r a n
Aranli	a r a n l i
Arglwydd	a r ɡ l ʊ ɨ̯ ð
Arglwyddes	a r ɡ l ʊ ɨ̯ ð ɛ s
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s a ɨ̯
Arglwyddesau	a r ɡ l ʊ ɨ̯ ð ɛ s ɛ
Ariannin	a r j a n ɪ n
Ariannin	ə r a r j a n ɪ n
Arianrhod	a r j a n r̥ ɔ d
Armenia	a r m ɛ n j a
Arthwys	a r θ ʊ ɨ̯ s
Arwel	a r w ɛ l
Aserbaijan	a s ɛ r b a i̯ d͡ʒ a n
Athen	a θ ɛ n
Awen	a u̯ ɛ n
Awst	a u̯ s d
Awstralia	a u̯ s d r a l j a
Awstria	a u̯ s d r j a
Bahamas	b a h a m a s
Bangor	b a ŋ ɡ ɔ r
Baragwâi	b a r a ɡ w aː i̯
Barbados	b a r b eː d ɔ s
Barbiwda	b a r b ɪ u̯ d a
Baris	b a r ɪ s
Barri	b a r i
Barti	b a r t ɪ
Bedr	b ɛ d r
Beibl	b e i̯ b l
Beiblau	b e i̯ b l a
Beiblau	b e i̯ b l a ɨ̯
