เʼงียง	ˀŋ i a̯ ŋ
ʼญือ	ˀɲ ɨ
เʼญียะ	ˀɲ i a̯ ʔ
เʼนะ	ˀn e ʔ
ʼมา	ˀm a
โʼมก	ˀm o k
ʼยวง	ˀj u a̯ ŋ
ʼรฺอง	ˀɣ ɔ ŋ
ʼลัง	ˀl a ŋ
กยัก	k j a k
กวน	k u a̯ n
กะ	k a ʔ
กัก	k a k
กัด	k a t
กา	k a
กิฮ	k i h
โกลง	k l o ŋ
คิฮ	kʰ i h
เคลือก	kʰ l ɨ a̯ k
เคิง	kʰ ə ŋ
แคะ	kʰ ɛ ʔ
โคะ	kʰ o ʔ
ฆ̱รือ	ᵑɡ r ɨ
ฆ̱ิ	ᵑɡ i ʔ
ฆ̱ึ	ᵑɡ ɨ ʔ
งอ	ŋ ɔ
จัก	c a k
ชิฮ	cʰ i h
เชือม	cʰ ɨ a̯ m
ซัง	s a ŋ
เซอ	s ə
เซาะ	s ɔ ʔ
โซม	s o m
เฌ̱ือม	ᶮɟ ɨ a̯ m
ญึม	ɲ ɨ m
ญือ	ɲ ɨ
เญือะ	ɲ ɨ a̯ ʔ
ด̱อฮ	ⁿd ɔ h
ด̱ัก	ⁿd a k
ดึง	d ɨ ŋ
โด̱ง	ⁿd o ŋ
ตอม	t ɔ m
เตฮ	t e h
เตีย	t i a̯
แตบ	t ɛ p
โตม	t o m
โตะ	t o ʔ
ทอง	tʰ ɔ ŋ
ที	tʰ i
แนฮ	n ɛ h
บ̱ลัก	ᵐb l a k
บ̱ิญ	ᵐb i ɲ
บัก	b a k
บุง	b u ŋ
โบ̱ง	ᵐb o ŋ
ปยัง	p j a ŋ
ปรัง	p r a ŋ
ปลอง	p l ɔ ŋ
ปัง	p a ŋ
ปัว	p u a̯
ปู	p u
แป	p ɛ
แปะ	p ɛ ʔ
พยุ	pʰ j u ʔ
พรัง	pʰ r a ŋ
พอน	pʰ ɔ n
พัก	pʰ a k
โพลก	pʰ l o k
เฟือ	f ɨ a̯
เฟือะ	f ɨ a̯ ʔ
มอง	m ɔ ŋ
เมอะ	m ə ʔ
โม	m o
ยวก	j u a̯ k
ยุม	j u m
เยือม	j ɨ a̯ m
รฺะ	ɣ a ʔ
แรม	r ɛ m
ลอม	l ɔ m
ลึง	l ɨ ŋ
เล	l e
เละ	l e ʔ
เวือก	w ɨ a̯ k
ออ	ʔ ɔ
อัวะ	ʔ u a̯ ʔ
แอ	ʔ ɛ
ฮญือ	ʰɲ ɨ
ฮนัง	ʰn a ŋ
ฮมา	ʰm a
ฮรัง	ʰr a ŋ
ฮรฺัง	ʰɣ a ŋ
ฮละ	ʰl a ʔ
ฮัก	h a k
เฮงาะ	ʰŋ ɔ ʔ
แฮ	h ɛ
โฮมะ	ʰm o ʔ
