A	ʔ aː ˧˧
A Di Đà	ʔ aː ˧˧ j ɪ j ˧˧ ʔ ɗ aː ˦˩
A Di Đà Phật	ʔ aː ˧˧ j ɪ j ˧˧ ʔ ɗ aː ˦˩ f ə k̚ ˨˩ ʔ
A Lưới	ʔ aː ˧˧ l ɨ j ˨˩˦
A Lịch Sơn	ʔ aː ˧˧ l ɨ t̚ ˨˩ ʔ s əː ŋ ˧˧
A Lịch Sơn	ʔ aː ˧˧ l ɨ t̚ ˨˩ ʔ ʂ əː ŋ ˧˧
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ɨ t̚ ˨˩ ʔ s əː ŋ ˧˧ ʔ ɗ a k̚ ˦˧˥ l o w ˨˩ ʔ
A Lịch Sơn Đắc Lộ	ʔ aː ˧˧ l ɨ t̚ ˨˩ ʔ ʂ əː ŋ ˧˧ ʔ ɗ a k̚ ˦˧˥ l o w ˨˩ ʔ
A Phú Hãn	ʔ aː ˧˧ f ʊ w ˨˩˦ h aː ŋ ˧˨
A Q	ʔ aː ˧˧ k w ɪ j ˧˧
A Sào	ʔ aː ˧˧ s aː w ˦˩
A Sào	ʔ aː ˧˧ ʂ aː w ˦˩
A Tu La	ʔ aː ˧˧ t ʊ w ˧˧ l aː ˧˧
A Tư Đà	ʔ aː ˧˧ t ɨ ˧˧ ʔ ɗ aː ˦˩
ACE	ʔ ɛ ɲ ˧˧ t͡ɕ ɪ j ˨˩ ʔ ʔ ɛ m ˧˧
ADN	ʔ aː ˧˧ ʔ ɗ e j ˧˧ ʔ ɛ ŋ ˧˧
AI	ʔ ə j ˧˧ ʔ aː j ˧˧
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˨˩ ʔ s ɨ n ˧˧
AI tạo sinh	ʔ ə j ˧˧ ʔ aː j ˧˧ t aː w ˨˩ ʔ ʂ ɨ n ˧˧
Ai Cập	ʔ aː j ˧˧ k ə p̚ ˨˩ ʔ
Ai Cập cổ đại	ʔ aː j ˧˧ k ə p̚ ˨˩ ʔ k o w ˧˨ ʔ ɗ aː j ˨˩ ʔ
Ai Lao	ʔ aː j ˧˧ l aː w ˧˧
Alexanđê	ʔ aː ˧˧ l ɛ k̚ ˦˧˥ s aː ŋ ˧˧ ʔ ɗ e j ˧˧
Ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o w ˧˧ s ɪ j ˧˧ ʔ o w ˧˧
An	ʔ aː ŋ ˧˧
An Dương	ʔ aː ŋ ˧˧ j ɨ ə ŋ ˧˧
An Giang	ʔ aː ŋ ˧˧ j aː ŋ ˧˧
An Huy	ʔ aː ŋ ˧˧ h w ɪ j ˧˧
An Hải	ʔ aː ŋ ˧˧ h aː j ˧˨
An Lão	ʔ aː ŋ ˧˧ l aː w ˧˨
An Lê Mân	ʔ aː ŋ ˧˧ l e j ˧˧ m ə ŋ ˧˧
An Nam	ʔ aː ŋ ˧˧ n aː m ˧˧
An Ngãi	ʔ aː ŋ ˧˧ ŋ aː j ˧˨
Anê	ʔ aː ŋ ˧˧ n e j ˧˧
B	ʔ ɓ e j ˧˧
B	ʔ ɓ e j ˧˧ ʔ ɓ ɔ ˦˩
B	ʔ ɓ əː ˦˩
BLDS	ʔ ɓ o w ˨˩ ʔ l w ə k̚ ˨˩ ʔ j ə ŋ ˧˧ s ɨ ˨˩ ʔ
BLDS	ʔ ɓ o w ˨˩ ʔ l w ə k̚ ˨˩ ʔ j ə ŋ ˧˧ ʂ ɨ ˨˩ ʔ
BTC	ʔ ɓ aː ŋ ˧˧ t o w ˧˨ t͡ɕ ɨ k̚ ˦˧˥
Bin	ʔ ɓ i n ˧˧
Binh pháp Tôn Tử	ʔ ɓ ɨ n ˧˧ f aː p̚ ˦˧˥ t o ŋ ˧˧ t ɨ ˧˨
Bo	ʔ ɓ ɔ ˧˧
Bon	ʔ ɓ ɔ ŋ ˧˧
Brigitta	ʔ ɓ ɹ ɪ j ˧˧ j i t̚ ˦˧˥ t aː ˧˧
Brâu	ʔ ɓ ɹ ə w ˧˧
Buôn Ma Thuột	ʔ ɓ u ə ŋ ˧˧ m aː ˧˧ tʰ u ə k̚ ˨˩ ʔ
Bàn Cổ	ʔ ɓ aː ŋ ˦˩ k o w ˧˨
Bàn Môn Điếm	ʔ ɓ aː ŋ ˦˩ m o ŋ ˧˧ ʔ ɗ i ə m ˦˧˥
Bành	ʔ ɓ ɛ ɲ ˦˩
Bành Hồ	ʔ ɓ ɛ ɲ ˦˩ h o w ˦˩
Bình	ʔ ɓ ɨ n ˦˩
Bình Chánh	ʔ ɓ ɨ n ˦˩ t͡ɕ ɛ ɲ ˦˧˥
Bình Dương	ʔ ɓ ɨ n ˦˩ j ɨ ə ŋ ˧˧
Bình Nhưỡng	ʔ ɓ ɨ n ˦˩ ɲ ɨ ə ŋ ˧˨
Bình Phước	ʔ ɓ ɨ n ˦˩ f ɨ ə k̚ ˦˧˥
Bình Thuận	ʔ ɓ ɨ n ˦˩ tʰ w ə ŋ ˨˩ ʔ
Bình Trị Thiên	ʔ ɓ ɨ n ˦˩ ʈ ɪ j ˨˩ ʔ tʰ i ə ŋ ˧˧
Bình Đông	ʔ ɓ ɨ n ˦˩ ʔ ɗ ə w ŋ͡m ˧˧
Bình Định	ʔ ɓ ɨ n ˦˩ ʔ ɗ ɨ n ˨˩ ʔ
Bính	ʔ ɓ ɨ n ˦˧˥
Bò sát	ʔ ɓ ɔ ˦˩ s aː k̚ ˦˧˥
Bò sát	ʔ ɓ ɔ ˦˩ ʂ aː k̚ ˦˧˥
Bôn	ʔ ɓ o ŋ ˧˧
Bùi	ʔ ɓ u j ˦˩
Bưởi	ʔ ɓ ɨ j ˧˨
Bản	ʔ ɓ aː ŋ ˧˨
Bắc	ʔ ɓ a k̚ ˦˧˥
Bỉ	ʔ ɓ ɪ j ˧˨
Bỉm Sơn	ʔ ɓ i m ˧˨ s əː ŋ ˧˧
Bỉm Sơn	ʔ ɓ i m ˧˨ ʂ əː ŋ ˧˧
Bọ Cạp	ʔ ɓ ɔ ˨˩ ʔ k aː p̚ ˨˩ ʔ
Bố Y	ʔ ɓ o w ˨˩˦ ʔ ɪ j ˧˧
Bố Đại	ʔ ɓ o w ˨˩˦ ʔ ɗ aː j ˨˩ ʔ
Bồ	ʔ ɓ o w ˦˩
Bồ Tát	ʔ ɓ o w ˦˩ t aː k̚ ˦˧˥
Bồ Tát Quan Thế Âm	ʔ ɓ o w ˦˩ t aː k̚ ˦˧˥ k w aː ŋ ˧˧ tʰ e j ˨˩˦ ʔ ə m ˧˧
Bồ Đào Nha	ʔ ɓ o w ˦˩ ʔ ɗ aː w ˦˩ ɲ aː ˧˧
Bồn Man	ʔ ɓ o ŋ ˦˩ m aː ŋ ˧˧
Bờ Biển Ngà	ʔ ɓ əː ˦˩ ʔ ɓ i ə ŋ ˧˨ ŋ aː ˦˩
Bờ Tây	ʔ ɓ əː ˦˩ t ə j ˧˧
Bụt	ʔ ɓ ʊ k̚ ˨˩ ʔ
Bụt nhà không thiêng	ʔ ɓ ʊ k̚ ˨˩ ʔ ɲ aː ˦˩ kʰ ə w ŋ͡m ˧˧ tʰ i ə ŋ ˧˧
Bửu	ʔ ɓ ɨ w ˧˨
C	k əː ˦˩
C	s e j ˧˧
CH	s e j ˧˧ h aː k̚ ˦˧˥
CH	t͡ɕ əː ˦˩
CH	t͡ɕ əː ˦˩ ɲ ɛ ˨˩ ʔ
CPU	s e j ˧˧ p e j ˧˧ ʔ ʊ w ˧˧
Ca Li	k aː ˧˧ l ɪ j ˧˧
Cam Bốt	k aː m ˧˧ ʔ ɓ o k̚ ˦˧˥
Cam Túc	k aː m ˧˧ t ʊ w k͡p̚ ˦˧˥
Can Chi	k aː ŋ ˧˧ t͡ɕ ɪ j ˧˧
Can Lộc	k aː ŋ ˧˧ l ə w k͡p̚ ˨˩ ʔ
Cang	k aː ŋ ˧˧
Canh	k ɛ ɲ ˧˧
Canh Tuất	k ɛ ɲ ˧˧ t w ə k̚ ˦˧˥
Cao	k aː w ˧˧
Cao Bằng	k aː w ˧˧ ʔ ɓ a ŋ ˦˩
Cao Câu Li	k aː w ˧˧ k ə w ˧˧ l ɪ j ˧˧
Cao Hùng	k aː w ˧˧ h ʊ w ŋ͡m ˦˩
Cao Li	k aː w ˧˧ l ɪ j ˧˧
Cao Lệ	k aː w ˧˧ l e j ˨˩ ʔ
Cao Man	k aː w ˧˧ m aː ŋ ˧˧
Cao Miên	k aː w ˧˧ m i ə ŋ ˧˧
Cao Đài	k aː w ˧˧ ʔ ɗ aː j ˦˩
Cao Đài Tiên Ông Đại Bồ Tát Ma Ha Tát	k aː w ˧˧ ʔ ɗ aː j ˦˩ t i ə ŋ ˧˧ ʔ ə w ŋ͡m ˧˧ ʔ ɗ aː j ˨˩ ʔ ʔ ɓ o w ˦˩ t aː k̚ ˦˧˥ m aː ˧˧ h aː ˧˧ t aː k̚ ˦˧˥
Cebu	s ɛ ˧˧ ʔ ɓ ʊ w ˦˩
Chi	t͡ɕ ɪ j ˧˧
Chi Na	t͡ɕ ɪ j ˧˧ n aː ˧˧
Choang	t͡ɕ w aː ŋ ˧˧
Chu	t͡ɕ ʊ w ˧˧
Chu Ru	t͡ɕ ʊ w ˧˧ ʐ ʊ w ˧˧
Chu Tước	t͡ɕ ʊ w ˧˧ t ɨ ə k̚ ˦˧˥
Chung	t͡ɕ ʊ w ŋ͡m ˧˧
Châu	t͡ɕ ə w ˧˧
Châu Hải	t͡ɕ ə w ˧˧ h aː j ˧˨
Châu Úc	t͡ɕ ə w ˧˧ ʔ ʊ w k͡p̚ ˦˧˥
Châu Đại Dương	t͡ɕ ə w ˧˧ ʔ ɗ aː j ˨˩ ʔ j ɨ ə ŋ ˧˧
Chính thống giáo	t͡ɕ ɨ n ˦˧˥ tʰ ə w ŋ͡m ˦˧˥ j aː w ˨˩˦
Chó	t͡ɕ ɔ ˨˩˦
Chúa	t͡ɕ u ə ˨˩˦
Chúa Ba Ngôi	t͡ɕ u ə ˨˩˦ ʔ ɓ aː ˧˧ ŋ o j ˧˧
Chúa Dêu	t͡ɕ u ə ˨˩˦ j e w ˧˧
Chúa Trời	t͡ɕ u ə ˨˩˦ ʈ əː j ˦˩
Chúa nhật	t͡ɕ u ə ˨˩˦ ɲ ə k̚ ˨˩ ʔ
Chúa ơi	t͡ɕ u ə ˨˩˦ ʔ əː j ˧˧
Chũ	t͡ɕ ʊ w ˧˨
Chơ Ro	t͡ɕ əː ˧˧ ʐ ɔ ˧˧
Chất Tri	t͡ɕ ə k̚ ˦˧˥ ʈ ɪ j ˧˧
Chế	t͡ɕ e j ˨˩˦
Chệc	t͡ɕ e k̚ ˨˩ ʔ
Chệch	t͡ɕ e t̚ ˨˩ ʔ
Chệt	t͡ɕ e t̚ ˨˩ ʔ
Chợ Gạo	t͡ɕ əː ˨˩ ʔ ɣ aː w ˨˩ ʔ
Chợ Lớn	t͡ɕ əː ˨˩ ʔ l əː ŋ ˦˧˥
Chức Nữ	t͡ɕ ɨ k̚ ˦˧˥ n ɨ ˧˨
Chử Đồng Tử	t͡ɕ ɨ ˧˨ ʔ ɗ ə w ŋ͡m ˦˩ t ɨ ˧˨
Chữ thập đỏ	t͡ɕ ɨ ˧˨ tʰ ə p̚ ˨˩ ʔ ʔ ɗ ɔ ˧˨
Cà Lồ	k aː ˦˩ l o w ˦˩
Cà Mau	k aː ˦˩ m a w ˧˧
