't	t
Aachtel	aː χ t e l
Aadler	aː d l ɐ
Aalbes	aː l b e s
Aangel	aː ŋ e l
Aarbecht	aː r b e χ t
Aarbechter	aː r b e χ t e r
Aarbechterfamill	aː r b e χ t e r f ɑ m i l
Aarbechterin	aː r b e χ t e r i n
Aarbechterklass	aː r b e χ t e r k l ɑ s
Aarbechtsaccident	aː r b e χ t s ɑ k s i d æ n t
Aarbechtsalldag	aː r b e χ t s ɑ l d aː χ
Aarbechtsbedéngungen	aː r b e χ t s b ə d e ŋ u ŋ ə n
Aarbechtsblat	aː r b e χ t s b l aː t
Aarbechtsdag	aː r b e χ t s d aː χ
Aarbechtsdokter	aː r b e χ t s d o k t ɐ
Aarbechtsdoktesch	aː r b e χ t s d o k t ə ʃ
Aarbechtserlabnes	aː r b e χ t s e r l aː b n e s
Aarm	aː r m
Aarmut	aː ʀ m u t
Aart	aː r t
Aasch	aː ʃ
Aaschbak	aː ʃ b aː k
Aascht	aː ʃ t
Aaxt	aː k s t
Aaxten	aː k s t ə n
Aband	aː b ɑ n t
Abt	ɑ p t
Abänn	aː b æ n
Adler	aː d l e r
Aen	aː e n
Af	aː f
Afennoss	aː f e n n o s
Agäng	aː ɡ æ n ɡ
Ahorn	ʔ aː h ɔ ʁ n
Aker	aː k e ʀ
Alg	ɑ l k
Alphabet	ɑ l f ɑ b eː t
Alstad	aː l ʃ t aː t
Alzem	a l t s e m
Ambulanz	ɑ m b u l ɑ n t͡s
Ameis	aː m a i̯ s
Ament	a m æ n t
Ananas	a n a n a s
Anchois	ã ʃ v aː
Andeelung	a n d eː l u ŋ
Angscht	a ŋ ʃ t
Animatioun	a n i m a t s j e u̯ n
Antigel	a n t i ʒ æ l
Apdikt	a p d i k t
Apel	aː p e l
Apelbatz	aː p e l b a t s
Aper	aː p e ʀ
Aperhoer	aː p e ʀ h o e ʀ
Apostroph	a p o s t ʀ o f
Appell	a p æ l
Aprikos	a p ʀ i k oː s
Ar	aː ʀ
Arithmetik	a ʀ i t m eː t i k
Arroganz	a ʀ o ɡ a n s
Arterie	ɑ ʀ t eː ʀ i ə
Ass	ɑ s
Assurance	a s y ʀ ã s
Astrologie	a s t ʀ o l o ʒ i
Atelier	ɑ t ə l j eː
Aubergine	o b e r ʒ i n
Aubergine	o b æ r ʒ i n
Auteur	oː t øː e ʀ
Aviatioun	a v j a t s j e u̯ n
Avion	a v j õ
Awanderung	a v a n d e ʀ u ŋ
Awar	a v aː ʀ
Awunner	a v u n e ʀ
Baach	b aː χ
Baachfrell	b aː χ f ʀ æ l
Baachnénga	b aː χ n e ŋ aː
Baarf	b aː ʀ f
Baarmhäerzegkeet	b aː ʀ m h eː ʀ t s e χ k eː t
Baart	b aː ʀ t
Baatsch	b aː t ʃ
Bad	b aː t
Badminton	b æ t m i n t e n
Bak	b aː k
Bal	b aː l
Ball	b a l
Bam	b aː m
Bampiipsert	b aː m p iː p s e ʀ t
Band	b a n t
Band	b æ n t
Bandscheif	b a n t ʃ a i̯ f
Bank	b a ŋ k
Bankrott	b a ŋ k ʀ o t
Bann	b a n
Bascht	b a ʃ t
Basketball	b aː s k e t b a l
Bass	b a s
Batteralzem	b ɑ t ə ʀ ɑ l t͡s ə m
Batz	b a t s
Beamten	b e a m t e n
Becher	b æ χ e ʀ
Bedeelegung	b e d eː l e ʁ u ŋ
Bedeitung	b e d a i̯ t u ŋ
Bedruch	b e d ʀ u χ
Beel	b eː l
Been	b eː n
Bees	b eː s
Begierlechkeet	b e ɡ iː ʀ l e χ k eː t
Begrëff	b e ɡ ʀ e f
Behandlung	b ə h ɑ n d l u ŋ
Behälter	b e h æ l t e ʀ
Bekassinn	b e k a s i n
Belsch	b æ l ʃ
Belschen	b æ l ʃ e n
Bemierkung	b e m i e̯ k u ŋ
Bensin	b æ n z iː n
Beruff	b e ʀ u f
Beréierung	b e ʀ e i̯ ʀ u ŋ
Besserung	b æ s e ʀ u ŋ
Bestanddeel	b e ʃ t a n t d eː l
Bestiechung	b ə ʃ t i ə̯ ɕ u ŋ
Besuch	b e z u χ
Betounung	b ə t ə ʊ n u ŋ
Betrag	b ə t ʀ aː χ
Beträg	b ə t ʀ ɛː ɕ
Bett	b æ t
Bettseechesch	b æ t z eː χ e ʃ
Bevëlkerung	b e f e l k e ʀ u ŋ
Bewonnerung	b e v o n e ʀ u ŋ
Bewäis	b e v æ i̯ s
Bezeechnung	b e t s eː χ n u ŋ
Bezuch	b e t s u χ
Bibel	b iː b e l
Biber	b iː b e r
Bibliothecaire	b i b l j o t e k ɛː ʁ
Bic	b i k
Bich	b i χ
Bichelchen	b i χ e l χ e n
Bichenholz	b i ɕ ə n h o l t͡s
Bicherbuttek	b i χ e ʀ b u t e k
Bicherwuerm	b i χ e ʀ v u e̯ m
Bidden	b i d e n
Bidet	b i d e
Bier	b iː r
Bierg	b i ə̯ χ
Bierger	b i e̯ ʁ e r
Biesem	b i e̯ z e m
Bifdeck	b i f d æ k
Bigel	b i ʁ e l
Biischt	b iː ʃ t
Bijoutier	b i ʒ u t j e
Bild	b i l t
Bildschierm	b i l t ʃ i e̯ m
Billard	b i l j aː ʀ
Bindestréch	b i n d e ʃ t ʀ e χ
Biologie	b i o l o ʒ i
Blat	b l aː t
Blatlaus	b l aː t l æ u̯ s
Blatz	b l a t s
Blessur	b l æ s yː ʀ
Blietchen	b l i e̯ t χ e n
Blobrëschtchen	b l oː b ʁ e ʃ t χ e n
Bloder	b l oː d e r
Blomees	b l oː m eː s
Blos	b l oː s
Blumm	b l u m
Blus	b l uː s
Blutt	b l u t
Bluttanalys	b l u t a n a l iː s
Bluttdrock	b l u t d ʀ o k
Bläi	b l æ i̯
Bläistëft	b l æ i̯ ʃ t e f t
Bléck	b l e k
Bléi	b l e i̯
Blëtz	b l e t s
Bock	b o k
Boll	b o l
Boma	b oː m a
Bomm	b o m
Bommel	b o m e l
Bond	b o n t
Bong	b o ŋ
Bord	b oː e ʀ
Botanik	b o t aː n i k
Bott	b o t
Botte	b o t
Bottel	b o t e l
Botter	b o t e ʀ
Bottermëllech	b o t e ʀ m e l e χ
Bou	b e u̯
Bouf	b e u̯ f
Bougie	b u ʒ i
Bouillon	b u j õ
Boulette	b u l æ t
Boun	b e u̯ n
Bouneschlupp	b e u̯ n e ʃ l u p
Bourse	b u ʀ s
Bouss	b e u̯ s
Brach	b ʀ a χ
Brak	b ʀ aː k
Branntewäin	b r a n t e v æ i̯ n
Braut	b r æ u̯ t
Brautrank	b ʀ æ u̯ t ʀ a ŋ k
Breet	b ʀ eː t
Bremsspur	b ʀ æ m s ʃ p uː ʀ
Brennes	b ʀ æ n e s
Bretzel	b ʀ æ t s e l
Bridder	b ʀ i d e ʀ
Briecheisen	b r i e̯ χ a i̯ z e n
Briet	b ʀ i e̯ t
Brigang	b ʀ i ɡ a ŋ
Britt	b ʀ i t
Broch	b ʀ o χ
Bromee	b ʀ o m eː
Brongbrëschtchen	b ʀ o ŋ b ʀ e ʃ t χ e n
Brooch	b ʀ oː χ
Brosch	b ʀ o ʃ
Broscht	b ʀ o ʃ t
Brot	b ʀ oː t
Brout	b r e u̯ t
Bruck	b ʀ u k
