A	a
Aalboaiei	a a l b o̯ a j e j
Aalexoaiei	a a l e k s o̯ a j e j
Aancuței	a a ŋ k u t͡s e j
Aanei	a a n e j
Aanicăi	a a n i k ə j
Aanii	a a n i j
Aaniței	a a n i t͡s e j
Aanuței	a a n u t͡s e j
Aaxiniei	a a k s i n i e j
Ababei	a b a b e j
Abaclia	a b a k l i a
Abaclie	a b a k l i e
Abacliei	a b a k l i e j
Abaclii	a b a k l i j
Abaclio	a b a k l i o
Abadan	a b a d a n
Abadanul	a b a d a n u l
Abadanule	a b a d a n u l e
Abadanului	a b a d a n u l u j
Abageriu	a b a d͡ʒ e r i w
Abageru	a b a d͡ʒ e r u
Abagiu	a b a d͡ʒ i w
Abakan	a b a k a n
Abakanul	a b a k a n u l
Abakanule	a b a k a n u l e
Abakanului	a b a k a n u l u j
Abdulah	a b d u l a h
Abejenoaiei	a b e ʒ e n o̯ a j e j
Abel	a b e l
Abiculesei	a b i k u l e s e j
Abogătoae	a b o ɡ ə t o̯ a e
Abușan	a b u ʃ a n
Accadân	a k k a d ɨ n
Adjud	a d ʒ u d
Africa	a f r i k a
Agîrbiceanu	a ɡ ɨ r b i t͡ʃ e̯ a n u
Agăș	a ɡ ə ʃ
Aiud	a j u d
Alba	a l b a
Albania	a l b a n i a
Albania	a l b a n i j a
Aldebaran	a l d e b a r a n
Alexandra	a l e k s a n d r a
Alexandria	a l e k s a n d r i a
Alexandru	a l e k s a n d r u
Algeria	a l d͡ʒ e r i a
Anca	a n c a
Andijan	a n d i ʒ a n
Andorra	a n d o r a
Andreescu	a n d r e e s k u
Angheluță	a n ɡ e l u t͡s ə
Anton	a n t o n
Apostolescu	a p o s t o l e s k u
Arad	a r a d
Ardeal	a r d e̯ a l
Argentina	ɑ r d ʒ e n t i n a
Argeș	a r d ʒ e ʃ
Armenia	a r m e n i a
Austria	a w s t r i a
Austria	a w s t r i j a
Azerbaidjan	a z e r b a j d͡ʒ a n
B	b
Bacău	b a k ə w
Barbărasă	b a r b ə ɾ a s ə
Basarabeasca	b a s a r a b e̯ a s k a
Beiuș	b e j u ʃ
Belarus	b e l a r u s
Belfegor	b e l f e ɡ o r
Belgia	b e l d͡ʒ i a
Belgia	b e l d͡ʒ i j a
Belize	b e l i z e
Berlin	b e r l i n
Bicaz	b i k a z
Bihor	b i h o r
Bistrița	b i s t r i t͡s a
Blaj	b l a ʒ
Bob	b o b
Boiu	b o j u
Boldești	b o l d e ʃ tʲ
Bombonel	b o m b o n e l
Botoșani	b o t o ʃ a nʲ
Brad	b r a d
Brașov	b r a ʃ o v
Breban	b r e b a n
Briceni	b r i t͡ʃ e nʲ
Brâncuși	b r ɨ n k u ʃʲ
Brăila	b r ə i l a
București	b u k u r e ʃ tʲ
Bulgaria	b u l ɡ a r i a
Bulgaria	b u l ɡ a r j a
Bulgaru	b u l ɡ a r u
Buzoianu	b u z o j a n u
Buzău	b u z ə w
Bâlea	b ɨ l e̯ a
Bârlad	b ɨ r l a d
Băilești	b ə i l e ʃ tʲ
Bălosu'	b ə l o s u
Bălți	b ə l t sʲ
Bănescu	b ə n e s k u
C	k
C	t ʃ
CD	s i d i
Cahul	k a h u l
Calafat	k a l a f a t
Caracal	k a r a k a l
Caransebeș	k a r a n s e b e ʃ
Carei	k a r e j
Carintia	k a r i n t i a
Catalonia	k a t a l o n i a
Cazimir	k a z i m i r
Cehia	t͡ʃ e h i a
Cehia	t͡ʃ e h i j a
Cepești	t͡ʃ e p e ʃ tʲ
Chelu'	k e l u
China	k i n a
Chiril	k i r i l
Chișinău	k i ʃ i n ə w
Chișoda	k i ʃ o d a
Cipru	t͡ʃ i p r u
Ciucă	t͡ʃʲ u k ə
Cluj	k l u ʒ
Codlea	k o d l e̯ a
Codoi	k o d o j
Coltești	k o l t e ʃ tʲ
Comrat	k o m r a t
Constanța	k o n s t a n t͡s a
Costești	k o s t e ʃ tʲ
Covaci	k o v a t ʃ
Covasna	k o v a s n a
Craiova	k r a j o v a
Cristescu	k r i s t e s k u
Cristian	k r i s t i a n
Cristian	k r i s t j a n
Criuleni	k r i u l e nʲ
Croația	k r o a t͡s i a
Croația	k r o a t͡s i j a
Crăciun	k r ə t ʃ j u n
Cupidon	k u p i d o n
Câmpulung	k ɨ m p u l u ŋ ɡ
Călărași	k ə l ə r a ʃʲ
D	d
Dacia	d a t͡ʃ i a
Danemarca	d a n e m a r k a
Dej	d e ʒ
Deva	d e v a
Dionis	d i o n i s
Doamne	d o̯ a m n e
Dolj	d o l ʒ
Domn	d o m n
Dorohoi	d o r o h o j
Drochia	d r o k i j a
Drăgășani	d r ə ɡ ə ʃ a nʲ
Dud	d u d
