あ	a̠
ああ	a̠ː
ああいう	a̠ː j ɯ̟ː
あい	a̠ i
あいいれる	a̠ i i ɾ e̞ ɾ ɯ̟
あいがと	a̠ i ɡ a̠ t o̞
あいくち	a̠ i k ɯ̟̊ t͡ɕ i
あいす	a̠ i s ɨ
あいた	a̠ i t a̠
あいだ	a̠ i d a̠
あいつら	a̠ i t͡s ɨ ɾ a̠
あいのて	a̠ i n o̞ t e̞
あいふく	a̠ i ɸ ɯ̟ k ɯ̟
あいべや	a̠ i b e̞ j a̠
あいまって	a̠ i m a̠ t̚ t e̞
あいよ	a̠ i j o̞
あう	a̠ ɯ̟
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
あおくさい	a̠ o̞ k ɯ̟ s a̠ i
あおひげ	a̠ o̞ ç i ɡ e̞
あおる	a̠ o̞ ɾ ɯ̟
あかいれ	a̠ k a̠ i ɾ e̞
あかご	a̠ k a̠ ɡ o̞
あかぼし	a̠ k a̠ b o̞ ɕ i
あかむつ	a̠ k a̠ m ɯ̟ t͡s ɨ
あからがお	a̠ k a̠ ɾ a̠ ɡ a̠ o̞
あからさま	a̠ k a̠ ɾ a̠ s a̠ m a̠
あかるむ	a̠ k a̠ ɾ ɯ̟ m ɯ̟
あかん	a̠ k ã̠ ɴ
あかんべえ	a̠ k ã̠ m b e̞ː
あがた	a̠ ɡ a̠ t a̠
あがりさがり	a̠ ɡ a̠ ɾʲ i s a̠ ɡ a̠ ɾʲ i
あがん	a̠ ɡ ã̠ ɴ
あきぐち	a̠ kʲ i ɡ ɯ̟ t͡ɕ i
あぎとう	a̠ ɡʲ i t o̞ ɯ̟
あぎゃん	a̠ ɡʲ ã̠ ɴ
あく	a̠ k ɯ̟
あくた	a̠ k ɯ̟ t a̠
あくどい	a̠ k ɯ̟ d o̞ i
あくび	a̠ k ɯ̟ bʲ i
あぐり	a̠ ɡ ɯ̟ ɾʲ i
あけおめ	a̠ k e̞ o̞ m e̞
あけおめことよろ	a̠ k e̞ o̞ m e̞ k o̞ t o̞ j o̞ ɾ o̞
あけすけ	a̠ k e̞ s ɨ k e̞
あけっぱ	a̠ k e̞ p̚ p a̠
あけっぱなし	a̠ k e̞ p̚ p a̠ n a̠ ɕ i
あけび	a̠ k e̞ bʲ i
あげあげ	a̠ ɡ e̞ a̠ ɡ e̞
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
あげまん	a̠ ɡ e̞ m ã̠ ɴ
あげる	a̠ ɡ e̞ ɾ ɯ̟
あこぎ	a̠ k o̞ ɡʲ i
あさいち	a̠ s a̠ i t͡ɕ i
あさかつ	a̠ s a̠ k a̠ t͡s ɨ
あさがえり	a̠ s a̠ ɡ a̠ e̞ ɾʲ i
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさどり	a̠ s a̠ d o̞ ɾʲ i
あさひこ	a̠ s a̠ ç i k o̞
あさぼらけ	a̠ s a̠ b o̞ ɾ a̠ k e̞
あさもや	a̠ s a̠ m o̞ j a̠
あざとい	a̠ z a̠ t o̞ i
あざまる	a̠ z a̠ m a̠ ɾ ɯ̟
あし	a̠ ɕ i
あしからず	a̠ ɕ i̥ k a̠ ɾ a̠ z ɨ
あしき	a̠ ɕ i kʲ i
あしきり	a̠ ɕ i kʲ i ɾʲ i
あししげく	a̠ ɕ i ɕ i ɡ e̞ k ɯ̟
あしつぼ	a̠ ɕ i t͡s ɨ b o̞
あしぶみ	a̠ ɕ i b ɯ̟ mʲ i
あしゃ	a̠ ɕ a̠
あしらう	a̠ ɕ i ɾ a̠ ɯ̟
あじたま	a̠ ʑ i t a̠ m a̠
あずかる	a̠ z ɨ k a̠ ɾ ɯ̟
あずける	a̠ z ɨ k e̞ ɾ ɯ̟
あせだく	a̠ s e̞ d a̠ k ɯ̟
あせっかき	a̠ s e̞ k̚ k a̠ kʲ i
あぜ	a̠ z e̞
あぜみち	a̠ z e̞ mʲ i t͡ɕ i
あそこ	a̠ s o̞ k o̞
あたい	a̠ t a̠ i
あたう	a̠ t a̠ ɯ̟
あたえる	a̠ t a̠ e̞ ɾ ɯ̟
あたおか	a̠ t a̠ o̞ k a̠
あたかも	a̠ t a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ ɕ i
あたし	a̠ t a̠ ɕ i
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたふた	a̠ t a̠ ɸ ɯ̟ t a̠
あたりさわり	a̠ t a̠ ɾʲ i s a̠ β̞ a̠ ɾʲ i
あたりどし	a̠ t a̠ ɾʲ i d o̞ ɕ i
あだかも	a̠ d a̠ k a̠ m o̞
あちき	a̠ t͡ɕ i kʲ i
あちゃあ	a̠ t͡ɕ a̠ː
あちら	a̠ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
あっけらかん	a̠ k̚ k e̞ ɾ a̠ k ã̠ ɴ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
あったかい	a̠ t̚ t a̠ k a̠ i
あっち	a̠ t̚ t͡ɕ i
あっちゃえ	a̠ t̚ t͡ɕ a̠ e̞
あっちゃこっちゃ	a̠ t̚ t͡ɕ a̠ k o̞ t̚ t͡ɕ a̠
あつあつ	a̠ t͡s ɨ a̠ t͡s ɨ
あつい	a̠ t͡s ɨ i
あつか	a̠ t͡s ɨ k a̠
あて	a̠ t e̞
あてがう	a̠ t e̞ ɡ a̠ ɯ̟
あてがき	a̠ t e̞ ɡ a̠ kʲ i
あてはめる	a̠ t e̞ h a̠ m e̞ ɾ ɯ̟
あですがた	a̠ d e̞ s ɨ ɡ a̠ t a̠
あでやか	a̠ d e̞ j a̠ k a̠
あといれ	a̠ t o̞ i ɾ e̞
あとおし	a̠ t o̞ o̞ ɕ i
あとかた	a̠ t o̞ k a̠ t a̠
あとぜき	a̠ t o̞ z e̞ kʲ i
あとだし	a̠ t o̞ d a̠ ɕ i
あとつぎ	a̠ t o̞ t͡s ɨ ɡʲ i
あとづけ	a̠ t o̞ z ɨ k e̞
あとどり	a̠ t o̞ d o̞ ɾʲ i
あとばらい	a̠ t o̞ b a̠ ɾ a̠ i
あとめ	a̠ t o̞ m e̞
あど	a̠ d o̞
あどけない	a̠ d o̞ k e̞ n a̠ i
あない	a̠ n a̠ i
あなうめ	a̠ n a̠ ɯ̟ m e̞
あなぐら	a̠ n a̠ ɡ ɯ̟ ɾ a̠
あなた	a̠ n a̠ t a̠
あなたいろ	a̠ n a̠ t a̠ i ɾ o̞
あなづり	a̠ n a̠ z ɨ ɾʲ i
あなば	a̠ n a̠ b a̠
あなほり	a̠ n a̠ h o̞ ɾʲ i
あにい	a̠ ɲ̟ iː
あねご	a̠ n e̞ ɡ o̞
あの	a̠ n o̞
あのう	a̠ n o̞ː
あのよいき	a̠ n o̞ j o̞ i kʲ i
