Ааӷәа	aː ʁʷ a
аамал	aː m a l
ааҭа	aː tʰ a
абӷьа	a b ʁʲ a
абзах	a b z a x
аб'а	a bˤ a
аб'аагьа	a bˤ aː ɡʲ a
аб'ажә	a bˤ a ʒʷ
аб'аԥԯа	a bˤ a pʰ ɬ a
аб'ацәиа	a bˤ a t ɕʰʷ ə j a
аб'ашь	a bˤ a ʃ
аб'ыб'	a bˤ ə bˤ
агьа	a ɡʲ a
агьаҟа	a ɡʲ a qʼ a
агьары	a ɡʲ a r ə
агьарышь	a ɡʲ a r ə ʃ
агьашь	a ɡʲ a ʃ
агьашәуа	a ɡʲ a ʃʷ ə w a
агьеишь	a ɡʲ e̞ j ʃ
агьеишьа	a ɡʲ e̞ j ʃ a
аӷьа	a ʁʲ a
аӷәадан	a ʁʷ a d a n
аӷ'абзабзаҟа	a ʁˤ a b z a b z a qʼ a
аӷ'адаҟәа	a ʁˤ a d a qʼʷ a
ада	a d a
адыга	a d ə ɣ a
адыгабза	a d ə ɣ a b z a
Адыгасеԥӄьы	a d ə ɣ a s e̞ pʰ qʲ ə
адәыҟа	a dʷ ə qʼ a
азаҭ	a z a tʰ
азӷа	a z ʁ a
азӷабза	a z ʁ a b z a
Азӷашәабла	a z ʁ a ʃʷ a b l a
азмыҵьа	a z m ə t ɕʼ a
аӡын	a d z ə n
аӄыл	a q ə l
Алагьыӄә	a l a ɡʲ ə qʷ
аламанбза	a l a m a n b z a
Аламаншәабла	a l a m a n ʃʷ a b l a
Алемқьери	a l e̞ m kʰʲ e̞ r ə j
Алџьазаир	a l d ʒ a z a j ə r
аԯаапаџьа	a ɬ aː pʼ a d ʒ a
аԯҟаакьа	a ɬ qʼ aː kʼʲ a
аԯмыӄ	a ɬ m ə q
аԯхаакьа	a ɬ χ aː kʼʲ a
аԯхаакьах	a ɬ χ aː kʼʲ a χ
аԯхьаакьа	a ɬ χʲ aː kʼʲ a
амелаҭ	a m e̞ l a tʰ
амԥа	a m pʰ a
ана	a n a
анақьа	a n a kʰʲ a
андық	a n d ə kʰ
анта	a n t a
анталааӷ'да	a n tʼ a l aː ʁˤ d a
антаҭа	a n tʼ a tʰ a
анҵә	a n t ɕʼʷ
анҵәгьыӷооны	a n t ɕʼʷ ɡʲ ə ʁ o̞ː n ə
анҵәгьыӷын	a n t ɕʼʷ ɡʲ ə ʁ ə n
