ა	ɑ
აბაზა	ɑ b ɑ z ɑ
აბარენ	ɑ b ɑ ɹ ɛ n
აბდეზი	ɑ b d ɛ z i
აბდეზხანა	ɑ b d ɛ z x ɑ n ɑ
აბჯაკატუ	ɑ b d͡ʒ ɑ kʼ ɑ tʼ u
ათინა	ɑ tʰ i n ɑ
ალი	ɑ l i
ანტამა	ɑ n tʼ ɑ m ɑ
არაბი	ɑ ɹ ɑ b i
არაბი	ɑ ɾ ɑ b i
არტაშენი	ɑ ɾ tʼ ɑ ʃ ɛ n i
არქაბი	ɑ ɹ kʰ ɑ b i
აში	ɑ ʃ i
ბაგენი	b ɑ ɡ ɛ n i
ბაქლავა	b ɑ kʰ l ɑ v ɑ
ბერე	b ɛ ɹ ɛ
ბერე	b ɛ ɾ ɛ
ბერენა	b ɛ ɾ ɛ n ɑ
ბიბი	b i b i
ბიგა	b i ɡ ɑ
ბიჲა	b i j ɑ
ბონძოლა	b ɔ n d͡z ɔ l ɑ
ბულგარი	b u l ɡ ɑ ɹ i
ბულგარი	b u l ɡ ɑ ɾ i
ბულგარისთანი	b u l ɡ ɑ ɹ i s tʰ ɑ n i
ბულგარისთანი	b u l ɡ ɑ ɾ i s tʰ ɑ n i
გ	ɡ
გ	ɡʲ
გამაზურზამს	ɡ ɑ m ɑ z u ɹ z ɑ m s
გარაჟი	ɡ ɑ ɹ ɑ ʒ i
გარაჟი	ɡ ɑ ɾ ɑ ʒ i
გარიბი	ɡ ɑ ɹ i b i
გარიბი	ɡ ɑ ɾ i b i
გეგაფა	ɡ ɛ ɡ ɑ pʰ ɑ
გვაკორენ	ɡ v ɑ kʼ ɔ ɾ ɛ n
გვერდი	ɡ v ɛ ɹ d i
გვერდი	ɡ w ɛ ɹ d i
გოინთხენ	ɡ ɔ i n tʰ x ɛ n
გომფანობა	ɡ ɔ m pʰ ɑ n ɔ b ɑ
გრიფი	ɡ ɹ i pʰ i
გრიფი	ɡ ɾ i pʰ i
გუჟუღი	ɡ u ʒ u ɣ i
გური	ɡ u ɹ i
გური	ɡ u ɾ i
გურპიჯი	ɡ u ɹ pʼ i d͡ʒ i
გურუნი	ɡ u ɹ u n i
გურუნი	ɡ u ɾ u n i
გჲონქსი	ɡʲ ɔ ŋ k s i
გჲურჯი	ɡʲ u r d͡ʒ i
დადა	d ɑ d ɑ
დალავერა	d ɑ l ɑ v ɛ ɹ ɑ
დიდა	d i d ɑ
დიდამანგისა	d i d ɑ m ɑ ŋ ɡ i s ɑ
დიდაშირა	d i d ɑ ʃ i ɾ ɑ
დიდი	d i d i
დიდინანა	d i d i n ɑ n ɑ
დიდო	d i d ɔ
დიდობა	d i d ɔ b ɑ
დიდოთენ	d i d ɔ t ɛ n
დიმონი	d i m ɔ n i
დინცხირი	d i n t͡s x i r i
დოსქიდინერი	d ɔ s kʰ i d i n ɛ ɹ i
დოსქიდუნ	d ɔ s kʰ i d u n
დუბარა	d u b ɑ ɹ ɑ
დუბარა	d u b ɑ ɾ ɑ
დუდი	d u d i
დუქქჲანი	d u kʲ kʲ ɑ n i
ელექთრიღი	ɛ l ɛ kʰ tʰ ɹ i ɣ i
ელექთრიღი	ɛ l ɛ kʰ tʰ ɾ i ɣ i
ელუდგამს	ɛ l u d ɡ ɑ m s
ეჭოფუმს	ɛ t͡ʃʼ ɔ pʰ u m s
ვ	v
ვ	w
ვაფური	v ɑ pʰ u ɹ i
ვაფური	v ɑ pʰ u ɾ i
ვიჟა	v i ʒ ɑ
ვიწე	v i t͡s ɛ
ვროსი	v ɾ ɔ s i
ზარი	z ɑ ɹ i
ზარი	z ɑ ɾ i
ზონი	z ɔ n i
ზუღა	z u ɣ ɑ
თამო	tʰ ɑ m ɔ
თანურა	tʰ ɑ n u ɹ ɑ
თე	tʰ ɛ
თემბელი	tʰ ɛ m b ɛ l i
თი	tʰ i
თითიზი	tʰ i tʰ i z i
თუთამკულე	tʰ u tʰ ɑ m kʼ u l ɛ
თუთასტე	tʰ u tʰ ɑ s tʼ ɛ
თუთაწუტა	tʰ u tʰ ɑ t͡sʼ u tʼ ɑ
თურქი	tʰ u r kʲ i
იგბალი	i ɡ b ɑ l i
იგნე	i ɡ n ɛ
ივენ	i v ɛ n
იკინაჩხა	i kʲʼ i n ɑ t͡ʃ x ɑ
ინჯღიმენ	i n d͡ʒ ɣ i m e n
იპიჩვამს	i pʼ i t͡ʃ v ɑ m s
ისტანბოლი	i s tʼ ɑ n b ɔ l i
იქომს	i kʰ ɔ m s
იქუჲ	i k u j
იხი	i x i
იჲენ	i j ɛ n
კ	kʲʼ
კ	kʼ
კათა	kʼ ɑ tʰ ɑ
კალმახა	k ɑ l m ɑ x ɑ
კარავი	kʼ ɑ ɹ ɑ v i
კაჲი	kʼ ɑ j i
კვაი	kʼ v ɑː j i
კინჩი	kʲʼ i n t͡ʃ i
კოდაგრესტა	kʼ ɔ d ɑ ɡ ɾ ɛ s tʼ ɑ
კოლთუღი	kʼ ɔ l t u ɣ i
კომა	kʼ ɔ m ɑ
კოღონი	kʼ ɔ ɣ ɔ n i
კოჶტე	kʼ ɔ f tʼ ɛ
კულფი	kʼ u l pʰ i
კუნდურა	kʼ u n d u ɹ ɑ
ლაზი	l ɑ z i
ლაჭიკინჩი	l ɑ t͡ʃʼ i kʼ i n t͡ʃ i
ლემში	l ɛ m ʃ i
ლესა	l ɛ s ɑ
ლობიჲა	l ɔ b i j ɑ
ლორი	l ɔ ɹ i
ლორი	l ɔ ɾ i
ლუბუ	l u b u
ლულუბერე	l u l u b ɛ ɹ ɛ
ლუმჯი	l u m d͡ʒ i
მ	m
მ	m̥
მაზაპუ	m ɑ z ɑ pʼ u
მაი	m ɑ j i
მანგანასკაჶინდი	m ɑ ŋ ɡ ɑ n ɑ s kʼ ɑ f i n d i
მარგალი	m ɑ r ɡ ɑ l i
მაფხა	m ɑ pʰ x ɑ
მბული	m b u l i
მეგზა	m ɛ ɡ z ɑ
მეგრელი	m ɛ ɡ r ɛ l i
მეკტასი	m ɛ kʼ tʼ ɑ s i
მეკტასობღე	m ɛ kʼ tʼ ɑ s ɔ b ɣ ɛ
მენჯელი	m ɛ n d͡ʒ ɛ l i
მერაღი	m ɛ ɹ ɑ ɣ i
მერაღი	m ɛ ɾ ɑ ɣ i
მერემტისუზი	m ɛ ɹ ɛ m tʼ i s u z i
