A	a
ablegøyer	ɑ b l ə ² ɡ œ ʏ ə r
abonnera	ɑ b ʊ n eː r ɑ
abortiv	ɑ b ɔ ʈ iː ʋ
abortiv	ɑ b ɔ ʁ t iː ʋ
Abraham	² aː b r a h a m
Abraham	² aː b r a a m
absolutisme	ɑ b s ʊ l ʉ t ɪ s m ə
acre	æ ɪ k ə r
adalhending	² aː a l h ɛ n d ɪ ŋ
adalhending	² aː a l h ɛ n ɪ ŋ
adalhending	² aː l h ɛ n d ɪ ŋ
adalhending	² aː l h ɛ n ɪ ŋ
adel	¹ aː d ə l
adelgod	² aː ə l ɡ uː
adept	ɑ d ɛ p t
adla	² aː d l a
adle	² a d l ə
administrasjon	ɑ d m ɪ n ɪ s t r ɑ ʂ uː n
afrikansk	ɑ f r i k ɑː n s k
aftan	ɑ̂ f t ɑ n
Agder	² a ɡ d ə r
Agder	¹ a ɡ d ə r
age	² ɑː j ə
age	² ɑː ɡ ə
ageleg	² ɑː ɡ ə l ɛ
agg	ɑ ɡː
agje	² ɑː j ə
agjen	² ɑː j ə n
agn	ɑ ŋ n
agurk	a ɡ ʉ r k
agurk	a ɡː ʉ ʂ k
agurktid	a ɡ ʉ r k t iː
aillj	a ʎː
ailltj	ɑ ɬ c
ainnføtes	a ɲː f œː t e s
ainnjsles	a ɲ ʂ l ɛ s
ainnpusten	a ɲː p ʉ s t n̩
ainnsles	a ɲ ʂ l ɛ s
aka	² aː k a
aka	² a k a
ake	² ɑː k ə
akjån	² ɑː ç oː n
akka	ɑ k k ɑ
akka	² ɑ k k ɑ
akkar	² ɑ kː ɑ r
akke	² ɑ k k ə
akkorart	a k k u r a ʈ
akkorart	a k k u r a ʂ t
akkord	ɑ k ɔ r d
aksel	² ɑ k s ɛ l
aksel	² ɑ kː ʂ ɛ l
aksel	² ɑ k ʂ ɛ l
aksel	ɑ k s ɛ l
akselerasjon	a k s l r a ʃ uː n
aksent	ɑ k s ɑ ŋ
aksla	² ɑ k s l ɑ
aksla	² ɑ k ʂ l ɑ
aksla	² ɑ k s l ɑ
aksla	² ɑ k ʂ l ɑ
aktiv	ɑ k t ɪ ʋ
aktsam	² a k t s a m
aktør	ɑ k t øː r
alaskar	a l a s k a r
alaskisk	a l a s k i s k
alde	² ɑ l d ə
alder	ɑ l d ɛ r
aldri	² ɑ l d r ɪ
alfabet	a l f a b eː t
alke	² a l k ə
alke	² a ɽ k ə
all	a lː
all	a ʎː
all	a d l
alle	² a l l ə
alle	² a ʎ ʎ ə
alle	² a d l ə
alle	a ʎː
alle	a l l eː
alltid	ɑ l t ɪ
allting	ɑ l t ɪ ŋ
allvitande	² ɑ lː ʋ iː t ɑ n d ə
allvitande	² ɑ lː ʋ iː t ɑ n ə
alm	ɑ l m
almen	ɑ l m ɛ n
almen	ɑ l m ə n
Alna	² a l n a
Alna	² æː ɽ n a
alt	ɑ l t
alt	ɑ ɬ c
altso	ɑ l t s ʊ
altso	ɑ l t s ɔ
altså	ɑ l t s ɔ
Alver	² ɔ l v ɔ r
Alver	² œ l v œ r
Alver	² a l v e r
