અ	ə
અં	ə̃ː
અંક	ə ŋ k
અંકગણિત	ə ŋ k ə ɡ ə ɳ i t̪
અંકલ	ə ŋ k ə l
અંકુર	ə ŋ k u ɾ
અંકુશ	ə ŋ k u ʃ
અંગ	ə ŋ ɡ
અંગરખો	ə ŋ ɡ ə ɾ kʰ o
અંગસંગ	ə ŋ ɡ s ə ŋ ɡ
અંગારકામ્લ	ə ŋ ɡ ɑ ɾ k ɑ m l ə
અંગુચો	ə ŋ ɡ u t͡ʃ o
અંગૂઠાઓ	ə ŋ ɡ u ʈʰ ɑ o
અંગૂઠો	ə ŋ ɡ u ʈʰ o
અંગૂર	ə ŋ ɡ u ɾ
અંગોલા	ə ŋ ɡ o l ɑ
અંગ્રેજ	ə ŋ ɡ ɾ eː d͡ʒ
અંગ્રેજી	ə ŋ ɡ ɾ eː d͡ʒ i
અંઘોળ	ə ŋ ɡʱ o ɭ
અંચલ	ə ɲ t͡ʃ ə l
અંજના	ə ɲ d͡ʒ ə n ɑ
અંજલિ	ə ɲ d͡ʒ ə l i
અંજીર	ə ɲ d͡ʒ i ɾ
અંજુ	ə ɲ d͡ʒ u
અંજુમન	ə ɲ d͡ʒ u m ə n
અંડકોષ	ə ɳ ɖ k o ʂ
અંતરિક્ષ	ə n t̪ ɾ i k ʂ
અંતર્ધાન	ə n t̪ ə ɾ d̪ʱ ɑ n
અંતે	ə n t̪ eː
અંત્યેષ્ટિ	ə n t̪ j eː ʂ ʈ i
અંદર	ə n d̪ ə ɾ
અંદાજ	ə n d̪ ɑ d͡ʒ
અંદેશો	ə n d̪ eː ʃ o
અંધારું	ə n d̪ʱ ɑ ɾ ũ
અંધેરી	ə n d̪ʱ eː ɾ i
અંબર	ə m b ə ɾ
અંબાણી	ə m b ɑ ɳ i
અંબોડો	ə m b o ɽ o
અંશુ	ə n ʃ u
અઃ	ə ɨ
અકાદમી	ə k ɑ d̪ m i
અકાદમી	ə k ɑ d̪ ə m i
અકીક	ə k i k
અક્કલ	ə k k ə l
અક્ષર	ə k ʃ ə ɾ
અખંડ	ə kʰ ə ɳ ɖ
અખબાર	ə kʰ b ɑ ɾ
અખરોટ	ə kʰ ɾ o ʈ
અખાડો	ɑ kʰ ɑ ɽ o
અખાત	ə kʰ ɑ t̪
અખાત્રીજ	ə kʰ ɑ t̪ ɾ i d͡ʒ
અખાદ્ય	ə kʰ ɑ d̪ j ə
અગણિત	ə ɡ ə ɳ i t̪
અગણોસિત્તેર	ə ɡ ɳ o s i t̪ t̪ eː ɾ
અગનગોળો	ə ɡ ə n ɡ o ɭ o
અગરબત્તી	ə ɡ ə ɾ b ə t̪ t̪ i
અગાઉ	ə ɡ ɑ u
અગાશી	ə ɡ ɑ ʃ i
અગિયાર	ə ɡ i j ɑ ɾ
અગિયારસ	ə ɡ i j ɑ ɾ ə s
અગિયારી	ə ɡ i j ɑ ɾ i
અગ્રમસ્તિષ્ક	ə ɡ ɾ ə m ə s t̪ i ʃ k
અઘરણી	ə ɡʱ ə ɾ ɳ i
અઘરું	ə ɡʱ ɾ ũ
અચ્છું	ə t͡ʃ t͡ʃʰ ũ
અછબડા	ə t͡ʃʰ ə b ɖ ɑ
અછૂતપણું	ə t͡ʃʰ u t̪ p ə ɳ ũ
અજમ	ə d͡ʒ ə m
અજમેર	ə d͡ʒ m eː ɾ
અજય	ə d͡ʒ ə j
અજવાળું	ə d͡ʒ ʋ ɑ ɭ ũ
અજાન	ə d͡ʒ ɑ n
અજાન	ə z ɑ n
અજાયબ	ə d͡ʒ ɑ j ə b
અજિતનાથ	ə d͡ʒ i t̪ n ɑ t̪ʰ
અજીમ	ə d͡ʒ i m
અજીવ	ə d͡ʒ i ʋ
અઝાન	ə d͡ʒʱ ɑ n
અઝાન	ə z ɑ n
અટક	ə ʈ ə k
અટકળ	ə ʈ k ə ɭ
અટકવું	ə ʈ ə k ʋ ũ
અટામણ	ə ʈ ɑ m ə ɳ
અટારી	ə ʈ ɑ ɾ i
અઠવાડિયું	ə ʈʰ ʋ ɑ ɖ i j ũ
અઠ્ઠાવન	ə ʈ ʈʰ ɑ ʋ ə n
અઠ્ઠાવીસ	ə ʈʰ ʈʰ ɑ ʋ i s
અઠ્ઠોતેર	ə ʈʰ ʈʰ o t̪ eː ɾ
અડતાળીસ	ə ɽ t̪ ɑ ɭ i s
અડદ	ə ɽ ə d̪
અડવાણી	ə ɖ ʋ ɑ ɳ i
અડવું	ə ɖ ʋ ũ
