Ё	j ɔ
А	a
Австрали	a f s tʰ r a ɮ
Азербайжан	a t͡s j ɵ r p ɛː t͡ɕ a ŋ
Ази	a t͡s
Албани	a ɮ p aˑ n
Александр	a ɮʲ ɵ kʰ s a n t r̥
Алжир	a ɮ t͡ɕ i r̥
Аллах	a ɮ ɮ a x
Алматы	a ɮ m a tʰ i
Алтай	a ɮ tʰ ɛː
Англи	æˑ ŋ ɡ a ɮ
Антарктид	a n tʰ a r̥ kʰ tʰ i t
Арвайхээр	a r w̜ ɛː x eː r̥
Аргентин	a r kʲ ɵ n tʰ i ŋ
Архангай	a r x a ŋ k ɛː
Афганистан	a f k a n i s tʰ a ŋ
Б	p
Багануур	p a ɣ a n ʊː r̥
Багахангай	p a ɣ a x a ŋ k ɛː
Балба	p a ɮ a p
Бангладеш	p a ŋ k ɮ a tʲ ɵ ɕ
Баянгол	p a j a ŋ k ɔ ɮ
Баянхонгор	p a j a ŋ x ɔ ŋ k ɔ r̥
Беларусь	pʲ ɵ ɮ a r ʊ sʲ
Бельги	p e ɮ i k
Битлз	p i tʰ ə ɮ t͡s
Бразил	p r ä t͜s iˑ ɮ
Бразил	p r ɛ t͜s iˑ ɮ
Будда	p ʊ t͉ t a
Булган	p ʊ ɮ k a ŋ
Буриад	p ʊ r i̯ aː t
Бутан	p ʊ tʰ a ŋ
Бээжинг	p eː t͡ɕ i ŋ k
Бээжингийн	p eː t͡ɕ i ŋ k iː ŋ
Бээжингийнх	p eː t͡ɕ i ŋ k iː ŋ x
Бээжингийнхэн	p eː t͡ɕ i ŋ k iː ŋ x e ŋ
Бээжингээр	p eː t͡ɕ i ŋ k eː r̥
Бээжингээс	p eː t͡ɕ i ŋ k eː s
Бээжингүй	p eː t͡ɕ i ŋ k u i̯
Бээжинд	p eː t͡ɕ i n t
Бээжинтэй	p eː t͡ɕ i n tʰ e i̯
Бөртийг	p ɵ r̥ tʰ iː k
Бөртийн	p ɵ r̥ tʰ iː ŋ
Бөртийнд	p ɵ r̥ tʰ iː n t
Бөртэ	p ɵ r̥ tʰ
Бөртэгүй	p ɵ r̥ tʰ e ɣ u i̯
Бөртэд	p ɵ r̥ tʰ e t
Бөртэтэй	p ɵ r̥ tʰ e tʰ e i̯
Бөртээр	p ɵ r̥ tʰ eː r̥
Бөртээс	p ɵ r̥ tʰ eː s
В	w̜
Варшав	w̜ a r ɕ a w̜
Википедиа	w̜ i kʰ i pʰʲ ɵ t i̯ aː
