अ	ə
अँ	ə̃
अँगड़ाई	ə ŋ ɡ ɽ ɑː iː
अँगरेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँगरेज़	ə ŋ ɡ ɾ eː z
अँगरेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँगरेज़ी	ə ŋ ɡ ɾ eː z iː
अँगहीन	ə ŋ ɡʱ iː n
अँगिया	ə ŋ ɡ ɪ j ɑː
अँगीठी	ə ŋ ɡ iː ʈʰ iː
अँगूठी	ə ŋ ɡ uː ʈʰ iː
अँग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अँग्रेज़	ə ŋ ɡ ɾ eː z
अँग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अँग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अँटना	ə ɳ ʈ n ɑː
अँतड़ी	ə n t̪ ɽ iː
अं	ə̃
अंक	ə ŋ k
अंकगणित	ə ŋ k ɡ ə ɳ ɪ t̪
अंकन	ə ŋ k ə n
अंकनी	ə ŋ k n iː
अंकल	ə ŋ k ə l
अंकारा	ə ŋ k ɑː ɾ ɑː
अंकित	ə ŋ k ɪ t̪
अंकुर	ə ŋ k ʊ ɾ
अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
अंकुश	ə ŋ k ʊ ʃ
अंग	ə ŋ ɡ
अंगच्छेद	ə ŋ ɡ ə t͡ʃ t͡ʃʰ eː d̪
अंगड़ाई	ə ŋ ɡ ɽ ɑː iː
अंगदान	ə ŋ ɡ d̪ ɑː n
अंगन	ə ŋ ɡ ə n
अंगना	ə ŋ ɡ ə n ɑː
अंगसंग	ə ŋ ɡ s ə ŋ ɡ
अंगहीन	ə ŋ ɡʱ iː n
अंगार	ə ŋ ɡ ɑː ɾ
अंगारा	ə ŋ ɡ ɑː ɾ ɑː
अंगिया	ə ŋ ɡ ɪ j ɑː
अंगीकार	ə ŋ ɡ iː k ɑː ɾ
अंगुल	ə ŋ ɡ ʊ l
अंगुली	ə ŋ ɡ ʊ l iː
अंगूठा	ə ŋ ɡ uː ʈʰ ɑː
अंगूठी	ə ŋ ɡ uː ʈʰ iː
अंगूर	ə ŋ ɡ uː ɾ
अंगूरी	ə ŋ ɡ uː ɾ iː
अंगोछा	ə ŋ ɡ oː t͡ʃʰ ɑː
अंगोट	ə ŋ ɡ oː ʈ
अंगोला	ə ŋ ɡ oː l ɑː
अंग्रेज	ə ŋ ɡ ɾ eː d͡ʒ
अंग्रेज	ə ŋ ɡ ɾ eː z
अंग्रेज़	ə ŋ ɡ ɾ eː d͡ʒ
अंग्रेज़	ə ŋ ɡ ɾ eː z
अंग्रेज़ियत	ə ŋ ɡ ɾ eː d͡ʒ ɪ j ə t̪
अंग्रेज़ियत	ə ŋ ɡ ɾ eː z ɪ j ə t̪
अंग्रेज़ी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अंग्रेजी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंग्रेजी	ə ŋ ɡ ɾ eː z iː
अंचल	ə n t͡ʃ ə l
अंछर	ə n t͡ʃʰ ə ɾ
अंजन	ə n d͡ʒ ə n
अंजाम	ə n d͡ʒ ɑː m
अंजीर	ə n d͡ʒ iː ɾ
अंजु	ə n d͡ʒ uː
अंटार्कटिका	ə ɳ ʈ ɑː ɾ k ʈ ɪ k ɑː
अंटार्टिका	ə ɳ ʈ ɑː ɾ ʈ ɪ k ɑː
अंडकोष	ə ɳ ɖ k oː ʂ
अंडमान	ə ɳ ɖ m ɑː n
अंडा	ə ɳ ɖ ɑː
अंडोरा	ə ɳ ɖ oː ɾ ɑː
अंत	ə n t̪
अंतःक्षेप	ə n t̪ ə ɦ k ʂ eː p
अंतड़ी	ə n t̪ ɽ iː
अंतर	ə n t̪ ə ɾ
अंतरंगता	ə n t̪ ə ɾ ə ŋ ɡ t̪ ɑː
अंतरजाल	ə n t̪ ə ɾ d͡ʒ ɑː l
