â	ɑ̃
abak	a b a k
abakë	a b a k ə
abanoz	a b a n ɔ z
abdikoj	a b d i k ɔ j
abdikoj	a b d i q ɔ j
abe	a b ɛ
abece	a b ɛ t͡s ɛ
abetare	a b ɛ t a ɾ ɛ
abetare	a b ɛ t ɑ ɾ ɛ
abë	a b
abëcë	a b ə t͡s ə
abis	a b i s
abisinas	a b i s i n a s
Abisini	a b i s i n i
abonim	a b ɔ n i m
abonohem	a b ɔ n o h ɛ m
abonoj	a b o n ɔ j
abonuar	a b ɔ n u a r
abrogim	a b ɾ ɔ ɡ i m
abrogoj	a b ɾ ɔ ɡ ɔ j
absolut	a p s o l u t
absolutisht	a p s o l u t i ʃ t
absolutizëm	a p s ɔ l u t i z ə m
absolutizëm	a p s ɔ l u t i z m
absorbim	a b s ɔ r b i m
absorboj	a b s ɔ ɾ b ɔ j
abstenim	a b s t ɛ n i m
abstenoj	a b s t ɛ n ɔ j
abstrakt	a p s t ɾ a k t
absurditet	a b s u ɾ d i t ɛ t
abuzohem	a b u z ɔ h ɛ m
abuzoj	a b u z ɔ j
acar	a t͡s a ɾ
aciditet	a t͡s i d i t ɛ t
açik	a t͡ʃ i k
aderoj	a d ɛ ɹ ɔ j
admirohem	a d m i ɾ ɔ h ɛ m
admiroj	a d m i ɾ ɔ j
adresë	a d ɾ ɛː s
adhuroj	a ð u ɾ ɔ j
adhuroj	a ð u ɻ ɔ j
afërsi	a f ə ɾ s i
afroj	a f ɹ ɔ j
afrona	a f ɾ ɔː n a
agjëroj	a ɟ ə ɾ ɔ j
agjëroj	ä ɟ ɪ n ɔ j
agjëroj	ä ɟ n ɔ j
ai	a i
ai	a j
ai	a ĩ n ɛ̃
ajo	a j ɔ
ajo	a j ɔ̃ n ɛ̃
ajroj	a j ɾ ɔ j
ajroj	a j ɻ ɔ j
ajros	a j ɾ ɔ s
ajros	a j ɻ ɔ s
akëshu	a k ʃ u
aktiv	a k t i f
ama	a m a
amidon	a m i d ɔ n
analogji	a n a l ɔ ɟ i
anason	a n a s ɔ n
ânë	ɑ̃ː n
anmik	a n m i k
antonim	a n t ɔ n i m
apë	aː p
Arbër	ä ɹ b ɜ ɽ
arbër	ä ɹ b ɜ ɽ
Arbëreshë	ä ɹ b ɜ ɽ ɛ ʃ
arë	aː ɹ
armik	ä ɹ m i k
armik	ä n m ɪ k
arsye	a ɾ s y ɛ
arrati	a r a t i
arratisem	a r a t iː s ɛ m
arrij	a r i j
asgjë	a z d͡ʒ ɑ̃ː
asgjësoj	a s ɟ ə s ɔ j
asgjësoj	a s d͡ʒ ɘ s ɔ j
âsht	ɑ̃ ʃ t
ata	ä t ɑ̃ n ɛ̃
atë	äː t ɜ
atë	äː t
atë	a t ɛ̃ n ɛ̃
atij	a t i
ato	ä t ɔ̃ n ɛ̃
avdes	a v d ɛ s
avdeshanë	a v d ɛ s h ɑ n
avlëmend	a v l ə m ɛ n d
avulloj	a v u ɫ o j
ba	b ɑ̃ː
ba	b ɒ̃ː
babai	b ä b ä j
babë	b äː b ɜ
babë	b äː b̚
bac	b a t͡s
bacë	b aː t͡s ə
bagazh	b a ɡ ɑ ʒ
bagëm	b a ɡ ə m
bahna	b ɑ̃ h n a
baj	b ɑ̃ j
baj	b õ̞ j
bakër	b a k ə ɾ
bakër	b ɑ q ə ɾ
balladër	b a ɫ a d ə r
ballëtar	b a ɫ ə t a ɹ
bamje	b a m j ɛ
bardhë	b aː ɹ ð
bardhë	b aː ɹ θ
barkë	b aː ɾ k
bashkëtingëllor	b a ʃ k ə t i n ɡ ə ɫ ɔ ɾ
bashkëtingëllor	b a ʃ k ə t i n ɡ ɫ ɔ ɾ
bashkëtingëllor	b a ʃ k t i n ɡ ə ɫ ɔ ɾ
bashkëtingëllor	b a ʃ k t i n ɡ ɫ ɔ ɾ
bashkëtingëllore	b a ʃ k ə t i n ɡ ə ɫ oː ɾ ɛ
bashkëtingëllore	b a ʃ k ə t i n ɡ ɫ oː ɾ ɛ
bashkëtingëllore	b a ʃ k t i n ɡ ə ɫ oː ɾ ɛ
bashkëtingëllore	b a ʃ k t i n ɡ ɫ oː ɾ ɛ
bashki	b a ʃ k i
bathë	b aː θ
be	b ɛ
bekim	b ɛ k i m
bekoj	b ɛ k o j
Belgjikë	b ɛ l ɟ͡ʝ iː k
beqar	b ɛ c ɕ a ɹ
Berisha	b e ɾ i ʃ a
Berisha	b e ɹ i ʃ a
bëhem	b ə h ɛ m
bëra	b ə ɾ a
bërë	b ɑ̃ː n
bërë	b ɑ̃ː m
bërë	b õ̞ː n
bërë	b õ̞ː m
bërë	b ɑ̃ː
bërë	b õ̞ː
bëzhnjë	b e ʒ ɲ
bicula	b i t͡s u l a
biculat	b i t͡s u l a t
biculë	b i t͡s u l ə
bijë	b iː j
binjak	b i ɲ ä k
biograf	b i ɔ ɡ ɹ a f
biografi	b i j o ɡ r a f i
biokimi	b i j o kʰ i m i
biokimi	b i j o qʰ i m i
biolog	b i j o l o ɡ
biologji	b i j ɔ l ɔ ɟ ʑ i
biologjik	b i j ɔ l ɔ ɟ ʑ i k
bisedoj	b i s ɛ d ɔ j
bjond	b j ɔ n t
bohem	b o h ɛ m
bôna	b õː n a
brazdë	b ɾ aː z d
breq	b ɾ ɛ c
brul	b ɾ u l
buf	b u f
bukuri	b u k u ɹ i
Bunë	b ũː n
burg	b u ɹ ɡ
butë	b uː t
Buzëmadhe	b u z m ɑː ð ɛ
buzëqeshje	b u s c ɕ ɛ ʃ j ɜ
Bytyqi	b y t y c͡ç i
cagë	t͡s a ɡ ə
