अक्खो	ə k kʰ ɔ
अगशी	ɑ ɡ ʃ iː
अजगर	ə z ɡ əː ɾ
अशें	ə ʃ ɛ̃
असूंचे	ə s̪ uː n t ɕ e
आंधळो	ɑː n ɭ̆ ɔ
आंबट	ɑː m əː ʈ
आगर	ɑː ɡ ə ɾᵊ
आपव्चे	ɑː f o ʋ t͡ʃ ɛ
आपव्चे	ɑː f ə ʋ t͡ʃ ɛ
आपव्चे	ɑː p o ʋ t͡ʃ ɛ
आपव्चे	ɑː p ə ʋ t͡ʃ ɛ
आयज	ɑː j z
आयलो	ɑː j l
आयलो	ɑː j l ɔː
आयिल्लो	ɑː j i l l
आयिल्लो	ɑː j l l
आयिल्लो	ɑː j l l ɔː
आयिल्लो	ɑː j l ɔ l ɔː
इर्मांव	ɪ ɾ m ɑ̃ː ʋ
इश्कोल	i ʃ k ɔ l
उंदिर	ʊ n iː ɾ
उजवें	u z ʋ ɛ̃
उजो	uː z ɔː
उदक	u d̪ iː k
उदक	u d̪ əː
उलोव्चे	ʊ l oː ʋ t͡ʃ e
उलोव्चे	ʊ l əː ʋ t͡ʃ e
उशें	u ʃ ɛ̃
एकोणीस	eː k oː ɳ iː s
कळसो	k ə ɭ̆ s ɔː
काळें	k ɑː ɭ ɛ̃
काळें	k ɑː ʋ ɛ̃
कावळो	k ɑː ʋ ɭ̆ ɔː
कुंकड	k ũ k ɘ ɖ ɘ
कुंकळी	k u ŋ k ə ɭ̆ iː
कुठ्ठाळी	k u ʈʰː ɑː ɭ̆ iː
कुरडो	k u ɖ ɖ ɔ
कुरडो	k u ɾ ɖ ɔ
केल्लो	k æ l ɔ l ɔː
केल्लो	k ɛ l l
केल्लो	k ɛ l l ɔː
केस	k ɛ s
कोडू	k oː ɖ uː
कोड्के	k ɔ ɖ k e
खेळ्चे	kʰ ɛ ɭ t͡ʃ ɛ
खेळ्चे	kʰ ɛ ʋ t͡ʃ ɛ̃
खेळ्टा	h ɛ ʈ ʈ ɑː
खेळ्टा	kʰ ɛ j ʈ ɑː
खेळ्टा	kʰ ɛ ɭ ʈ ɑː
खेळ्टा	kʰ ɛ ʋ t̪ ɑ̃ː
गीद	ɡ iː d̪
गेले	ɡ ɛː l ɛː
गेलो	ɡ ɛː l ɔː
गेल्लो	ɡ æ l ɔ l ɔː
गेल्लो	ɡ ɛ l l
गेल्लो	ɡ ɛ l l ɔː
गोंय	ɡ õ j
गोटो	ɡ ɔ ʈ ɔː
चवथें	t͡s ə u t̪ʰ ɛ̃
चाक	t͡s ɑː k
चेडी	t͡ʃ eː ɖ iː
चोर	t͡s oː ɾ
जल्म	d͡ʒ ə l m
जल्म	z ɔ l m
जळ्चे	d͡z ə ɭ̆ t͡ʃ e
जांवंय	d͡z ɑ̃ː ʋ ə̃ j
जाग्चे	d͡z ɑː ɡ t͡ʃ ɛ
जाणप	d͡z ɑː ɳ ə p
जाणां	d͡z ɑː ɳ ɑ̃ː
जाण्चे	d͡z ɑː ɳ t͡ʃ ɛ
जाण्टो	d͡z ɑː ɳ ʈ ɔː
जान्वें	z ɑː n ʋ ɛ̃
जाला	z ɑː l ɑː
जाले	z ɑː l ɛ
जाल्यार	z ɑː l j ɑː ɾ
जाल्लो	z ɑː l l
जाल्लो	z ɑː l l ɔː
जाल्लो	z ɑː l ɔ l ɔː
जुआंव	d͡z u ɑ̃ː ʋ
जुनें	d͡z u n ɛ̃
जेवण	d͡ʒ e ʋ əː ɳ
जेवण	d͡ʒ ə ʋ əː ɳ
झव्चे	d͡zʱ ɔ ʋ t͡ʃ e
झूंज	d͡zʱ ũː d͡z
झेम	d͡ʒʱ ɛː m
डुक्कर	ɖ u k k ɘ ɽ
णवें	ɳ ə ʋ ɛ̃
तण	t̪ əː ɳ
तांदूळ	t̪ ɑː n uː ɭ̆
तूप	t̪ uː p
तो	t̪ ɔ
दांडो	d̪ ɑː ɳ ɔ
दिल्ली	d i l l iː
निवळ	n i ʋ əː ɭ̆
नेण्टो	n ɛ ɳ ʈ ɔː
पयलें	p ə j l ɛ̃
पयलो	p ə j l ɔ
पांक	p ɑ̃ː k
पाच	p ɑː t͡s
पात्रांव	p ɑː t̪ ɾ ɑ̃ː ʋ
पान	p ɑː n
पाव्स	p ɑː w s
पिट्टि	p ɪ ʈ ʈ iː
पिसो	p ɪ s ɔː
पेद्रु	p eː d̪ ɾ u
पैस	p ə i s
