अक्का	ɐ k̚ k ɑː
अक्त	ɐ k̚ t ɐ
अक्त	ɐ k̚ t̪ ɐ
अक्तु	ɐ k̚ t ú
अक्तु	ɐ k̚ t̪ u
अक्तुभिस्	ɐ k̚ t u bʱ i s
अक्तुभिस्	ɐ k̚ t̪ u bʱ i s̪
अक्तोस्	ɐ k̚ t ɐ w s
अक्तोस्	ɐ k̚ t̪ oː s̪
अगच्छत	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ t ɐ
अगच्छत	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɐ
अगच्छतम्	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ t ɐ m
अगच्छतम्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɐ m
अगच्छताम्	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ t ɑː m
अगच्छताम्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ ɑː m
अगच्छत्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪
अगच्छत्	ɐ́ ɡ ɐ t̚ t͡ɕʰ ɐ t
अगच्छन्	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ n
अगच्छन्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ n̪
अगच्छम्	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ m
अगच्छम्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ m
अगच्छस्	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ s
अगच्छस्	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ s̪
अगच्छाम	ɐ ɡ ɐ t̚ t͡ɕʰ ɑː m ɐ
अगच्छाम	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɑː m ɐ
अगच्छाव	ɐ ɡ ɐ t̚ t͡ɕʰ ɑː ʋ ɐ
अगच्छाव	ɐ ɡ ɐ t̪̚ t͡ɕʰ ɑː ʋ ɐ
अगच्छे	ɐ ɡ ɐ t̚ t͡ɕʰ ɐ j
अगच्छे	ɐ ɡ ɐ t̪̚ t͡ɕʰ eː
अगम्य	ɐ ɡ ɐ j̃ j ɐ
अगम्यत	ɐ ɡ ɐ j̃ j ɐ t ɐ
अगम्यागमन	ɐ ɡ ɐ j̃ j ɑː ɡ ɐ m ɐ n ɐ
अगम्ये	ɐ ɡ ɐ j̃ j ɐ j
अग्निः	ɐ ɡ n̪ i h ĭ
अग्न्याधान	ɐ ɡ j̃ j ɑː dʱ ɑː n ɐ
अग्न्याधेय	ɐ ɡ j̃ j ɑː dʱ ɐ j j ɐ
अघ्न्या	ɐ ɡʱ j̃ j ɑ́ː
अघ्न्या	ɐ́ ɡʱ j̃ j ɑː
अचित्ति	ɐ t͡ɕ i t̚ t i
अचित्ति	ɐ t͡ɕ i t̪̚ t̪ i
अचिरः	ɐ t͡ɕ i ɾ ɐ h ɐ̆
अचिराः	ɐ t͡ɕ i ɾ ɑː h ɑ̆
अच्छ	ɐ t̚ t͡ɕʰ ɐ
अच्छ	ɐ t̪̚ t͡ɕʰ ɐ
अच्छभल्ल	ɐ t̚ t͡ɕʰ ɐ bʱ ɐ l l ɐ
अच्छभल्ल	ɐ t̪̚ t͡ɕʰ ɐ bʱ ɐ l̪ l̪ ɐ
अट्ट	ɐ ʈ̚ ʈ ɐ
अट्टहास	ɐ ʈ̚ ʈ ɐ ɦ ɑː s ɐ
अट्टहास	ɐ ʈ̚ ʈ ɐ ɦ ɑː s̪ ɐ
अट्टालिका	ɐ ʈ̚ ʈ ɑː l i k ɑː
अट्टालिका	ɐ ʈ̚ ʈ ɑː l̪ i k ɑː
अतिथिदेवः	ɐ t̪ i t̪ʰ i d̪ eː ʋ ɐ h ɐ̆
अतिथिपतिः	ɐ t̪ i t̪ʰ i p ɐ t̪ i h ĭ
अत्क	ɐ t̪̚ k ɐ
अत्क	ɐ́ t̚ k ɐ
अत्तव्य	ɐ t̚ t ɐ́ ʋ j ɐ
अत्तव्य	ɐ t̪̚ t̪ ɐ ʋ j ɐ
अत्ति	ɐ t̪̚ t̪ i
अत्ति	ɐ́ t̚ t i
अत्तृ	ɐ t̚ t ŕ̩
अत्तृ	ɐ t̪̚ t̪ r̩
अत्यद्भुत	ɐ t j ɐ d̚ bʱ u t ɐ
अत्यद्भुत	ɐ t̪ j ɐ d̪̚ bʱ u t̪ ɐ
अदाक्षिण्य	ɐ d ɑː k ʂ i j̃ j ɐ
अद्ग	ɐ d̪̚ ɡ ɐ
अद्ग	ɐ́ d̚ ɡ ɐ
अद्धा	ɐ d̚ dʱ ɑː
अद्धा	ɐ d̪̚ d̪ʱ ɑː
अद्भुत	ɐ d̚ bʱ u t ɐ
अद्भुत	ɐ d̪̚ bʱ u t̪ ɐ
अधिगच्छति	ɐ dʱ i ɡ ɐ t̚ t͡ɕʰ ɐ t i
अधिगच्छति	ɐ d̪ʱ i ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
अनक्ति	ɐ n ɐ́ k̚ t i
अनक्ति	ɐ n̪ ɐ k̚ t̪ i
अनन्य	ɐ n ɐ j̃ j ɐ́
अनापत्ति	ɐ n ɑː p ɐ t̚ t i
अनापत्ति	ɐ n̪ ɑː p ɐ t̪̚ t̪ i
अनुदात्त	ɐ n u d ɑː t̚ t ɐ
अनुदात्त	ɐ n̪ u d̪ ɑː t̪̚ t̪ ɐ
अन्तःपुर	ɐ n t ɐ ɸ p u ɾ ɐ
अन्य	ɐ j̃ j ɐ́
अन्यथा	ɐ j̃ j ɐ́ tʰ ɑː
अन्वेषण	ɐ ʋ̃ ʋ ɐ j ʂ ɐ ɳ ɐ
अपर्याप्त	ɐ p ɐ ɾ j ɑː p̚ t̪ ɐ
अपशब्द	ɐ p ɐ ɕ ɐ b̚ d ɐ
अपशब्द	ɐ p ɐ ɕ ɐ b̚ d̪ ɐ
अपेयः	ɐ p eː j ɐ h ɐ̆
अबद्ध	ɐ b ɐ d̚ dʱ ɐ
अबद्ध	ɐ b ɐ d̪̚ d̪ʱ ɐ
अब्ज	ɐ b̚ d͡ʑ ɐ
अब्जित्	ɐ b̚ d͡ʑ i t̪
अब्जित्	ɐ b̚ d͡ʑ í t
अब्द	ɐ b̚ d ɐ
अब्द	ɐ b̚ d̪ ɐ
अब्धि	ɐ b̚ dʱ i
अब्धि	ɐ b̚ d̪ʱ i
अम्ल	ɐ l̃ l ɐ
अरण्य	ɐ́ ɾ ɐ j̃ j ɐ
अरण्यात्	ɐ́ ɾ ɐ j̃ j ɑː t
अवगच्छति	ɐ ʋ ɐ ɡ ɐ t̚ t͡ɕʰ ɐ t i
अवगच्छति	ɐ ʋ ɐ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
अववृणक्ति	ɐ ʋ ɐ ʋ r̩ ɳ ɐ k̚ t i
अववृणक्ति	ɐ ʋ ɐ ʋ r̩ ɳ ɐ k̚ t̪ i
अशुद्ध	ɐ ɕ u d̪̚ d̪ʱ ɐ
अशुद्ध	ɐ ɕ ú d̚ dʱ ɐ
अश्वः	ɐ ɕ ʋ ɐ h ɐ̆
अश्वत्थामन्	ɐ ɕ ʋ ɐ t̚ tʰ ɑː m ɐ n
अश्वत्थामन्	ɐ ɕ ʋ ɐ t̪̚ t̪ʰ ɑː m ɐ n̪
अश्वाः	ɐ ɕ ʋ ɑː h ɑ̆
असंकॢप्त	ɐ s ɐ ŋ k l̩ p̚ t ɐ
असंकॢप्त	ɐ s̪ ɐ ŋ k l̪̩ p̚ t̪ ɐ
असिन्व	ɐ s i ʋ̃ ʋ ɐ́
अस्माभिः	ɐ s̪ m ɑː bʱ i h ĭ
आगच्छ	ɑː ɡ ɐ t̚ t͡ɕʰ ɐ
आगच्छ	ɑː ɡ ɐ t̪̚ t͡ɕʰ ɐ
आगच्छति	ɑː ɡ ɐ t̚ t͡ɕʰ ɐ t i
आगच्छति	ɑː ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
आचार्यदेवः	ɑː t͡ɕ ɑː ɾ j ɐ d̪ eː ʋ ɐ h ɐ̆
आनन्ददत्त	ɑː n ɐ n d ɐ d ɐ t̚ t ɐ
आनन्ददत्त	ɑː n̪ ɐ n̪ d̪ ɐ d̪ ɐ t̪̚ t̪ ɐ
आबुत्त	ɑː b u t̚ t ɐ
आबुत्त	ɑː b u t̪̚ t̪ ɐ
आलाक्त	ɑː l̪ ɑː k̚ t̪ ɐ
आलाक्त	ɑ́ː l ɑː k̚ t ɐ
आवयोः	ɑː ʋ ɐ j oː h ŏ
आवृत्ति	ɑː ʋ r̩ t̚ t i
आवृत्ति	ɑː ʋ r̩ t̪̚ t̪ i
आसक्त	ɑː s ɐ k̚ t ɐ
आसक्त	ɑː s̪ ɐ k̚ t̪ ɐ
आसक्ति	ɑː s ɐ k̚ t i
आसक्ति	ɑː s̪ ɐ k̚ t̪ i
इच्छति	i t̚ t͡ɕʰ ɐ́ t i
इच्छति	i t̪̚ t͡ɕʰ ɐ t̪ i
इच्छा	i t̚ t͡ɕʰ ɑː
इच्छा	i t̪̚ t͡ɕʰ ɑː
इद्धाग्नि	i d̚ dʱ ɑ́ː ɡ n i
इद्धाग्नि	i d̪̚ d̪ʱ ɑː ɡ n̪ i
इयत्तक	i j ɐ t̚ t ɐ k ɐ
इयत्तक	i j ɐ t̪̚ t̪ ɐ k ɐ
इषण्यति	i ʂ ɐ j̃ j ɐ t i
ईऌएन्य	iː ĺ̩ ɐ j j̃ j ɐ
ईट्टे	iː ʈ̚ ʈ eː
ईट्टे	íː ʈ̚ ʈ ɐ j
ईडेन्य	iː ɖ ɐ́ j j̃ j ɐ
उक्त	u k̚ t ɐ́
उक्त	u k̚ t̪ ɐ
उक्ति	u k̚ t í
उक्ति	u k̚ t̪ i
उक्त्वा	u k̚ t ʋ ɑː
उक्त्वा	u k̚ t̪ ʋ ɑː
उक्थ	u k̚ tʰ ɐ́
उक्थ	u k̚ t̪ʰ ɐ
उच्च	u t̚ t͡ɕ ɐ
उच्च	u t̪̚ t͡ɕ ɐ
उच्चय	u t̚ t͡ɕ ɐ j ɐ
उच्चय	u t̪̚ t͡ɕ ɐ j ɐ
उच्चा	u t̚ t͡ɕ ɑ́ː
उच्चा	u t̪̚ t͡ɕ ɑː
उच्चार	u t̪̚ t͡ɕ ɑː ɾ ɐ
उच्चार	ú t̚ t͡ɕ ɑː ɾ ɐ
उच्चारण	u t̚ t͡ɕ ɑː ɾ ɐ ɳ ɐ
उच्चारण	u t̪̚ t͡ɕ ɑː ɾ ɐ ɳ ɐ
उच्चि	u t̚ t͡ɕ i
उच्चि	u t̪̚ t͡ɕ i
उच्चैस्	u t̚ t͡ɕ ɑ́ː j s
उच्चैस्	u t̪̚ t͡ɕ ɑ j s̪
उच्छति	u t̚ t͡ɕʰ ɐ́ t i
उच्छति	u t̪̚ t͡ɕʰ ɐ t̪ i
उच्छिन्न	u t̚ t͡ɕʰ i n n ɐ
उच्छिन्न	u t̪̚ t͡ɕʰ i n̪ n̪ ɐ
उच्छ्रीयते	u t̪̚ t͡ɕʰ ɾ iː j ɐ t̪ eː
उच्छ्रीयते	ú t̚ t͡ɕʰ ɾ iː j ɐ t ɐ j
उच्छ्वस्	u t̚ t͡ɕʰ ʋ ɐ s
उच्छ्वस्	u t̪̚ t͡ɕʰ ʋ ɐ s̪
उच्छ्वास	u t̚ t͡ɕʰ ʋ ɑː s ɐ́
उच्छ्वास	u t̪̚ t͡ɕʰ ʋ ɑː s̪ ɐ
उज्ज्वल	u d̚ d͡ʑ ʋ ɐ l ɐ
उज्ज्वल	u d̪̚ d͡ʑ ʋ ɐ l̪ ɐ
उज्झति	u d̚ d͡ʑʱ ɐ t i
उज्झति	u d̪̚ d͡ʑʱ ɐ t̪ i
उज्झ्	u d̚ d͡ʑʱ
उज्झ्	u d̪̚ d͡ʑʱ
उड्डयते	u ɖ̚ ɖ ɐ j ɐ t ɐ j
उड्डयते	u ɖ̚ ɖ ɐ j ɐ t̪ eː
उड्डयन	u ɖ̚ ɖ ɐ j ɐ n ɐ
उड्डयन	u ɖ̚ ɖ ɐ j ɐ n̪ ɐ
