אָ	ɔ
אָאַזע	ɔ a z ə
אַאָרטאַ	a ɔ r t a
אָבֿ	ɔ v
אָבֿ	uː v
אָבֿ	uː f
אָבֿ	ɔ v
אָבֿ	uː v
אָבֿ	uː f
אַבאַזשור	a b a ʒ ʊ ʀ
אָבאָיעס	ɔ b ɔ j ə s
אַבאָנעמענט	a b ɔ n ɛ m ɛ n t
אָבאָראָנע	ɔ b ɔ ʀ ɔ n ɜ
אַבאָרט	a b ɔ ʁ t
אַבֿדה	a v ɛ ɪ̯ d ə
אַבֿדה	a v e ɪ̯ d ə
אַבֿדה	a v a ɪ̯ d ə
אַבֿדהות	a v ɛ ɪ̯ d ɜ s
אַבוטילאָן	a b ʊ t ɪ ɫ ɔ n
אָבטשעסטווע	ɔ b t͡ʃ ɛ s t v ɜ
אַבי	a b i
אבֿיון	ɛ v j ə n
אָביעקט	ɔ b j ɛ k t
אָביעקטיוו	ɔ b j ɛ k t ɪ v
אָבֿל	ɔ v ɫ̩
אַבלאַווע	a b ɫ a v ə
אָבלאַווע	ɔ b ɫ a v ɜ
אַבֿלות	a v ɛ ɪ̯ ɫ ə s
אַבֿלות	a v e ɪ̯ ɫ ə s
אַבֿלות	a v a ɪ̯ ɫ ə s
אָבֿלטע	ɔ v ɫ̩ t ɜ
אָבליגאַטאָריש	ɔ b ʎ ɪ ɡ a t ɔ r ɪ ʃ
אָבליגאַציע	ɔ b ʎ ɪ ɡ a t͡s j ɜ
אַבֿלים	a v ɛ ɪ̯ ɫ ə m
אַבלמאָסק	a b ɫ̩ m ɔ s k
אבֿן־בוחן	ɛ v n̩ b ɔ ɪ̯ χ n̩
אבֿן־בוחן	ɛ v n̩ b e ɪ̯ χ n̩
אבֿן־בוחן	ɛ ɪ̯ v n̩ b ɔ ɪ̯ χ n̩
אבֿן־טובֿ	ɛ v n̩ t ɔ v
אבֿן־טובֿ	ɛ ɪ̯ v n̩ t ɔ v
אבֿן־נגף	ɛ v n̩ n ɛ ɡ ɜ f
אַבֿנימ־טובֿות	a v ɔ n ɜ m t ɔ ɪ̯ v ɜ s
אַבסאָלווענט	a b s ɔ ɫ v ɛ n t
אַבסאָלוט	a b s ɔ ɫ ʊ t
אַבסאָרבירונג	a b s ɔ r b ɪ r ʊ n ɡ
אַבסאָרבירן	a b s ɔ r b ɪ r n̩
אַבסורד	a b s ʊ r d
אָבסטעטריק	ɔ b s t ɛ t r ɪ k
אָבסטעטריקער	ɔ b s t ɛ t r ɪ k ɜ r
אַבסטראַהירן	a b s t r a h ɪ r n̩
אַבסטראַקציע	a b s t r a k t͡s j ɜ
אָבסטרויִרן	ɔ b s t r ʊ ɪ r n̩
אָבסטרוקציע	ɔ b s t r ʊ k t͡s j ɜ
אָבסערוואַטאָר	ɔ b s ɛ r v a t ɔ r
אָבסערוואַטאָריע	ɔ b s ɛ r v a t ɔ r j ɜ
אָבסערוואַציע	ɔ b s ɛ r v a t͡s j ɜ
אָבסערווירן	ɔ b s ɛ r v ɪ r n̩
אָבעזיאַנע	ɔ b ɜ z j a n ɜ
אָבער	ɔ b ə ʀ
אָבערגלויבן	ɔ b ə ʁ ɡ ɫ ɔ ɪ̯ b n̩
אָבצאַס	ɔ b t͡s a s
אָבצע	ɔ p t͡s ə
אבֿר	ɛ ɪ̯ v ə ʁ
אָבראָק	ɔ b ʀ ɔ k
אַבֿרהם	a v ʁ ɔ ə m
אַבֿרהם	a v ʁ ɔ m
אַבֿרהם	a v ʁ uː ə m
אַבֿרהם	a v ʁ uː m
אַבֿרהם	a v ʁ u ə m
אַבֿרהם	a v ʁ u m
אבֿרים	ɛ ɪ̯ v ʁ ə m
אַגאַווע	a ɡ a v ə
אַגאַט	a ɡ a t
אַגאָניע	a ɡ ɔ n j ə
אַגאַפּאַנטוס	a ɡ a p a n t u s
אַגאַריק	a ɡ a r ɪ k
אַגבֿ	a ɡ ə v
אַגבֿ־אורחא	a ɡ ə v ʊ ʁ χ ə
אַגבֿ־אורחא	a ɡ ə v iː ʁ χ ə
אַגבֿ־אורחא	a ɡ ə f iː ʁ χ ə
אַגבֿ־אורחא	a ɡ ə v i ʁ χ ə
אַגבֿ־אורחא	a ɡ ə f i ʁ χ ə
אַגבֿדיק	a ɡ ə v d ɪ k
אַגיטאַציע	a ɡ ɪ t a t͡s j ɜ
אַגיטירן	a ɡ ɪ t ɪ r n̩
אַגענט	a ɡ ɛ n t
אַגענטור	a ɡ ɜ n t ʊ r
אָגער	ɔ ɡ ɜ r
אַגראַפֿקע	a ɡ r a f k ɜ
אַגרימאָניע	a ɡ r i m ɔ n j ə
אַגריקולטור	a ɡ r ɪ k ʊ ɫ t ʊ r
אַגריקולטורעל	a ɡ r ɪ k ʊ ɫ t ʊ r ɛ ɫ
אַגרעס	a ɡ r ə s
אַגרעסיוו	a ɡ r ɜ s ɪ v
אַגרעסיע	a ɡ r ɛ s j ɜ
אַדאָניס	a d ɔ n ɪ s
אַדאָפּטירונג	a d ɔ p t ɪ r ʊ n ɡ
אַדאָפּטירן	a d ɔ p t ɪ r n̩
אַדוואָקאַט	a d v ɔ k a t
אַדוואָקאַטנשאַפֿט	a d v ɔ k a t n̩ ʃ a f t
אַדווערב	a d v ɛ r b
אדוני	a d ɔ ɪ̯ n a ɪ̯
אַדורך	a d ʊ ʀ χ
אַדורכ־	a d ʊ ʁ χ
אַדורכ־	a d ɔ ʁ ə χ
אַדורכ־	a d ɔ ʁ χ
אַדורכ־	a d ɛ ʁ ə χ
אַדורכ־	a d ɛ ʁ χ
אַדיעקטיוו	a d j ɛ k t ɪ v
אַדיקט	a d ɪ k t
אַדיקציע	a d ɪ k t͡s j ɜ
אַדל	a d ɫ̩
אַדלדיק	a d ɫ̩ d ɪ k
אַדליגע	a d ʎ i ɡ ɜ
אַדלמאַן	a d ɫ̩ m a n
אָדלער	ɔ d ɫ ə ʀ
אַדלפֿרוי	a d ɫ̩ f r ɔ ɪ̯
אָדם	ɔ d ɜ m
אָדם	uː d ɜ m
אָדם	u d ə m
אדמה	a d u m ɜ
אדמה	a d ɔ m ɜ
אַדמיניסטראַטיוו	a d m ɪ n ɪ s t r a t ɪ v
אַדמיניסטראַציע	a d m ɪ n ɪ s t ʀ a t͡s j ə
אַדמיניסטרירן	a d m ɪ n ɪ s t r ɪ r n̩
אַדמיראַל	a d m ɪ r a l
אָדעס	ɔ d ɛ s
אָדעקאָלאָן	ɔ d ɜ k ɔ ɫ ɔ n
אַדעקוואַט	a d ɜ k v a t
אָדער	ɔ d ə ʀ
אָדר	ɔ d ə ʁ
אָדר	uː d ə ʁ
אַדרבא	a d ə r a b ə
אַדרבא	a d ə r a b ə
אַדרעס	a d r ɛ s
אַדרעס	a d r ɛ s
אַדרעסאַט	a d r ɜ s a t
אַדרעסן	a d ʀ ɛ s n̩
אַדרעסן־בוך	a d r ɛ s n̩ b u χ
אַהאַ	a h a
אָהאָ	ɔ h ɔ
אַהבֿה	a h a v ə
אַהבֿה	a a v ə
אַהבֿה	a h a v ə
אַהבֿה	a h a ɪ̯ v ə
אַהבֿה	a v ə
אַהבֿה	a ɪ̯ v ə
אַהבֿה	a h aː v ə
אַהיים	a h ɛ ɪ̯ m
אַהיימגיין	a h ɛ ɪ̯ m ɡ ɛ ɪ̯ n
אַהיימגעגאַנגען	a h ɛ ɪ̯ m ɡ ə ɡ a ŋ ɡ ə n
אַהיימלויפֿן	a h ɛ ɪ̯ m ɫ ɔ ɪ̯ f n̩
אַהין	a h ɪ n
אַהינגיין	a h ɪ n ɡ ɛ ɪ̯ n
אַהינגיין	a h ɪ n ɡ e ɪ̯ n
אַהינגיין	a h ɪ n ɡ a ɪ̯ n
אַהינגיין	a h ɨ n ɡ ɛ ɪ̯ n
אַהערגעקומען	a h ɛ ʁ ɡ ə k ʊ m ə n
אַהערקומען	a h ɛ ʁ k ʊ m ə n
אהרן	a r n̩
אוגערקע	ʊ ɡ ə ʁ k ə
אוגערקעס	ʊ ɡ ə ʁ k ə s
אָוואַ	ɔ v a
אוּוואַדזשען	ʊ v a d͡ʒ ɛ n
אוּווערטור	ʊ v ɛ ʀ t ʊ ʀ
אָוונט	ɔ v n̩ t
אָוונטברויט	ɔ v n̩ t b r ɔ ɪ̯ t
אַוועק	a v ɛ k
אַוועקאײַלן	a v ɛ k a ɪ̯ ɫ n̩
אַוועקגיין	a v ɛ k ɡ ɛ ɪ̯ n
אַוועקגיין	a v ɛ k ɡ a ɪ̯ n
אַוועקקומען	a v ɛ k ʊ m ə n
אוזאָר	ʊ z ɔ ʁ
אוזער	ʊ z ɛ ʀ
אוטווערדזשען	ʊ t v ɛ ʀ d͡ʒ ɛ n
אוטשאַסטאָק	ʊ t͡ʃ a s t ɔ k
אוטשאָק	ʊ t͡ʃ ɔ k
אוטשעניע	ʊ t͡ʃ ɛ n j ɜ
אויב	ɔ ɪ̯ b
אויבן	ɔ ɪ̯ b n̩
אויבנאָן	ɔ ɪ̯ b m ɔ n
אויבנאָן	e ɪ̯ b m ɔ n
אויבנאָן	ɔ ɪ̯ b m uː n
אויבס	ɔ ɪ̯ b s
אויבסט	ɔ ɪ̯ b s t
אויג	ɔ ɪ̯ ɡ
אויג	e ɪ̯ ɡ
אויגן	ɔ ɪ̯ ɡ n̩
אויגנצאָן	ɔ ɪ̯ ɡ n̩ t͡s ɔ n
אויוון	ɔ ɪ̯ v n̩
אויוונס	ɔ ɪ̯ v n̩ s
אויטאָבוס	ɔ ɪ̯ t ɔ b ʊ s
אויטאָמאַט	ɔ ɪ̯ t ɔ m a t
אויטאָמאַטיש	ɔ ɪ̯ t ɔ m a t ɪ ʃ
אויטאָנאָם	ɔ ɪ̯ t ɔ n ɔ m
אויטאָנאָמיע	ɔ ɪ̯ t ɔ n ɔ m j ɜ
אויטאָנאָמיש	ɔ ɪ̯ t ɔ n ɔ m ɪ ʃ
אויטענטיש	ɔ ɪ̯ t e n t ɪ ʃ
אויטענטישקייט	ɔ ɪ̯ t e n t ɪ ʃ k a ɪ̯ t
אויך	ɔ ɪ̯ χ
אויך	o ʊ̯ χ
אויך	e ɪ̯ χ
אויס־	ɔ ɪ̯ s
אויסבאָדן	ɔ ɪ̯ s b ɔ d n̩
אויסבאָדן	ɔ ʊ̯ s b uː d n̩
אויסבאָדן	ɔ ʊ̯ s b u d n̩
אויסבלייזן	ɔ ɪ̯ s b ɫ ɛ ɪ̯ z n̩
אויסברייטערן	ɔ ɪ̯ s b r ɛ ɪ̯ t ɜ r n̩
אויסגעבן	ɔ ɪ̯ s ɡ ɛ b n̩
אויסגעלאָשן	ɔ ɪ̯ s ɡ ə ɫ ɔ ʃ n̩
אויסגעשריבן	ɔ ɪ̯ s ɡ ə ʃ ʀ ɪ̯ b n̩
אויסוועג	ɔ ɪ̯ s v ɛ ɡ
אויסוועג	ɔ ʊ̯ s v ɛ ɡ
אויסזידלונג	ɔ ɪ̯ s z ɪ d l ʊ ŋ
אויסזען	ɔ ɪ s z ɛ n
אויסטראַליע	ɔ ɪ̯ s t ʀ a ʎ j ə
אויסטראַליש	ɔ ɪ̯ s t ʁ a ʎ ɪ ʃ
אויסלאַכן	ɔ ɪ̯ s ɫ a χ n̩
אויסלאַנד	ɔ ɪ̯ s ɫ a n d
אויסלענדיש	ɔ ɪ̯ s ɫ ɛ n d ɪ ʃ
אויסלענדער	ɔ ɪ̯ s ɫ ɛ n d ə ʀ
אויסלענדערשע	ɔ ɪ̯ s ɫ ɛ n d ə ʀ ʃ ə
אויסלעשן	ɔ ɪ̯ s ɫ ɛ ʃ n̩
אויסמאַכן	ɔ ɪ̯ s m a χ n̩
אויסמעקן	ɔ ɪ̯ s m ɛ k n̩
אויסמשלען	ɔ ɪ̯ s m ɔ ʃ l ə n
אויסניצן	ɔ ɪ̯ s n ɪ t͡s n̩
אויספֿאַלן	ɔ ɪ̯ s f a ɫ n̩
אויסשטאַרבן	ɔ ɪ̯ s ʃ t a ʁ b n̩
אויסשטעלונג	ɔ j s ʃ t ɛ l ʊ ŋ ɡ
אויסשטשערבען	ɔ ɪ̯ s ʃ t͡ʃ ɛ r b ə n
אויסשטשערבען	ɔ ɪ̯ ʃ t͡ʃ ɛ r b ə n
אויסשטשערבען	ɔ ɪ̯ s ʃ t͡ʃ ɛ r b n̩
אויסשטשערבען	ɔ ɪ̯ ʃ t͡ʃ ɛ r b n̩
אויסשפּאַנען	ɔ ɪ̯ s ʃ p a n ə n
אויסשפּיר	ɔ j s ʃ p i ʀ
אויסשרײַבן	ɔ ɪ̯ s ʃ ʁ a ɪ̯ b n̩
אוּיעזד	u j ɛ z d
אויער	ɔ ɪ ə ʁ
אויער	e ɪ ə ʁ
אויערן	ɔ ɪ̯ ə ʁ n̩
אויף	a f
אויף	a f
אויף	ɔ f
אויף	ʌ f
אויפֿ־	ɔ ɪ̯ f
אויפֿ־	a f
אויפֿ־	ɔ f
אויפֿגאַבע	ɔ ɪ̯ f ɡ a b ə
אויפֿגאַבע	a f ɡ a b ə
אויפֿגאַבע	ɔ f ɡ a b ə
אויפֿגאַנג	ɔ j f ɡ a ŋ ɡ
אויפֿגעהערט	ɔ ɪ̯ f ɡ ə h ɛ ʁ t
אויפֿהערן	a f h ɛ ʁ n̩
אויפֿוועקן	ɔ ɪ̯ f v ɛ k ŋ̩
אויפֿוועקן	a f v ɛ k n̩
אויפֿוועקן	ɔ f v ɛ k n̩
אויפֿטו	ɔ j f t ʊ
אויפֿמאַכן	ɔ ɪ̯ f m a χ n̩
אויפֿמאַכן	a f m a χ n̩
אויפֿמאַכן	ɔ f m a χ n̩
אויפֿן	ɔ j f n̩
אויפֿן	a f n̩
אויפֿן	ɔ f n̩
אויפֿן	ʌ f n̩
אויפּס	ɔ ɪ̯ p s
אויפּסט	ɔ ɪ̯ p s t
אויפֿעפֿענען	ɔ ɪ̯ f ɛ f ə n ə n
אויפֿעפֿענען	a f ɛ f ə n ə n
אויפֿעפֿענען	ɔ f ɛ f ə n ə n
אויפֿצומאָרגנס	ɔ ɪ̯ f t͡s ʊ m ɔ ʁ ɡ n̩ s
