ԱԱ	ɑ ɑ
ԱԱԱԿ	ɑ ɑ ɑ ɡ
ԱԱԲ	ɑ ɑ p ə
ԱԱԳ	ɑ ɑ k ə
ԱԱԳԽ	ɑ ɑ k ə χ ə
ԱԱԻ	ɑ ɑ i
ԱԱԽ	ɑ ɑ χ ə
ԱԱԾ	ɑ ɑ d͡z ə
ԱԱԿ	ɑ ɑ ɡ ə
ԱԱՀ	ɑ ɑ h ə
ԱԱՀՀԻ	ɑ ɑ h ə h ə i
ԱԱՆ	ɑ ɑ n ə
ԱԱՊ	ɑ ɑ b ə
ԱԱՊԲ	ɑ ɑ b ə p ə
ԱԱՊՎ	ɑ ɑ b ə v ə
ԱԱՌ	ɑ ɑ r ə
ԱԳՆ	ɑ k ə n ə
ԱԶԲ	ɑ z ə p ə
ԱԹՍ	ɑ t ə s ə
ԱԺ	ɑ ʒ ə
ԱՄԷ	ɑ m ə e
ԱՄՆ	ɑ m ə n ə
ԱՊՀ	ɑ b ə h ə
Աարե	ɑ ɑ ɾ e
Աբադան	ɑ p ɑ t ɑ n
Աբայ	ɑ p ɑ j
Աբաջյան	ɑ p ɑ t͡ʃ j ɑ n
Աբաս	ɑ p ɑ s
Աբասթուման	ɑ p ɑ s t u m ɑ n
Աբարան	ɑ p ɑ ɾ ɑ n
Աբգար	ɑ p k ɑ ɾ
Աբգարյան	ɑ p k ɑ ɾ j ɑ n
Աբել	ɑ p e l
Աբեղյան	ɑ p e ʁ j ɑ n
Աբերդին	ɑ p e ɾ t i n
Աբիջան	ɑ p i t͡ʃ ɑ n
Աբիսողոմ	ɑ p i s o ʁ o m
Աբխազիա	ɑ p χ ɑ z i ɑ
Աբո	ɑ p o
Աբովյան	ɑ p o v j ɑ n
Աբուջա	ɑ p u t͡ʃ ɑ
Աբրահամ	ɑ p ɾ ɑ h ɑ m
Աբրահամյան	ɑ p ɾ ɑ h ɑ m j ɑ n
Աբրամ	ɑ p ɾ ɑ m
Աբրուցցո	ɑ p ɾ u t͡s t͡s o
Աբքայք	ɑ p k ɑ j k
Ագա	ɑ k ɑ
Ագամեմնոն	ɑ k ɑ m e m n o n
Ագանյա	ɑ k ɑ n j ɑ
Ագապի	ɑ k ɑ b i
Ագարակ	ɑ k ɑ ɾ ɑ ɡ
Ագարտալա	ɑ k ɑ ɾ d ɑ l ɑ
Ագինսկոյե	ɑ k i n s ɡ o j e
Ագրիպպաս	ɑ k ɾ i b b ɑ s
Ադամյան	ɑ t ɑ m j ɑ n
Ադանա	ɑ t ɑ n ɑ
Ադլեր	ɑ t l e ɾ
Ադոնց	ɑ t o n t͡s
Ադրբեջան	ɑ t ə ɾ p e t͡ʃ ɑ n
Ադրիանապոլիս	ɑ t ɾ i j ɑ n ɑ b o l i s
Ադրիանոս	ɑ t ɾ i j ɑ n o s
Ազատ	ɑ z ɑ d
Ազնիվ	ɑ z n i v
Ազորներ	ɑ z o ɾ n e ɾ
Աթաբեկ	ɑ t ɑ p e ɡ
Աթանաս	ɑ t ɑ n ɑ s
Աթենաս	ɑ t e n ɑ s
Աթենք	ɑ t e n k
Աժդահակ	ɑ ʃ t ɑ h ɑ ɡ
Աիդա	ɑ i t ɑ
Ալադին	ɑ l ɑ t i n
Ալազան	ɑ l ɑ z ɑ n
Ալանք	ɑ l ɑ n k
Ալավերդի	ɑ l ɑ v e ɾ t i
Ալբանիա	ɑ l p ɑ n i ɑ
Ալբարյան	ɑ l p ɑ ɾ j ɑ n
Ալբերտ	ɑ l p e ɾ d
Ալեն	ɑ l e n
Ալեքսան	ɑ l e k s ɑ n
Ալեքսանդր	ɑ l e k s ɑ n t ə ɾ
Ալեքսանդրապոլ	ɑ l e k s ɑ n t ɾ ɑ b o l
Ալեքսանդրիա	ɑ l e k s ɑ n t ɾ i ɑ
Ալեքսանյան	ɑ l e k s ɑ n j ɑ n
Ալեքսիյ	ɑ l e k s i j
Ալթըբարմագյան	ɑ l t ə p ɑ ɾ m ɑ k j ɑ n
Ալթըբարմաքյան	ɑ l t ə p ɑ ɾ m ɑ k j ɑ n
Ալթըփարմագյան	ɑ l t ə p ɑ ɾ m ɑ k j ɑ n
Ալթըփարմաքյան	ɑ l t ə p ɑ ɾ m ɑ k j ɑ n
Ալթիպարմաղյան	ɑ l t i b ɑ ɾ m ɑ ʁ j ɑ n
Ալժիր	ɑ l ʒ i ɾ
Ալինա	ɑ l i n ɑ
Ալիստեր	ɑ l i s d e ɾ
Ալիև	ɑ l i j e v
Ալլա	ɑ l l ɑ
Ալլահ	ɑ l l ɑ h
Ալկայոս	ɑ l ɡ ɑ j o s
Ալկիբիադես	ɑ l ɡ i p i ɑ t e s
Ալկման	ɑ l ɡ m ɑ n
Ալկմենե	ɑ l ɡ m e n e
Ալմաթի	ɑ l m ɑ t i
Ալյասկա	ɑ l j ɑ s ɡ ɑ
Ալպեր	ɑ l b e ɾ
Ալջունիդ	ɑ l t͡ʃ u n i t
Ալվարդ	ɑ l v ɑ ɾ t
