ހ	h aː
ހަށަނަރަ	h ä ʂ ä n̪ ä ɾ ä
ހަށްޓި	h ə ʂ ʈ i
ހަނދި	h äⁿ d̪ i
ހަނދު	h äⁿ d̪ u
ހަނޑޫ	h əᶯ ɖ uː
ހަނު	h ä n̪ u
ހަން	h ä ŋ
ހަންދަރު	h ä n̪ d̪ ä ɾ u
ހަރިޔާނާ	h ə ɾ i j əː n əː
ހަރު	h ə ɾ u
ހަރުބަސް	h ə ɾ u b ə s̺
ހަރުފަ	h ə ɾ u f ə
ހަކުރު	h ä k u ɾ u
ހައިބަ	h ä i b ä
ހައިބަ	h æː b ä
ހައެއް	h ə e ʔ
ހައްދަނީ	h ə d̪ d̪ ə n̪ iː
ހައްދުންމަތި	h ä d̪ d̪ u m m ä t̪ i
ހަވިއްތަ	h ä ʋ i t̚ t̪ ä
ހަވީރު	h ə ʋ iː ɾ u
ހަފަނީ	h ä f ä n̪ iː
ހަފު	h ə f u
ހަފުތާ	h ä f u t̪ aː
ހަފްތާ	h ä f t̪ aː
ހަދަނީ	h ä d̪ ä n̪ iː
ހަތަރު	h ä t ä ɾ u
ހަތަރެއް	h ə t̪ ə ɾ e ʔ
ހަތާ	h ə t̪ əː
ހަތާވީސް	h ə t̪ əː ʋ iː s̺
ހަތި	h ə t̪ i
ހަތިޔާރު	h ä t̪ i j aː ɾ u
ހަތެއް	h ə t̪ e ʔ
ހަތް	h ə j ʔ
ހަތްތެރި	h ə t̪ː e ɾ i
ހަލަނި	h ä l ä n̪ i
ހަލަނީ	h ä l ä n̪ iː
ހަސްފަތާލު	h ä s̺ f ä t̪ aː l u
ހަޑި	h ä ɖ i
ހަޖޫ	h ä d͡ʒ uː
ހާ	h əː
ހާނަނީ	h aː n̪ ä n̪ iː
ހާއްޔޯ	h əː j j oː
ހިހޫ	h i h uː
ހިނދު	h iⁿ d̪ u
ހިނގަނީ	h iᵑ ɡ ə n̪ iː
ހިނި	h i n̪ i
ހިންނަވަރު	h i n̪ː ə ʋ ə ɾ u
ހިންދުކަރަ	h i n̪ d̪ u k ä ɾ ä
ހިންދުސްތާނު	h i n̪ d̪ u s t̪ əː n̪ u
ހިރި	h i ɾ i
ހިބަރު	h i b ä ɾ u
ހިތަ	h i t̪ ä
ހިތަނީ	h i t̪ ə n̪ iː
ހިތް	h i j ʔ
ހިލަ	h i l ä
ހިޔަ	h i j ə
ހިޔަނި	h i j ä n̪ i
ހީވަނީ	h iː ʋ ä n̪ iː
ހުނި	h u n̪ i
ހުންނަނީ	h u n̪ n̪ ə n̪ iː
ހުރަގެ	h u ɾ ä ɡ e
ހުރިހާ	h u ɾ i h aː
ހުރު	h u ɾ u
ހުޅަސް	h u ɭ ä s̺
ހުޅު	h u ɭ u
ހުޅުމާލެ	h u ɭ u m aː l e
ހުކުރު	h u k u ɾ u
ހުވަނދު	h u w äⁿ d̪ u
ހުވަދު	h u w ä d̪ u
ހުވާހަ	h u w aː h ä
ހުވާސް	h u w aː s̺
ހުސް	h u s̪
ހުސްކުރަނީ	h u s̪ k u ɾ ä n̪ iː
ހުޱު	h u n̪ u
ހުޱު	h u ɳ u
ހޫނު	h uː n̪ u
ހެނަ	h e n̪ ä
ހެން	h e n̪
ހެންދުނު	h e n̪ d̪ u n̪ u
ހެކި	h e k i
ހެކިވެރިޔާ	h e k i ʋ e ɾ i j aː
ހެދެނީ	h e d̪ e n̪ iː
ހެލުވެނީ	h e l u w e n̪ iː
ހޭ	h eː
ހޮނިހިރު	h o n̪ i h i ɾ u
ހޮނު	h o n̪ u
ހޮޅި	h o ɭ i
ހޯނު	h oː n̪ u
ހޯމަ	h oː m ä
ށަވިޔަނި	s̺ a ʋ i j a n̪ i
ށަވިޔަނި	ɽ̊ r̥ a ʋ i j a n̪ i
ށަވިޔަނި	ʂ a ʋ i j a n̪ i
ނ	n̪ uː n̪ u
ނަށަނީ	n̪ ə ʂ ə n̪ iː
ނަން	n̪ ə n̪
ނަންއިތުރު	n̪ ə n̪ ‿ i t̪ u ɾ u
ނަރަކަ	n̪ ə ɾ ə k ə
ނަރު	n̪ ä ɾ u
ނަކަތް	n̪ ä k æ ʔ
ނައިފަރު	n̪ ä i f ä ɾ u
ނައިފަރު	n̪ æː f ä ɾ u
ނައްކާރަ	n̪ ə kː əː ɾ ə
ނައްޕި	n ä p̚ p i
ނަވަހައްޓި	n̪ ə ʋ ə h ə ʈː i
ނަވައި	n̪ ə ʋ æː
ނަވާނަވައި	n̪ ə ʋ əː n̪ ə ʋ æː
ނަވާރަ	n̪ ə ʋ əː ɾ ə
ނަމަ	n̪ ä m ä
ނަމަވެސް	n̪ ə m ə ʋ e s̺
ނަމާދު	n̪ ä m aː d̪ u
ނަމޫނާ	n̪ ə m uː n̪ əː
ނަފުރަތު	n̪ ä f u ɾ ä t̪ u
ނަގަނީ	n̪ ə ɡ ə n̪ iː
ނަގަރު	n̪ ə ɡ ə ɾ u
ނާ	n̪ aː
ނާރިގު	n̪ əː ɾ i ɡ u
ނާރު	n̪ aː ɾ u
ނާބަ	n̪ əː b ə
ނާޅި	n̪ əː ɭ i
ނާކާ	n̪ əː k əː
ނާގަލޭންޑު	n əː ɡ ə l eː n̪ ɖ u
ނާގާ	n̪ əː ɡ əː
ނާޔަކަ	n̪ aː j ä k ä
ނިރުމަލަ	n̪ i ɾ u m ə l ə
