barnet	b ɑ ɳ ə
bordet	b uː ɾ ə
f	ɛ fː
f	æ fː
f	f
f	fː
fe	f eː
fiktiv	f i k t iː ʋ
føniks	f øʷː n ɪ k s
føniks	f øʷː n ɪ k s
gapahuk	ɡ aː p ɑ h ʉʷː k
garden	¹ ɡ ɐ̞ː r e n
garden	¹ ɡ ɐ̞ː ɳ̩
gjort	j ʊ ʈ
gnom	ɡ n uː m
gnom	ɡ n uː m
gutten	ɡ ʉ tː n̩
guttene	ɡ ʉ ʔ n̩ ə
havfrue	h aː ʋ f ɾ ʉʷː ə
Helge	² h ɛ l j ə
Helge	² h æ ɽ j ə
Helge	² h ɛ l ɡ ə
hestene	h ɛ s t n̩ ə
hevn	h ɛ v n
hundene	h ʉ n n̩ ə
hvi	ʋ i
hyfe	h yʷː f ə
hytta	h ʏ tː ɑ
hyttene	h ʏ ʔ n̩ ə
hårsår	h oː ʂ oː ɾ
hårsår	h oː ʂ oː ɾ
j	j eː
j	j ɔ dː
j	j
j	jː
jentene	j ɛ n ʔ n̩ ə
Johan	j ʊ h ɑ nː
kaféen	kʰ ɑ f eː e n
kattene	kʰ ɑ ʔ n̩ ə
kek	ç eː k
kik	ç iː k
kike	ç iː k ə
kikke	ç ɪ kː ə
kikkert	ç ɪ kː ɛ ʈ
Kirsten	² ç ɪ ʂ ʈⁿ ɳ̩
Kjartan	ç ɑː ɻ t a n
kode	k uː d ə
kommode	kʰ u m uː d ə
kommunisme	kʰ ɔ m u n ɪ s m ə
kua	kʰ ʉː ɑ
kvinnene	kʰ ʋ ɪ n n̩ ə
Kåfjord	kʰ oː f j uː ɾ
Leirvik	l æ ɪ r ʋ iː k
Leirvik	l æ ɪ ʁ ʋ iː k
Leirvik	l æ ɪ ɾ ʋ iː k
Leirvik	l ɛ ɪ ɾ ʋ iː k
Leirvik	l ɛ ɪ r ʋ iː k
Leirvik	l æ ɪ r ʋ iː ç a
Leirvik	l æ ɪ r ʋ iː k a
Leirvik	l æ ɪ r ʋ iː k
lian	l ɪ aː n
lian	l ɪ aː n
ligning	l ɪ ŋ n ɪ ŋ
likevel	² l iː k ə ʋ ɛ l
likning	l ɪ ŋ n ɪ ŋ
likning	l ɪ ŋ n ɪ ŋ
liten	² l iː t n̩
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
ludder	l u d dˀ ɐ r
Magnus	m ɑ ŋː n ʉ s
Maja	m ɑ jː a
Mars	m aː ʂ
marsvin	m aː ʂ ʂ v iː n
mat	m ɑː t̻
missa	m ʉ s t ɑ
mòr	m ɔ̝ː rˠ
nashorn	n aː s h uː ɳ
naust	n æ ʉ s t
nedenfor	n e ʔ n̩ f ɔ ɾ
neshorn	n eː s h uː ɳ
nymfe	n ʏ ɱ f ə
opphavsrett	ʊ p h ɑ f s ɾ ɛ t
pensum	pʰ ɛ n s ʉ m
primitiv	p ɾ i m i t iː ʋ
rein	ɾ æ ɪ̯ n
reingjøre	ɾ æ ɪ̯ n j øʷː ɾ ə
ren	ɾ eː n
rengjøre	ɾ eː n j øʷː ɾ ə
røntgen	ɾ œʷ ŋ k ə n
segl	s æ ɪ̯ l
sitronen	s i tʰ ɾ oː n ə n
sjansen	ʃ ɑ n s n̩
slott	ʂ l ɔ t
slått	ʂ l ɔ t
smaragd	s m ɑ ɾ ɑ ɡ d
softis	s ɔ f t iː s
softis	s ɔ f t iː s
spille	s p ɪ l l ə
spilleautomat	s p ɪ l l ə æ ʉ t ʊ m aː t
stridsvogn	s t ɾ ɪ t s ʋ ɔ ŋ n
stridsvogn	s t ɾ ɪ t s ʋ ɔ ŋ n
syv	s yː v
tanks	tʰ æ ŋ k s
tanks	tʰ æ ŋ k s
tanksane	tʰ æ ŋ k s ɑ n ə
tanksar	tʰ æ ŋ k s ɑ ɾ
tanksen	tʰ æ ŋ k s n̩
tanksen	tʰ æ ŋ k s n̩
tanksene	tʰ æ ŋ k s e n ə
tankser	tʰ æ ŋ k s e ɾ
tavle	t ɑ ʋ l ə
Tyskland	tʰ ʏ s k l ɑ nˑ
unnskyld	ʉ̞ nː ʃ ʏ lˑ
uten	ʉː t ə n
uten	ʉː t n̩
varulv	ʋ aː ɾ ʉʷ l ʋ
æ	æ ~ ɛ
æ	æː ~ eː
