Ⴀ	ɑ
Ⴃ	d̪
Ⴄ	ɛ
Ⴅ	v
გვბრდღვნი	ɡʷ b ɾ̩ d ɣʷ n i
გვფრცქვნი	ɡʷ pʰ ɾ̥ t͡s kʰʷ n i
გვწვრთნი	ɡʷ t͡sʼʷ ɾ̥ tʰ n i
დ	d̪
ე	ɛ
ზ	z
თმა	tʰ m a
თქვენ	tʰ kʰʷ ɛ n
ი	ɪ
კ	kʼ
მ	m
მთვრალი	m̥ tʰʷ ɾ a l ɪ
მკვდარი	m̥ kʼʷ d a ɾ ɪ
მკვლელი	m̥ kʼʷ l ɛ l ɪ
მტკივნეული	m̥ tʼ kʼ ɪ v n ɛ u l ɪ
მწვანე	m̥ t͡sʼʷ a n ɛ
მწვრთნელი	m̥ t͡sʼʷ ɾ̥ tʰ n ɛ l ɪ
მწკრივი	m̥ t͡sʼ k ɾ ɪ v ɪ
ნ	n
ჟ	ʒ
რ	ɾ
რძე	ɾ d͡z ɛ
ს	s
სწორი	s t͡sʼ ɔ ɾ ɪ
ტ	t̪ʼ
ტკბილი	tʼ kʼ b ɪ l ɪ
ფ	pʰ
ყ	qʼ
შ	ʃ
ჩ	t͡ʃʰ
ჩრდილოეთი	t ʂ tʰ i l o ɛ tʰ i
ც	t͡sʰ
ცხვირი	t͡s xʷ ɪ ɾ ɪ
ძ	d͡z
წ	t͡sʼ
წყალი	t͡sʼ χʼ a l ɪ
ჭ	t͡ʃʼ
ხ	x
ჯ	d ʒ
ჰ	h
ჱ	e j
ჲ	j
ჳ	w i
ჴ	qʰ
ჵ	oː
ჶ	f
ჷ	ə
ჸ	ʔ
ჺ	ʕ
