அஃது	ɐ ɦ d̪ ɯ
அகப்படு	ɐ ɡ ɐ pː ɐ ɖ ɯ
அகப்பு	ɐ ɡ ɐ pː ɯ
அகரவரிசை	ɐ ɡ ɐ ɾ ɐ ʋ ɐ ɾ i s a ɪ̯
அகரு	ɐ ɡ ɐ ɾ ɯ
அகற்சி	ɐ ɡ ɐ r s i
அகற்று	ɐ ɡ ɐ t r ɯ
அகிபுசம்	ɐ ɡ i b u s ɐ m
அக்களிப்பு	ɐ kː ɐ ɭ i pː ɯ
அக்கு	ɐ kː ɯ
அங்கிட்டு	ɐ ŋ ɡ i ʈː ɯ
அங்கு	ɐ ŋ ɡ ɯ
அங்கூசம்	ɐ ŋ ɡ uː s ɐ m
அங்கோடிங்கோடு	ɐ ŋ ɡ oː ɖ i ŋ ɡ oː ɖ ɯ
அசர்	ɐ s ɐ ɾ
அசர்த்து	ɐ s ɐ ɾ t̪ː ɯ
அசாம்	ɐ s aː m
அசிங்கம்	ɐ s i ŋ ɡ ɐ m
அசும்பு	ɐ s u m b ɯ
அசை	ɐ s a ɪ̯
அசைவம்	ɐ s a ɪ̯ ʋ ɐ m
அச்சு	ɐ t͡ɕː ɯ
அஞ்சு	ɐ ɲ d͡ʑ ɯ
அடக்கு	ɐ ɖ ɐ kː ɯ
அடங்கு	ɐ ɖ ɐ ŋ ɡ ɯ
அடிக்கோடு	ɐ ɖ i kː oː ɖ ɯ
அடித்தட்டு	ɐ ɖ i t̪ː ɐ ʈː ɯ
அடுத்து	ɐ ɖ u t̪ː ɯ
அடுப்பு	ɐ ɖ u pː ɯ
அடைச்சு	ɐ ɖ a ɪ̯ t͡ɕː ɯ
அடைப்பு	ɐ ɖ a ɪ̯ pː ɯ
அட்சரம்	ɐ ʈ s ɐ ɾ ɐ m
அணங்கு	ɐ ɳ ɐ ŋ ɡ ɯ
அணாவு	ɐ ɳ aː ʋ ɯ
அணிவகு	ɐ ɳ i ʋ ɐ ɡ ɯ
அணு	ɐ ɳ ɯ
அணுகு	ɐ ɳ u ɡ ɯ
அணுதரிசினி	ɐ ɳ u d̪ ɐ ɾ i s i n i
அணைக்கட்டு	ɐ ɳ a ɪ̯ kː ɐ ʈː ɯ
அண்டசராசரம்	ɐ ɳ ɖ ɐ s ɐ ɾ aː s ɐ ɾ ɐ m
அதிரசம்	ɐ d̪ i ɾ ɐ s ɐ m
அது	ɐ d̪ ɯ
அந்நின்று	ɐ n̪ː i n d r ɯ
அனாவசியம்	ɐ n aː ʋ ɐ s i j ɐ m
அனுப்பு	ɐ n u pː ɯ
அனைத்து	ɐ n a ɪ̯ t̪ː ɯ
அன்பளிப்பு	ɐ n b ɐ ɭ i pː ɯ
அன்பு	ɐ n b ɯ
அன்றியில்	ɐ n d r i j i l
அன்றியும்	ɐ n d r i j u m
அன்றில்	ɐ n d r i l
அன்று	ɐ n d r ɯ
அப்பொழுது	ɐ pː o ɻ u d̪ ɯ
அமுக்கு	ɐ m u kː ɯ
அமைச்சு	ɐ m a ɪ̯ t͡ɕː ɯ
அம்பு	ɐ m b ɯ
அயிங்கிசை	ɐ j i ŋ ɡ i s a ɪ̯
அரக்கு	ɐ ɾ ɐ kː ɯ
அரசன்	ɐ ɾ ɐ s ɐ n
அரசமரபு	ɐ ɾ ɐ s ɐ m ɐ ɾ ɐ b ɯ
அரசவை	ɐ ɾ ɐ s ɐ ʋ a ɪ̯
அரசாங்கம்	ɐ ɾ ɐ s aː ŋ ɡ ɐ m
அரசி	ɐ ɾ ɐ s i
அரசியல்	ɐ ɾ ɐ s i j ɐ l
அரசியும்	ɐ ɾ ɐ s i j u m
அரசு	ɐ ɾ ɐ s ɯ
அரிசி	ɐ ɾ i s i
அருகு	ɐ ɾ u ɡ ɯ
அருங்காட்சியகம்	ɐ ɾ u ŋ ɡ aː ʈ s i j ɐ ɡ ɐ m
அருந்து	ɐ ɾ u n̪ d̪ ɯ
அருள்மிகு	ɐ ɾ u ɭ m i ɡ ɯ
அருள்வாக்கு	ɐ ɾ u ɭ ʋ aː kː ɯ
அரைக்கச்சு	ɐ ɾ a ɪ̯ kː ɐ t͡ɕː ɯ
அறிக்கைபண்ணு	ɐ r i kː a ɪ̯ b ɐ ɳː ɯ
அறிப்பு	ɐ r i pː ɯ
அறிவிப்பு	ɐ r i ʋ i pː ɯ
அறிவு	ɐ r i ʋ ɯ
அறு	ɐ r ɯ
அறுகு	ɐ r u ɡ ɯ
அறுநூறு	ɐ r u n̪ uː r ɯ
அறுபது	ɐ r u b ɐ d̪ ɯ
அறுப்பு	ɐ r u pː ɯ
அலகு	ɐ l ɐ ɡ ɯ
அலம்பு	ɐ l ɐ m b ɯ
அலறு	ɐ l ɐ r ɯ
அலுப்பு	ɐ l u pː ɯ
அலுவீகம்	a l ʉ ʋ ɨː ɣ ə m
அலைப்பு	ɐ l a ɪ̯ pː ɯ
அலைப்பேசி	ɐ l a ɪ̯ pː eː s i
அல்லது	ɐ l l ɐ d̪ ɯ
அளவு	ɐ ɭ ɐ ʋ ɯ
அள்ளு	ɐ ɭː ɯ
அழகு	ɐ ɻ ɐ ɡ ɯ
அழிபு	ɐ ɻ i b ɯ
அழிப்பு	ɐ ɻ i pː ɯ
அழிவு	ɐ ɻ i ʋ ɯ
அழு	ɐ ɻ ɯ
அழுத்து	ɐ ɻ u t̪ː ɯ
அழைப்பு	ɐ ɻ a ɪ̯ pː ɯ
அவகாசம்	ɐ ʋ ɐ ɡ aː s ɐ m
அவசியம்	ɐ ʋ ɐ s i j ɐ m
அவதூறு	ɐ ʋ ɐ d̪ uː r ɯ
அவமதிப்பு	ɐ ʋ ɐ m ɐ d̪ i pː ɯ
அவ்வது	ɐ ʋː ɐ d̪ ɯ
