అ	ɐ
అంకవిద్య	ɐ ŋ k ɐ ʋ ɪ d̪ j ɐ
అంకించు	ɐ ŋ k ɪ ɲ t͡ɕ ʊ
అంకియ	ɐ ŋ k ɪ j ɐ
అంకురం	ɐ ŋ k ʊ ɾ ɐ m̃
అంకురము	ɐ ŋ k ʊ ɾ ɐ m ʊ
అంకురించు	ɐ ŋ k ʊ ɾ ɪ ɲ t͡ɕ ʊ
అంకురింౘు	ɐ ŋ k ʊ ɾ ɪ n̪ t͡s ʊ
అంకుశం	ɐ ŋ k ʊ ɕ ɐ m̃
అంకుశము	ɐ ŋ k ʊ ɕ ɐ m ʊ
అంకుసము	ɐ ŋ k ʊ s ɐ m ʊ
అంకె	ɐ ŋ k ɛ
అంగజాల	ɐ ŋ ɡ ɐ d͡ʑ aː l ɐ
అంగజాలవాడు	ɐ ŋ ɡ ɐ d͡ʑ aː l ɐ ʋ aː ɖ ʊ
అంగజుడు	ɐ ŋ ɡ ɐ d͡ʑ ʊ ɖ ʊ
అంగడి	ɐ ŋ ɡ ɐ ɖ ɪ
అంగడికాడు	ɐ ŋ ɡ ɐ ɖ ɪ k aː ɖ ʊ
అంగడిబొమ్మ	ɐ ŋ ɡ ɐ ɖ ɪ b ɔ mː ɐ
అంగన్యాసము	ɐ ŋ ɡ ɐ n̪ j aː s ɐ m ʊ
అంగమర్దనము	ɐ ŋ ɡ ɐ m ɐ ɾ d̪ ɐ n̪ ɐ m ʊ
అంగరక్షకుడు	ɐ ŋ ɡ ɐ ɾ ɐ k ʂ ɐ k ʊ ɖ ʊ
అంగవించు	ɐ ŋ ɡ ɐ ʋ ɪ ɲ t͡ɕ ʊ
అంగవైకల్యము	ɐ ŋ ɡ ɐ ʋ ɐ ɪ̯ k ɐ l j ɐ m ʊ
అంగారకవారము	ɐ ŋ ɡ aː ɾ ɐ k ɐ ʋ aː ɾ ɐ m ʊ
అంగాస్త్రము	ɐ ŋ ɡ aː s t̪ ɾ ɐ m ʊ
అంగిరసుడు	ɐ ŋ ɡ ɪ ɾ ɐ s ʊ ɖ ʊ
అంగుడుతుడిపి	ɐ ŋ ɡ ʊ ɖ ʊ t̪ ʊ ɖ ɪ p ɪ
అంగోస్త్రము	ɐ ŋ ɡ oː s t̪ ɾ ɐ m ʊ
అంగ్రేజి	ɐ ŋ ɡ ɾ eː d͡ʑ ɪ
అంచు	ɐ ɲ t͡ɕ ʊ
అంటరాని	ɐ ɳ ʈ ɐ ɾ aː n̪ ɪ
అంటు	ɐ ɳ ʈ ʊ
అంటుకట్టు	ɐ ɳ ʈ ʊ k ɐ ʈː ʊ
అండజము	ɐ ɳ ɖ ɐ d͡ʑ ɐ m ʊ
అంత	ɐ n̪ t̪ ɐ
అంతం	ɐ n̪ t̪ ɐ m̃
అంతఃపరాన్నజీవి	ɐ n̪ t̪ ɐ h p ɐ ɾ aː n̪ n̪ ɐ d͡ʑ iː ʋ ɪ
అంతము	ɐ n̪ t̪ ɐ m ʊ
అంత్యజుడు	ɐ n̪ t̪ j ɐ d͡ʑ ʊ ɖ ʊ
అంత్యనియమము	ɐ n̪ t̪ j ɐ n̪ ɪ j ɐ m ɐ m ʊ
అందం	ɐ n̪ d̪ ɐ m̃
అందగత్తె	ɐ n̪ d̪ ɐ ɡ ɐ t̪ː ɛ
అందగత్తెలు	ɐ n̪ d̪ ɐ ɡ ɐ t̪ː ɛ l ʊ
అందగింపు	ɐ n̪ d̪ ɐ ɡ ɪ m p ʊ
అందము	ɐ n̪ d̪ ɐ m ʊ
అందరు	ɐ n̪ d̪ ɐ ɾ ʊ
అందలము	ɐ n̪ d̪ ɐ l ɐ m ʊ
అందాజు	ɐ n̪ d̪ aː d͡ʑ ʊ
అందు	ɐ n̪ d̪ ʊ
అందుకొను	ɐ n̪ d̪ ʊ k ɔ n̪ ʊ
అంధత్వము	ɐ n̪ d̪ʱ ɐ t̪ ʋ ɐ m ʊ
అంబ	ɐ m b ɐ
అంబకము	ɐ m b ɐ k ɐ m ʊ
అంబరకేశుఁడు	ɐ m b ɐ ɾ ɐ k eː ɕ ʊ ɖ ʊ
అంబరకేశుడు	ɐ m b ɐ ɾ ɐ k eː ɕ ʊ ɖ ʊ
అంబరమణి	ɐ m b ɐ ɾ ɐ m ɐ ɳ ɪ
అంబా	ɐ m b aː
అంబాలా	ɐ m b aː l aː
అంబాళము	ɐ m b aː ɭ ɐ m ʊ
అంబు	ɐ m b ʊ
అంబువు	ɐ m b ʊ ʋ ʊ
అంశపురుషుఁడు	ɐ m̃ ɕ ɐ p ʊ ɾ ʊ ʂ ʊ ɖ ʊ
అంశపురుషుడు	ɐ m̃ ɕ ɐ p ʊ ɾ ʊ ʂ ʊ ɖ ʊ
అకారణము	ɐ k aː ɾ ɐ ɳ ɐ m ʊ
అకారణముగా	ɐ k aː ɾ ɐ ɳ ɐ m ʊ ɡ aː
అకార్యము	ɐ k aː ɾ j ɐ m ʊ
అకాలము	ɐ k aː l ɐ m ʊ
అకృత్యము	ɐ k ɻ̍ t̪ j ɐ m ʊ
అక్క	ɐ kː ɐ
అక్కడ	ɐ kː ɐ ɖ ɐ
అక్కర	ɐ kː ɐ ɾ ɐ
అక్కరము	ɐ kː ɐ ɾ ɐ m ʊ
అక్కలు	ɐ kː ɐ l ʊ
అగు	ɐ ɡ ʊ
అగ్గువ	ɐ ɡː ʊ ʋ ɐ
అగ్ని	ɐ ɡ n̪ ɪ
అగ్రకార్మికుడు	ɐ ɡ ɾ ɐ k aː ɾ m ɪ k ʊ ɖ ʊ
అగ్రగణ్యుడు	ɐ ɡ ɾ ɐ ɡ ɐ ɳ j ʊ ɖ ʊ
అగ్రహారము	ɐ ɡ ɾ ɐ h aː ɾ ɐ m ʊ
అచ్చు	ɐ t͡ɕː ʊ
అట	ɐ ʈ ɐ
అటు	ɐ ʈ ʊ
అటుకులు	ɐ ʈ ʊ k ʊ l ʊ
అట్ట	ɐ ʈː ɐ
అట్టు	ɐ ʈː ʊ
అడవికోడి	ɐ ɖ ɐ ʋ ɪ k oː ɖ ɪ
అడితి	ɐ ɖ ɪ t̪ ɪ
అడుగు	ɐ ɖ ʊ ɡ ʊ
అడ్డ	a ɖː a
అడ్డంకి	ɐ ɖː ɐ ŋ k ɪ
అడ్డు	a ɖː u
అణువు	ɐ ɳ ʊ ʋ ʊ
అతడు	ɐ t̪ ɐ ɖ ʊ
అతని	ɐ t̪ ɐ n̪ ɪ
