𐌰𐌱𐌿	a b u
𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a ŋ ɡ i l u s
𐌰𐌲𐌲𐍅𐌹𐌸𐌰	a ŋ ɡ w i θ a
𐌰𐌲𐌻𐌹𐌸𐌰	a ɣ l i θ a
𐌰𐌲𐌻𐍉	a ɣ l oː
𐌰𐌵𐌹𐌶𐌹	a kʷ i z i
𐌰𐌶𐌲𐍉	a z ɡ oː
𐌰𐌶𐍅𐌼𐌴	a z y m eː
𐌰𐌶𐍅𐌼𐌿𐍃	a z y m u s
𐌰𐌷𐌰𐌺	a h a k
𐌰𐌷𐌰𐌺𐌴	a h a k eː
𐌰𐌷𐌰𐌺𐌹𐌼	a h a k i m
𐌰𐌷𐌰𐌺𐍃	a h a k s
𐌰𐌷𐍃	a h s
𐌰𐌷𐍃𐌰	a h s a
𐌰𐌸𐌸𐌰𐌽	a θː a n
𐌰𐌹𐌱𐍂	ɛː β r
𐌰𐌹𐌲𐌰𐌽	ɛː ɣ a n
𐌰𐌹𐌸𐌴𐌹	ɛː θ iː
𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽	ɛː w i s k oː n
𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌹	ɛ ʍ a t u n d i
𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌾𐌰𐌹	ɛ ʍ a t u n d j a i
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼	a l eː w a b a ɡ m
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐌴	a l eː w a b a ɡ m eː
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐌹𐍃	a l eː w a b a ɡ m i s
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐍃	a l eː w a b a ɡ m s
𐌰𐌻𐌸𐌴𐌹𐍃	a l θ iː s
𐌰𐌻𐌻𐌿𐌷	a l l u h
𐌰𐌻𐌾𐌰𐌸	a l j a θ
𐌰𐌽𐌰𐌵𐌰𐌻	a n a kʷ a l
𐌰𐌽𐌰𐌵𐌰𐌼	a n a kʷ a m
𐌰𐌽𐌰𐌵𐌹𐌼𐌰𐌽	a n a kʷ i m a n
𐌰𐌽𐌰𐌵𐌹𐍃𐍃	a n a kʷ i s s
𐌰𐌽𐌰𐌵𐌹𐍃𐍃𐌴𐌹𐍃	a n a kʷ i s s iː s
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐌴𐌹𐍃	a n a m i n d iː s
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐍃	a n a m i n d s
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌴𐌹𐌸	a n a n a n θ iː θ
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌹𐌳𐌴𐌳𐌿𐌽	a n a n a n θ i d eː d u n
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽	a n a n a n θ j a n
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽𐌳𐍃	a n a n a n θ j a n d s
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌳𐌹𐌽	a n a n i w i d i n
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌸𐍃	a n a n i w i θ s
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽	a n a p r a ŋ ɡ a n
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐌰𐌹	a n a p r a ŋ ɡ a n ɛː
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐍃	a n a p r a ŋ ɡ a n s
