afar	a v a r
afl	ɑ v l̩
afr	a v r̩
akkeri	ã kː e r i
Alfaðir	a l f ɑ ð ɪ r
Alfǫðr	a l f ɔ ð r̩
allr	ɑ lː r̩
Alþjófr	a l θ j oː f r̥
andsǿlis	a n d s øː l i s
annt	a nː t
anza	a n t s a
apli	a p l i
aptann	ɑ ɸ t ɑ̃ nː
arfa	a r v a
argr	ɑ r ɣ r̩
Ari	ɑ r e
Ari	a r i
Arni	a r n i
asna	a s n a
atfǫr	ɑ t f ɒ r
atgørvi	a t ɡ ø r w i
athugall	a t h u ɣ a lː
aurr	ɑ u rː
Aurvandill	ɑ u̯ r w ɑ̃ n d i lː
Aurvandill	ø y r v a n d i lː
auðr	ɑ u ð r̩
bekkr	b ɛ kː r̩
Beyla	b ø y l ɑ
Beyla	b ø y l a
Biflindi	b i v l i n d i
Bifrǫst	b i v r ɔ s t
Bifrǫst	b i v r ɔ s t
Bifrǫst	b ɪ v r œ s t
biðja	b i ð j ɑ
bjó	b j oː
Bjólfr	b j oː l β r
bjósk	b j oː s k
bjótt	b j oː tː
bjǫrk	b j ɒ r k
blár	b l ɑː r
blót	b l oː t
blóð	b l oː ð
blý	b l yː
brestr	b r e s t r̩
brúnn	b r uː nː
burðugr	b u r ð u ɣ r
Byggvir	b y ɡ ɡ v i r
bytna	b y t n a
búfé	b uː f eː
bý	b yː
Bǫlverkr	b ɔ l w e r k ʀ
Bǫðmóðr	b ɒ ð m oː ð r
Bǫðmóðr	b ø ð m oː ð r
bǿr	b øː r
dagr	d ɑ ɣ r̩
Danmǫrk	d a n m ɔ r k
dimmr	d ĩ mː r̩
draugr	d r ɑ u ɣ r̩
dróttinn	d r oː tː ɪ̃ nː
dvergr	d w e r ɣ r̩
Dómarr	d õː m ɑ rː
Dómarr	d oː m a rː
dús	d uː s
dýrr	d yː rː
edda	e dː a
efna	e v n a
Eileifr	ɛ i l ɛ i v r̩
Eiláfr	ɛ iː l ɒː v r̩
eir	ɛ i r
ek	e k
ekki	ɛ k k ɪ
ey	e ɥ
falr	f a l r
faðir	f ɑ ð ɪ r
feigr	f ɛ i ɣ r̩
fiskr	f i s k r̩
fjall	f j ɑ lː
fjǫrðr	f j ɒ r d r̩
flekkr	f l ɛ kː r̩
flóð	f l oː ð
frægr	f r ɛː ɣ r
galdr	ɡ a l d r̩
galdramaðr	ɡ a l d r a m ã ð r̩
gandr	ɡ a n d r̩
ganga	ɡ ɑ̃ ŋ ɡ ɑ
gap	ɡ ɑ p
garðr	ɡ ɑ r ð r̩
gefa	ɡ e v ɑ
geir	ɡ ɛ i r
glý	ɡ l yː
gný	ɡ n yː
goð	ɡ o ð
gras	ɡ r ɑ s
grunnr	ɡ r ũ n n r
grár	ɡ r ɑː r
gróa	ɡ r oː ɑ
grǫftr	ɡ r ɒ f t r̩
Grǿnland	ɡ r ø̃ː n l a n d
grǿnn	ɡ r øː nː
gull	ɡ u lː
gulr	ɡ u l r̩
gyðja	ɡ y ð j a
gás	ɡ ɒ̃ː s
haf	h ɑ v
Heimdallr	h ɛ̃ ĩ m d ɑ lː r̩
heimr	h ɛ̃ ĩ m r̩
henda	h e n d a
Hervarðr	h e r w a r ð ɹ̠̊ ˔
Hervarðr	h e r v a r ð r
himinn	h ĩ m ĩ nː
hjalt	h j ɑ l t
Hjarrandi	h j ɑ rː ɑ n d e
Hjarrandi	h j a rː a n d i
hljóð	l̥ j oː ð
hof	h o v
hrafn	r̥ ɑ v n
hundrað	h ũ n d r ɑ ð
hvítr	ʍ iː t r̩
hákarl	h ɑ̃ː k a r l
Héðinn	h eː ð ẽ nː
Héðinn	h eː ð i nː
híð	h i ð
hóll	h oː lː
hón	h ɒ̃ː n
hý	h yː
hǫll	h ɒ lː
hǫnd	h ɒ̃ n d
hǫrgr	h ɒ r ɣ r̩
hǫttr	h ɒ tː ɹ̝
hǫttr	h ɒ tː r̩
jaðarr	j ɑ ð ɑ rː
jálmr	j ɑː l m r
jǫrð	j ɒ r ð
