аба	ä β̞ ɐ
абаха	ä β ˕ʷ ɐ χ ɐ
Ага	ä ʁ ɐ
агаар	ä ʁ äː r
Ази	äː zʲ ɪ
аймаг	ɛː m ɐ q ˖
алаха	ä l ɐ̟ χ ɐ
али	ä lʲ ɪ
Алтай	a l tʰ ɛː
Америкэ	ɐ mʲ e̞ː rʲ ɪ kʰ ɤ̞
Анаа	ä n äː
арбан	ä r βʷ ɐ ɴ̟
баабгай	bʷ äː βʷ ʁ ɛ̠ː
бадма	b ä d m ɐ
Базар	b ä z ɐ r
Байгал	b ɛ͡e̞ ʁ ɐ l
байха	b ɛ͡e̞ χ ɐ
бариха	b ä rʲ ɪ χ ɐ
баруун	bʷ ä r ʊː ɴ̟
басаган	b ä s ɐ̟ ʁ ɐ ɴ̟
би	bʲ i
бидэ	p̬ʲ i d ɤ̟
биологи	bʲ ɔː l ɔː ɡʲ ɪ
боло	b ɔ l ɜ
болохо	b ɔ l ɜ χ ɜ
бороо	b ɔ r ɔ̟ː
бурхан	b ʊ r χ ɐ ɴ̟
буряад	b ʊ rʲ ä̟ː t
Буряад	b ʊ rʲ äː t
буу	b ʊː
бү	b u
Бээжэн	b eː ʒ ɤ ŋ
бээлэй	b eː l eː
Википеэди	vʲ ɪ kʰʲ ɪ pʰʲ e̞ː dʲ ɪ
выставкэ	v ɨː s tʰ ɤ̞ ˖ f kʰ ɤ̞
газар	ɢ ɑ z ɐ̟ r
газетэ	ɡ ɐ zʲ e̞ː tʰ ɤ̞
гахай	ɢ ä χ ɛː
гашуун	ɢ ɑ ʃ ʊː ɴ̟
гурбан	ɢ ʊ́ r β ə ɴ
гэр	ɡ ɤ r
гэрнүүд	ɡ ɤ r n uː t
долоон	d ɔ̟ l ɔ̟ː ɴ̟
Доржо	d ɔ̟ r ʒ ɜ
дуратайб	d ʊ r ɐ tʰ ɛ͡e̞ p
дуулаха	d ʊ̟ː l ɐ̟ χ ɐ
дуун	d ʊː ŋ
дэрэ	d e̝ r ɤ̟
дээдэ	d eː d ɤ
Европо	j ɪ v r ɔ̝ ˖ː pʰ ɜ
ехэ	j e x ɤ
ёлко	j ɔː l kʰ ɜ
ёһоной	j ɔ ɦ ɜ n œ͡ɛ
жажалха	ʒ ä ʒ ɐ l χ ɐ
загаһа	z ä̟ ʁ ɐ ɦ ɐ
загаһан	z ä̟ ʁ ɐ ɦ ɐ ɴ̟
загаһан	z ä ɦ ʊː ŋ
загаһашан	z ä̟ ʁ ɐ ɦ ɐ ʃ ɐ ɴ̟
Захаамин	z ä̟ χ ɑː mʲ ɪ ɴ̟
зун	z ʊ̞ ɴ̟
зураха	z ʊ r ɐ χ ɐ
зүгы	z u̟ ɡ ʉ͜i
либерал	lʲ ɪ bʲ ɪ r ä̟ː l
манай	mʷ ä n ɛː
мангад	mʷ ä ɴ ɢ ɐ t
манжа	m ä n ʒ ɐ
минии	mʲ i nʲ iː
могой	m ɔ ʁ œ͡ɛ
модон	m ɔ d ɜ̟ ɴ̟
монгол	m ɔ ɴ ɢ ɜ l
Монгол	m ɔ ɴ ɢ ɜ l
монголоор	m ɔ ɴ ɢ ɜ l ɔː r
монголшууд	m ɔ ɴ ɢ ɜ l ʃ oː t
мори	m ɔ rʲ ɪ
морин	m ɔ rʲ ɪ ɴ̟
морихон	m ɔ rʲ ɪ χ ɜ ɴ̟
мүрэн	m u r ɵ ŋ
мэдэхэ	mʷ e̝ d ɤ̟ x ɤ
мяхан	mʲ ä χ ɐ ɴ̟
найман	n ɛː mʷ ɐ ɴ̟
нарһан	n ä̟ r ɦ ɐ ɴ̟
ном	n ɔ̙ m
нүхэр	n u x ɵ r
нэгэн	n e̝ ɡ ɤ ŋ
область	ɔː b l ɜ̟ sʲ tʲʰ
областьдохи	ɔː b l ɜ s tʲʰ ɪ d ɜ xʲ ɪ
областьһоо	ɔː b l ɜ sʲ tʰʲ ɪ ɦ ɔː
одон	ɔ d ɜ̟ ɴ̟
ойрад	œ͡e̞ r ɐ tʰ
округһоо	ɔː kʰ r ɜ q ˖ h ɔː
Омскодо	ɔː m s kʰ ɜ d ɜ̟
ород	ɔ r ɜ̟ t
ородоор	ɔ r ɜ̟ d ɔ̟ː r
орон	ɔ r ɜ̟ ɴ̟
Орос	ɔ r ɜ s
орос	ɔ r ɜ s
Оросой	ɔ r ɞ s œ͡ɛ
орохо	ɔ r ɜ̟ χ ɜ
официальна	ɐ fʲ ɪ t͜sʰ äː lʲ n ɐ
охихо	ɔ xʲ ɪ χ ɜ
өөлэд	ɵː l ɤ̽ t
пивэ	pʰʲ iː v ɤ̞
полк	pʰ ɔː l kʰ
район	r ɐ̟ j ɔː ɴ̟
республика	rʲ ɪ s pʰ ʊː b lʲ ɪ kʰ ɐ
Росси	r ɐ sʲ iː
Россиин	r ɐ sʲ iː ŋ
сагаан	sʰ ä̟ ʁ ɑː ɴ̟
салуу	s a l o̙
сан	sʰ ä̟ ɴ̟
сангаха	s ä̟ ɴ ɢ ɐ χ ɐ
сая	s ä̟ j ɐ
