'ਤੇ	t eː
ਂ	ä̃ː ɲ
ਅ	ə
ਅਕਤੂਬਰ	ə k t̪ uː b ə ɾ
ਅਕਤੂਬਰ	ə k ə t̪ uː b ə ɾ
ਅਕ਼ਲ	ə q ə l
ਅਕ਼ਲਮੰਦ	ə q ə l m ə n d̪
ਅਗਨ	ə ɡ ə n
ਅਗਰਬੱਤੀ	ə ɡ ə ɾ b ə t̪ t̪ iː
ਅਗਸਤ	ə ɡ ə s t̪
ਅਗੇਰਾ	ə ɡ eː ɾ äː
ਅਚਾਰ	t͡ʃ äː ɾ ə̆
ਅਚਾਰ	ə t͡ʃ äː ɾ ə̆
ਅਜਬ	ə d͡ʒ ə b
ਅਜ਼ਮਾਉਣਾ	ə z ə m äː ʊ ɳ äː
ਅਜ਼ਾਨ	ə z äː n
ਅਟਾਰੀ	ə ʈ äː ɾ iː
ਅਠਤਾਲ਼ੀ	ə ʈʰᵊ t̪ äː ɭ iː
ਅਠਵੰਝਾ	ə ʈʰᵊ ʋ ə n ˩˥ d ʒ äː
ਅਠਾਈ	ə ʈʰ äː iː
ਅਠਾਰਾਂ	ə ʈʰ äː ɾ ä̃ː
ਅਠੱਤੀ	ə ʈʰ ə t̪ t̪ iː
ਅਣਮੁੱਲਾ	ə n m ʊ l l äː
ਅਦਬ	ə d̪ ə b
ਅਨਵਾਨ	ʊ n w äː n
ਅਨਾਨਾਸ	ə n äː n äː s
ਅਨਾਰ	ə n äː ɾ
ਅਨ੍ਹੇਰ	ə̆ n eː ˥˩ ɾ ə̆
ਅਪਰਾਧ	ə p ɾ äː ˦ d̪ ə̆
ਅਪ੍ਰੈਲ	ə p ɾ ɛː l
ਅਫ਼ਗ਼ਾਨਿਸਤਾਨ	ə f ɣ ä nˑ ɪ s t̪ äː n
ਅਮਲ	ə m ə l
ਅਰਕ	ə ɾ ə k
ਅਰਕ਼	ə ɾ ə q
ਅਰਜ਼ੀ	ə ɾ z i
ਅਰਥ	ə ɾ t̪ʰ
ਅਰਬ	ə ɾ ə b
ਅਰਮਾਨ	ə ɾ m äː n
ਅਰਮਾਨਾਂ	ə ɾ m äː n ä̃ː
ਅਲਯਸਾ	ə l ə j ə s äː
ਅਸਟ੍ਰੇਲੀਆ	ə̆ sᵊ ʈ ɾ eː l l i j aː
ਅਸਥੀ	ə s t̪ʰ iː
