'ch	χ
'chi	χ iː
'i	i̯
'm	m
'ma	m a
'ma	m ə
'mond	m ɔ n d
'n	n
'na	n a
'na	n ə
'ny	n i
'ny	n iː
'r	r
'sti	s d iː
'th	θ
'u	i̯
'y	ə
A	aː
Aberaeron	a b ɛ r e i̯ r ɔ n
Aberafan	a b ɛ r a v a n
Aberafan	a b ɛ r aː v a n
Aberdaugleddau	a b ɛ r d a i̯ ɡ l eː ð a i̯
Aberdaugleddau	a b ɛ r d a i̯ ɡ l eː ð ɛ
Aberdaugleddau	a b ɛ r d a i̯ ɡ l ɛ ð a i̯
Aberdaugleddau	a b ɛ r d a i̯ ɡ l ɛ ð ɛ
Aberdâr	a b ɛ r d aː r
Abergele	a b ɛ r ɡ eː l ɛ
Abergele	a b ɛ r ɡ ɛ l ɛ
Abergwaun	a b ɛ r ɡ w a i̯ n
Aberhonddu	a b ɛ r h ɔ n ð i
Abermaw	a b ɛ r m a u̯
Abermaw	a b ɛ r m ɔ
Abermaw	b ɛ r m ɔ
Abertawe	a b ɛ r t a u̯ ɛ
Aberteifi	a b ɛ r t e i̯ v i
Aberteifi	a b ɛ r t iː v i
Aberystwyth	a b ɛ r ə s d w ɪ θ
Aberystwyth	a b ɛ r ə s d ʊ i̯ θ
Adda	a ð a
Addien	a ð i ɛ n
Adfent	a d v ɛ n t
Adwen	a d w ɛ n
Aeddan	e i̯ ð a n
Aeddon	e i̯ ð ɔ n
Aelan	e i̯ l a n
Aelwen	e i̯ l w ɛ n
Aelwyn	e i̯ l w ɪ n
Aeres	e i̯ r ɛ s
Aerfen	e i̯ r v ɛ n
Aeron	e i̯ r ɔ n
Aerona	e i̯ r oː n a
Aeronwen	e i̯ r ɔ n
Aeronwy	e i̯ r ɔ n ʊ i̯
Aethwy	e i̯ θ ʊ i̯
Afallon	a v a ɬ ɔ n
Afan	a v a n
Affganistan	a f ɡ a n ɪ s d a n
Affrica	a f r ɪ k a
Affrig	a f r ɪ ɡ
Afonwy	a v ɔ n ʊ i̯
Agnes	a ɡ n ɪ s
Agnest	a ɡ n ɛ s t
Aidan	e i̯ d ə n
Aiden	e i̯ d ə n
Aifft	a i̯ f d
Aifft	ə r a i̯ f d
Alan	a l a n
Alana	a l a n a
Alaw	a l a u̯
Alawn	a l a u̯ n
Alban	a l b a n
Alban	ə r a l b a n
Albaneg	a l b a n ɛ ɡ
Albania	a l b a n j a
Alcwyn	a l k ʊ i̯ n
Aldith	a l d ɪ θ
Aldrydd	a l d r ə ð
Aldwyn	a l d ʊ i̯ n
Aldwyth	a l d ʊ i̯ θ
Aldyth	a l d ɪ θ
Alec	a l ɪ k
Aled	a l ɛ d
Algeria	a l d͡ʒ iː r j a
Algeria	a l d͡ʒ ɛ r j a
Alis	a l ɪ s
Alltwen	a ɬ t w ɛ n
Allwyd	a ɬ ʊ i̯ d
Almaen	a l m a i̯ n
Almaen	ə r a l m a i̯ n
Almaeneg	a l m e i̯ n ɛ ɡ
Almaenwr	a l m e i̯ n ʊ r
