กวน	k u a n
กะชอʔ	k a cʰ ɔː ʔ
กะเตาแด็ร	k a t a w d æ r
กะเทอะ่	k a tʰ ɤ̤ ʔ
กะมุร	k a m u r
กาʔ	k aː ʔ
กาว	k aː w
กุร	k u r
เกียน	k i a n
ครัว	kʰ r u a
คริฮ่	kʰ r i̤ h
คลีจ	kʰ l iː c
ควจ	kʰ u a c
ควะ่	kʰ w a̤ ʔ
คะนม	kʰ a n o m
คะนูย	kʰ a n uː j
คะมะ่	kʰ a m a̤ ʔ
คะมุม	kʰ a m u m
คะโมย	kʰ a m oː j
คะยาม่	kʰ a j a̤ː m
คือ	kʰ ɯː
คุย่	kʰ ṳ j
เคล็อฺง่	kʰ l ʌ̤ ŋ
เคิง	kʰ ɤː ŋ
แคน	kʰ æː n
แคละ	kʰ l æ ʔ
เงียก่	ŋ i̤ a̤ k
จล็อฮ	c l ɔ h
จ็อม	c ɔ m
จัซ	c a ç
จาʔ	c aː ʔ
จีญ	c iː ɲ
โจง	c oː ŋ
ชแร	cʰ r æː
ชวง	cʰ u a ŋ
ชะครุง่	cʰ a kʰ r ṳ ŋ
ชาง	cʰ aː ŋ
ชาย	cʰ aː j
ชาย่	cʰ a̤ː j
ชิม	cʰ i m
ชุร	cʰ u r
ชุร่	cʰ ṳ r
ชุร่พืน่	cʰ ṳ r pʰ ɯ̤ː n
ชูน	cʰ uː n
ชูม	cʰ uː m
เชา	cʰ a w
แช็ฮ	cʰ æ h
โชรʔ	cʰ r oː ʔ
โชรม	cʰ r oː m
โชรม่	cʰ r o̤ː m
ซม	s o m
ญัฮ	ɲ a h
แญ็น	ɲ æ n
ดาก	d aː k
ดากชาย	d aː k cʰ aː j
ดิญ	d i ɲ
โดง	d oː ŋ
ตวล	t u a l
ตะดาจ	t a d aː c
ตะบัล	t a b a l
ตะมีʔ	t a m iː ʔ
เต็อฺง	t ʌ ŋ
เตะ	t e ʔ
แตะ	t æ ʔ
ทะโมะ่	tʰ a m o̤ ʔ
ทะวี่	tʰ a w i̤ː
ทะวี่ʔ	tʰ a w i̤ː ʔ
ทาด	tʰ aː t
ทีʔ	tʰ iː ʔ
ทึบ่	tʰ ɯ̤ p
นะ	n a ʔ
นับทือ	n a p tʰ ɯː
นัว	n u a
เนจ	n eː c
เนจ่	n e̤ː c
เนอ	n ɤː
บลึก	b l ɯ k
บาร	b aː r
บูน	b uː n
ปรัก	p r a k
ปะแกว	p a k æː w
ปะโตกปะตุล	p a t oː k p a t u l
ปะนาน	p a n aː n
ปัซ	p a ç
ปัน	p a n
ปาʔ	p aː ʔ
ปาʔนาน	p aː ʔ n aː n
ปีʔ	p iː ʔ
ปูญ	p uː ɲ
เปญ	p eː ɲ
เปรียง	p r i a ŋ
แป็ย	p æ j
โปง	p oː ŋ
โปรก	p r oː k
พราด่	pʰ r a̤ː t
พรุจ่	pʰ r ṳ c
พอง่	pʰ ɔ̤ː ŋ
พอซอ	pʰ ɔː s ɔː
พะ่	pʰ a̤ ʔ
พะนิฮ่	pʰ a n i̤ h
พาซา	pʰ aː s aː
เพ็ฮ่	pʰ e̤ h
แพะ	pʰ æ ʔ
โพ็ว	pʰ o w
ฟัยฟาʔ	f a j f aː ʔ
มวย่	m ṳ a̤ j
มัด่	m a̤ t
เมาะ	m ɔ ʔ
เมียว่	m i̤ a̤ w
แมะ่	m æ̤ ʔ
ยอง	j ɔː ŋ
ยุลยุล	j u l j u l
ระวัง	r a w a ŋ
ริฮ่	r i̤ h
รูย่	r ṳː j
ลอ	l ɔː
ลอย	l ɔː j
ลัซ่	l a̤ ç
ลุล่	l ṳ l
ลูง่	l ṳː ŋ
เลือย่	l ɯ̤ a̤ j
วัก่	w a̤ k
วีร	w iː r
อายุ	ʔ aː j u ʔ
อาร	ʔ aː r
อีญ	ʔ iː ɲ
ฮงุร	ŋ̊ u r
ฮนับ	n̥ a p
ฮนาʔ	n̥ aː ʔ
ฮนาม	n̥ aː m
ฮนีʔ	n̥ iː ʔ
ฮนีด	n̥ iː t
ฮนูย	n̥ uː j
ฮมอ	m̥ ɔː
ฮมอง	m̥ ɔː ŋ
ฮมุม	m̥ u m
ฮลาʔ	l̥ aː ʔ
ฮลี	l̥ iː
ฮวาʔ	ʍ aː ʔ
ฮวาซ่	ʍ a̤ː ç
ฮีʔ	h iː ʔ
ฮึกอ	ŋ̍ k ɔː
ฮึกาซ	ŋ̍ k aː ç
ฮึเจียม	ɲ̍ c i a m
ฮึตาก	n̩ t aː k
ฮึตากชุร	n̩ t aː k cʰ u r
ฮึตาม	n̩ t aː m
ฮึเปญ	m̩ p eː ɲ
ฮึโลʔ	n̩ l oː ʔ
ฮุง	h u ŋ
แฮร็จ่	r̥ æ̤ c
ဂွိ	k w i̤ ʔ
