අ	a
අකුර	a k u r a
අගය	a ɡ ə j ə
අගල	a ɡ ə l ə
අඟ	aᵑ ɡ ə
අඟුණුව	aᵑ ɡ u n u ʋ ə
අටුව	a ʈ u ʋ ə
අඩ	a ɖ ə
අඩෝ	a ɖ oː
අඬ	aᶯ ɖ a
අත	a t ə
අත්තික්කා	a t̪ t̪ i k k aː
අතුරනවා	a t u r a n a ʋ aː
අදිනවා	a d̪ i n ə ʋ aː
අන්ත්‍රාව	a n t̪ r aː ʋ ə
අන්නාසි	a n n aː s i
අනුරාධපුර	a n u r aː d a p u r a
අඳුර	a ⁿ̪ d̪ u r ə
අප්පා	a p p a
අඹ	aᵐ b ə
අයියා	a j ə j aː
අර	a r ə
අරනවා	a ɾ a n a ʋ aː
අරඹය	a r əᵐ b ə j ə
අර්‍තාපල්	a r t̪ aː p a l
අලියා	a l i j aː
අවට	a v a ʈ a
අවරිය	a ʋ ə r i j ə
අවුරුද්‍ද	a ʋ u r u d d a
අසල	a s ə l ə
අහනවා	a h ə n ə ʋ aː
අහස	a h ə s ə
අළු	a l u
ආ	aː
ආච්චි	aː t͡ʃ t͡ʃ i
ආජන්ටිනාව	aː d͡ʒ ə n ʈ i n aː ʋ ə
ආදරය	aː d̪ ə r ə j ə
ආදායම	aː d̪ aː j ə m ə
ආදෙස	aː d̪ e s ə
ආලය	aː l ə j ə
ආසියාව	aː s i j aː ʋ ə
ඇ	æ
ඇඟිලි	æᵑ ɡ i l i
ඇදුරු	æ d u r u
ඇඳ	æⁿ d a
ඇමෙරිකාව	æ m e r i k aː ʋ ə
ඇවිදිනවා	æ ʋ i d̪ i n ə ʋ aː
ඇස	æ s ə
ඈ	æː
ඉ	i
ඉඟුරු	iᵑ ɡ u r u
ඉඩම	i ɖ ə m ə
ඉදිමෙනවා	i d̪ i m e n ə ʋ aː
ඉඳිනවා	iⁿ d i n a ʋ aː
ඉරනවා	i r a n a ʋ aː
ඉස	i s ə
ඉස්සර	i s s a r a
ඊ	iː
ඊජිප්තුව	iː d͡ʒ i p t̪ u ʋ ə
උ	u
උකුණු	u k u n u
උගන්නවා	u ɡ a n n a ʋ aː
උණු	u n u
උතුරනවා	u t u r a n a ʋ aː
උතුරු	u t̪ u r u
උදුන	u d u n a
උඳුන	uⁿ d u n a
උපන්	u p a n
උපුරනවා	u p u r a n a ʋ aː
උරුව	u r u ʋ ə
ඌ	uː
ඌව	uː ʋ a
ඍ	r i
ඍ	r u
ඎ	r iː
ඎ	r uː
ඏ	l i
ඐ	l iː
එ	e
එක	e k ə
එකතු	e k a t u
එක්වෙනවා	e k ʋ e n a ʋ aː
එක්සත්	e k s ə t̪
එකානූව	e k aː n uː ʋ a
එකොළහ	e k o l ə h ə
එදිරිය	e d̪ i r i j ə
ඒ	eː
ඒරොප්පෙ	eː r o p p e
ඔද	u d a
ඔලුව	o l u ʋ ə
ඔසවනවා	o s a ʋ a n a ʋ aː
කකුල	k ə k u l ə
කට	k ə ʈ ə
කටුපිල	k a ʈ u p i l a
කටුව	k ə ʈ u ʋ ə
කඩනවා	k ə ɖ ə n ə ʋ aː
කණ	k ə n ə
කණ්ණාඩිය	k ə n n aː ɖ i j ə
කන	k ə n ə
කන්තෝරුව	k ə n t̪ oː r u ʋ ə
කනිනවා	k a n i n a ʋ aː
කපනවා	k a p a n a w aː
කපු	k a p u
කඹුරා	k aᵐ b u r aː
කරවළ	k ə r ə ʋ ə l ə
කහිනවා	k a h i n a ʋ aː
කාමරය	k aː m ə r ə j ə
කාර	k a r a
කැටිකරනවා	k æ ʈ i k ə r ə n ə ʋ aː
කැනඩාව	k æ n ə ɖ aː ʋ ə
කැඳනවා	k æⁿ d a n a ʋ aː
කැරි	k æ r i
කැරියා	k æ r i j aː
කැස	k æ s ə
කෑම	k æː m ə
කිණු	k i n u
කියත	k i j a t a
කිරනවා	k i r a n a ʋ aː
කුණ්ඩලිය	k u n ɖ a l i j a
කුඹුරුවෙල්	k uᵐ b u ɾ u ʋ e l
කුරුණෑගල	k u r u n æː ɡ a l a
කුලි	k u l i
කුලුණ	k u l u n ə
කුළු	k u ɭ u
කෘෂ්ණ	k r u ʃ n ə
කෙළිනවා	k e ɭ i n a ʋ aː
කොකුම්	k o k u m
කොටනවා	k o ʈ ə n ə ʋ aː
කොතඹුරු	k o t aᵐ b u r u
කොර	k o r a
කොළඹ	k o ɭ aᵐ b a
කෝවිල	k oː ʋ i l ə
ඛ	k a
ග	ɡ
ගඩුව	ɡ a ɖ u ʋ a
ගණිනවා	ɡ a n i n a ʋ aː
ගත	ɡ ə t̪ ə
ගන්නවා	ɡ a n n a w aː
ගලනවා	ɡ ə l ə n ə ʋ aː
ගස	ɡ a s a
ගහනවා	ɡ a h a n a ʋ aː
ගළපනවා	ɡ a ɭ a p a n a ʋ aː
ග්‍රන්ථ	ɡ r a n t a
ගාල්ල	ɡ aː l l a
ගිගුරනවා	ɡ i ɡ u r a n a ʋ aː
ගිගුරුම	ɡ i ɡ u r u m a
ගිතෙල්	ɡ i t e l
ගිරවා	ɡ i r ə ʋ aː
ගිරා	ɡ i r aː
ගුළිය	ɡ u ɭ i j a
ගූ	ɡ uː
ගූථ	ɡ uː t̪ a
ගෙනෙනවා	ɡ e n e n a ʋ aː
ගොතනවා	ɡ o t a n a ʋ aː
ගොනා	ɡ o n aː
ගෝණිය	ɡ oː n̪ i j a
ගෞරවය	ɡ a u r ə ʋ ə j ə
ඝ	ɡʱ a
ඟ	ᵑɡ
ච	t͡ʃ a
චීනය	t͡ʃ iː n ə j ə
ඡ	t͡ʃ a
ජ	d͡ʒ a
ජනපදය	d͡ʒ ə n ə p ə d̪ ə j ə
ඣ	d͡ʒ a
ඤ	ɲ a
ඥ	d͡ʒ ɲ a
ඦ	n d͡ʒ a
ට	ʈ a
ටකනවා	ʈ a k ə n ə w aː
ඨ	ʈ a
ඩ	ɖ a
ඪ	ɖ a
ණ	ɳ a
ඬ	ᶯɖ a
ත	t̪ a
තණ	t a n a
තනය	t̪ ə n ə j ə
තඹර	t aᵐ b a r a
තරුණ	t a r u ɳ a
ත්‍රිකුණාමලය	t r i k u n aː m a l a j a
තාච්චිය	t aː t͡ʃ t͡ʃ i j a
තාත්තා	t̪ aː t̪ t̪ aː
තායි	t̪ aː j i
තිරිසන්	t̪ i r i s ə n
තිරිසනා	t̪ i r i s ə n aː
තුර්කිය	t̪ u r k i j a
තුවක්කුව	t̪ u ʋ ə k k u ʋ ə
තුවරා	t̪ u ʋ ə r aː
තුළ	t̪ u l ə
තේ	t̪ eː
ථ	t̪ a
ද	d̪ a
දකුණු	d a k u n u
දඟය	d̪ əᵑ ɡ ə j ə
දඩය	d a ɖ a j a
දඬු	d aᶯ ɖ u
දත	d a t a
දමනවා	d a m a n a ʋ aː
දඹදිව	d̪ aᵐ b ə d̪ i ʋ ə
දවනවා	d a ʋ a n a ʋ aː
දවල	d a ʋ ə l ə
දහය	d̪ ə h ə j ə
දැන්	d æ n
දිග	d i ɡ a
දිය	d i j ə
දිල්ලිය	d i l l i j a
දිවියා	d̪ i ʋ i j aː
දුනු	d u n u
දුරු	d i r i
දුවනවා	d u ʋ ə n ə ʋ aː
දෙනවා	d e n a ʋ aː
දොළ	d o ɭ a
ධ	d̪ a
න	n a
නගනවා	n a ɡ a n a ʋ aː
නම	n ə m ə
නැගෙනහිර	n æ ɡ e n a h i r a
නිදනවා	n i d̪ ə n ə ʋ aː
නිසා	n i s aː
නිළිය	n i ɭ i j ə
නෙරනවා	n e r a n a v aː
ඳ	ⁿd a
ප	p a
පටන්	p a ʈ a n
පණුවා	p a n u ʋ aː
පන	p ə n ə
පනාව	p a n aː ʋ a
පරිප්පු	p ə r i p p u
පල්ල	p a l l a
පල්ලල	p a l l a l a
පවසනවා	p ə ʋ ə s ə n ə ʋ aː
පවුර	p a ʋ u r a
පළාත	p a ɭ aː t̪ a
පළිඟු	p ə l iᵑ ɡ u
ප්රේත	p r eː t a
ප්‍රඥ්ඥාව	p r ə d͡ʒ ɲ d͡ʒ ɲ aː ʋ ə
ප්‍රඥාව	p r ə d͡ʒ ɲ aː ʋ ə
පාකිස්ථානය	p aː k i s t̪ aː n̪ a j a
පාවෙනවා	p aː ʋ e n ə ʋ aː
පැණි	p æ n i
පැය	p æ j ə
පෑන	p æː n ə
පිට	p i ʈ a
පිටි	p i ʈ i
පිපිඤ්ඤා	p i p i ɲ ɲ aː
පියාපත	p i j aː p ə t̪ ə
පිලි	p i l i
පීනනවා	p iː n a n a ʋ aː
පුරුදු	p u r u d u
පුස්තකාලය	p u s t̪ ə k aː l ə j ə
පූසා	p uː s aː
පෙඳ	p eⁿ d a
පෙම	p e m ə
පෙර	p e r a
පේ	p eː
පෝච්චිය	p oː t͡ʃ t͡ʃ i j a
ඵ	p a
බ	b a
බංගලාදේශය	b a m̃ ɡ a l aː d̪ eː ʃ a j a
බටු	b a ʈ u
බත	b a t a
බදනවා	b a d a n a ʋ aː
බදුල්ල	b a d u l l a
බඳිනවා	b aⁿ d i n a ʋ aː
බප	b a p a
බබලනවා	b a b a l a n a ʋ aː
බර	b a r a
බල	b a l a
බස්නාහිර	b a s n aː h i r a
බ්‍රසීලය	b r a s iː l a j a
බානවා	b aː n a ʋ aː
බාප්පා	b aː p p aː
බැහැර	b æ h æ r a
බිරි	b i r i
බිහිරි	b i h i r i
බුද්ධි	b u d d i
බූරුවා	b uː r u ʋ aː
බෙක	b e k a
බෙරය	b e r a j a
බොනවා	b o n ə ʋ aː
බොබ්	b o b
බෝක්කුව	b oː k k u ʋ a
භ	b a
භුවන	b u ʋ ə n ə
ම	m a
මඩ	m a ɖ a
