Achab	aː k a b
Adam	a d a m
Adam	a d aː m
Antecrist	a n t i k r iː s t
Antecrist	a n t ɛ k r iː s t
Aprill	aː p r i l
Aprill	aː p r iː l
Aschewednysday	a s k w ɛ d n ə z d ɛ i
Aschewednysday	a ʃ w ɛ d n ə z d ɛ i
Bathe	b aː ð ə
Bathe	b aː ð ə n
Bethleem	b ɛ d l eː ɛ m
Bethleem	b ɛ d l ɛ m
Breteyn	b r ɛ t æ i̯ n
Cales	k æ l ə s
Caleys	k a l i s
Caleys	k a l ɛ i̯ s
Carlele	k a r l eː l
Carlele	k a r l iː l
Caunterbury	k a n t ə r b u r iː
Caunterbury	k a u̯ n t ə r b u r iː
Charlewayn	t ʃ a r l ə s w æ i̯ n
Charlewayn	t ʃ a r l ə w æ i̯ n
Charlewayn	t ʃ a r l ə w ɛː n
Chaucer	t͡ʃ a u̯ s eː r
Chaucer	t͡ʃ a u̯ s ə r
Chestre	t͡ʃ ɛ s t ə r
Crist	k r i s t
Crist	k r iː s t
Cristemasse	k r i s m a s
Cristemasse	k r i s m ɛ s
Cristemasse	k r i s t i s m a s ə
Cristemasse	k r i s t i s m ɛ s ə
Cristemasse	k r i s t ə m a s ə
Cristemasse	k r i s t ə m ɛ s ə
Cristen	k r i s t ə n
Cristen	k r i s t ɛ n
Cristendom	k r i s t ə n d ɔ m
Cristendom	k r i s t ɛ n d oː m
Cristenhode	k r i s t ɛ n h ɔː d
Cristenhode	k r i s t ɛ n h ɛː d
Cristien	k r i s t i ɛː n
Cristien	k r i s t j ə n
Cristien	k r i s t j ɛ n
Cristiente	k r i s t i a n i t eː
Cristiente	k r i s t i a n t eː
Cristiente	k r i s t i ɛ n t eː
Cristiente	k r i s t j a n i t eː
Dane	d aː n ə
Dauid	d aː v i d
Dauphin	d a u̯ f iː n
Dauphin	d ɔ l f iː n
Dauphin	d ɛ l f iː n
Duch	d i u̯ t ʃ
Duch	d u t ʃ
Duchish	d i u̯ t͡ʃ i ʃ
Duchish	d u t͡ʃ i ʃ
Edward	ɛ d w a r d
Engelond	ɛ n ɡ ə l ɔː n d
Englisch	a n ɡ l i ʃ
Englisch	i n ɡ l i ʃ
Englisch	ɛ n ɡ l i ʃ
Europe	ɛ u̯ r ɔː p ə
Everwik	ɛ v ə r w i k
Everwik	ɛ v ə r w i t͡ʃ
Everwik	ɛ v ə r w iː t͡ʃ
Friday	f r eː d æ i̯
Friday	f r iː d ɛ i̯
Furie	f i u̯ r iː ə
Geffrey	d ʒ ɛ f r ɛ i̯
Georgie	d ʒ ɔː r d ʒ iː ə
Georgie	d ʒ ɛː ɔː r d ʒ iː ə
Germanie	d ʒ ɛ r m a n iː ə
Germanie	d ʒ ɛ r m aː n iː ə
Germanie	d ʒ ɛ r m ə n iː ə
Germanie	d ʒ ɛ r m ɛ i̯ n ə
Germanie	ɡ ɛ r m a n iː ə
I	i
I	iː
Inde	i n d
Irish	iː r i ʃ
Irisshman	iː r i ʃ m a n
Irlond	iː r l ɔː n d
Iseland	iː s l a n d
Iseland	iː s l ɔː n d
