ab	ɑ b
abad	ɑ b ɑ d
abadanlıq	ɑ b ɑ d ɑ n ɫ ɯ χ
abadlıq	ɑ b ɑ d ɫ ɯ χ
abajur	ɑ b ɑ ʒ u r
abdal	ɑ b d ɑ ɫ
abdəst	ɑ b d æ s t
abidə	ɑː b i d æ
abş	ɑ b ʃ
ac	a d͡z
ac	ɑ d͡z
ac	ɑ d͡ʒ
ac	ɑ ʒ
aciz	ɑː d͡z i z
aciz	ɑː d͡z ɯ z
aciz	ɑː d͡ʒ i z
aciz	ɑː d͡ʒ ɯ z
aclıq	ɑ d͡z ɫ ɯ χ
aclıq	ɑ d͡ʒ ɫ ɯ χ
aclıq	ɑ ʒ d ɯ χ
aclıq	ɑ ʒ ɫ ɯ χ
acı	ɑ d͡z ɯ
acı	ɑ d͡ʒ ɯ
ad	ɑ d
ada	ɑ d ɑ
adlanmaq	ɑ d ɫ ɑ mː ɑ χ
adət	ɑː d æ t
aftafa	ɑ f t ɑ f a
afət	ɑː f æ t
aktyor	ɑ k t y o r
aldanmaq	ɑ ɫ d ɑ n m ɑ χ
aldanmaq	ɑ ɫː ɑ n m ɑ χ
aldatmaq	ɑ ɫ d ɑ t m ɑ χ
aldatmaq	ɑ ɫː ɑ t m ɑ χ
ali	ɑː l i
alim	ɑː l i m
almaniya	ɑ ɫ m ɑ n i j ɑ
almaq	ɑ ɫ m ɑ χ
almaz	ɑ ɫ m ɑ z
alov	ɑ ɫ o v
alovlu	ɑ ɫ o v ɫ u
alqış	ɑ ɫ ɡ ɯ ʃ
alqış	ɑ ɫ ɣ ɯ ʃ
alqışlamaq	ɑ ɫ ɡ ɯ ʃ ɫ ɑ m ɑ χ
alqışlamaq	ɑ ɫ ɣ ɯ ʃ ɫ ɑ m ɑ χ
alt	ɑ ɫ t
altmış	ɑ ɫ t m ɯ ʃ
altmışıncı	ɑ l t m ɯ ʃ ɯ n d͡ʒ ɯ
altıncı	ɑ l t ɯ n d͡ʒ ɯ
altında	ɑ ɫ t ɯ n d ɑ
alver	ɑ l v e r
alınmaq	ɑ l ɯ n m ɑ χ
alınmaq	ɑ ɫ ɯ mː ɑ χ
alış	ɑ ɫ ɯ ʃ
aləm	ɑː l æ m
alət	ɑː l æ t
amcıq	ɑ m d͡ʒ ɯ χ
amcıqgöz	ɑ m d͡ʒ ɯ ɣ ɡ œ z
amma	ɑ m b ɑ
amma	ɑ mː ɑ
ana	ɑ n ɑ
ancaq	ɑ n d͡z ɑ χ
ancaq	ɑ n d͡ʒ ɑ χ
and	ɑ n d
anlamaq	ɑ n ɫ ɑ m ɑ χ
anlayış	ɑ n ɫ ɑ j ɯ ʃ
anmaq	ɑ mː ɑ χ
anmaq	ɑ n m ɑ χ
anqut	ɑ ŋ ɡ u t
anqutboğaz	ɑ ŋ ɡ u t b o ɣ ɑ z
anqırmaq	ɑ n ɡ ɯ r m ɑ χ
antigen	ɑ n t i d͡ʒ e n
aparmaq	ɑ p ɑ r m ɑ χ
araba	ɑ r ɑ b ɑ
arabir	ɑ r ɑ b i r
aram	ɑ r ɑ m
arasında	ɑ r ɑ s ɯ n d ɑ
arayış	ɑ r ɑ j ɯ ʃ
araşdırmaq	ɑ r ɑ ʃ d ɯ r m ɑ χ
