A	a
â	aː
Â	aː
Ååbel	ɔː b ɛ l
abagant	a b a ɡ ɑ̃
abaguer	a b a ɡ e
abandner	a b ɑ̃ n n e
abaxhî	a b a ʃ iː
abayî	a b a j iː
åbe	ɔː p
åbécédé	ɔː b e s e d e
aberweter	a b ɛ ʀ w ɛ t e
åbes	ɔː p
Åbindje	ɔː b ɛ̃ t͡ʃ
abiyî	a b i j iː
Åblén	ɔː b l ẽ
Abraham	a b ʀ a h a m
Abråm	a b ʀ ɔː m
abressî	a b ʀ ɛ s iː
Åbri	ɔː b ʀ i
åbricot	ɔː b ʀ i k ɔ
åbricots	ɔː b ʀ i k ɔ
Åbriyon	ɔ b ʀ i j ɔ̃
Åbriyot	ɔ b ʀ i j ɔ
abrocaedje	a b ʀ ɔ k ɛ t͡ʃ
abrodjî	a b ʀ ɔ d͡ʒ iː
abwesson	a b w ɛ s ɔ̃
Åbwin	ɔ b w ɛ̃
Achinne	a ʃ ɛ̃ n
aclairi	a k l ɛː ʀ i
Åcosse	ɔː k ɔ s
acoûtchî	a k uː t͡ʃ iː
acpagnmint	a k p a ɲ m ɛ̃
acroere	a k ʀ w ɛː ʀ
acsegnî	a k s ɛ ɲ iː
acteur	a k t øː ʀ
actoresse	a k t ɔ ʀ ɛ s
Adam	a d a m
Adan	a d ã
addjectif	a d d͡ʒ ɛ k t i f
Adelayite	a d e l a j i t
Adele	a d ɛ l
Adislasse	a d i l a s
Ådjî	ɔː d͡ʒ iː
adjinçna	a d͡ʒ ɛ̃ s n a
adjinçner	a d͡ʒ ɛ̃ s n e
adjondrece	a d͡ʒ ɔ̃ d ʀ ɛ s
ådjourdu	ɔː d͡ʒ u ʀ d y
administråcion	a n m i n i s t ʀ ɔː s j ɔ̃
Adofe	a d ɔ f
aduri	a d y ʀ i
adviebe	a d v j ɛ p
Aernou	a ʀ n uː
Afrike	a f ʀ i k
agaesse	a ɡ ɛ s
agnea	a ɲ a
agnon	a ɲ ɔ̃
agnons	a ɲ ɔ̃
aguèse	a ɡ ɛ s
Ågustin	ɔː ɡ y s t ɛ̃
ahavter	a h a f t e
ahavteure	a h a f t ø ʀ
ahiver	a h iː v e
aidance	ɛː d ã s
aile	ɛː l
Aili	ɛ l i
aite	ɛ t
aiwe	ɛː w
aiwes	ɛː w
Aiwêye	ɛː w ɛ j
aiye	ɛː j
åjhey	ɔː ʒ ɛ j
alårdji	a l ɔː ʀ d͡ʒ i
Albaneye	a l b a n ɛ j
Alcide	a l s i t
Aldjereye	a l d͡ʒ ɛ ʀ ɛ j
Alècsis	a l ɛ k s i
Alegzande	a l ɛ ɡ z ɑ̃ t
Alègzandrine	a l ɛ ɡ z ɑ̃ d ʀ i n
aler	a l e
Aleur	a l øː ʀ
alfabet	a l f a b ɛ
Alfonse	a l f ɔ̃ s
Alfrede	a l f ʀ ɛ t
Almagne	a l m a ɲ
almand	a l m ɑ̃
Alodîye	a l ɔ d iː j
alongui	a l ɔ̃ ɡ i
ålouwete	ɔː l u w ɛ t
alôye	a l o j
aloyrece	a l ɔ j ʀ ɛ s
Ama	a m a
amagnî	a m a ɲ iː
Amand	a m ɑ̃
Amboeze	ã b w ɛ s
Amel	a m ɛ l
Amerike	a m ɛ ʀ i k
amon	a m ɔ̃
amoûr	a m uː ʀ
Anboèse	ã b w ɛ s
ancyin	ã s j ɛ̃
ancyin	ã ʃ ɛ̃
Andene	ɑ̃ d ɛ n
Anderluwe	ɑ̃ d ɛ ʀ l u w
Andjlene	ã d͡ʒ l ɛ n
Andjline	ã d͡ʒ l i n
Andore	ã d ɔ ʀ
Andrêye	ã d ʀ ɛː j
Andrî	ã d ʀ iː
Ane	a n
anêye	a n e j
anêyes	a n e j
Angleûr	ã ɡ l øː ʀ
Anhêye	ã j e j
Anhêye	ã h e j
anichtaedje	a n i ʃ t ɛ t͡ʃ
Aniye	a n i j
Anjèlique	ã ʒ ɛ l i k
anke	ã k
Anmzin	ɑ̃ m z ɛ̃
Annvoye	ɑ̃ n v õ j
Anse	ã s
ansene	ã s ɛ n
ansiner	ã s i n e
Antene	ã t ɛ n
Antoenne	ɑ̃ t w ɛ n
antolodjeye	ã t ɔ l ɔ d͡ʒ ɛ j
Antône	ɑ̃ t o n
Antwène	ɑ̃ t w ɛ n
apåjhter	a p ɔː ç t e
aparexhe	a p a ʀ ɛ ʃ
apontyî	a p ɔ̃ t j iː
aprepyî	a p ʀ ɛ p j iː
aprinde	a p ʀ ɛ̃ t
arabe	a ʀ a p
araegne	a ʀ ɛ ɲ
Årdjintene	ɔː ʀ d͡ʒ ɛ̃ t ɛ n
arester	a ʀ ɛ s t e
arindjî	a ʀ ɛ̃ d͡ʒ iː
aritchi	a ʀ i t͡ʃ i
Årlon	ɔː ʀ l ɔ̃
Årmeneye	ɔː ʀ m ɛ n ɛ j
årmonica	ɔː ʀ m ɔ n i k a
Ârnou	aː ʀ n uː
aroke	a ʀ ɔ k
arondixhmint	a ʀ ɔ̃ d i ʃ m ɛ̃
Årsinne	ɔː ʀ s ɛ̃ n
Årsumont	ɔː ʀ s y m ɔ̃
årt	ɔː ʀ
årtike	ɔː ʀ t i k
årtisse	ɔː ʀ t i s
