ꜣ	ɑ
ꜣꜣ	ɑ ʔ ɑ
ꜣꜣt	ɑ ʔ ɑ t
ꜣꜣtꜣ	ɑ ʔ ɑ t ɑ
ꜣj	ɑ i
ꜣjwj	ɑ i uː i
ꜣjs	ɑ i s
ꜣyt	ɑ iː t
ꜣꜥ	ɑ ʔ ɑː
ꜣꜥꜥ	ɑ ʔ ɑː ʔ ɑː
ꜣꜥꜥw	ɑ ʔ ɑː ɑː uː
ꜣꜥꜥwj	ɑ ʔ ɑː ɑː uː i
ꜣꜥꜥbw	ɑ ʔ ɑː ɑː b uː
ꜣꜥꜥnj	ɑ ʔ ɑː ɑː n i
ꜣꜥꜥt	ɑ ʔ ɑː ɑː t
ꜣꜥw	ɑ ʔ ɑː uː
ꜣꜥbt	ɑ ʔ ɑː b ɛ t
ꜣꜥfj	ɑ ʔ ɑː f i
ꜣꜥz	ɑ ʔ ɑː z
ꜣw	ʀ a w
ꜣw	ʀ a w
ꜣw	ʔ a w
ꜣw	ʔ a w
ꜣw	ʀ a w
ꜣw	ʀ a w
ꜣw	ʔ a w
ꜣw	ʔ a w
ꜣw	ɑ uː
ꜣwj	ʀ aː w a j
ꜣwj	ʀ aː w a j
ꜣwj	ʔ aː w ə
ꜣwj	ʔ oː w
ꜣwj	ʀ aː w a j
ꜣwj	ʀ aː w a j
ꜣwj	ʔ aː w ə
ꜣwj	ʔ oː w
ꜣwj	ɑ uː i
ꜣwr	ɑ uː r
ꜣwḥ	ɑ uː h
ꜣwḫ	ɑ uː x
ꜣwsw	ɑ uː s uː
ꜣwšꜣ	ɑ uː ʃ ɑ
ꜣwšꜣmm	ʔ u ʀ u ʃ a l i m u m
ꜣwšꜣmm	ʔ u ʀ u ʃ a l i m u m
ꜣwšꜣmm	ɑ uː ʃ ɑ m ɛ m
ꜣwt	ɑ uː t
ꜣwtqrtr	ɑ uː t ɛ k r ɛ t ɛ r
ꜣb	ɑ b
ꜣbꜣb	ɑ b ɑ b
ꜣbj	ɑ b i
ꜣby	ɑ b iː
ꜣbyt	ɑ b iː t
ꜣbw	ʀ aː b a w
ꜣbw	ʀ aː b a w
ꜣbw	ʔ aː b ə
ꜣbw	ʔ oː β
ꜣbw	ʀ aː b a w
ꜣbw	ʀ aː b a w
ꜣbw	ʔ aː b ə
ꜣbw	ʔ oː β
ꜣbw	ɑ b uː
ꜣbw	ʀ uː b a w
ꜣbw	ʀ uː b a w
ꜣbw	j uː b ə
ꜣbw	j eː β
ꜣbw	ʀ uː b a w
ꜣbw	ʀ uː b a w
ꜣbw	j uː b ə
ꜣbw	j eː β
ꜣbw	ɑ b uː
ꜣbwt	ɑ b uː t
ꜣbb	ʔ ə β a p
ꜣbb	ʔ ə β a p
ꜣbb	ɑ b ɛ b
ꜣbnjnj	ɑ b n i n i
ꜣbnn	ɑ b n ɛ n
ꜣbḫ	ʀ aː b a χ
ꜣbḫ	ʀ aː b a χ
ꜣbḫ	ʔ aː b ə χ
ꜣbḫ	ʔ oː β ə χ
ꜣbḫ	ʀ aː b a χ
ꜣbḫ	ʀ aː b a χ
ꜣbḫ	ʔ aː b ə χ
ꜣbḫ	ʔ oː β ə χ
ꜣbḫ	ɑ b ɛ x
ꜣbḫt	ɑ b x ɛ t
ꜣbt	ɑ b ɛ t
ꜣbd	ʀ a b a tʼ
ꜣbd	ʀ a b a tʼ
ꜣbd	ʔ a b a tʼ
ꜣbd	ʔ a β a tʼ
ꜣbd	ʀ a b a tʼ
ꜣbd	ʀ a b a tʼ
ꜣbd	ʔ a b a tʼ
ꜣbd	ʔ a β a tʼ
ꜣbd	ʀ a b u tʼ w
ꜣbd	ʀ a b uː tʼ a w
ꜣbd	ʀ a b u tʼ w
ꜣbd	ʀ a b uː tʼ a w
ꜣbd	ʔ a b u tʼ w
ꜣbd	ʔ a β eː tʼ ə
ꜣbd	ʔ a β ø tʼ ə
ꜣbd	ʔ a β eː tʼ
ꜣbd	ʀ a b u tʼ w
ꜣbd	ʀ a b uː tʼ a w
ꜣbd	ʀ a b u tʼ w
ꜣbd	ʀ a b uː tʼ a w
ꜣbd	ʔ a b u tʼ w
ꜣbd	ʔ a β eː tʼ ə
ꜣbd	ʔ a β ø tʼ ə
ꜣbd	ʔ a β eː tʼ
ꜣbd	ɑ b ɛ d
ꜣbḏw	ʀ V b aː cʼ V w
ꜣbḏw	ʀ V b aː tʼ V w
ꜣbḏw	ʔ ə b aː tʼ ə
ꜣbḏw	ʔ ə β oː tʼ
ꜣbḏw	ʀ V b aː cʼ V w
ꜣbḏw	ʀ V b aː tʼ V w
ꜣbḏw	ʔ ə b aː tʼ ə
ꜣbḏw	ʔ ə β oː tʼ
ꜣbḏw	ɑ b ɛ d͡ʒ uː
ꜣbḏw	ɑ b ɛ d͡ʒ uː
ꜣpꜣrwywsꜣ	ɑ p ɑ r uː iː uː s ɑ
ꜣpḥ	ɑ p ɛ h
ꜣpd	ʀ aː p V tʼ
ꜣpd	ʀ aː p V tʼ
ꜣpd	ʔ aː p ə tʼ
ꜣpd	ʔ oː p ə tʼ
ꜣpd	ʀ aː p V tʼ
ꜣpd	ʀ aː p V tʼ
ꜣpd	ʔ aː p ə tʼ
ꜣpd	ʔ oː p ə tʼ
ꜣpd	ɑ p ɛ d
ꜣpdwt	ɑ p d uː t
ꜣf	ɑ f
ꜣfꜣf	ɑ f ɑ f
ꜣfj	ɑ f i
ꜣfjw	ɑ f i uː
ꜣfꜥ	ɑ f ɑː
ꜣfr	ɑ f ɛ r
ꜣm	ɑ m
ꜣmj	ɑ m i
ꜣmꜥ	ɑ m ɑː
ꜣmꜥt	ɑ m ɑː t
ꜣmw	ɑ m uː
ꜣmwt	ɑ m uː t
ꜣmm	ʀ a m a m
ꜣmm	ʀ a m a m
ꜣmm	ʔ ə m a m
ꜣmm	ʔ ə m a m
ꜣmm	ʀ a m a m
