ئارد	ʔ aː ɾ d
ئارەزوو	ɑː ɾ æ z uː
ئازەربایجان	ʔ aː z a ɾ b aː i̯ d͡ʒ aː n
ئاسان	ʔ aː s aː n
ئاسمان	ʔ aː s m aː n
ئاسن	ʔ aː s ə n
ئاسنگەر	ʔ aː s ə ŋ ɡ a ɾ
ئاسنین	ʔ aː s ə n iː n
ئاسک	ʔ aː s k
ئاسۆ	ʔ aː s o̞ː
ئاسۆیی	ʔ aː s o̞ː j iː
ئاشت	ʔ aː ʃ t
ئاشتی	ʔ aː ʃ t iː
ئافراندن	ʔ aː f ɾ aː n d ə n
ئافرەت	ʔ aː f ɾ a t
ئامیتن	ʔ aː m iː t ə n
ئانیشک	ʔ aː n iː ʃ k
ئاواز	ɑː w ɑː z
ئاوریشم	ʔ aː u̯ ɾ iː ʃ ə m
ئاوس	ʔ aː w ə s
ئاوسی	ʔ aː w ə s iː
ئاوڕوو	ʔ aː u̯ r uː
ئاوی	ʔ aː w iː
ئاوێنە	ʔ aː w e̞ː n a
ئاپارتمان	ʔ aː p aː ɾ t m aː n
ئاچۆخ	ʔ aː t͡ʃ oː x
ئاژوژتن	ʔ aː ʒ oː ʒ t ɪ n
ئاژوەر	ʔ aː ʒ w e r
ئاگر	ʔ aː ɡ ə ɾ
ئاگربەست	ʔ aː ɡ ə ɾ b a s t
ئاڵا	ʔ aː ɫ aː
ئاڵاندن	ʔ aː ɫ aː n d ə n
ئاڵتوون	ʔ aː ɫ t uː n
ئاڵوو	ʔ aː ɫ uː
ئۆتۆمۆبیل	oː t oː m b iː l
ئۆقیانووس	ʔ o̞ː q j aː n uː s
ئیسلام	ʔ iː s l aː m
ئینسان	ʔ iː n s aː n
ئێران	ʔ e̞ː ɾ aː n
ئێرانی	ʔ e̞ː ɾ aː n iː
ئێستر	ʔ e̞ː s t ə ɾ
ئێسک	ʔ e̞ː s k
ئێسکان	ʔ e̞ː s k aː n
ئێش	ʔ e̞ː ʃ
ئێمە	eː m æ
ئێوارە	e w aː r æ
ئێوە	eː w æ
ئەتاری	ʔ æ t aː r iː
ئەتۆم	ʔ a t o̞ː m
ئەحمەد	a h m a d
ئەحمەد	a ħ m a d
ئەرخەوان	ʔ a ɾ x a w aː n
ئەرز	ʔ a ɾ z
ئەرشیف	æ ɾ ʃ iː f
ئەرمەن	ʔ a ɾ m a n
ئەرمەنی	ʔ a ɾ m a n iː
ئەزموون	ʔ a z m uː n
ئەستوور	ʔ a s t uː ɾ
ئەستووری	ʔ a s t uː ɾ iː
ئەستێور	ʔ a s t eː u̯ ɾ
ئەستەمبوڵ	ʔ a s t a m b ʊ ɫ
ئەسر	ʔ a s ɾ
ئەسرۆ	ʔ a s ɾ o̞ː
ئەسپ	ʔ a s p
ئەسپێ	ʔ a s p e̞ː
ئەسکەنە	ʔ a s k a n a
ئەشکەوت	ʔ a ʃ k a u̯ t
ئەفغانستان	ʔ a f ɣ aː n ə s t aː n
ئەلفوبێ	ʔ a l f ʊ b e̞ː
ئەمبار	ʔ a m b aː ɾ
ئەندازە	ʔ a n d aː z a
ئەنگاوتن	ʔ a ŋ ɡ aː u̯ t ə n
ئەنگوست	ʔ a ŋ ɡ ʊ s t
ئەنگوستیلە	ʔ a ŋ ɡ ʊ s t iː l a
ئەهریمەن	æ h ɾ iː m æ n
ئەو	æ w
ئەژنۆ	ʔ a ʒ n o̞ː
ئەڵماس	ʔ a ɫ m aː s
ئەڵمانیا	ʔ a ɫ m aː n j aː
اللە	a l l e
ب	b
با	b aː
باخ	b aː x
باخەوان	b aː x a w aː n
باخەوانی	b aː x a w aː n iː
بادەم	b aː d a m
بارام	b aː ɾ aː m
بارین	b aː ɾ iː n
بازاڕ	b aː z aː r
باسک	b aː s k
باش	b aː ʃ
باشوور	b aː ʃ uː ɾ
بالیف	b aː l iː f
بانوو	b aː n uː
باوک	b aː u̯ k
باوێشک	b aː w e̞ː ʃ k
باوەش	b ɑː w æ ʃ
باپیر	b aː p iː ɾ
باژێڕ	b aː ʒ e̞ː r
باکوور	b aː k uː ɾ
باڵ	b aː ɫ
باڵا	b ɑː ɫ ɑː
باڵابەرزە	b ɑː ɫ ɑː b æ ɾ z æ
باڵاخانە	b ɑː ɫ ɑː x ɑː n æ
باڵندە	b aː ɫ ə n d a
باینجان	b aː j ə n d͡ʒ aː n
بت	b ə t
برا	b ə ɾ aː
برسی	b ɪ ɾ s iː
برند	b ə ɾ ə n d
برندی	b ɪ ɾ ɪ n d iː
برووسک	b ə ɾ uː s k
برووسکە	b ɾ uː s k a
برژان	b ə ɾ ʒ aː n
برژانگ	b ə ɾ ʒ aː ŋ ɡ
برۆ	b ɪ ɾ o̞ː
بریا	b r iː a
بزن	b ə z ə n
بزنمژ	b ə z ə n m ə ʒ
بست	b ə s t
بلیمەت	b l iː m a t
بنێشت	b n e̞ː ʃ t
بنەوشە	b ə n a w ʃ a
بوار	b ə w aː ɾ
بوومەلێڵ	b uː m a l e̞ː ɫ
بوومەلەرزە	b uː m a l a ɾ z a
بووک	b uː k
بڕۆ	b ə r oː
بڕین	b r iː n
بژ	b ə ʒ
بکەر	b k a ɾ
بڵق	b ə ɫ q
بڵند	b ɪ ɫ ɪ n d
بۆب	b o̞ː b
بۆق	b o̞ː q
بۆمبا	b o̞ː m b aː
بۆن	b o̞ː n
بی	b iː
بیبەر	b iː b æ r
بیر	b iː ɾ
بیسایی	b iː s aː j iː
بیست	b iː s t
بیستن	b iː s t ə n
بیژوو	b iː ʒ uː
بیژی	b iː ʒ iː
بێ	b e
بێئیش	b eː ʔ iː ʃ
بێئێش	b e̞ː ʔ e̞ː ʃ
بێوە	b e̞ː w a
بێژنگ	b e̞ː ʒ n ə ɡ
بێکار	b eː k aː r
بێڵ	b e̞ː ɫ
بەحر	b a ħ ə ɾ
بەخێرایی	b æ x eː r aː j iː
بەد	b a d
بەراز	b a ɾ aː z
بەران	b a ɾ aː n
بەرد	b a ɾ d
بەردتاش	b a ɾ d t aː ʃ
بەردەستێ	b a ɾ d a s t e̞ː
بەردەپێ	b a ɾ d a p e̞ː
بەرز	b a ɾ z
بەرزی	b æ ɾ z iː
بەرپرسایەتی	b a ɾ p ə ɾ s aː j ɛ t iː
بەرەباب	b æ ɾ æ b ɑː b
بەش	b a ʃ
بەفر	b æ f ɾ
بەنداو	b a n d aː u̯
بەور	b a u̯ ɾ
بەپڕەپڕ	b æ p ɾ æ p ɾ
بەڕوو	b a r uː
بەژن	b æ ʒ ɪ n
بەڵێن	b a ɫ e̞ː n
بەھار	b a h aː ɾ
بەیبوون	b ɛ i̯ b uː n
تات	t aː t
تازیانە	t aː z j aː n a
تاشین	t aː ʃ iː n
تاوس	t aː w ə s
تاوە	t aː w a
تاژیلۆکە	t aː ʒ iː l o̞ː k a
تاڤگە	t aː v ɡ a
تاڵ	t aː ɫ
تاڵی	t aː ɫ iː
تر	t ɪ ɾ
ترسان	t ə ɾ s aː n
ترش	t ə ɾ ʃ
ترین	t ɪ ɾ i n
ترێ	t ɾ e̞ː
توانا	t w aː n aː
توانین	t w aː n iː n
توو	t uː
تووتی	t uː t iː
توور	t uː ɾ
