аачэ	aː t͡ɕ ə
абут	a b u t
адил	a d i l
ажуу	a ʒ uː
айбии	a j b iː
алмэ	a l m ə
амун	a m u n
анаан	a n aː n
андьэ	a n d͡ʑ ə
анил	a n i l
арнууйаа	a r n uː j aː
ароойэ	a r oː j ə
аҕимэ	a ʁ i m ə
аҥа	a ŋ a
аҥдьэ	a ŋ d͡ʑ ə
дорообо	d o r oː b ə
игэйэ	i ɡ ə j ə
ильэйэ	i ʎ e j ə
ирил	i r i l
йалҕил	j a l ʁ i l
йахал	j a q a l
йаҥжэ	j a ŋ ʒ ə
йододьубэ	j o d o d͡ʑ u b ə
йоо	j oː
йоод амун	j oː d a m u n
йоон кисил	j oː n k i s i l
йоуло	j o w l ə
йоҕурчэ	j o ʁ u r t͡ɕ ə
йоҥжаа	j o ŋ ʒ aː
йэльоодьо	j e ʎ oː d͡ʑ ə
кисил	k i s i l
курчэҥ	k u r t͡ɕ e ŋ
көдин	k ø d i n
көдиэл	k ø d i e̯ l
көдьэ	k ø d͡ʑ e
көй	k ø j
көйпэ	k ø j p ə
көнмэ	k ø n m ə
лахил	l a q i l
лочил	l o t͡ɕ i l
лудул	l u d u l
луусии	l uː s iː
лэбиэ	l e b i e̯
лэбиэд эмэй	l e b i e̯ d e m e j
лэгул	l e ɡ u l
маабут	m aː b u t
мархиль	m a r q i ʎ
мидэдьэ	m i d e d͡ʑ ə
мино	m i n o
молин	m o l i n
моттушкаа	m o tː u ʃ k aː
мошолупкаа	m o ʃ o l u p k aː
моҕо	m o ʁ o
мурэ	m u r e
мурэд игэйэ	m u r e d i ɡ ə j ə
мэдин	m e d i n
мэлут	m e l u t
мэт	m e t
мээмээ	m eː m eː
надо	n a d o
нодо	n o d o
нумэ	n u m e
нумө	n u m ø
ньаадэ	ɲ aː d ə
ньумудьии	ɲ u m u d͡ʑ iː
ньуу	ɲ uː
ньэмолҕил	ɲ e m o l ʁ i l
одуд	o d u d
одул	o d u l
одун	o d u n
омнии	o m n iː
онор	o n o r
оожии	oː ʒ iː
паабаа	p aː b aː
пайл	p a j l
пайпэ	p a j p ə
парнаа	p a r n aː
пиполь	p i p o ʎ
пиэ	p i e̯
поньхаараа	p o ɲ q aː r aː
поо	p oː
пугиль	p u ɡ i ʎ
пугэ	p u ɡ e
пугэд андьэ	p u ɡ e d a n d͡ʑ ə
пулут	p u l u t
сам	s a m
тибо	t i b o
толоу	t o l o w
тоукэ	t o w k ə
тэрикэ	t e r i k ə
тэт	t e t
ужжоо	u ʒ ʒ oː
унун	u n u n
унуҥ	u n u ŋ
уө	u ø̯
ферма	fʲ e r m a
хаар	q aː r
хаҥичэ	q a ŋ i t͡ɕ ə
хойл	q o j l
хойн нумө	q o j nː u m ø
хонжо	q o n ʒ ə
хоробо	q o r o b ə
хорой	q o r o j
чаачаа	t͡ɕ aː t͡ɕ aː
чайка	t͡ɕ a j k a
чамдьэ	t͡ɕ a m d͡ʑ ə
чибаль	t͡ɕ i b a ʎ
чиижэлэ	t͡ɕ iː ʒ ə l ə
чилгэ	t͡ɕ i l ɡ ə
чобул	t͡ɕ o b u l
чолҕоро	t͡ɕ o l ʁ ə r ə
чоҕойэ	t͡ɕ o ʁ o j ə
чугэ	t͡ɕ u ɡ e
чэбиль	t͡ɕ e b i ʎ
чөбинэ	t͡ɕ ø b i n ə
шаал	ʃ aː l
шанайаах	ʃ a n a j aː q
шахалэ	ʃ a q a l ə
шашхул	ʃ a ʃ q u l
шиньэль	ʃ i ɲ e ʎ
шолнаа	ʃ o l n aː
шоромо	ʃ o r o m o
шоуҕо	ʃ o w ʁ ə
шоҕунмэ	ʃ o ʁ u n m e
шоҥдьилэ	ʃ o ŋ d͡ʑ i l e
шубэдьэ	ʃ u b e d͡ʑ e
шөйл	ʃ ø j l
шөйльбул	ʃ ø j ʎ b u l
шөрилэ	ʃ ø r i l ə
шөшток	ʃ ø ʃ t o k
эмдьэ	e m d͡ʑ ə
эмул	e m u l
эмэй	e m e j
эпиэ	e p i e̯
эрпэйэ	e r p ə j ə
эчиэ	e t͡ɕ i e̯
өмгэдэ	ø m ɡ ə d ə
өнмэ	ø n m ə
өнчиэ	ø n t͡ɕ i e̯
өрдьэ	ø r d͡ʑ ə
