'fo'	f o
Chusdee	t ʃ uː s ʔ d i
Frid'y	f ɹ ɑ i d i
Mond'y	m ə n d i
Sat'd'y	s æ t ʔ d i
Sund'y	s ə n d i
T'ursd'y	t ɚ s ʔ d i
We'n'sd'y	w ɛ n s ʔ d i
aacit	ɑː s ɪ t
aba	ʔ ɑ b ɑ
adobe	ʔ a d o b ɛ
adunyu	ə d u n j u
agogo	a ɡ o ʔ ɡ o
amin	a m i n
amina	a m i n a
arie	ɛː ɹ i
aruh	ɑ ɹ ə
ban	b ɑ n
bang	b ɑ ŋ
bara	b ɑ l a
bara	b ɑ ɹ ɑ
be	b i
beble	b e b l ə
bene	b e n n e
beng	b e ŋ
benyto	b e n j t u
bidibidi	b i d i b i d i
bim	b ɪ m
bin	b ɪ n
binda	b ɪ n d ə
bobobo	b o b o b o
bobobo	b ɒ b ɒ b ɒ
bod	b o d
bod	b ʌ d
boma	b o m ə
boma	b ɒ m ə
bondo	b o n d o
bondo	b ɒ n d ɒ
booboo	b u b u
borry	b ɑː r ɒ
borry	b ɑː r ə
borry	b ɑː r ɪ
boɲ	b o ɲ
bu	b u
buckra	b ʌ k r ə
budi	b u d i
bumbu	b u m b u
bun	b ʌː n
cha	d͡ʒ ɑ
cha	t͡ʃ ɑ
cha	t͡ʃ ɑ t͡ʃ ɑ
cha	t͡ʃ ə
cha	t͡ʃ ʌ
cha	ɟ ɑ
chaage	t͡ʃ ɑː d͡ʒ
chree	t ʃ ɹ iː
chrue	t ʃ ɹ uː
cloes	k l o s
cona	k ɑː n d ə
cona	k ɑː n ə
da	d ɑ
daak	d ɑː k
daf	d e f
daf	d e f u
daf	d ɑ f
dafa	d ɑ f ɑ
dafa	d ɑ̃ f ɑ
debil	d ɛ b ɪ l
dede	d e d e
dee	d iː
degati	d e ɡ ɑ t i
dem	d ɪ m
demarra	d ʌ m ɑː r ə
dende	d e n d e
det	d e t
det	d e t ʔ r e n
dey	d e iː
dey	d ɛ
diakala	d i ɒ k ə l ə
didi	ʔ d i d i
dimba	ʔ d i m b a
dindi	d ɪ n d ĩ
do	d o
duh	d ə
dungu	d u ŋ ɡ u
e	iː
e	ɛ̃ ˦˨
een	i n
een	iː n
eenside	iː n s a i
eenside	iː n s a i d
elukeluke	e l u k e l u k e
enufole	e n u f o l e
eriaria	e ɹ i ə ɹ i ə
fa	f ɑ
fagib	f ə ɡ ɪ b
feba	f i b ɒ
feba	f i b ə
fili	ʔ f i l i
filis	ʔ f i l i s
finda	f ɪ n d ə
finda	f ɪ n d ʌ
foe	f oː
fom	f oː m
fom	f ə m
fufla	ʔ f u f l ɑ
fufu	f u f u
fugfug	f ʌ k f ʌ k
fugfug	f ʌ ɡ f ʌ ɡ
fuh	f ə
fulafafa	f u l ə f ɑ f ə
fus	f ʌ s
fut	f u t
gafa	ɡ a f a
gama	ɡ ɒ m ɑ
gama	ɡ ɒ m ə
gangya	k ɑ n t͡ʃ ə
gangya	k ɑ n ɟ ə
gangya	ɡ ɑ n t͡ʃ ə
gangya	ɡ ɑ n ɟ ə
geda	ɡ e d ɒ
geda	ɡ e d ə
gemba	ɡ e m b ɒ
gemba	ɡ e m b ə
go	ɡ oː
gona	ɡ o n ə
gona	ɡ o n ʌ
grabe	ɡ ɹ ɛ i b
grabeyaad	ɡ ɹ ɛ i b j ɑː d
gree	ɡ ɹ iː
grine	ɡ ɹ a i n
guba	ɡ u b ə
guba	ɡ u b ʌ
gulu	ɡ o l o
gumbi	ɡ u m b i
gumbo	ɡ ʌ m b o
han	h æ n
he	h ɛ̃ ˦˨
hihi	h i h i
hihi	h i ɡ ə h i
hihi	h u h u
hudu	h u d u
hund'ud	h ə n ɪ d
hypicrit	h ɪ p iː k ɹ ɪ t
ibi	i b i
iloni	i l o n i
iloni	ɪ l o n i
jabuh	d͡ʒ a b ə
jabuh	ɟ a b ə
jagal	d͡ʒ a ɡ l ə
jagal	d͡ʒ a ɡ ə l
jagal	ɟ a ɡ ɑ l
jagalbod	d͡ʒ a ɡ l ə b o d
jagalbod	d͡ʒ a ɡ ʌ l b o d
jagalbod	ɟ a ɡ l ə b o d
jagalbod	ɟ a ɡ ʌ l b o d
